auction,bidder,price,dateTime,extra,processed_time
9700077,900163,3405.0,2026-04-23T22:02:14.631Z,bid-extra-60366900005,2026-04-23T23:55:14.039Z
9700207,900473,4040.6,2026-04-23T22:02:14.631Z,bid-extra-60366900015,2026-04-23T23:55:14.039Z
9700337,900783,4676.2,2026-04-23T22:02:14.631Z,bid-extra-60366900025,2026-04-23T23:55:14.039Z
9700467,901093,5311.8,2026-04-23T22:02:14.631Z,bid-extra-60366900035,2026-04-23T23:55:14.039Z
9700597,901403,5947.400000000001,2026-04-23T22:02:14.631Z,bid-extra-60366900045,2026-04-23T23:55:14.039Z
9700727,901713,6583.0,2026-04-23T22:02:14.632Z,bid-extra-60366900055,2026-04-23T23:55:14.039Z
9700857,902023,7218.6,2026-04-23T22:02:14.632Z,bid-extra-60366900065,2026-04-23T23:55:14.039Z
9700987,902333,7854.2,2026-04-23T22:02:14.632Z,bid-extra-60366900075,2026-04-23T23:55:14.039Z
9701117,902643,8489.800000000001,2026-04-23T22:02:14.632Z,bid-extra-60366900085,2026-04-23T23:55:14.039Z
9701247,902953,9125.4,2026-04-23T22:02:14.632Z,bid-extra-60366900095,2026-04-23T23:55:14.039Z
9701377,903263,9761.0,2026-04-23T22:02:14.632Z,bid-extra-60366900105,2026-04-23T23:55:14.039Z
9701507,903573,10396.6,2026-04-23T22:02:14.632Z,bid-extra-60366900115,2026-04-23T23:55:14.039Z
9701637,903883,6492.2,2026-04-23T22:02:14.632Z,bid-extra-60366900125,2026-04-23T23:55:14.039Z
9701767,904193,7127.8,2026-04-23T22:02:14.632Z,bid-extra-60366900135,2026-04-23T23:55:14.039Z
9701897,904503,7763.400000000001,2026-04-23T22:02:14.632Z,bid-extra-60366900145,2026-04-23T23:55:14.039Z
9702027,904813,8399.0,2026-04-23T22:02:14.633Z,bid-extra-60366900155,2026-04-23T23:55:14.039Z
9702157,905123,9034.6,2026-04-23T22:02:14.633Z,bid-extra-60366900165,2026-04-23T23:55:14.039Z
9702287,905433,9670.2,2026-04-23T22:02:14.633Z,bid-extra-60366900175,2026-04-23T23:55:14.039Z
9702417,905743,10305.800000000001,2026-04-23T22:02:14.633Z,bid-extra-60366900185,2026-04-23T23:55:14.039Z
9702547,906053,10941.4,2026-04-23T22:02:14.633Z,bid-extra-60366900195,2026-04-23T23:55:14.039Z
9702677,906363,11577.0,2026-04-23T22:02:14.633Z,bid-extra-60366900205,2026-04-23T23:55:14.039Z
9702807,906673,12212.6,2026-04-23T22:02:14.633Z,bid-extra-60366900215,2026-04-23T23:55:14.039Z
9702937,906983,12848.2,2026-04-23T22:02:14.633Z,bid-extra-60366900225,2026-04-23T23:55:14.039Z
9703067,907293,4494.6,2026-04-23T22:02:14.633Z,bid-extra-60366900235,2026-04-23T23:55:14.039Z
9703197,907603,590.2,2026-04-23T22:02:14.633Z,bid-extra-60366900245,2026-04-23T23:55:14.039Z
