auction,bidder,price,dateTime,extra,processed_time
4700077,900163,8853.0,2026-04-23T21:59:44.631Z,bid-extra-60351900005,2026-04-23T23:55:14.039Z
4700207,900473,9488.6,2026-04-23T21:59:44.631Z,bid-extra-60351900015,2026-04-23T23:55:14.039Z
4700337,900783,1135.0,2026-04-23T21:59:44.631Z,bid-extra-60351900025,2026-04-23T23:55:14.039Z
4700467,901093,1770.6000000000001,2026-04-23T21:59:44.631Z,bid-extra-60351900035,2026-04-23T23:55:14.039Z
4700597,901403,2406.2000000000003,2026-04-23T21:59:44.631Z,bid-extra-60351900045,2026-04-23T23:55:14.039Z
4700727,901713,3041.8,2026-04-23T21:59:44.632Z,bid-extra-60351900055,2026-04-23T23:55:14.039Z
4700857,902023,3677.4,2026-04-23T21:59:44.632Z,bid-extra-60351900065,2026-04-23T23:55:14.039Z
4700987,902333,4313.0,2026-04-23T21:59:44.632Z,bid-extra-60351900075,2026-04-23T23:55:14.039Z
4701117,902643,4948.6,2026-04-23T21:59:44.632Z,bid-extra-60351900085,2026-04-23T23:55:14.039Z
4701247,902953,5584.2,2026-04-23T21:59:44.632Z,bid-extra-60351900095,2026-04-23T23:55:14.039Z
4701377,903263,6219.8,2026-04-23T21:59:44.632Z,bid-extra-60351900105,2026-04-23T23:55:14.039Z
4701507,903573,6855.400000000001,2026-04-23T21:59:44.632Z,bid-extra-60351900115,2026-04-23T23:55:14.039Z
4701637,903883,2951.0,2026-04-23T21:59:44.632Z,bid-extra-60351900125,2026-04-23T23:55:14.039Z
4701767,904193,3586.6,2026-04-23T21:59:44.632Z,bid-extra-60351900135,2026-04-23T23:55:14.039Z
4701897,904503,4222.2,2026-04-23T21:59:44.632Z,bid-extra-60351900145,2026-04-23T23:55:14.039Z
4702027,904813,4857.8,2026-04-23T21:59:44.633Z,bid-extra-60351900155,2026-04-23T23:55:14.039Z
4702157,905123,5493.400000000001,2026-04-23T21:59:44.633Z,bid-extra-60351900165,2026-04-23T23:55:14.039Z
4702287,905433,6129.0,2026-04-23T21:59:44.633Z,bid-extra-60351900175,2026-04-23T23:55:14.039Z
4702417,905743,6764.6,2026-04-23T21:59:44.633Z,bid-extra-60351900185,2026-04-23T23:55:14.039Z
4702547,906053,7400.2,2026-04-23T21:59:44.633Z,bid-extra-60351900195,2026-04-23T23:55:14.039Z
4702677,906363,8035.8,2026-04-23T21:59:44.633Z,bid-extra-60351900205,2026-04-23T23:55:14.039Z
4702807,906673,8671.4,2026-04-23T21:59:44.633Z,bid-extra-60351900215,2026-04-23T23:55:14.039Z
4702937,906983,9307.0,2026-04-23T21:59:44.633Z,bid-extra-60351900225,2026-04-23T23:55:14.039Z
4703067,907293,9942.6,2026-04-23T21:59:44.633Z,bid-extra-60351900235,2026-04-23T23:55:14.039Z
4703197,907603,6038.2,2026-04-23T21:59:44.633Z,bid-extra-60351900245,2026-04-23T23:55:14.039Z
4703327,907913,6673.8,2026-04-23T21:59:44.634Z,bid-extra-60351900255,2026-04-23T23:55:14.039Z
4703457,908223,7309.400000000001,2026-04-23T21:59:44.634Z,bid-extra-60351900265,2026-04-23T23:55:14.039Z
