auction,bidder,price,dateTime,extra,processed_time
6700077,900163,771.8000000000001,2026-04-23T22:02:04.631Z,bid-extra-60365900005,2026-04-23T23:55:14.039Z
6700207,900473,1407.4,2026-04-23T22:02:04.631Z,bid-extra-60365900015,2026-04-23T23:55:14.039Z
6700337,900783,2043.0,2026-04-23T22:02:04.631Z,bid-extra-60365900025,2026-04-23T23:55:14.039Z
6700467,901093,2678.6,2026-04-23T22:02:04.631Z,bid-extra-60365900035,2026-04-23T23:55:14.039Z
6700597,901403,3314.2000000000003,2026-04-23T22:02:04.631Z,bid-extra-60365900045,2026-04-23T23:55:14.039Z
6700727,901713,3949.8,2026-04-23T22:02:04.632Z,bid-extra-60365900055,2026-04-23T23:55:14.039Z
6700857,902023,4585.400000000001,2026-04-23T22:02:04.632Z,bid-extra-60365900065,2026-04-23T23:55:14.039Z
6700987,902333,5221.0,2026-04-23T22:02:04.632Z,bid-extra-60365900075,2026-04-23T23:55:14.039Z
6701117,902643,5856.6,2026-04-23T22:02:04.632Z,bid-extra-60365900085,2026-04-23T23:55:14.039Z
6701247,902953,6492.2,2026-04-23T22:02:04.632Z,bid-extra-60365900095,2026-04-23T23:55:14.039Z
6701377,903263,7127.8,2026-04-23T22:02:04.632Z,bid-extra-60365900105,2026-04-23T23:55:14.039Z
6701507,903573,7763.400000000001,2026-04-23T22:02:04.632Z,bid-extra-60365900115,2026-04-23T23:55:14.039Z
6701637,903883,3859.0,2026-04-23T22:02:04.632Z,bid-extra-60365900125,2026-04-23T23:55:14.039Z
6701767,904193,4494.6,2026-04-23T22:02:04.632Z,bid-extra-60365900135,2026-04-23T23:55:14.039Z
6701897,904503,5130.2,2026-04-23T22:02:04.632Z,bid-extra-60365900145,2026-04-23T23:55:14.039Z
6702027,904813,5765.8,2026-04-23T22:02:04.633Z,bid-extra-60365900155,2026-04-23T23:55:14.039Z
6702157,905123,6401.400000000001,2026-04-23T22:02:04.633Z,bid-extra-60365900165,2026-04-23T23:55:14.039Z
6702287,905433,7037.0,2026-04-23T22:02:04.633Z,bid-extra-60365900175,2026-04-23T23:55:14.039Z
6702417,905743,7672.6,2026-04-23T22:02:04.633Z,bid-extra-60365900185,2026-04-23T23:55:14.039Z
6702547,906053,8308.2,2026-04-23T22:02:04.633Z,bid-extra-60365900195,2026-04-23T23:55:14.039Z
6702677,906363,8943.800000000001,2026-04-23T22:02:04.633Z,bid-extra-60365900205,2026-04-23T23:55:14.039Z
6702807,906673,9579.4,2026-04-23T22:02:04.633Z,bid-extra-60365900215,2026-04-23T23:55:14.039Z
6702937,906983,10215.0,2026-04-23T22:02:04.633Z,bid-extra-60365900225,2026-04-23T23:55:14.039Z
