auction,bidder,price,dateTime,extra,processed_time
8700077,900163,2315.4,2026-04-23T22:02:44.631Z,bid-extra-60369900005,2026-04-23T23:55:14.039Z
8700207,900473,2951.0,2026-04-23T22:02:44.631Z,bid-extra-60369900015,2026-04-23T23:55:14.039Z
8700337,900783,3586.6,2026-04-23T22:02:44.631Z,bid-extra-60369900025,2026-04-23T23:55:14.039Z
8700467,901093,4222.2,2026-04-23T22:02:44.631Z,bid-extra-60369900035,2026-04-23T23:55:14.039Z
8700597,901403,4857.8,2026-04-23T22:02:44.631Z,bid-extra-60369900045,2026-04-23T23:55:14.039Z
8700727,901713,5493.400000000001,2026-04-23T22:02:44.632Z,bid-extra-60369900055,2026-04-23T23:55:14.039Z
8700857,902023,6129.0,2026-04-23T22:02:44.632Z,bid-extra-60369900065,2026-04-23T23:55:14.039Z
8700987,902333,6764.6,2026-04-23T22:02:44.632Z,bid-extra-60369900075,2026-04-23T23:55:14.039Z
8701117,902643,7400.2,2026-04-23T22:02:44.632Z,bid-extra-60369900085,2026-04-23T23:55:14.039Z
8701247,902953,8035.8,2026-04-23T22:02:44.632Z,bid-extra-60369900095,2026-04-23T23:55:14.039Z
8701377,903263,8671.4,2026-04-23T22:02:44.632Z,bid-extra-60369900105,2026-04-23T23:55:14.039Z
8701507,903573,9307.0,2026-04-23T22:02:44.632Z,bid-extra-60369900115,2026-04-23T23:55:14.039Z
8701637,903883,5402.6,2026-04-23T22:02:44.632Z,bid-extra-60369900125,2026-04-23T23:55:14.039Z
8701767,904193,6038.2,2026-04-23T22:02:44.632Z,bid-extra-60369900135,2026-04-23T23:55:14.039Z
8701897,904503,6673.8,2026-04-23T22:02:44.632Z,bid-extra-60369900145,2026-04-23T23:55:14.039Z
8702027,904813,7309.400000000001,2026-04-23T22:02:44.633Z,bid-extra-60369900155,2026-04-23T23:55:14.039Z
8702157,905123,7945.0,2026-04-23T22:02:44.633Z,bid-extra-60369900165,2026-04-23T23:55:14.039Z
8702287,905433,8580.6,2026-04-23T22:02:44.633Z,bid-extra-60369900175,2026-04-23T23:55:14.039Z
8702417,905743,9216.2,2026-04-23T22:02:44.633Z,bid-extra-60369900185,2026-04-23T23:55:14.039Z
8702547,906053,9851.800000000001,2026-04-23T22:02:44.633Z,bid-extra-60369900195,2026-04-23T23:55:14.039Z
8702677,906363,10487.4,2026-04-23T22:02:44.633Z,bid-extra-60369900205,2026-04-23T23:55:14.039Z
8702807,906673,11123.0,2026-04-23T22:02:44.633Z,bid-extra-60369900215,2026-04-23T23:55:14.039Z
8702937,906983,11758.6,2026-04-23T22:02:44.633Z,bid-extra-60369900225,2026-04-23T23:55:14.039Z
8703067,907293,12394.2,2026-04-23T22:02:44.633Z,bid-extra-60369900235,2026-04-23T23:55:14.039Z
8703197,907603,8489.800000000001,2026-04-23T22:02:44.633Z,bid-extra-60369900245,2026-04-23T23:55:14.039Z
8703327,907913,9125.4,2026-04-23T22:02:44.634Z,bid-extra-60369900255,2026-04-23T23:55:14.039Z
8703457,908223,9761.0,2026-04-23T22:02:44.634Z,bid-extra-60369900265,2026-04-23T23:55:14.039Z
8703587,908533,1407.4,2026-04-23T22:02:44.634Z,bid-extra-60369900275,2026-04-23T23:55:14.039Z
8703717,908843,2043.0,2026-04-23T22:02:44.634Z,bid-extra-60369900285,2026-04-23T23:55:14.039Z
8703847,909153,2678.6,2026-04-23T22:02:44.634Z,bid-extra-60369900295,2026-04-23T23:55:14.039Z
8703977,909463,3314.2000000000003,2026-04-23T22:02:44.634Z,bid-extra-60369900305,2026-04-23T23:55:14.039Z
8704107,909773,3949.8,2026-04-23T22:02:44.634Z,bid-extra-60369900315,2026-04-23T23:55:14.039Z
8704237,910083,4585.400000000001,2026-04-23T22:02:44.634Z,bid-extra-60369900325,2026-04-23T23:55:14.039Z
8704367,910393,5221.0,2026-04-23T22:02:44.634Z,bid-extra-60369900335,2026-04-23T23:55:14.039Z
8704497,910703,5856.6,2026-04-23T22:02:44.634Z,bid-extra-60369900345,2026-04-23T23:55:14.039Z
8704627,911013,6492.2,2026-04-23T22:02:44.635Z,bid-extra-60369900355,2026-04-23T23:55:14.039Z
8704757,911323,7127.8,2026-04-23T22:02:44.635Z,bid-extra-60369900365,2026-04-23T23:55:14.039Z
8704887,911633,3223.4,2026-04-23T22:02:44.635Z,bid-extra-60369900375,2026-04-23T23:55:14.039Z
8705017,911943,3859.0,2026-04-23T22:02:44.635Z,bid-extra-60369900385,2026-04-23T23:55:14.039Z
8705147,912253,4494.6,2026-04-23T22:02:44.635Z,bid-extra-60369900395,2026-04-23T23:55:14.039Z
8705277,912563,5130.2,2026-04-23T22:02:44.635Z,bid-extra-60369900405,2026-04-23T23:55:14.039Z
8705407,912873,5765.8,2026-04-23T22:02:44.635Z,bid-extra-60369900415,2026-04-23T23:55:14.039Z
8705537,913183,6401.400000000001,2026-04-23T22:02:44.635Z,bid-extra-60369900425,2026-04-23T23:55:14.039Z
8705667,913493,7037.0,2026-04-23T22:02:44.635Z,bid-extra-60369900435,2026-04-23T23:55:14.039Z
8705797,913803,7672.6,2026-04-23T22:02:44.635Z,bid-extra-60369900445,2026-04-23T23:55:14.039Z
8705927,914113,8308.2,2026-04-23T22:02:44.636Z,bid-extra-60369900455,2026-04-23T23:55:14.039Z
8706057,914423,8943.800000000001,2026-04-23T22:02:44.636Z,bid-extra-60369900465,2026-04-23T23:55:14.039Z
8706187,914733,9579.4,2026-04-23T22:02:44.636Z,bid-extra-60369900475,2026-04-23T23:55:14.039Z
8706317,915043,10215.0,2026-04-23T22:02:44.636Z,bid-extra-60369900485,2026-04-23T23:55:14.039Z
8706447,915353,6310.6,2026-04-23T22:02:44.636Z,bid-extra-60369900495,2026-04-23T23:55:14.039Z
8706577,915663,6946.2,2026-04-23T22:02:44.636Z,bid-extra-60369900505,2026-04-23T23:55:14.039Z
8706707,915973,7581.8,2026-04-23T22:02:44.636Z,bid-extra-60369900515,2026-04-23T23:55:14.039Z
8706837,916283,8217.4,2026-04-23T22:02:44.636Z,bid-extra-60369900525,2026-04-23T23:55:14.039Z
8706967,916593,8853.0,2026-04-23T22:02:44.636Z,bid-extra-60369900535,2026-04-23T23:55:14.039Z
8707097,916903,9488.6,2026-04-23T22:02:44.636Z,bid-extra-60369900545,2026-04-23T23:55:14.039Z
8707227,917213,10124.2,2026-04-23T22:02:44.637Z,bid-extra-60369900555,2026-04-23T23:55:14.039Z
8707357,917523,10759.800000000001,2026-04-23T22:02:44.637Z,bid-extra-60369900565,2026-04-23T23:55:14.039Z
8707487,917833,11395.4,2026-04-23T22:02:44.637Z,bid-extra-60369900575,2026-04-23T23:55:14.039Z
8707617,918143,12031.0,2026-04-23T22:02:44.637Z,bid-extra-60369900585,2026-04-23T23:55:14.039Z
8707747,918453,12666.6,2026-04-23T22:02:44.637Z,bid-extra-60369900595,2026-04-23T23:55:14.039Z
8707877,918763,13302.2,2026-04-23T22:02:44.637Z,bid-extra-60369900605,2026-04-23T23:55:14.039Z
8708007,919073,408.6,2026-04-23T22:02:44.637Z,bid-extra-60369900615,2026-04-23T23:55:14.039Z
8708137,919383,1044.2,2026-04-23T22:02:44.637Z,bid-extra-60369900625,2026-04-23T23:55:14.039Z
8708267,919693,1679.8,2026-04-23T22:02:44.637Z,bid-extra-60369900635,2026-04-23T23:55:14.039Z
8708397,920003,2315.4,2026-04-23T22:02:44.637Z,bid-extra-60369900645,2026-04-23T23:55:14.039Z
8708527,920313,2951.0,2026-04-23T22:02:44.638Z,bid-extra-60369900655,2026-04-23T23:55:14.039Z
8708657,920623,3586.6,2026-04-23T22:02:44.638Z,bid-extra-60369900665,2026-04-23T23:55:14.039Z
8708787,920933,4222.2,2026-04-23T22:02:44.638Z,bid-extra-60369900675,2026-04-23T23:55:14.039Z
8708917,921243,4857.8,2026-04-23T22:02:44.638Z,bid-extra-60369900685,2026-04-23T23:55:14.039Z
8709047,921553,5493.400000000001,2026-04-23T22:02:44.638Z,bid-extra-60369900695,2026-04-23T23:55:14.039Z
8709177,921863,6129.0,2026-04-23T22:02:44.638Z,bid-extra-60369900705,2026-04-23T23:55:14.039Z
8709307,922173,6764.6,2026-04-23T22:02:44.638Z,bid-extra-60369900715,2026-04-23T23:55:14.039Z
8709437,922483,7400.2,2026-04-23T22:02:44.638Z,bid-extra-60369900725,2026-04-23T23:55:14.039Z
8709567,922793,3495.8,2026-04-23T22:02:44.638Z,bid-extra-60369900735,2026-04-23T23:55:14.039Z
8709697,923103,4131.400000000001,2026-04-23T22:02:44.638Z,bid-extra-60369900745,2026-04-23T23:55:14.039Z
8709827,923413,4767.0,2026-04-23T22:02:44.639Z,bid-extra-60369900755,2026-04-23T23:55:14.039Z
8709957,923723,5402.6,2026-04-23T22:02:44.639Z,bid-extra-60369900765,2026-04-23T23:55:14.039Z
8710087,924033,6038.2,2026-04-23T22:02:44.639Z,bid-extra-60369900775,2026-04-23T23:55:14.039Z
8710217,924343,6673.8,2026-04-23T22:02:44.639Z,bid-extra-60369900785,2026-04-23T23:55:14.039Z
8710347,924653,7309.400000000001,2026-04-23T22:02:44.639Z,bid-extra-60369900795,2026-04-23T23:55:14.039Z
8710477,924963,7945.0,2026-04-23T22:02:44.639Z,bid-extra-60369900805,2026-04-23T23:55:14.039Z
8710607,925273,8580.6,2026-04-23T22:02:44.639Z,bid-extra-60369900815,2026-04-23T23:55:14.039Z
8710737,925583,9216.2,2026-04-23T22:02:44.639Z,bid-extra-60369900825,2026-04-23T23:55:14.039Z
8710867,925893,9851.800000000001,2026-04-23T22:02:44.639Z,bid-extra-60369900835,2026-04-23T23:55:14.039Z
8710997,926203,10487.4,2026-04-23T22:02:44.639Z,bid-extra-60369900845,2026-04-23T23:55:14.039Z
8711127,926513,6583.0,2026-04-23T22:02:44.640Z,bid-extra-60369900855,2026-04-23T23:55:14.039Z
8711257,926823,7218.6,2026-04-23T22:02:44.640Z,bid-extra-60369900865,2026-04-23T23:55:14.039Z
8711387,927133,7854.2,2026-04-23T22:02:44.640Z,bid-extra-60369900875,2026-04-23T23:55:14.039Z
8711517,927443,8489.800000000001,2026-04-23T22:02:44.640Z,bid-extra-60369900885,2026-04-23T23:55:14.039Z
8711647,927753,9125.4,2026-04-23T22:02:44.640Z,bid-extra-60369900895,2026-04-23T23:55:14.039Z
