auction,bidder,price,dateTime,extra,processed_time
3700077,900163,8399.0,2026-04-23T21:58:34.631Z,bid-extra-60344900005,2026-04-23T23:55:14.039Z
3700207,900473,9034.6,2026-04-23T21:58:34.631Z,bid-extra-60344900015,2026-04-23T23:55:14.039Z
3700337,900783,9670.2,2026-04-23T21:58:34.631Z,bid-extra-60344900025,2026-04-23T23:55:14.039Z
3700467,901093,10305.800000000001,2026-04-23T21:58:34.631Z,bid-extra-60344900035,2026-04-23T23:55:14.039Z
3700597,901403,1952.2,2026-04-23T21:58:34.631Z,bid-extra-60344900045,2026-04-23T23:55:14.039Z
3700727,901713,2587.8,2026-04-23T21:58:34.632Z,bid-extra-60344900055,2026-04-23T23:55:14.039Z
3700857,902023,3223.4,2026-04-23T21:58:34.632Z,bid-extra-60344900065,2026-04-23T23:55:14.039Z
3700987,902333,3859.0,2026-04-23T21:58:34.632Z,bid-extra-60344900075,2026-04-23T23:55:14.039Z
3701117,902643,4494.6,2026-04-23T21:58:34.632Z,bid-extra-60344900085,2026-04-23T23:55:14.039Z
3701247,902953,5130.2,2026-04-23T21:58:34.632Z,bid-extra-60344900095,2026-04-23T23:55:14.039Z
3701377,903263,5765.8,2026-04-23T21:58:34.632Z,bid-extra-60344900105,2026-04-23T23:55:14.039Z
3701507,903573,6401.400000000001,2026-04-23T21:58:34.632Z,bid-extra-60344900115,2026-04-23T23:55:14.039Z
3701637,903883,2497.0,2026-04-23T21:58:34.632Z,bid-extra-60344900125,2026-04-23T23:55:14.039Z
3701767,904193,3132.6,2026-04-23T21:58:34.632Z,bid-extra-60344900135,2026-04-23T23:55:14.039Z
3701897,904503,3768.2000000000003,2026-04-23T21:58:34.632Z,bid-extra-60344900145,2026-04-23T23:55:14.039Z
3702027,904813,4403.8,2026-04-23T21:58:34.633Z,bid-extra-60344900155,2026-04-23T23:55:14.039Z
3702157,905123,5039.400000000001,2026-04-23T21:58:34.633Z,bid-extra-60344900165,2026-04-23T23:55:14.039Z
3702287,905433,5675.0,2026-04-23T21:58:34.633Z,bid-extra-60344900175,2026-04-23T23:55:14.039Z
3702417,905743,6310.6,2026-04-23T21:58:34.633Z,bid-extra-60344900185,2026-04-23T23:55:14.039Z
3702547,906053,6946.2,2026-04-23T21:58:34.633Z,bid-extra-60344900195,2026-04-23T23:55:14.039Z
3702677,906363,7581.8,2026-04-23T21:58:34.633Z,bid-extra-60344900205,2026-04-23T23:55:14.039Z
3702807,906673,8217.4,2026-04-23T21:58:34.633Z,bid-extra-60344900215,2026-04-23T23:55:14.039Z
3702937,906983,8853.0,2026-04-23T21:58:34.633Z,bid-extra-60344900225,2026-04-23T23:55:14.039Z
3703067,907293,9488.6,2026-04-23T21:58:34.633Z,bid-extra-60344900235,2026-04-23T23:55:14.039Z
3703197,907603,5584.2,2026-04-23T21:58:34.633Z,bid-extra-60344900245,2026-04-23T23:55:14.039Z
3703327,907913,6219.8,2026-04-23T21:58:34.634Z,bid-extra-60344900255,2026-04-23T23:55:14.039Z
3703457,908223,6855.400000000001,2026-04-23T21:58:34.634Z,bid-extra-60344900265,2026-04-23T23:55:14.039Z
3703587,908533,7491.0,2026-04-23T21:58:34.634Z,bid-extra-60344900275,2026-04-23T23:55:14.039Z
3703717,908843,8126.6,2026-04-23T21:58:34.634Z,bid-extra-60344900285,2026-04-23T23:55:14.039Z
3703847,909153,8762.2,2026-04-23T21:58:34.634Z,bid-extra-60344900295,2026-04-23T23:55:14.039Z
3703977,909463,9397.800000000001,2026-04-23T21:58:34.634Z,bid-extra-60344900305,2026-04-23T23:55:14.039Z
3704107,909773,10033.4,2026-04-23T21:58:34.634Z,bid-extra-60344900315,2026-04-23T23:55:14.039Z
3704237,910083,10669.0,2026-04-23T21:58:34.634Z,bid-extra-60344900325,2026-04-23T23:55:14.039Z
3704367,910393,11304.6,2026-04-23T21:58:34.634Z,bid-extra-60344900335,2026-04-23T23:55:14.039Z
3704497,910703,11940.2,2026-04-23T21:58:34.634Z,bid-extra-60344900345,2026-04-23T23:55:14.039Z
3704627,911013,12575.800000000001,2026-04-23T21:58:34.635Z,bid-extra-60344900355,2026-04-23T23:55:14.039Z
3704757,911323,13211.4,2026-04-23T21:58:34.635Z,bid-extra-60344900365,2026-04-23T23:55:14.039Z
3704887,911633,9307.0,2026-04-23T21:58:34.635Z,bid-extra-60344900375,2026-04-23T23:55:14.039Z
3705017,911943,953.4,2026-04-23T21:58:34.635Z,bid-extra-60344900385,2026-04-23T23:55:14.039Z
3705147,912253,1589.0,2026-04-23T21:58:34.635Z,bid-extra-60344900395,2026-04-23T23:55:14.039Z
3705277,912563,2224.6,2026-04-23T21:58:34.635Z,bid-extra-60344900405,2026-04-23T23:55:14.039Z
3705407,912873,2860.2000000000003,2026-04-23T21:58:34.635Z,bid-extra-60344900415,2026-04-23T23:55:14.039Z
3705537,913183,3495.8,2026-04-23T21:58:34.635Z,bid-extra-60344900425,2026-04-23T23:55:14.039Z
3705667,913493,4131.400000000001,2026-04-23T21:58:34.635Z,bid-extra-60344900435,2026-04-23T23:55:14.039Z
3705797,913803,4767.0,2026-04-23T21:58:34.635Z,bid-extra-60344900445,2026-04-23T23:55:14.039Z
3705927,914113,5402.6,2026-04-23T21:58:34.636Z,bid-extra-60344900455,2026-04-23T23:55:14.039Z
3706057,914423,6038.2,2026-04-23T21:58:34.636Z,bid-extra-60344900465,2026-04-23T23:55:14.039Z
3706187,914733,6673.8,2026-04-23T21:58:34.636Z,bid-extra-60344900475,2026-04-23T23:55:14.039Z
3706317,915043,7309.400000000001,2026-04-23T21:58:34.636Z,bid-extra-60344900485,2026-04-23T23:55:14.039Z
3706447,915353,3405.0,2026-04-23T21:58:34.636Z,bid-extra-60344900495,2026-04-23T23:55:14.039Z
3706577,915663,4040.6,2026-04-23T21:58:34.636Z,bid-extra-60344900505,2026-04-23T23:55:14.039Z
3706707,915973,4676.2,2026-04-23T21:58:34.636Z,bid-extra-60344900515,2026-04-23T23:55:14.039Z
3706837,916283,5311.8,2026-04-23T21:58:34.636Z,bid-extra-60344900525,2026-04-23T23:55:14.039Z
3706967,916593,5947.400000000001,2026-04-23T21:58:34.636Z,bid-extra-60344900535,2026-04-23T23:55:14.039Z
3707097,916903,6583.0,2026-04-23T21:58:34.636Z,bid-extra-60344900545,2026-04-23T23:55:14.039Z
3707227,917213,7218.6,2026-04-23T21:58:34.637Z,bid-extra-60344900555,2026-04-23T23:55:14.039Z
3707357,917523,7854.2,2026-04-23T21:58:34.637Z,bid-extra-60344900565,2026-04-23T23:55:14.039Z
3707487,917833,8489.800000000001,2026-04-23T21:58:34.637Z,bid-extra-60344900575,2026-04-23T23:55:14.039Z
3707617,918143,9125.4,2026-04-23T21:58:34.637Z,bid-extra-60344900585,2026-04-23T23:55:14.039Z
3707747,918453,9761.0,2026-04-23T21:58:34.637Z,bid-extra-60344900595,2026-04-23T23:55:14.039Z
3707877,918763,10396.6,2026-04-23T21:58:34.637Z,bid-extra-60344900605,2026-04-23T23:55:14.039Z
3708007,919073,6492.2,2026-04-23T21:58:34.637Z,bid-extra-60344900615,2026-04-23T23:55:14.039Z
3708137,919383,7127.8,2026-04-23T21:58:34.637Z,bid-extra-60344900625,2026-04-23T23:55:14.039Z
3708267,919693,7763.400000000001,2026-04-23T21:58:34.637Z,bid-extra-60344900635,2026-04-23T23:55:14.039Z
3708397,920003,8399.0,2026-04-23T21:58:34.637Z,bid-extra-60344900645,2026-04-23T23:55:14.039Z
3708527,920313,9034.6,2026-04-23T21:58:34.638Z,bid-extra-60344900655,2026-04-23T23:55:14.039Z
3708657,920623,9670.2,2026-04-23T21:58:34.638Z,bid-extra-60344900665,2026-04-23T23:55:14.039Z
3708787,920933,10305.800000000001,2026-04-23T21:58:34.638Z,bid-extra-60344900675,2026-04-23T23:55:14.039Z
3708917,921243,10941.4,2026-04-23T21:58:34.638Z,bid-extra-60344900685,2026-04-23T23:55:14.039Z
3709047,921553,11577.0,2026-04-23T21:58:34.638Z,bid-extra-60344900695,2026-04-23T23:55:14.039Z
3709177,921863,12212.6,2026-04-23T21:58:34.638Z,bid-extra-60344900705,2026-04-23T23:55:14.039Z
3709307,922173,12848.2,2026-04-23T21:58:34.638Z,bid-extra-60344900715,2026-04-23T23:55:14.039Z
3709437,922483,4494.6,2026-04-23T21:58:34.638Z,bid-extra-60344900725,2026-04-23T23:55:14.039Z
3709567,922793,590.2,2026-04-23T21:58:34.638Z,bid-extra-60344900735,2026-04-23T23:55:14.039Z
3709697,923103,1225.8,2026-04-23T21:58:34.638Z,bid-extra-60344900745,2026-04-23T23:55:14.039Z
3709827,923413,1861.4,2026-04-23T21:58:34.639Z,bid-extra-60344900755,2026-04-23T23:55:14.039Z
3709957,923723,2497.0,2026-04-23T21:58:34.639Z,bid-extra-60344900765,2026-04-23T23:55:14.039Z
3710087,924033,3132.6,2026-04-23T21:58:34.639Z,bid-extra-60344900775,2026-04-23T23:55:14.039Z
3710217,924343,3768.2000000000003,2026-04-23T21:58:34.639Z,bid-extra-60344900785,2026-04-23T23:55:14.039Z
3710347,924653,4403.8,2026-04-23T21:58:34.639Z,bid-extra-60344900795,2026-04-23T23:55:14.039Z
3710477,924963,5039.400000000001,2026-04-23T21:58:34.639Z,bid-extra-60344900805,2026-04-23T23:55:14.039Z
3710607,925273,5675.0,2026-04-23T21:58:34.639Z,bid-extra-60344900815,2026-04-23T23:55:14.039Z
3710737,925583,6310.6,2026-04-23T21:58:34.639Z,bid-extra-60344900825,2026-04-23T23:55:14.039Z
3710867,925893,6946.2,2026-04-23T21:58:34.639Z,bid-extra-60344900835,2026-04-23T23:55:14.039Z
3710997,926203,7581.8,2026-04-23T21:58:34.639Z,bid-extra-60344900845,2026-04-23T23:55:14.039Z
3711127,926513,3677.4,2026-04-23T21:58:34.640Z,bid-extra-60344900855,2026-04-23T23:55:14.039Z
3711257,926823,4313.0,2026-04-23T21:58:34.640Z,bid-extra-60344900865,2026-04-23T23:55:14.039Z
3711387,927133,4948.6,2026-04-23T21:58:34.640Z,bid-extra-60344900875,2026-04-23T23:55:14.039Z
3711517,927443,5584.2,2026-04-23T21:58:34.640Z,bid-extra-60344900885,2026-04-23T23:55:14.039Z
3711647,927753,6219.8,2026-04-23T21:58:34.640Z,bid-extra-60344900895,2026-04-23T23:55:14.039Z
3711777,928063,6855.400000000001,2026-04-23T21:58:34.640Z,bid-extra-60344900905,2026-04-23T23:55:14.039Z
3711907,928373,7491.0,2026-04-23T21:58:34.640Z,bid-extra-60344900915,2026-04-23T23:55:14.039Z
3712037,928683,8126.6,2026-04-23T21:58:34.640Z,bid-extra-60344900925,2026-04-23T23:55:14.039Z
3712167,928993,8762.2,2026-04-23T21:58:34.640Z,bid-extra-60344900935,2026-04-23T23:55:14.039Z
