auction,bidder,price,dateTime,extra,processed_time
6700077,900163,1407.4,2026-04-23T22:00:24.631Z,bid-extra-60355900005,2026-04-23T23:55:14.039Z
6700207,900473,2043.0,2026-04-23T22:00:24.631Z,bid-extra-60355900015,2026-04-23T23:55:14.039Z
6700337,900783,2678.6,2026-04-23T22:00:24.631Z,bid-extra-60355900025,2026-04-23T23:55:14.039Z
6700467,901093,3314.2000000000003,2026-04-23T22:00:24.631Z,bid-extra-60355900035,2026-04-23T23:55:14.039Z
6700597,901403,3949.8,2026-04-23T22:00:24.631Z,bid-extra-60355900045,2026-04-23T23:55:14.039Z
6700727,901713,4585.400000000001,2026-04-23T22:00:24.632Z,bid-extra-60355900055,2026-04-23T23:55:14.039Z
6700857,902023,5221.0,2026-04-23T22:00:24.632Z,bid-extra-60355900065,2026-04-23T23:55:14.039Z
6700987,902333,5856.6,2026-04-23T22:00:24.632Z,bid-extra-60355900075,2026-04-23T23:55:14.039Z
6701117,902643,6492.2,2026-04-23T22:00:24.632Z,bid-extra-60355900085,2026-04-23T23:55:14.039Z
6701247,902953,7127.8,2026-04-23T22:00:24.632Z,bid-extra-60355900095,2026-04-23T23:55:14.039Z
6701377,903263,7763.400000000001,2026-04-23T22:00:24.632Z,bid-extra-60355900105,2026-04-23T23:55:14.039Z
6701507,903573,8399.0,2026-04-23T22:00:24.632Z,bid-extra-60355900115,2026-04-23T23:55:14.039Z
6701637,903883,4494.6,2026-04-23T22:00:24.632Z,bid-extra-60355900125,2026-04-23T23:55:14.039Z
6701767,904193,5130.2,2026-04-23T22:00:24.632Z,bid-extra-60355900135,2026-04-23T23:55:14.039Z
6701897,904503,5765.8,2026-04-23T22:00:24.632Z,bid-extra-60355900145,2026-04-23T23:55:14.039Z
6702027,904813,6401.400000000001,2026-04-23T22:00:24.633Z,bid-extra-60355900155,2026-04-23T23:55:14.039Z
6702157,905123,7037.0,2026-04-23T22:00:24.633Z,bid-extra-60355900165,2026-04-23T23:55:14.039Z
6702287,905433,7672.6,2026-04-23T22:00:24.633Z,bid-extra-60355900175,2026-04-23T23:55:14.039Z
6702417,905743,8308.2,2026-04-23T22:00:24.633Z,bid-extra-60355900185,2026-04-23T23:55:14.039Z
6702547,906053,8943.800000000001,2026-04-23T22:00:24.633Z,bid-extra-60355900195,2026-04-23T23:55:14.039Z
6702677,906363,9579.4,2026-04-23T22:00:24.633Z,bid-extra-60355900205,2026-04-23T23:55:14.039Z
6702807,906673,10215.0,2026-04-23T22:00:24.633Z,bid-extra-60355900215,2026-04-23T23:55:14.039Z
6702937,906983,10850.6,2026-04-23T22:00:24.633Z,bid-extra-60355900225,2026-04-23T23:55:14.039Z
6703067,907293,11486.2,2026-04-23T22:00:24.633Z,bid-extra-60355900235,2026-04-23T23:55:14.039Z
6703197,907603,7581.8,2026-04-23T22:00:24.633Z,bid-extra-60355900245,2026-04-23T23:55:14.039Z
6703327,907913,8217.4,2026-04-23T22:00:24.634Z,bid-extra-60355900255,2026-04-23T23:55:14.039Z
6703457,908223,8853.0,2026-04-23T22:00:24.634Z,bid-extra-60355900265,2026-04-23T23:55:14.039Z
6703587,908533,9488.6,2026-04-23T22:00:24.634Z,bid-extra-60355900275,2026-04-23T23:55:14.039Z
6703717,908843,10124.2,2026-04-23T22:00:24.634Z,bid-extra-60355900285,2026-04-23T23:55:14.039Z
6703847,909153,10759.800000000001,2026-04-23T22:00:24.634Z,bid-extra-60355900295,2026-04-23T23:55:14.039Z
6703977,909463,2406.2000000000003,2026-04-23T22:00:24.634Z,bid-extra-60355900305,2026-04-23T23:55:14.039Z
6704107,909773,3041.8,2026-04-23T22:00:24.634Z,bid-extra-60355900315,2026-04-23T23:55:14.039Z
6704237,910083,3677.4,2026-04-23T22:00:24.634Z,bid-extra-60355900325,2026-04-23T23:55:14.039Z
6704367,910393,4313.0,2026-04-23T22:00:24.634Z,bid-extra-60355900335,2026-04-23T23:55:14.039Z
6704497,910703,4948.6,2026-04-23T22:00:24.634Z,bid-extra-60355900345,2026-04-23T23:55:14.039Z
6704627,911013,5584.2,2026-04-23T22:00:24.635Z,bid-extra-60355900355,2026-04-23T23:55:14.039Z
6704757,911323,6219.8,2026-04-23T22:00:24.635Z,bid-extra-60355900365,2026-04-23T23:55:14.039Z
6704887,911633,2315.4,2026-04-23T22:00:24.635Z,bid-extra-60355900375,2026-04-23T23:55:14.039Z
6705017,911943,2951.0,2026-04-23T22:00:24.635Z,bid-extra-60355900385,2026-04-23T23:55:14.039Z
6705147,912253,3586.6,2026-04-23T22:00:24.635Z,bid-extra-60355900395,2026-04-23T23:55:14.039Z
6705277,912563,4222.2,2026-04-23T22:00:24.635Z,bid-extra-60355900405,2026-04-23T23:55:14.039Z
6705407,912873,4857.8,2026-04-23T22:00:24.635Z,bid-extra-60355900415,2026-04-23T23:55:14.039Z
6705537,913183,5493.400000000001,2026-04-23T22:00:24.635Z,bid-extra-60355900425,2026-04-23T23:55:14.039Z
6705667,913493,6129.0,2026-04-23T22:00:24.635Z,bid-extra-60355900435,2026-04-23T23:55:14.039Z
6705797,913803,6764.6,2026-04-23T22:00:24.635Z,bid-extra-60355900445,2026-04-23T23:55:14.039Z
6705927,914113,7400.2,2026-04-23T22:00:24.636Z,bid-extra-60355900455,2026-04-23T23:55:14.039Z
6706057,914423,8035.8,2026-04-23T22:00:24.636Z,bid-extra-60355900465,2026-04-23T23:55:14.039Z
6706187,914733,8671.4,2026-04-23T22:00:24.636Z,bid-extra-60355900475,2026-04-23T23:55:14.039Z
6706317,915043,9307.0,2026-04-23T22:00:24.636Z,bid-extra-60355900485,2026-04-23T23:55:14.039Z
6706447,915353,5402.6,2026-04-23T22:00:24.636Z,bid-extra-60355900495,2026-04-23T23:55:14.039Z
6706577,915663,6038.2,2026-04-23T22:00:24.636Z,bid-extra-60355900505,2026-04-23T23:55:14.039Z
6706707,915973,6673.8,2026-04-23T22:00:24.636Z,bid-extra-60355900515,2026-04-23T23:55:14.039Z
6706837,916283,7309.400000000001,2026-04-23T22:00:24.636Z,bid-extra-60355900525,2026-04-23T23:55:14.039Z
6706967,916593,7945.0,2026-04-23T22:00:24.636Z,bid-extra-60355900535,2026-04-23T23:55:14.039Z
6707097,916903,8580.6,2026-04-23T22:00:24.636Z,bid-extra-60355900545,2026-04-23T23:55:14.039Z
6707227,917213,9216.2,2026-04-23T22:00:24.637Z,bid-extra-60355900555,2026-04-23T23:55:14.039Z
6707357,917523,9851.800000000001,2026-04-23T22:00:24.637Z,bid-extra-60355900565,2026-04-23T23:55:14.039Z
6707487,917833,10487.4,2026-04-23T22:00:24.637Z,bid-extra-60355900575,2026-04-23T23:55:14.039Z
6707617,918143,11123.0,2026-04-23T22:00:24.637Z,bid-extra-60355900585,2026-04-23T23:55:14.039Z
6707747,918453,11758.6,2026-04-23T22:00:24.637Z,bid-extra-60355900595,2026-04-23T23:55:14.039Z
6707877,918763,12394.2,2026-04-23T22:00:24.637Z,bid-extra-60355900605,2026-04-23T23:55:14.039Z
6708007,919073,8489.800000000001,2026-04-23T22:00:24.637Z,bid-extra-60355900615,2026-04-23T23:55:14.039Z
6708137,919383,9125.4,2026-04-23T22:00:24.637Z,bid-extra-60355900625,2026-04-23T23:55:14.039Z
6708267,919693,9761.0,2026-04-23T22:00:24.637Z,bid-extra-60355900635,2026-04-23T23:55:14.039Z
6708397,920003,1407.4,2026-04-23T22:00:24.637Z,bid-extra-60355900645,2026-04-23T23:55:14.039Z
6708527,920313,2043.0,2026-04-23T22:00:24.638Z,bid-extra-60355900655,2026-04-23T23:55:14.039Z
6708657,920623,2678.6,2026-04-23T22:00:24.638Z,bid-extra-60355900665,2026-04-23T23:55:14.039Z
6708787,920933,3314.2000000000003,2026-04-23T22:00:24.638Z,bid-extra-60355900675,2026-04-23T23:55:14.039Z
6708917,921243,3949.8,2026-04-23T22:00:24.638Z,bid-extra-60355900685,2026-04-23T23:55:14.039Z
6709047,921553,4585.400000000001,2026-04-23T22:00:24.638Z,bid-extra-60355900695,2026-04-23T23:55:14.039Z
6709177,921863,5221.0,2026-04-23T22:00:24.638Z,bid-extra-60355900705,2026-04-23T23:55:14.039Z
6709307,922173,5856.6,2026-04-23T22:00:24.638Z,bid-extra-60355900715,2026-04-23T23:55:14.039Z
6709437,922483,6492.2,2026-04-23T22:00:24.638Z,bid-extra-60355900725,2026-04-23T23:55:14.039Z
6709567,922793,2587.8,2026-04-23T22:00:24.638Z,bid-extra-60355900735,2026-04-23T23:55:14.039Z
6709697,923103,3223.4,2026-04-23T22:00:24.638Z,bid-extra-60355900745,2026-04-23T23:55:14.039Z
6709827,923413,3859.0,2026-04-23T22:00:24.639Z,bid-extra-60355900755,2026-04-23T23:55:14.039Z
6709957,923723,4494.6,2026-04-23T22:00:24.639Z,bid-extra-60355900765,2026-04-23T23:55:14.039Z
6710087,924033,5130.2,2026-04-23T22:00:24.639Z,bid-extra-60355900775,2026-04-23T23:55:14.039Z
6710217,924343,5765.8,2026-04-23T22:00:24.639Z,bid-extra-60355900785,2026-04-23T23:55:14.039Z
6710347,924653,6401.400000000001,2026-04-23T22:00:24.639Z,bid-extra-60355900795,2026-04-23T23:55:14.039Z
6710477,924963,7037.0,2026-04-23T22:00:24.639Z,bid-extra-60355900805,2026-04-23T23:55:14.039Z
6710607,925273,7672.6,2026-04-23T22:00:24.639Z,bid-extra-60355900815,2026-04-23T23:55:14.039Z
6710737,925583,8308.2,2026-04-23T22:00:24.639Z,bid-extra-60355900825,2026-04-23T23:55:14.039Z
6710867,925893,8943.800000000001,2026-04-23T22:00:24.639Z,bid-extra-60355900835,2026-04-23T23:55:14.039Z
