auction,bidder,price,dateTime,extra,processed_time
7700077,900163,1225.8,2026-04-23T22:03:14.631Z,bid-extra-60372900005,2026-04-23T23:55:14.039Z
7700207,900473,1861.4,2026-04-23T22:03:14.631Z,bid-extra-60372900015,2026-04-23T23:55:14.039Z
7700337,900783,2497.0,2026-04-23T22:03:14.631Z,bid-extra-60372900025,2026-04-23T23:55:14.039Z
7700467,901093,3132.6,2026-04-23T22:03:14.631Z,bid-extra-60372900035,2026-04-23T23:55:14.039Z
7700597,901403,3768.2000000000003,2026-04-23T22:03:14.631Z,bid-extra-60372900045,2026-04-23T23:55:14.039Z
7700727,901713,4403.8,2026-04-23T22:03:14.632Z,bid-extra-60372900055,2026-04-23T23:55:14.039Z
7700857,902023,5039.400000000001,2026-04-23T22:03:14.632Z,bid-extra-60372900065,2026-04-23T23:55:14.039Z
7700987,902333,5675.0,2026-04-23T22:03:14.632Z,bid-extra-60372900075,2026-04-23T23:55:14.039Z
7701117,902643,6310.6,2026-04-23T22:03:14.632Z,bid-extra-60372900085,2026-04-23T23:55:14.039Z
7701247,902953,6946.2,2026-04-23T22:03:14.632Z,bid-extra-60372900095,2026-04-23T23:55:14.039Z
7701377,903263,7581.8,2026-04-23T22:03:14.632Z,bid-extra-60372900105,2026-04-23T23:55:14.039Z
7701507,903573,8217.4,2026-04-23T22:03:14.632Z,bid-extra-60372900115,2026-04-23T23:55:14.039Z
7701637,903883,4313.0,2026-04-23T22:03:14.632Z,bid-extra-60372900125,2026-04-23T23:55:14.039Z
7701767,904193,4948.6,2026-04-23T22:03:14.632Z,bid-extra-60372900135,2026-04-23T23:55:14.039Z
7701897,904503,5584.2,2026-04-23T22:03:14.632Z,bid-extra-60372900145,2026-04-23T23:55:14.039Z
7702027,904813,6219.8,2026-04-23T22:03:14.633Z,bid-extra-60372900155,2026-04-23T23:55:14.039Z
7702157,905123,6855.400000000001,2026-04-23T22:03:14.633Z,bid-extra-60372900165,2026-04-23T23:55:14.039Z
7702287,905433,7491.0,2026-04-23T22:03:14.633Z,bid-extra-60372900175,2026-04-23T23:55:14.039Z
7702417,905743,8126.6,2026-04-23T22:03:14.633Z,bid-extra-60372900185,2026-04-23T23:55:14.039Z
7702547,906053,8762.2,2026-04-23T22:03:14.633Z,bid-extra-60372900195,2026-04-23T23:55:14.039Z
7702677,906363,9397.800000000001,2026-04-23T22:03:14.633Z,bid-extra-60372900205,2026-04-23T23:55:14.039Z
7702807,906673,10033.4,2026-04-23T22:03:14.633Z,bid-extra-60372900215,2026-04-23T23:55:14.039Z
7702937,906983,10669.0,2026-04-23T22:03:14.633Z,bid-extra-60372900225,2026-04-23T23:55:14.039Z
7703067,907293,11304.6,2026-04-23T22:03:14.633Z,bid-extra-60372900235,2026-04-23T23:55:14.039Z
7703197,907603,7400.2,2026-04-23T22:03:14.633Z,bid-extra-60372900245,2026-04-23T23:55:14.039Z
7703327,907913,8035.8,2026-04-23T22:03:14.634Z,bid-extra-60372900255,2026-04-23T23:55:14.039Z
7703457,908223,8671.4,2026-04-23T22:03:14.634Z,bid-extra-60372900265,2026-04-23T23:55:14.039Z
7703587,908533,9307.0,2026-04-23T22:03:14.634Z,bid-extra-60372900275,2026-04-23T23:55:14.039Z
7703717,908843,9942.6,2026-04-23T22:03:14.634Z,bid-extra-60372900285,2026-04-23T23:55:14.039Z
7703847,909153,10578.2,2026-04-23T22:03:14.634Z,bid-extra-60372900295,2026-04-23T23:55:14.039Z
7703977,909463,11213.800000000001,2026-04-23T22:03:14.634Z,bid-extra-60372900305,2026-04-23T23:55:14.039Z
7704107,909773,2860.2000000000003,2026-04-23T22:03:14.634Z,bid-extra-60372900315,2026-04-23T23:55:14.039Z
7704237,910083,3495.8,2026-04-23T22:03:14.634Z,bid-extra-60372900325,2026-04-23T23:55:14.039Z
7704367,910393,4131.400000000001,2026-04-23T22:03:14.634Z,bid-extra-60372900335,2026-04-23T23:55:14.039Z
7704497,910703,4767.0,2026-04-23T22:03:14.634Z,bid-extra-60372900345,2026-04-23T23:55:14.039Z
7704627,911013,5402.6,2026-04-23T22:03:14.635Z,bid-extra-60372900355,2026-04-23T23:55:14.039Z
7704757,911323,6038.2,2026-04-23T22:03:14.635Z,bid-extra-60372900365,2026-04-23T23:55:14.039Z
7704887,911633,2133.8,2026-04-23T22:03:14.635Z,bid-extra-60372900375,2026-04-23T23:55:14.039Z
7705017,911943,2769.4,2026-04-23T22:03:14.635Z,bid-extra-60372900385,2026-04-23T23:55:14.039Z
7705147,912253,3405.0,2026-04-23T22:03:14.635Z,bid-extra-60372900395,2026-04-23T23:55:14.039Z
7705277,912563,4040.6,2026-04-23T22:03:14.635Z,bid-extra-60372900405,2026-04-23T23:55:14.039Z
7705407,912873,4676.2,2026-04-23T22:03:14.635Z,bid-extra-60372900415,2026-04-23T23:55:14.039Z
7705537,913183,5311.8,2026-04-23T22:03:14.635Z,bid-extra-60372900425,2026-04-23T23:55:14.039Z
7705667,913493,5947.400000000001,2026-04-23T22:03:14.635Z,bid-extra-60372900435,2026-04-23T23:55:14.039Z
7705797,913803,6583.0,2026-04-23T22:03:14.635Z,bid-extra-60372900445,2026-04-23T23:55:14.039Z
7705927,914113,7218.6,2026-04-23T22:03:14.636Z,bid-extra-60372900455,2026-04-23T23:55:14.039Z
7706057,914423,7854.2,2026-04-23T22:03:14.636Z,bid-extra-60372900465,2026-04-23T23:55:14.039Z
7706187,914733,8489.800000000001,2026-04-23T22:03:14.636Z,bid-extra-60372900475,2026-04-23T23:55:14.039Z
7706317,915043,9125.4,2026-04-23T22:03:14.636Z,bid-extra-60372900485,2026-04-23T23:55:14.039Z
