auction,bidder,price,dateTime,extra,processed_time
5700077,900163,953.4,2026-04-23T21:59:14.631Z,bid-extra-60348900005,2026-04-23T23:55:14.039Z
5700207,900473,1589.0,2026-04-23T21:59:14.631Z,bid-extra-60348900015,2026-04-23T23:55:14.039Z
5700337,900783,2224.6,2026-04-23T21:59:14.631Z,bid-extra-60348900025,2026-04-23T23:55:14.039Z
5700467,901093,2860.2000000000003,2026-04-23T21:59:14.631Z,bid-extra-60348900035,2026-04-23T23:55:14.039Z
5700597,901403,3495.8,2026-04-23T21:59:14.631Z,bid-extra-60348900045,2026-04-23T23:55:14.039Z
5700727,901713,4131.400000000001,2026-04-23T21:59:14.632Z,bid-extra-60348900055,2026-04-23T23:55:14.039Z
5700857,902023,4767.0,2026-04-23T21:59:14.632Z,bid-extra-60348900065,2026-04-23T23:55:14.039Z
5700987,902333,5402.6,2026-04-23T21:59:14.632Z,bid-extra-60348900075,2026-04-23T23:55:14.039Z
5701117,902643,6038.2,2026-04-23T21:59:14.632Z,bid-extra-60348900085,2026-04-23T23:55:14.039Z
5701247,902953,6673.8,2026-04-23T21:59:14.632Z,bid-extra-60348900095,2026-04-23T23:55:14.039Z
5701377,903263,7309.400000000001,2026-04-23T21:59:14.632Z,bid-extra-60348900105,2026-04-23T23:55:14.039Z
5701507,903573,7945.0,2026-04-23T21:59:14.632Z,bid-extra-60348900115,2026-04-23T23:55:14.039Z
5701637,903883,4040.6,2026-04-23T21:59:14.632Z,bid-extra-60348900125,2026-04-23T23:55:14.039Z
5701767,904193,4676.2,2026-04-23T21:59:14.632Z,bid-extra-60348900135,2026-04-23T23:55:14.039Z
5701897,904503,5311.8,2026-04-23T21:59:14.632Z,bid-extra-60348900145,2026-04-23T23:55:14.039Z
5702027,904813,5947.400000000001,2026-04-23T21:59:14.633Z,bid-extra-60348900155,2026-04-23T23:55:14.039Z
5702157,905123,6583.0,2026-04-23T21:59:14.633Z,bid-extra-60348900165,2026-04-23T23:55:14.039Z
5702287,905433,7218.6,2026-04-23T21:59:14.633Z,bid-extra-60348900175,2026-04-23T23:55:14.039Z
5702417,905743,7854.2,2026-04-23T21:59:14.633Z,bid-extra-60348900185,2026-04-23T23:55:14.039Z
5702547,906053,8489.800000000001,2026-04-23T21:59:14.633Z,bid-extra-60348900195,2026-04-23T23:55:14.039Z
5702677,906363,9125.4,2026-04-23T21:59:14.633Z,bid-extra-60348900205,2026-04-23T23:55:14.039Z
5702807,906673,9761.0,2026-04-23T21:59:14.633Z,bid-extra-60348900215,2026-04-23T23:55:14.039Z
5702937,906983,10396.6,2026-04-23T21:59:14.633Z,bid-extra-60348900225,2026-04-23T23:55:14.039Z
5703067,907293,11032.2,2026-04-23T21:59:14.633Z,bid-extra-60348900235,2026-04-23T23:55:14.039Z
5703197,907603,7127.8,2026-04-23T21:59:14.633Z,bid-extra-60348900245,2026-04-23T23:55:14.039Z
5703327,907913,7763.400000000001,2026-04-23T21:59:14.634Z,bid-extra-60348900255,2026-04-23T23:55:14.039Z
5703457,908223,8399.0,2026-04-23T21:59:14.634Z,bid-extra-60348900265,2026-04-23T23:55:14.039Z
5703587,908533,9034.6,2026-04-23T21:59:14.634Z,bid-extra-60348900275,2026-04-23T23:55:14.039Z
5703717,908843,9670.2,2026-04-23T21:59:14.634Z,bid-extra-60348900285,2026-04-23T23:55:14.039Z
5703847,909153,10305.800000000001,2026-04-23T21:59:14.634Z,bid-extra-60348900295,2026-04-23T23:55:14.039Z
5703977,909463,10941.4,2026-04-23T21:59:14.634Z,bid-extra-60348900305,2026-04-23T23:55:14.039Z
5704107,909773,11577.0,2026-04-23T21:59:14.634Z,bid-extra-60348900315,2026-04-23T23:55:14.039Z
5704237,910083,3223.4,2026-04-23T21:59:14.634Z,bid-extra-60348900325,2026-04-23T23:55:14.039Z
5704367,910393,3859.0,2026-04-23T21:59:14.634Z,bid-extra-60348900335,2026-04-23T23:55:14.039Z
5704497,910703,4494.6,2026-04-23T21:59:14.634Z,bid-extra-60348900345,2026-04-23T23:55:14.039Z
5704627,911013,5130.2,2026-04-23T21:59:14.635Z,bid-extra-60348900355,2026-04-23T23:55:14.039Z
5704757,911323,5765.8,2026-04-23T21:59:14.635Z,bid-extra-60348900365,2026-04-23T23:55:14.039Z
5704887,911633,1861.4,2026-04-23T21:59:14.635Z,bid-extra-60348900375,2026-04-23T23:55:14.039Z
5705017,911943,2497.0,2026-04-23T21:59:14.635Z,bid-extra-60348900385,2026-04-23T23:55:14.039Z
5705147,912253,3132.6,2026-04-23T21:59:14.635Z,bid-extra-60348900395,2026-04-23T23:55:14.039Z
5705277,912563,3768.2000000000003,2026-04-23T21:59:14.635Z,bid-extra-60348900405,2026-04-23T23:55:14.039Z
5705407,912873,4403.8,2026-04-23T21:59:14.635Z,bid-extra-60348900415,2026-04-23T23:55:14.039Z
5705537,913183,5039.400000000001,2026-04-23T21:59:14.635Z,bid-extra-60348900425,2026-04-23T23:55:14.039Z
5705667,913493,5675.0,2026-04-23T21:59:14.635Z,bid-extra-60348900435,2026-04-23T23:55:14.039Z
5705797,913803,6310.6,2026-04-23T21:59:14.635Z,bid-extra-60348900445,2026-04-23T23:55:14.039Z
5705927,914113,6946.2,2026-04-23T21:59:14.636Z,bid-extra-60348900455,2026-04-23T23:55:14.039Z
5706057,914423,7581.8,2026-04-23T21:59:14.636Z,bid-extra-60348900465,2026-04-23T23:55:14.039Z
5706187,914733,8217.4,2026-04-23T21:59:14.636Z,bid-extra-60348900475,2026-04-23T23:55:14.039Z
5706317,915043,8853.0,2026-04-23T21:59:14.636Z,bid-extra-60348900485,2026-04-23T23:55:14.039Z
5706447,915353,4948.6,2026-04-23T21:59:14.636Z,bid-extra-60348900495,2026-04-23T23:55:14.039Z
5706577,915663,5584.2,2026-04-23T21:59:14.636Z,bid-extra-60348900505,2026-04-23T23:55:14.039Z
5706707,915973,6219.8,2026-04-23T21:59:14.636Z,bid-extra-60348900515,2026-04-23T23:55:14.039Z
5706837,916283,6855.400000000001,2026-04-23T21:59:14.636Z,bid-extra-60348900525,2026-04-23T23:55:14.039Z
5706967,916593,7491.0,2026-04-23T21:59:14.636Z,bid-extra-60348900535,2026-04-23T23:55:14.039Z
5707097,916903,8126.6,2026-04-23T21:59:14.636Z,bid-extra-60348900545,2026-04-23T23:55:14.039Z
5707227,917213,8762.2,2026-04-23T21:59:14.637Z,bid-extra-60348900555,2026-04-23T23:55:14.039Z
5707357,917523,9397.800000000001,2026-04-23T21:59:14.637Z,bid-extra-60348900565,2026-04-23T23:55:14.039Z
