auction,bidder,price,dateTime,extra,processed_time
7700077,900163,2497.0,2026-04-23T21:59:54.631Z,bid-extra-60352900005,2026-04-23T23:55:14.039Z
7700207,900473,3132.6,2026-04-23T21:59:54.631Z,bid-extra-60352900015,2026-04-23T23:55:14.039Z
7700337,900783,3768.2000000000003,2026-04-23T21:59:54.631Z,bid-extra-60352900025,2026-04-23T23:55:14.039Z
7700467,901093,4403.8,2026-04-23T21:59:54.631Z,bid-extra-60352900035,2026-04-23T23:55:14.039Z
7700597,901403,5039.400000000001,2026-04-23T21:59:54.631Z,bid-extra-60352900045,2026-04-23T23:55:14.039Z
7700727,901713,5675.0,2026-04-23T21:59:54.632Z,bid-extra-60352900055,2026-04-23T23:55:14.039Z
7700857,902023,6310.6,2026-04-23T21:59:54.632Z,bid-extra-60352900065,2026-04-23T23:55:14.039Z
7700987,902333,6946.2,2026-04-23T21:59:54.632Z,bid-extra-60352900075,2026-04-23T23:55:14.039Z
7701117,902643,7581.8,2026-04-23T21:59:54.632Z,bid-extra-60352900085,2026-04-23T23:55:14.039Z
7701247,902953,8217.4,2026-04-23T21:59:54.632Z,bid-extra-60352900095,2026-04-23T23:55:14.039Z
7701377,903263,8853.0,2026-04-23T21:59:54.632Z,bid-extra-60352900105,2026-04-23T23:55:14.039Z
7701507,903573,9488.6,2026-04-23T21:59:54.632Z,bid-extra-60352900115,2026-04-23T23:55:14.039Z
7701637,903883,5584.2,2026-04-23T21:59:54.632Z,bid-extra-60352900125,2026-04-23T23:55:14.039Z
7701767,904193,6219.8,2026-04-23T21:59:54.632Z,bid-extra-60352900135,2026-04-23T23:55:14.039Z
7701897,904503,6855.400000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900145,2026-04-23T23:55:14.039Z
7702027,904813,7491.0,2026-04-23T21:59:54.633Z,bid-extra-60352900155,2026-04-23T23:55:14.039Z
7702157,905123,8126.6,2026-04-23T21:59:54.633Z,bid-extra-60352900165,2026-04-23T23:55:14.039Z
7702287,905433,8762.2,2026-04-23T21:59:54.633Z,bid-extra-60352900175,2026-04-23T23:55:14.039Z
7702417,905743,9397.800000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900185,2026-04-23T23:55:14.039Z
7702547,906053,10033.4,2026-04-23T21:59:54.633Z,bid-extra-60352900195,2026-04-23T23:55:14.039Z
7702677,906363,10669.0,2026-04-23T21:59:54.633Z,bid-extra-60352900205,2026-04-23T23:55:14.039Z
7702807,906673,11304.6,2026-04-23T21:59:54.633Z,bid-extra-60352900215,2026-04-23T23:55:14.039Z
7702937,906983,11940.2,2026-04-23T21:59:54.633Z,bid-extra-60352900225,2026-04-23T23:55:14.039Z
7703067,907293,12575.800000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900235,2026-04-23T23:55:14.039Z
7703197,907603,8671.4,2026-04-23T21:59:54.633Z,bid-extra-60352900245,2026-04-23T23:55:14.039Z
7703327,907913,9307.0,2026-04-23T21:59:54.634Z,bid-extra-60352900255,2026-04-23T23:55:14.039Z
7703457,908223,953.4,2026-04-23T21:59:54.634Z,bid-extra-60352900265,2026-04-23T23:55:14.039Z
7703587,908533,1589.0,2026-04-23T21:59:54.634Z,bid-extra-60352900275,2026-04-23T23:55:14.039Z
7703717,908843,2224.6,2026-04-23T21:59:54.634Z,bid-extra-60352900285,2026-04-23T23:55:14.039Z
7703847,909153,2860.2000000000003,2026-04-23T21:59:54.634Z,bid-extra-60352900295,2026-04-23T23:55:14.039Z
7703977,909463,3495.8,2026-04-23T21:59:54.634Z,bid-extra-60352900305,2026-04-23T23:55:14.039Z
7704107,909773,4131.400000000001,2026-04-23T21:59:54.634Z,bid-extra-60352900315,2026-04-23T23:55:14.039Z
7704237,910083,4767.0,2026-04-23T21:59:54.634Z,bid-extra-60352900325,2026-04-23T23:55:14.039Z
7704367,910393,5402.6,2026-04-23T21:59:54.634Z,bid-extra-60352900335,2026-04-23T23:55:14.039Z
7704497,910703,6038.2,2026-04-23T21:59:54.634Z,bid-extra-60352900345,2026-04-23T23:55:14.039Z
7704627,911013,6673.8,2026-04-23T21:59:54.635Z,bid-extra-60352900355,2026-04-23T23:55:14.039Z
7704757,911323,7309.400000000001,2026-04-23T21:59:54.635Z,bid-extra-60352900365,2026-04-23T23:55:14.039Z
7704887,911633,3405.0,2026-04-23T21:59:54.635Z,bid-extra-60352900375,2026-04-23T23:55:14.039Z
7705017,911943,4040.6,2026-04-23T21:59:54.635Z,bid-extra-60352900385,2026-04-23T23:55:14.039Z
7705147,912253,4676.2,2026-04-23T21:59:54.635Z,bid-extra-60352900395,2026-04-23T23:55:14.039Z
7705277,912563,5311.8,2026-04-23T21:59:54.635Z,bid-extra-60352900405,2026-04-23T23:55:14.039Z
7705407,912873,5947.400000000001,2026-04-23T21:59:54.635Z,bid-extra-60352900415,2026-04-23T23:55:14.039Z
7705537,913183,6583.0,2026-04-23T21:59:54.635Z,bid-extra-60352900425,2026-04-23T23:55:14.039Z
7705667,913493,7218.6,2026-04-23T21:59:54.635Z,bid-extra-60352900435,2026-04-23T23:55:14.039Z
7705797,913803,7854.2,2026-04-23T21:59:54.635Z,bid-extra-60352900445,2026-04-23T23:55:14.039Z
7705927,914113,8489.800000000001,2026-04-23T21:59:54.636Z,bid-extra-60352900455,2026-04-23T23:55:14.039Z
7706057,914423,9125.4,2026-04-23T21:59:54.636Z,bid-extra-60352900465,2026-04-23T23:55:14.039Z
7706187,914733,9761.0,2026-04-23T21:59:54.636Z,bid-extra-60352900475,2026-04-23T23:55:14.039Z
7706317,915043,10396.6,2026-04-23T21:59:54.636Z,bid-extra-60352900485,2026-04-23T23:55:14.039Z
7706447,915353,6492.2,2026-04-23T21:59:54.636Z,bid-extra-60352900495,2026-04-23T23:55:14.039Z
7706577,915663,7127.8,2026-04-23T21:59:54.636Z,bid-extra-60352900505,2026-04-23T23:55:14.039Z
7706707,915973,7763.400000000001,2026-04-23T21:59:54.636Z,bid-extra-60352900515,2026-04-23T23:55:14.039Z
7706837,916283,8399.0,2026-04-23T21:59:54.636Z,bid-extra-60352900525,2026-04-23T23:55:14.039Z
7706967,916593,9034.6,2026-04-23T21:59:54.636Z,bid-extra-60352900535,2026-04-23T23:55:14.039Z
7707097,916903,9670.2,2026-04-23T21:59:54.636Z,bid-extra-60352900545,2026-04-23T23:55:14.039Z
7707227,917213,10305.800000000001,2026-04-23T21:59:54.637Z,bid-extra-60352900555,2026-04-23T23:55:14.039Z
7707357,917523,10941.4,2026-04-23T21:59:54.637Z,bid-extra-60352900565,2026-04-23T23:55:14.039Z
7707487,917833,11577.0,2026-04-23T21:59:54.637Z,bid-extra-60352900575,2026-04-23T23:55:14.039Z
7707617,918143,12212.6,2026-04-23T21:59:54.637Z,bid-extra-60352900585,2026-04-23T23:55:14.039Z
7707747,918453,12848.2,2026-04-23T21:59:54.637Z,bid-extra-60352900595,2026-04-23T23:55:14.039Z
7707877,918763,4494.6,2026-04-23T21:59:54.637Z,bid-extra-60352900605,2026-04-23T23:55:14.039Z
7708007,919073,590.2,2026-04-23T21:59:54.637Z,bid-extra-60352900615,2026-04-23T23:55:14.039Z
7708137,919383,1225.8,2026-04-23T21:59:54.637Z,bid-extra-60352900625,2026-04-23T23:55:14.039Z
7708267,919693,1861.4,2026-04-23T21:59:54.637Z,bid-extra-60352900635,2026-04-23T23:55:14.039Z
7708397,920003,2497.0,2026-04-23T21:59:54.637Z,bid-extra-60352900645,2026-04-23T23:55:14.039Z
7708527,920313,3132.6,2026-04-23T21:59:54.638Z,bid-extra-60352900655,2026-04-23T23:55:14.039Z
7708657,920623,3768.2000000000003,2026-04-23T21:59:54.638Z,bid-extra-60352900665,2026-04-23T23:55:14.039Z
7708787,920933,4403.8,2026-04-23T21:59:54.638Z,bid-extra-60352900675,2026-04-23T23:55:14.039Z
7708917,921243,5039.400000000001,2026-04-23T21:59:54.638Z,bid-extra-60352900685,2026-04-23T23:55:14.039Z
7709047,921553,5675.0,2026-04-23T21:59:54.638Z,bid-extra-60352900695,2026-04-23T23:55:14.039Z
7709177,921863,6310.6,2026-04-23T21:59:54.638Z,bid-extra-60352900705,2026-04-23T23:55:14.039Z
7709307,922173,6946.2,2026-04-23T21:59:54.638Z,bid-extra-60352900715,2026-04-23T23:55:14.039Z
7709437,922483,7581.8,2026-04-23T21:59:54.638Z,bid-extra-60352900725,2026-04-23T23:55:14.039Z
7709567,922793,3677.4,2026-04-23T21:59:54.638Z,bid-extra-60352900735,2026-04-23T23:55:14.039Z
7709697,923103,4313.0,2026-04-23T21:59:54.638Z,bid-extra-60352900745,2026-04-23T23:55:14.039Z
