auction,bidder,price,dateTime,extra,processed_time
7700077,900163,1861.4,2026-04-23T22:01:34.631Z,bid-extra-60362900005,2026-04-23T23:55:14.039Z
7700207,900473,2497.0,2026-04-23T22:01:34.631Z,bid-extra-60362900015,2026-04-23T23:55:14.039Z
7700337,900783,3132.6,2026-04-23T22:01:34.631Z,bid-extra-60362900025,2026-04-23T23:55:14.039Z
7700467,901093,3768.2000000000003,2026-04-23T22:01:34.631Z,bid-extra-60362900035,2026-04-23T23:55:14.039Z
7700597,901403,4403.8,2026-04-23T22:01:34.631Z,bid-extra-60362900045,2026-04-23T23:55:14.039Z
7700727,901713,5039.400000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900055,2026-04-23T23:55:14.039Z
7700857,902023,5675.0,2026-04-23T22:01:34.632Z,bid-extra-60362900065,2026-04-23T23:55:14.039Z
7700987,902333,6310.6,2026-04-23T22:01:34.632Z,bid-extra-60362900075,2026-04-23T23:55:14.039Z
7701117,902643,6946.2,2026-04-23T22:01:34.632Z,bid-extra-60362900085,2026-04-23T23:55:14.039Z
7701247,902953,7581.8,2026-04-23T22:01:34.632Z,bid-extra-60362900095,2026-04-23T23:55:14.039Z
7701377,903263,8217.4,2026-04-23T22:01:34.632Z,bid-extra-60362900105,2026-04-23T23:55:14.039Z
7701507,903573,8853.0,2026-04-23T22:01:34.632Z,bid-extra-60362900115,2026-04-23T23:55:14.039Z
7701637,903883,4948.6,2026-04-23T22:01:34.632Z,bid-extra-60362900125,2026-04-23T23:55:14.039Z
7701767,904193,5584.2,2026-04-23T22:01:34.632Z,bid-extra-60362900135,2026-04-23T23:55:14.039Z
7701897,904503,6219.8,2026-04-23T22:01:34.632Z,bid-extra-60362900145,2026-04-23T23:55:14.039Z
7702027,904813,6855.400000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900155,2026-04-23T23:55:14.039Z
7702157,905123,7491.0,2026-04-23T22:01:34.633Z,bid-extra-60362900165,2026-04-23T23:55:14.039Z
7702287,905433,8126.6,2026-04-23T22:01:34.633Z,bid-extra-60362900175,2026-04-23T23:55:14.039Z
7702417,905743,8762.2,2026-04-23T22:01:34.633Z,bid-extra-60362900185,2026-04-23T23:55:14.039Z
7702547,906053,9397.800000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900195,2026-04-23T23:55:14.039Z
7702677,906363,10033.4,2026-04-23T22:01:34.633Z,bid-extra-60362900205,2026-04-23T23:55:14.039Z
7702807,906673,10669.0,2026-04-23T22:01:34.633Z,bid-extra-60362900215,2026-04-23T23:55:14.039Z
7702937,906983,11304.6,2026-04-23T22:01:34.633Z,bid-extra-60362900225,2026-04-23T23:55:14.039Z
7703067,907293,11940.2,2026-04-23T22:01:34.633Z,bid-extra-60362900235,2026-04-23T23:55:14.039Z
7703197,907603,8035.8,2026-04-23T22:01:34.633Z,bid-extra-60362900245,2026-04-23T23:55:14.039Z
7703327,907913,8671.4,2026-04-23T22:01:34.634Z,bid-extra-60362900255,2026-04-23T23:55:14.039Z
7703457,908223,9307.0,2026-04-23T22:01:34.634Z,bid-extra-60362900265,2026-04-23T23:55:14.039Z
7703587,908533,9942.6,2026-04-23T22:01:34.634Z,bid-extra-60362900275,2026-04-23T23:55:14.039Z
7703717,908843,10578.2,2026-04-23T22:01:34.634Z,bid-extra-60362900285,2026-04-23T23:55:14.039Z
7703847,909153,2224.6,2026-04-23T22:01:34.634Z,bid-extra-60362900295,2026-04-23T23:55:14.039Z
7703977,909463,2860.2000000000003,2026-04-23T22:01:34.634Z,bid-extra-60362900305,2026-04-23T23:55:14.039Z
7704107,909773,3495.8,2026-04-23T22:01:34.634Z,bid-extra-60362900315,2026-04-23T23:55:14.039Z
7704237,910083,4131.400000000001,2026-04-23T22:01:34.634Z,bid-extra-60362900325,2026-04-23T23:55:14.039Z
7704367,910393,4767.0,2026-04-23T22:01:34.634Z,bid-extra-60362900335,2026-04-23T23:55:14.039Z
7704497,910703,5402.6,2026-04-23T22:01:34.634Z,bid-extra-60362900345,2026-04-23T23:55:14.039Z
7704627,911013,6038.2,2026-04-23T22:01:34.635Z,bid-extra-60362900355,2026-04-23T23:55:14.039Z
7704757,911323,6673.8,2026-04-23T22:01:34.635Z,bid-extra-60362900365,2026-04-23T23:55:14.039Z
7704887,911633,2769.4,2026-04-23T22:01:34.635Z,bid-extra-60362900375,2026-04-23T23:55:14.039Z
7705017,911943,3405.0,2026-04-23T22:01:34.635Z,bid-extra-60362900385,2026-04-23T23:55:14.039Z
7705147,912253,4040.6,2026-04-23T22:01:34.635Z,bid-extra-60362900395,2026-04-23T23:55:14.039Z
7705277,912563,4676.2,2026-04-23T22:01:34.635Z,bid-extra-60362900405,2026-04-23T23:55:14.039Z
7705407,912873,5311.8,2026-04-23T22:01:34.635Z,bid-extra-60362900415,2026-04-23T23:55:14.039Z
7705537,913183,5947.400000000001,2026-04-23T22:01:34.635Z,bid-extra-60362900425,2026-04-23T23:55:14.039Z
7705667,913493,6583.0,2026-04-23T22:01:34.635Z,bid-extra-60362900435,2026-04-23T23:55:14.039Z
7705797,913803,7218.6,2026-04-23T22:01:34.635Z,bid-extra-60362900445,2026-04-23T23:55:14.039Z
7705927,914113,7854.2,2026-04-23T22:01:34.636Z,bid-extra-60362900455,2026-04-23T23:55:14.039Z
7706057,914423,8489.800000000001,2026-04-23T22:01:34.636Z,bid-extra-60362900465,2026-04-23T23:55:14.039Z
7706187,914733,9125.4,2026-04-23T22:01:34.636Z,bid-extra-60362900475,2026-04-23T23:55:14.039Z
7706317,915043,9761.0,2026-04-23T22:01:34.636Z,bid-extra-60362900485,2026-04-23T23:55:14.039Z
7706447,915353,5856.6,2026-04-23T22:01:34.636Z,bid-extra-60362900495,2026-04-23T23:55:14.039Z
7706577,915663,6492.2,2026-04-23T22:01:34.636Z,bid-extra-60362900505,2026-04-23T23:55:14.039Z
7706707,915973,7127.8,2026-04-23T22:01:34.636Z,bid-extra-60362900515,2026-04-23T23:55:14.039Z
7706837,916283,7763.400000000001,2026-04-23T22:01:34.636Z,bid-extra-60362900525,2026-04-23T23:55:14.039Z
7706967,916593,8399.0,2026-04-23T22:01:34.636Z,bid-extra-60362900535,2026-04-23T23:55:14.039Z
7707097,916903,9034.6,2026-04-23T22:01:34.636Z,bid-extra-60362900545,2026-04-23T23:55:14.039Z
7707227,917213,9670.2,2026-04-23T22:01:34.637Z,bid-extra-60362900555,2026-04-23T23:55:14.039Z
7707357,917523,10305.800000000001,2026-04-23T22:01:34.637Z,bid-extra-60362900565,2026-04-23T23:55:14.039Z
7707487,917833,10941.4,2026-04-23T22:01:34.637Z,bid-extra-60362900575,2026-04-23T23:55:14.039Z
7707617,918143,11577.0,2026-04-23T22:01:34.637Z,bid-extra-60362900585,2026-04-23T23:55:14.039Z
7707747,918453,12212.6,2026-04-23T22:01:34.637Z,bid-extra-60362900595,2026-04-23T23:55:14.039Z
7707877,918763,12848.2,2026-04-23T22:01:34.637Z,bid-extra-60362900605,2026-04-23T23:55:14.039Z
7708007,919073,8943.800000000001,2026-04-23T22:01:34.637Z,bid-extra-60362900615,2026-04-23T23:55:14.039Z
7708137,919383,9579.4,2026-04-23T22:01:34.637Z,bid-extra-60362900625,2026-04-23T23:55:14.039Z
7708267,919693,1225.8,2026-04-23T22:01:34.637Z,bid-extra-60362900635,2026-04-23T23:55:14.039Z
7708397,920003,1861.4,2026-04-23T22:01:34.637Z,bid-extra-60362900645,2026-04-23T23:55:14.039Z
7708527,920313,2497.0,2026-04-23T22:01:34.638Z,bid-extra-60362900655,2026-04-23T23:55:14.039Z
7708657,920623,3132.6,2026-04-23T22:01:34.638Z,bid-extra-60362900665,2026-04-23T23:55:14.039Z
7708787,920933,3768.2000000000003,2026-04-23T22:01:34.638Z,bid-extra-60362900675,2026-04-23T23:55:14.039Z
7708917,921243,4403.8,2026-04-23T22:01:34.638Z,bid-extra-60362900685,2026-04-23T23:55:14.039Z
7709047,921553,5039.400000000001,2026-04-23T22:01:34.638Z,bid-extra-60362900695,2026-04-23T23:55:14.039Z
7709177,921863,5675.0,2026-04-23T22:01:34.638Z,bid-extra-60362900705,2026-04-23T23:55:14.039Z
7709307,922173,6310.6,2026-04-23T22:01:34.638Z,bid-extra-60362900715,2026-04-23T23:55:14.039Z
7709437,922483,6946.2,2026-04-23T22:01:34.638Z,bid-extra-60362900725,2026-04-23T23:55:14.039Z
7709567,922793,3041.8,2026-04-23T22:01:34.638Z,bid-extra-60362900735,2026-04-23T23:55:14.039Z
7709697,923103,3677.4,2026-04-23T22:01:34.638Z,bid-extra-60362900745,2026-04-23T23:55:14.039Z
7709827,923413,4313.0,2026-04-23T22:01:34.639Z,bid-extra-60362900755,2026-04-23T23:55:14.039Z
7709957,923723,4948.6,2026-04-23T22:01:34.639Z,bid-extra-60362900765,2026-04-23T23:55:14.039Z
7710087,924033,5584.2,2026-04-23T22:01:34.639Z,bid-extra-60362900775,2026-04-23T23:55:14.039Z
7710217,924343,6219.8,2026-04-23T22:01:34.639Z,bid-extra-60362900785,2026-04-23T23:55:14.039Z
7710347,924653,6855.400000000001,2026-04-23T22:01:34.639Z,bid-extra-60362900795,2026-04-23T23:55:14.039Z
7710477,924963,7491.0,2026-04-23T22:01:34.639Z,bid-extra-60362900805,2026-04-23T23:55:14.039Z
7710607,925273,8126.6,2026-04-23T22:01:34.639Z,bid-extra-60362900815,2026-04-23T23:55:14.039Z
7710737,925583,8762.2,2026-04-23T22:01:34.639Z,bid-extra-60362900825,2026-04-23T23:55:14.039Z
7710867,925893,9397.800000000001,2026-04-23T22:01:34.639Z,bid-extra-60362900835,2026-04-23T23:55:14.039Z
7710997,926203,10033.4,2026-04-23T22:01:34.639Z,bid-extra-60362900845,2026-04-23T23:55:14.039Z
7711127,926513,6129.0,2026-04-23T22:01:34.640Z,bid-extra-60362900855,2026-04-23T23:55:14.039Z
7711257,926823,6764.6,2026-04-23T22:01:34.640Z,bid-extra-60362900865,2026-04-23T23:55:14.039Z
7711387,927133,7400.2,2026-04-23T22:01:34.640Z,bid-extra-60362900875,2026-04-23T23:55:14.039Z
7711517,927443,8035.8,2026-04-23T22:01:34.640Z,bid-extra-60362900885,2026-04-23T23:55:14.039Z
7711647,927753,8671.4,2026-04-23T22:01:34.640Z,bid-extra-60362900895,2026-04-23T23:55:14.039Z
7711777,928063,9307.0,2026-04-23T22:01:34.640Z,bid-extra-60362900905,2026-04-23T23:55:14.039Z
7711907,928373,9942.6,2026-04-23T22:01:34.640Z,bid-extra-60362900915,2026-04-23T23:55:14.039Z
7712037,928683,10578.2,2026-04-23T22:01:34.640Z,bid-extra-60362900925,2026-04-23T23:55:14.039Z
7712167,928993,11213.800000000001,2026-04-23T22:01:34.640Z,bid-extra-60362900935,2026-04-23T23:55:14.039Z
7712297,929303,11849.4,2026-04-23T22:01:34.640Z,bid-extra-60362900945,2026-04-23T23:55:14.039Z
