auction,bidder,price,dateTime,extra,processed_time
9700077,900163,4040.6,2026-04-23T22:00:34.631Z,bid-extra-60356900005,2026-04-23T23:55:14.039Z
9700207,900473,4676.2,2026-04-23T22:00:34.631Z,bid-extra-60356900015,2026-04-23T23:55:14.039Z
9700337,900783,5311.8,2026-04-23T22:00:34.631Z,bid-extra-60356900025,2026-04-23T23:55:14.039Z
9700467,901093,5947.400000000001,2026-04-23T22:00:34.631Z,bid-extra-60356900035,2026-04-23T23:55:14.039Z
9700597,901403,6583.0,2026-04-23T22:00:34.631Z,bid-extra-60356900045,2026-04-23T23:55:14.039Z
9700727,901713,7218.6,2026-04-23T22:00:34.632Z,bid-extra-60356900055,2026-04-23T23:55:14.039Z
9700857,902023,7854.2,2026-04-23T22:00:34.632Z,bid-extra-60356900065,2026-04-23T23:55:14.039Z
9700987,902333,8489.800000000001,2026-04-23T22:00:34.632Z,bid-extra-60356900075,2026-04-23T23:55:14.039Z
9701117,902643,9125.4,2026-04-23T22:00:34.632Z,bid-extra-60356900085,2026-04-23T23:55:14.039Z
9701247,902953,9761.0,2026-04-23T22:00:34.632Z,bid-extra-60356900095,2026-04-23T23:55:14.039Z
9701377,903263,10396.6,2026-04-23T22:00:34.632Z,bid-extra-60356900105,2026-04-23T23:55:14.039Z
9701507,903573,11032.2,2026-04-23T22:00:34.632Z,bid-extra-60356900115,2026-04-23T23:55:14.039Z
9701637,903883,7127.8,2026-04-23T22:00:34.632Z,bid-extra-60356900125,2026-04-23T23:55:14.039Z
9701767,904193,7763.400000000001,2026-04-23T22:00:34.632Z,bid-extra-60356900135,2026-04-23T23:55:14.039Z
9701897,904503,8399.0,2026-04-23T22:00:34.632Z,bid-extra-60356900145,2026-04-23T23:55:14.039Z
9702027,904813,9034.6,2026-04-23T22:00:34.633Z,bid-extra-60356900155,2026-04-23T23:55:14.039Z
9702157,905123,9670.2,2026-04-23T22:00:34.633Z,bid-extra-60356900165,2026-04-23T23:55:14.039Z
9702287,905433,10305.800000000001,2026-04-23T22:00:34.633Z,bid-extra-60356900175,2026-04-23T23:55:14.039Z
9702417,905743,10941.4,2026-04-23T22:00:34.633Z,bid-extra-60356900185,2026-04-23T23:55:14.039Z
9702547,906053,11577.0,2026-04-23T22:00:34.633Z,bid-extra-60356900195,2026-04-23T23:55:14.039Z
9702677,906363,3223.4,2026-04-23T22:00:34.633Z,bid-extra-60356900205,2026-04-23T23:55:14.039Z
9702807,906673,3859.0,2026-04-23T22:00:34.633Z,bid-extra-60356900215,2026-04-23T23:55:14.039Z
9702937,906983,4494.6,2026-04-23T22:00:34.633Z,bid-extra-60356900225,2026-04-23T23:55:14.039Z
9703067,907293,5130.2,2026-04-23T22:00:34.633Z,bid-extra-60356900235,2026-04-23T23:55:14.039Z
9703197,907603,1225.8,2026-04-23T22:00:34.633Z,bid-extra-60356900245,2026-04-23T23:55:14.039Z
9703327,907913,1861.4,2026-04-23T22:00:34.634Z,bid-extra-60356900255,2026-04-23T23:55:14.039Z
9703457,908223,2497.0,2026-04-23T22:00:34.634Z,bid-extra-60356900265,2026-04-23T23:55:14.039Z
9703587,908533,3132.6,2026-04-23T22:00:34.634Z,bid-extra-60356900275,2026-04-23T23:55:14.039Z
9703717,908843,3768.2000000000003,2026-04-23T22:00:34.634Z,bid-extra-60356900285,2026-04-23T23:55:14.039Z
9703847,909153,4403.8,2026-04-23T22:00:34.634Z,bid-extra-60356900295,2026-04-23T23:55:14.039Z
9703977,909463,5039.400000000001,2026-04-23T22:00:34.634Z,bid-extra-60356900305,2026-04-23T23:55:14.039Z
9704107,909773,5675.0,2026-04-23T22:00:34.634Z,bid-extra-60356900315,2026-04-23T23:55:14.039Z
9704237,910083,6310.6,2026-04-23T22:00:34.634Z,bid-extra-60356900325,2026-04-23T23:55:14.039Z
9704367,910393,6946.2,2026-04-23T22:00:34.634Z,bid-extra-60356900335,2026-04-23T23:55:14.039Z
9704497,910703,7581.8,2026-04-23T22:00:34.634Z,bid-extra-60356900345,2026-04-23T23:55:14.039Z
9704627,911013,8217.4,2026-04-23T22:00:34.635Z,bid-extra-60356900355,2026-04-23T23:55:14.039Z
9704757,911323,8853.0,2026-04-23T22:00:34.635Z,bid-extra-60356900365,2026-04-23T23:55:14.039Z
9704887,911633,4948.6,2026-04-23T22:00:34.635Z,bid-extra-60356900375,2026-04-23T23:55:14.039Z
9705017,911943,5584.2,2026-04-23T22:00:34.635Z,bid-extra-60356900385,2026-04-23T23:55:14.039Z
9705147,912253,6219.8,2026-04-23T22:00:34.635Z,bid-extra-60356900395,2026-04-23T23:55:14.039Z
9705277,912563,6855.400000000001,2026-04-23T22:00:34.635Z,bid-extra-60356900405,2026-04-23T23:55:14.039Z
9705407,912873,7491.0,2026-04-23T22:00:34.635Z,bid-extra-60356900415,2026-04-23T23:55:14.039Z
9705537,913183,8126.6,2026-04-23T22:00:34.635Z,bid-extra-60356900425,2026-04-23T23:55:14.039Z
9705667,913493,8762.2,2026-04-23T22:00:34.635Z,bid-extra-60356900435,2026-04-23T23:55:14.039Z
9705797,913803,9397.800000000001,2026-04-23T22:00:34.635Z,bid-extra-60356900445,2026-04-23T23:55:14.039Z
9705927,914113,10033.4,2026-04-23T22:00:34.636Z,bid-extra-60356900455,2026-04-23T23:55:14.039Z
9706057,914423,10669.0,2026-04-23T22:00:34.636Z,bid-extra-60356900465,2026-04-23T23:55:14.039Z
9706187,914733,11304.6,2026-04-23T22:00:34.636Z,bid-extra-60356900475,2026-04-23T23:55:14.039Z
9706317,915043,11940.2,2026-04-23T22:00:34.636Z,bid-extra-60356900485,2026-04-23T23:55:14.039Z
9706447,915353,8035.8,2026-04-23T22:00:34.636Z,bid-extra-60356900495,2026-04-23T23:55:14.039Z
9706577,915663,8671.4,2026-04-23T22:00:34.636Z,bid-extra-60356900505,2026-04-23T23:55:14.039Z
9706707,915973,9307.0,2026-04-23T22:00:34.636Z,bid-extra-60356900515,2026-04-23T23:55:14.039Z
9706837,916283,9942.6,2026-04-23T22:00:34.636Z,bid-extra-60356900525,2026-04-23T23:55:14.039Z
9706967,916593,10578.2,2026-04-23T22:00:34.636Z,bid-extra-60356900535,2026-04-23T23:55:14.039Z
9707097,916903,2224.6,2026-04-23T22:00:34.636Z,bid-extra-60356900545,2026-04-23T23:55:14.039Z
9707227,917213,2860.2000000000003,2026-04-23T22:00:34.637Z,bid-extra-60356900555,2026-04-23T23:55:14.039Z
9707357,917523,3495.8,2026-04-23T22:00:34.637Z,bid-extra-60356900565,2026-04-23T23:55:14.039Z
9707487,917833,4131.400000000001,2026-04-23T22:00:34.637Z,bid-extra-60356900575,2026-04-23T23:55:14.039Z
9707617,918143,4767.0,2026-04-23T22:00:34.637Z,bid-extra-60356900585,2026-04-23T23:55:14.039Z
9707747,918453,5402.6,2026-04-23T22:00:34.637Z,bid-extra-60356900595,2026-04-23T23:55:14.039Z
9707877,918763,6038.2,2026-04-23T22:00:34.637Z,bid-extra-60356900605,2026-04-23T23:55:14.039Z
9708007,919073,2133.8,2026-04-23T22:00:34.637Z,bid-extra-60356900615,2026-04-23T23:55:14.039Z
9708137,919383,2769.4,2026-04-23T22:00:34.637Z,bid-extra-60356900625,2026-04-23T23:55:14.039Z
9708267,919693,3405.0,2026-04-23T22:00:34.637Z,bid-extra-60356900635,2026-04-23T23:55:14.039Z
9708397,920003,4040.6,2026-04-23T22:00:34.637Z,bid-extra-60356900645,2026-04-23T23:55:14.039Z
9708527,920313,4676.2,2026-04-23T22:00:34.638Z,bid-extra-60356900655,2026-04-23T23:55:14.039Z
9708657,920623,5311.8,2026-04-23T22:00:34.638Z,bid-extra-60356900665,2026-04-23T23:55:14.039Z
9708787,920933,5947.400000000001,2026-04-23T22:00:34.638Z,bid-extra-60356900675,2026-04-23T23:55:14.039Z
9708917,921243,6583.0,2026-04-23T22:00:34.638Z,bid-extra-60356900685,2026-04-23T23:55:14.039Z
9709047,921553,7218.6,2026-04-23T22:00:34.638Z,bid-extra-60356900695,2026-04-23T23:55:14.039Z
9709177,921863,7854.2,2026-04-23T22:00:34.638Z,bid-extra-60356900705,2026-04-23T23:55:14.039Z
9709307,922173,8489.800000000001,2026-04-23T22:00:34.638Z,bid-extra-60356900715,2026-04-23T23:55:14.039Z
9709437,922483,9125.4,2026-04-23T22:00:34.638Z,bid-extra-60356900725,2026-04-23T23:55:14.039Z
9709567,922793,5221.0,2026-04-23T22:00:34.638Z,bid-extra-60356900735,2026-04-23T23:55:14.039Z
9709697,923103,5856.6,2026-04-23T22:00:34.638Z,bid-extra-60356900745,2026-04-23T23:55:14.039Z
9709827,923413,6492.2,2026-04-23T22:00:34.639Z,bid-extra-60356900755,2026-04-23T23:55:14.039Z
9709957,923723,7127.8,2026-04-23T22:00:34.639Z,bid-extra-60356900765,2026-04-23T23:55:14.039Z
9710087,924033,7763.400000000001,2026-04-23T22:00:34.639Z,bid-extra-60356900775,2026-04-23T23:55:14.039Z
9710217,924343,8399.0,2026-04-23T22:00:34.639Z,bid-extra-60356900785,2026-04-23T23:55:14.039Z
9710347,924653,9034.6,2026-04-23T22:00:34.639Z,bid-extra-60356900795,2026-04-23T23:55:14.039Z
9710477,924963,9670.2,2026-04-23T22:00:34.639Z,bid-extra-60356900805,2026-04-23T23:55:14.039Z
9710607,925273,10305.800000000001,2026-04-23T22:00:34.639Z,bid-extra-60356900815,2026-04-23T23:55:14.039Z
9710737,925583,10941.4,2026-04-23T22:00:34.639Z,bid-extra-60356900825,2026-04-23T23:55:14.039Z
9710867,925893,11577.0,2026-04-23T22:00:34.639Z,bid-extra-60356900835,2026-04-23T23:55:14.039Z
9710997,926203,12212.6,2026-04-23T22:00:34.639Z,bid-extra-60356900845,2026-04-23T23:55:14.039Z
9711127,926513,8308.2,2026-04-23T22:00:34.640Z,bid-extra-60356900855,2026-04-23T23:55:14.039Z
9711257,926823,8943.800000000001,2026-04-23T22:00:34.640Z,bid-extra-60356900865,2026-04-23T23:55:14.039Z
9711387,927133,9579.4,2026-04-23T22:00:34.640Z,bid-extra-60356900875,2026-04-23T23:55:14.039Z
9711517,927443,10215.0,2026-04-23T22:00:34.640Z,bid-extra-60356900885,2026-04-23T23:55:14.039Z
9711647,927753,1861.4,2026-04-23T22:00:34.640Z,bid-extra-60356900895,2026-04-23T23:55:14.039Z
9711777,928063,2497.0,2026-04-23T22:00:34.640Z,bid-extra-60356900905,2026-04-23T23:55:14.039Z
9711907,928373,3132.6,2026-04-23T22:00:34.640Z,bid-extra-60356900915,2026-04-23T23:55:14.039Z
9712037,928683,3768.2000000000003,2026-04-23T22:00:34.640Z,bid-extra-60356900925,2026-04-23T23:55:14.039Z
9712167,928993,4403.8,2026-04-23T22:00:34.640Z,bid-extra-60356900935,2026-04-23T23:55:14.039Z
9712297,929303,5039.400000000001,2026-04-23T22:00:34.640Z,bid-extra-60356900945,2026-04-23T23:55:14.039Z
9712427,929613,5675.0,2026-04-23T22:00:34.641Z,bid-extra-60356900955,2026-04-23T23:55:14.039Z
9712557,929923,6310.6,2026-04-23T22:00:34.641Z,bid-extra-60356900965,2026-04-23T23:55:14.039Z
9712687,930233,6946.2,2026-04-23T22:00:34.641Z,bid-extra-60356900975,2026-04-23T23:55:14.039Z
9712817,930543,3041.8,2026-04-23T22:00:34.641Z,bid-extra-60356900985,2026-04-23T23:55:14.039Z
9712947,930853,3677.4,2026-04-23T22:00:34.641Z,bid-extra-60356900995,2026-04-23T23:55:14.039Z
9713077,931163,4313.0,2026-04-23T22:00:34.641Z,bid-extra-60356901005,2026-04-23T23:55:14.039Z
9713207,931473,4948.6,2026-04-23T22:00:34.641Z,bid-extra-60356901015,2026-04-23T23:55:14.039Z
