auction,bidder,price,dateTime,extra,processed_time
1700077,900163,4948.6,2026-04-23T22:02:54.631Z,bid-extra-60370900005,2026-04-23T23:55:14.039Z
1700207,900473,5584.2,2026-04-23T22:02:54.631Z,bid-extra-60370900015,2026-04-23T23:55:14.039Z
1700337,900783,6219.8,2026-04-23T22:02:54.631Z,bid-extra-60370900025,2026-04-23T23:55:14.039Z
1700467,901093,6855.400000000001,2026-04-23T22:02:54.631Z,bid-extra-60370900035,2026-04-23T23:55:14.039Z
1700597,901403,7491.0,2026-04-23T22:02:54.631Z,bid-extra-60370900045,2026-04-23T23:55:14.039Z
1700727,901713,8126.6,2026-04-23T22:02:54.632Z,bid-extra-60370900055,2026-04-23T23:55:14.039Z
1700857,902023,8762.2,2026-04-23T22:02:54.632Z,bid-extra-60370900065,2026-04-23T23:55:14.039Z
1700987,902333,9397.800000000001,2026-04-23T22:02:54.632Z,bid-extra-60370900075,2026-04-23T23:55:14.039Z
1701117,902643,10033.4,2026-04-23T22:02:54.632Z,bid-extra-60370900085,2026-04-23T23:55:14.039Z
1701247,902953,10669.0,2026-04-23T22:02:54.632Z,bid-extra-60370900095,2026-04-23T23:55:14.039Z
1701377,903263,11304.6,2026-04-23T22:02:54.632Z,bid-extra-60370900105,2026-04-23T23:55:14.039Z
1701507,903573,11940.2,2026-04-23T22:02:54.632Z,bid-extra-60370900115,2026-04-23T23:55:14.039Z
1701637,903883,8035.8,2026-04-23T22:02:54.632Z,bid-extra-60370900125,2026-04-23T23:55:14.039Z
1701767,904193,8671.4,2026-04-23T22:02:54.632Z,bid-extra-60370900135,2026-04-23T23:55:14.039Z
1701897,904503,9307.0,2026-04-23T22:02:54.632Z,bid-extra-60370900145,2026-04-23T23:55:14.039Z
1702027,904813,9942.6,2026-04-23T22:02:54.633Z,bid-extra-60370900155,2026-04-23T23:55:14.039Z
1702157,905123,10578.2,2026-04-23T22:02:54.633Z,bid-extra-60370900165,2026-04-23T23:55:14.039Z
1702287,905433,2224.6,2026-04-23T22:02:54.633Z,bid-extra-60370900175,2026-04-23T23:55:14.039Z
1702417,905743,2860.2000000000003,2026-04-23T22:02:54.633Z,bid-extra-60370900185,2026-04-23T23:55:14.039Z
1702547,906053,3495.8,2026-04-23T22:02:54.633Z,bid-extra-60370900195,2026-04-23T23:55:14.039Z
1702677,906363,4131.400000000001,2026-04-23T22:02:54.633Z,bid-extra-60370900205,2026-04-23T23:55:14.039Z
1702807,906673,4767.0,2026-04-23T22:02:54.633Z,bid-extra-60370900215,2026-04-23T23:55:14.039Z
1702937,906983,5402.6,2026-04-23T22:02:54.633Z,bid-extra-60370900225,2026-04-23T23:55:14.039Z
1703067,907293,6038.2,2026-04-23T22:02:54.633Z,bid-extra-60370900235,2026-04-23T23:55:14.039Z
1703197,907603,2133.8,2026-04-23T22:02:54.633Z,bid-extra-60370900245,2026-04-23T23:55:14.039Z
1703327,907913,2769.4,2026-04-23T22:02:54.634Z,bid-extra-60370900255,2026-04-23T23:55:14.039Z
1703457,908223,3405.0,2026-04-23T22:02:54.634Z,bid-extra-60370900265,2026-04-23T23:55:14.039Z
1703587,908533,4040.6,2026-04-23T22:02:54.634Z,bid-extra-60370900275,2026-04-23T23:55:14.039Z
1703717,908843,4676.2,2026-04-23T22:02:54.634Z,bid-extra-60370900285,2026-04-23T23:55:14.039Z
1703847,909153,5311.8,2026-04-23T22:02:54.634Z,bid-extra-60370900295,2026-04-23T23:55:14.039Z
1703977,909463,5947.400000000001,2026-04-23T22:02:54.634Z,bid-extra-60370900305,2026-04-23T23:55:14.039Z
1704107,909773,6583.0,2026-04-23T22:02:54.634Z,bid-extra-60370900315,2026-04-23T23:55:14.039Z
1704237,910083,7218.6,2026-04-23T22:02:54.634Z,bid-extra-60370900325,2026-04-23T23:55:14.039Z
1704367,910393,7854.2,2026-04-23T22:02:54.634Z,bid-extra-60370900335,2026-04-23T23:55:14.039Z
1704497,910703,8489.800000000001,2026-04-23T22:02:54.634Z,bid-extra-60370900345,2026-04-23T23:55:14.039Z
1704627,911013,9125.4,2026-04-23T22:02:54.635Z,bid-extra-60370900355,2026-04-23T23:55:14.039Z
1704757,911323,9761.0,2026-04-23T22:02:54.635Z,bid-extra-60370900365,2026-04-23T23:55:14.039Z
1704887,911633,5856.6,2026-04-23T22:02:54.635Z,bid-extra-60370900375,2026-04-23T23:55:14.039Z
1705017,911943,6492.2,2026-04-23T22:02:54.635Z,bid-extra-60370900385,2026-04-23T23:55:14.039Z
1705147,912253,7127.8,2026-04-23T22:02:54.635Z,bid-extra-60370900395,2026-04-23T23:55:14.039Z
1705277,912563,7763.400000000001,2026-04-23T22:02:54.635Z,bid-extra-60370900405,2026-04-23T23:55:14.039Z
1705407,912873,8399.0,2026-04-23T22:02:54.635Z,bid-extra-60370900415,2026-04-23T23:55:14.039Z
1705537,913183,9034.6,2026-04-23T22:02:54.635Z,bid-extra-60370900425,2026-04-23T23:55:14.039Z
1705667,913493,9670.2,2026-04-23T22:02:54.635Z,bid-extra-60370900435,2026-04-23T23:55:14.039Z
1705797,913803,10305.800000000001,2026-04-23T22:02:54.635Z,bid-extra-60370900445,2026-04-23T23:55:14.039Z
1705927,914113,10941.4,2026-04-23T22:02:54.636Z,bid-extra-60370900455,2026-04-23T23:55:14.039Z
1706057,914423,11577.0,2026-04-23T22:02:54.636Z,bid-extra-60370900465,2026-04-23T23:55:14.039Z
1706187,914733,12212.6,2026-04-23T22:02:54.636Z,bid-extra-60370900475,2026-04-23T23:55:14.039Z
1706317,915043,12848.2,2026-04-23T22:02:54.636Z,bid-extra-60370900485,2026-04-23T23:55:14.039Z
1706447,915353,8943.800000000001,2026-04-23T22:02:54.636Z,bid-extra-60370900495,2026-04-23T23:55:14.039Z
1706577,915663,9579.4,2026-04-23T22:02:54.636Z,bid-extra-60370900505,2026-04-23T23:55:14.039Z
1706707,915973,1225.8,2026-04-23T22:02:54.636Z,bid-extra-60370900515,2026-04-23T23:55:14.039Z
1706837,916283,1861.4,2026-04-23T22:02:54.636Z,bid-extra-60370900525,2026-04-23T23:55:14.039Z
1706967,916593,2497.0,2026-04-23T22:02:54.636Z,bid-extra-60370900535,2026-04-23T23:55:14.039Z
1707097,916903,3132.6,2026-04-23T22:02:54.636Z,bid-extra-60370900545,2026-04-23T23:55:14.039Z
1707227,917213,3768.2000000000003,2026-04-23T22:02:54.637Z,bid-extra-60370900555,2026-04-23T23:55:14.039Z
1707357,917523,4403.8,2026-04-23T22:02:54.637Z,bid-extra-60370900565,2026-04-23T23:55:14.039Z
1707487,917833,5039.400000000001,2026-04-23T22:02:54.637Z,bid-extra-60370900575,2026-04-23T23:55:14.039Z
1707617,918143,5675.0,2026-04-23T22:02:54.637Z,bid-extra-60370900585,2026-04-23T23:55:14.039Z
1707747,918453,6310.6,2026-04-23T22:02:54.637Z,bid-extra-60370900595,2026-04-23T23:55:14.039Z
1707877,918763,6946.2,2026-04-23T22:02:54.637Z,bid-extra-60370900605,2026-04-23T23:55:14.039Z
1708007,919073,3041.8,2026-04-23T22:02:54.637Z,bid-extra-60370900615,2026-04-23T23:55:14.039Z
1708137,919383,3677.4,2026-04-23T22:02:54.637Z,bid-extra-60370900625,2026-04-23T23:55:14.039Z
1708267,919693,4313.0,2026-04-23T22:02:54.637Z,bid-extra-60370900635,2026-04-23T23:55:14.039Z
1708397,920003,4948.6,2026-04-23T22:02:54.637Z,bid-extra-60370900645,2026-04-23T23:55:14.039Z
1708527,920313,5584.2,2026-04-23T22:02:54.638Z,bid-extra-60370900655,2026-04-23T23:55:14.039Z
1708657,920623,6219.8,2026-04-23T22:02:54.638Z,bid-extra-60370900665,2026-04-23T23:55:14.039Z
1708787,920933,6855.400000000001,2026-04-23T22:02:54.638Z,bid-extra-60370900675,2026-04-23T23:55:14.039Z
