auction,bidder,price,dateTime,extra,processed_time
1700077,900163,6219.8,2026-04-23T21:59:34.631Z,bid-extra-60350900005,2026-04-23T23:55:14.039Z
1700207,900473,6855.400000000001,2026-04-23T21:59:34.631Z,bid-extra-60350900015,2026-04-23T23:55:14.039Z
1700337,900783,7491.0,2026-04-23T21:59:34.631Z,bid-extra-60350900025,2026-04-23T23:55:14.039Z
1700467,901093,8126.6,2026-04-23T21:59:34.631Z,bid-extra-60350900035,2026-04-23T23:55:14.039Z
1700597,901403,8762.2,2026-04-23T21:59:34.631Z,bid-extra-60350900045,2026-04-23T23:55:14.039Z
1700727,901713,9397.800000000001,2026-04-23T21:59:34.632Z,bid-extra-60350900055,2026-04-23T23:55:14.039Z
1700857,902023,10033.4,2026-04-23T21:59:34.632Z,bid-extra-60350900065,2026-04-23T23:55:14.039Z
1700987,902333,10669.0,2026-04-23T21:59:34.632Z,bid-extra-60350900075,2026-04-23T23:55:14.039Z
1701117,902643,11304.6,2026-04-23T21:59:34.632Z,bid-extra-60350900085,2026-04-23T23:55:14.039Z
1701247,902953,11940.2,2026-04-23T21:59:34.632Z,bid-extra-60350900095,2026-04-23T23:55:14.039Z
1701377,903263,12575.800000000001,2026-04-23T21:59:34.632Z,bid-extra-60350900105,2026-04-23T23:55:14.039Z
1701507,903573,13211.4,2026-04-23T21:59:34.632Z,bid-extra-60350900115,2026-04-23T23:55:14.039Z
1701637,903883,317.8,2026-04-23T21:59:34.632Z,bid-extra-60350900125,2026-04-23T23:55:14.039Z
1701767,904193,953.4,2026-04-23T21:59:34.632Z,bid-extra-60350900135,2026-04-23T23:55:14.039Z
1701897,904503,1589.0,2026-04-23T21:59:34.632Z,bid-extra-60350900145,2026-04-23T23:55:14.039Z
1702027,904813,2224.6,2026-04-23T21:59:34.633Z,bid-extra-60350900155,2026-04-23T23:55:14.039Z
1702157,905123,2860.2000000000003,2026-04-23T21:59:34.633Z,bid-extra-60350900165,2026-04-23T23:55:14.039Z
1702287,905433,3495.8,2026-04-23T21:59:34.633Z,bid-extra-60350900175,2026-04-23T23:55:14.039Z
1702417,905743,4131.400000000001,2026-04-23T21:59:34.633Z,bid-extra-60350900185,2026-04-23T23:55:14.039Z
1702547,906053,4767.0,2026-04-23T21:59:34.633Z,bid-extra-60350900195,2026-04-23T23:55:14.039Z
1702677,906363,5402.6,2026-04-23T21:59:34.633Z,bid-extra-60350900205,2026-04-23T23:55:14.039Z
1702807,906673,6038.2,2026-04-23T21:59:34.633Z,bid-extra-60350900215,2026-04-23T23:55:14.039Z
1702937,906983,6673.8,2026-04-23T21:59:34.633Z,bid-extra-60350900225,2026-04-23T23:55:14.039Z
1703067,907293,7309.400000000001,2026-04-23T21:59:34.633Z,bid-extra-60350900235,2026-04-23T23:55:14.039Z
1703197,907603,3405.0,2026-04-23T21:59:34.633Z,bid-extra-60350900245,2026-04-23T23:55:14.039Z
1703327,907913,4040.6,2026-04-23T21:59:34.634Z,bid-extra-60350900255,2026-04-23T23:55:14.039Z
1703457,908223,4676.2,2026-04-23T21:59:34.634Z,bid-extra-60350900265,2026-04-23T23:55:14.039Z
1703587,908533,5311.8,2026-04-23T21:59:34.634Z,bid-extra-60350900275,2026-04-23T23:55:14.039Z
1703717,908843,5947.400000000001,2026-04-23T21:59:34.634Z,bid-extra-60350900285,2026-04-23T23:55:14.039Z
1703847,909153,6583.0,2026-04-23T21:59:34.634Z,bid-extra-60350900295,2026-04-23T23:55:14.039Z
1703977,909463,7218.6,2026-04-23T21:59:34.634Z,bid-extra-60350900305,2026-04-23T23:55:14.039Z
1704107,909773,7854.2,2026-04-23T21:59:34.634Z,bid-extra-60350900315,2026-04-23T23:55:14.039Z
1704237,910083,8489.800000000001,2026-04-23T21:59:34.634Z,bid-extra-60350900325,2026-04-23T23:55:14.039Z
1704367,910393,9125.4,2026-04-23T21:59:34.634Z,bid-extra-60350900335,2026-04-23T23:55:14.039Z
1704497,910703,9761.0,2026-04-23T21:59:34.634Z,bid-extra-60350900345,2026-04-23T23:55:14.039Z
1704627,911013,10396.6,2026-04-23T21:59:34.635Z,bid-extra-60350900355,2026-04-23T23:55:14.039Z
1704757,911323,11032.2,2026-04-23T21:59:34.635Z,bid-extra-60350900365,2026-04-23T23:55:14.039Z
1704887,911633,7127.8,2026-04-23T21:59:34.635Z,bid-extra-60350900375,2026-04-23T23:55:14.039Z
1705017,911943,7763.400000000001,2026-04-23T21:59:34.635Z,bid-extra-60350900385,2026-04-23T23:55:14.039Z
1705147,912253,8399.0,2026-04-23T21:59:34.635Z,bid-extra-60350900395,2026-04-23T23:55:14.039Z
1705277,912563,9034.6,2026-04-23T21:59:34.635Z,bid-extra-60350900405,2026-04-23T23:55:14.039Z
1705407,912873,9670.2,2026-04-23T21:59:34.635Z,bid-extra-60350900415,2026-04-23T23:55:14.039Z
1705537,913183,10305.800000000001,2026-04-23T21:59:34.635Z,bid-extra-60350900425,2026-04-23T23:55:14.039Z
1705667,913493,10941.4,2026-04-23T21:59:34.635Z,bid-extra-60350900435,2026-04-23T23:55:14.039Z
1705797,913803,11577.0,2026-04-23T21:59:34.635Z,bid-extra-60350900445,2026-04-23T23:55:14.039Z
1705927,914113,12212.6,2026-04-23T21:59:34.636Z,bid-extra-60350900455,2026-04-23T23:55:14.039Z
1706057,914423,3859.0,2026-04-23T21:59:34.636Z,bid-extra-60350900465,2026-04-23T23:55:14.039Z
1706187,914733,4494.6,2026-04-23T21:59:34.636Z,bid-extra-60350900475,2026-04-23T23:55:14.039Z
1706317,915043,5130.2,2026-04-23T21:59:34.636Z,bid-extra-60350900485,2026-04-23T23:55:14.039Z
1706447,915353,1225.8,2026-04-23T21:59:34.636Z,bid-extra-60350900495,2026-04-23T23:55:14.039Z
1706577,915663,1861.4,2026-04-23T21:59:34.636Z,bid-extra-60350900505,2026-04-23T23:55:14.039Z
1706707,915973,2497.0,2026-04-23T21:59:34.636Z,bid-extra-60350900515,2026-04-23T23:55:14.039Z
1706837,916283,3132.6,2026-04-23T21:59:34.636Z,bid-extra-60350900525,2026-04-23T23:55:14.039Z
1706967,916593,3768.2000000000003,2026-04-23T21:59:34.636Z,bid-extra-60350900535,2026-04-23T23:55:14.039Z
1707097,916903,4403.8,2026-04-23T21:59:34.636Z,bid-extra-60350900545,2026-04-23T23:55:14.039Z
1707227,917213,5039.400000000001,2026-04-23T21:59:34.637Z,bid-extra-60350900555,2026-04-23T23:55:14.039Z
1707357,917523,5675.0,2026-04-23T21:59:34.637Z,bid-extra-60350900565,2026-04-23T23:55:14.039Z
1707487,917833,6310.6,2026-04-23T21:59:34.637Z,bid-extra-60350900575,2026-04-23T23:55:14.039Z
1707617,918143,6946.2,2026-04-23T21:59:34.637Z,bid-extra-60350900585,2026-04-23T23:55:14.039Z
1707747,918453,7581.8,2026-04-23T21:59:34.637Z,bid-extra-60350900595,2026-04-23T23:55:14.039Z
1707877,918763,8217.4,2026-04-23T21:59:34.637Z,bid-extra-60350900605,2026-04-23T23:55:14.039Z
1708007,919073,4313.0,2026-04-23T21:59:34.637Z,bid-extra-60350900615,2026-04-23T23:55:14.039Z
1708137,919383,4948.6,2026-04-23T21:59:34.637Z,bid-extra-60350900625,2026-04-23T23:55:14.039Z
1708267,919693,5584.2,2026-04-23T21:59:34.637Z,bid-extra-60350900635,2026-04-23T23:55:14.039Z
1708397,920003,6219.8,2026-04-23T21:59:34.637Z,bid-extra-60350900645,2026-04-23T23:55:14.039Z
1708527,920313,6855.400000000001,2026-04-23T21:59:34.638Z,bid-extra-60350900655,2026-04-23T23:55:14.039Z
1708657,920623,7491.0,2026-04-23T21:59:34.638Z,bid-extra-60350900665,2026-04-23T23:55:14.039Z
1708787,920933,8126.6,2026-04-23T21:59:34.638Z,bid-extra-60350900675,2026-04-23T23:55:14.039Z
1708917,921243,8762.2,2026-04-23T21:59:34.638Z,bid-extra-60350900685,2026-04-23T23:55:14.039Z
1709047,921553,9397.800000000001,2026-04-23T21:59:34.638Z,bid-extra-60350900695,2026-04-23T23:55:14.039Z
1709177,921863,10033.4,2026-04-23T21:59:34.638Z,bid-extra-60350900705,2026-04-23T23:55:14.039Z
1709307,922173,10669.0,2026-04-23T21:59:34.638Z,bid-extra-60350900715,2026-04-23T23:55:14.039Z
1709437,922483,11304.6,2026-04-23T21:59:34.638Z,bid-extra-60350900725,2026-04-23T23:55:14.039Z
1709567,922793,7400.2,2026-04-23T21:59:34.638Z,bid-extra-60350900735,2026-04-23T23:55:14.039Z
1709697,923103,8035.8,2026-04-23T21:59:34.638Z,bid-extra-60350900745,2026-04-23T23:55:14.039Z
1709827,923413,8671.4,2026-04-23T21:59:34.639Z,bid-extra-60350900755,2026-04-23T23:55:14.039Z
1709957,923723,9307.0,2026-04-23T21:59:34.639Z,bid-extra-60350900765,2026-04-23T23:55:14.039Z
1710087,924033,9942.6,2026-04-23T21:59:34.639Z,bid-extra-60350900775,2026-04-23T23:55:14.039Z
1710217,924343,10578.2,2026-04-23T21:59:34.639Z,bid-extra-60350900785,2026-04-23T23:55:14.039Z
1710347,924653,11213.800000000001,2026-04-23T21:59:34.639Z,bid-extra-60350900795,2026-04-23T23:55:14.039Z
1710477,924963,2860.2000000000003,2026-04-23T21:59:34.639Z,bid-extra-60350900805,2026-04-23T23:55:14.039Z
1710607,925273,3495.8,2026-04-23T21:59:34.639Z,bid-extra-60350900815,2026-04-23T23:55:14.039Z
1710737,925583,4131.400000000001,2026-04-23T21:59:34.639Z,bid-extra-60350900825,2026-04-23T23:55:14.039Z
1710867,925893,4767.0,2026-04-23T21:59:34.639Z,bid-extra-60350900835,2026-04-23T23:55:14.039Z
1710997,926203,5402.6,2026-04-23T21:59:34.639Z,bid-extra-60350900845,2026-04-23T23:55:14.039Z
1711127,926513,1498.2,2026-04-23T21:59:34.640Z,bid-extra-60350900855,2026-04-23T23:55:14.039Z
1711257,926823,2133.8,2026-04-23T21:59:34.640Z,bid-extra-60350900865,2026-04-23T23:55:14.039Z
1711387,927133,2769.4,2026-04-23T21:59:34.640Z,bid-extra-60350900875,2026-04-23T23:55:14.039Z
1711517,927443,3405.0,2026-04-23T21:59:34.640Z,bid-extra-60350900885,2026-04-23T23:55:14.039Z
1711647,927753,4040.6,2026-04-23T21:59:34.640Z,bid-extra-60350900895,2026-04-23T23:55:14.039Z
1711777,928063,4676.2,2026-04-23T21:59:34.640Z,bid-extra-60350900905,2026-04-23T23:55:14.039Z
1711907,928373,5311.8,2026-04-23T21:59:34.640Z,bid-extra-60350900915,2026-04-23T23:55:14.039Z
1712037,928683,5947.400000000001,2026-04-23T21:59:34.640Z,bid-extra-60350900925,2026-04-23T23:55:14.039Z
1712167,928993,6583.0,2026-04-23T21:59:34.640Z,bid-extra-60350900935,2026-04-23T23:55:14.039Z
1712297,929303,7218.6,2026-04-23T21:59:34.640Z,bid-extra-60350900945,2026-04-23T23:55:14.039Z
1712427,929613,7854.2,2026-04-23T21:59:34.641Z,bid-extra-60350900955,2026-04-23T23:55:14.039Z
1712557,929923,8489.800000000001,2026-04-23T21:59:34.641Z,bid-extra-60350900965,2026-04-23T23:55:14.039Z
1712687,930233,9125.4,2026-04-23T21:59:34.641Z,bid-extra-60350900975,2026-04-23T23:55:14.039Z
1712817,930543,5221.0,2026-04-23T21:59:34.641Z,bid-extra-60350900985,2026-04-23T23:55:14.039Z
1712947,930853,5856.6,2026-04-23T21:59:34.641Z,bid-extra-60350900995,2026-04-23T23:55:14.039Z
1713077,931163,6492.2,2026-04-23T21:59:34.641Z,bid-extra-60350901005,2026-04-23T23:55:14.039Z
1713207,931473,7127.8,2026-04-23T21:59:34.641Z,bid-extra-60350901015,2026-04-23T23:55:14.039Z
1713337,931783,7763.400000000001,2026-04-23T21:59:34.641Z,bid-extra-60350901025,2026-04-23T23:55:14.039Z
1713467,932093,8399.0,2026-04-23T21:59:34.641Z,bid-extra-60350901035,2026-04-23T23:55:14.039Z
1713597,932403,9034.6,2026-04-23T21:59:34.641Z,bid-extra-60350901045,2026-04-23T23:55:14.039Z
1713727,932713,9670.2,2026-04-23T21:59:34.642Z,bid-extra-60350901055,2026-04-23T23:55:14.039Z
1713857,933023,10305.800000000001,2026-04-23T21:59:34.642Z,bid-extra-60350901065,2026-04-23T23:55:14.039Z
1713987,933333,10941.4,2026-04-23T21:59:34.642Z,bid-extra-60350901075,2026-04-23T23:55:14.039Z
1714117,933643,11577.0,2026-04-23T21:59:34.642Z,bid-extra-60350901085,2026-04-23T23:55:14.039Z
1714247,933953,12212.6,2026-04-23T21:59:34.642Z,bid-extra-60350901095,2026-04-23T23:55:14.039Z
1714377,934263,8308.2,2026-04-23T21:59:34.642Z,bid-extra-60350901105,2026-04-23T23:55:14.039Z
1714507,934573,8943.800000000001,2026-04-23T21:59:34.642Z,bid-extra-60350901115,2026-04-23T23:55:14.039Z
