auction,bidder,price,dateTime,extra,processed_time
3700077,900163,7763.400000000001,2026-04-23T22:00:14.631Z,bid-extra-60354900005,2026-04-23T23:55:14.039Z
3700207,900473,8399.0,2026-04-23T22:00:14.631Z,bid-extra-60354900015,2026-04-23T23:55:14.039Z
3700337,900783,9034.6,2026-04-23T22:00:14.631Z,bid-extra-60354900025,2026-04-23T23:55:14.039Z
3700467,901093,9670.2,2026-04-23T22:00:14.631Z,bid-extra-60354900035,2026-04-23T23:55:14.039Z
3700597,901403,10305.800000000001,2026-04-23T22:00:14.631Z,bid-extra-60354900045,2026-04-23T23:55:14.039Z
3700727,901713,10941.4,2026-04-23T22:00:14.632Z,bid-extra-60354900055,2026-04-23T23:55:14.039Z
3700857,902023,2587.8,2026-04-23T22:00:14.632Z,bid-extra-60354900065,2026-04-23T23:55:14.039Z
3700987,902333,3223.4,2026-04-23T22:00:14.632Z,bid-extra-60354900075,2026-04-23T23:55:14.039Z
3701117,902643,3859.0,2026-04-23T22:00:14.632Z,bid-extra-60354900085,2026-04-23T23:55:14.039Z
3701247,902953,4494.6,2026-04-23T22:00:14.632Z,bid-extra-60354900095,2026-04-23T23:55:14.039Z
3701377,903263,5130.2,2026-04-23T22:00:14.632Z,bid-extra-60354900105,2026-04-23T23:55:14.039Z
3701507,903573,5765.8,2026-04-23T22:00:14.632Z,bid-extra-60354900115,2026-04-23T23:55:14.039Z
3701637,903883,1861.4,2026-04-23T22:00:14.632Z,bid-extra-60354900125,2026-04-23T23:55:14.039Z
3701767,904193,2497.0,2026-04-23T22:00:14.632Z,bid-extra-60354900135,2026-04-23T23:55:14.039Z
3701897,904503,3132.6,2026-04-23T22:00:14.632Z,bid-extra-60354900145,2026-04-23T23:55:14.039Z
3702027,904813,3768.2000000000003,2026-04-23T22:00:14.633Z,bid-extra-60354900155,2026-04-23T23:55:14.039Z
3702157,905123,4403.8,2026-04-23T22:00:14.633Z,bid-extra-60354900165,2026-04-23T23:55:14.039Z
3702287,905433,5039.400000000001,2026-04-23T22:00:14.633Z,bid-extra-60354900175,2026-04-23T23:55:14.039Z
3702417,905743,5675.0,2026-04-23T22:00:14.633Z,bid-extra-60354900185,2026-04-23T23:55:14.039Z
3702547,906053,6310.6,2026-04-23T22:00:14.633Z,bid-extra-60354900195,2026-04-23T23:55:14.039Z
3702677,906363,6946.2,2026-04-23T22:00:14.633Z,bid-extra-60354900205,2026-04-23T23:55:14.039Z
3702807,906673,7581.8,2026-04-23T22:00:14.633Z,bid-extra-60354900215,2026-04-23T23:55:14.039Z
3702937,906983,8217.4,2026-04-23T22:00:14.633Z,bid-extra-60354900225,2026-04-23T23:55:14.039Z
