auction,bidder,price,dateTime,extra,processed_time
6700090,900194,1470.96,2026-04-23T22:00:24.631Z,bid-extra-60355900006,2026-04-23T23:55:14.039Z
6700220,900504,2106.56,2026-04-23T22:00:24.631Z,bid-extra-60355900016,2026-04-23T23:55:14.039Z
6700350,900814,2742.1600000000003,2026-04-23T22:00:24.631Z,bid-extra-60355900026,2026-04-23T23:55:14.039Z
6700480,901124,3377.76,2026-04-23T22:00:24.631Z,bid-extra-60355900036,2026-04-23T23:55:14.039Z
6700610,901434,4013.36,2026-04-23T22:00:24.631Z,bid-extra-60355900046,2026-04-23T23:55:14.039Z
6700740,901744,4648.96,2026-04-23T22:00:24.632Z,bid-extra-60355900056,2026-04-23T23:55:14.039Z
6700870,902054,5284.56,2026-04-23T22:00:24.632Z,bid-extra-60355900066,2026-04-23T23:55:14.039Z
6701000,902364,5920.16,2026-04-23T22:00:24.632Z,bid-extra-60355900076,2026-04-23T23:55:14.039Z
6701130,902674,6555.76,2026-04-23T22:00:24.632Z,bid-extra-60355900086,2026-04-23T23:55:14.039Z
6701260,902984,7191.360000000001,2026-04-23T22:00:24.632Z,bid-extra-60355900096,2026-04-23T23:55:14.039Z
6701390,903294,7826.96,2026-04-23T22:00:24.632Z,bid-extra-60355900106,2026-04-23T23:55:14.039Z
6701520,903604,8462.56,2026-04-23T22:00:24.632Z,bid-extra-60355900116,2026-04-23T23:55:14.039Z
6701650,903914,4558.16,2026-04-23T22:00:24.632Z,bid-extra-60355900126,2026-04-23T23:55:14.039Z
6701780,904224,5193.76,2026-04-23T22:00:24.632Z,bid-extra-60355900136,2026-04-23T23:55:14.039Z
6701910,904534,5829.360000000001,2026-04-23T22:00:24.632Z,bid-extra-60355900146,2026-04-23T23:55:14.039Z
6702040,904844,6464.96,2026-04-23T22:00:24.633Z,bid-extra-60355900156,2026-04-23T23:55:14.039Z
6702170,905154,7100.56,2026-04-23T22:00:24.633Z,bid-extra-60355900166,2026-04-23T23:55:14.039Z
6702300,905464,7736.16,2026-04-23T22:00:24.633Z,bid-extra-60355900176,2026-04-23T23:55:14.039Z
6702430,905774,8371.76,2026-04-23T22:00:24.633Z,bid-extra-60355900186,2026-04-23T23:55:14.039Z
6702560,906084,9007.36,2026-04-23T22:00:24.633Z,bid-extra-60355900196,2026-04-23T23:55:14.039Z
6702690,906394,9642.960000000001,2026-04-23T22:00:24.633Z,bid-extra-60355900206,2026-04-23T23:55:14.039Z
6702820,906704,10278.56,2026-04-23T22:00:24.633Z,bid-extra-60355900216,2026-04-23T23:55:14.039Z
6702950,907014,10914.16,2026-04-23T22:00:24.633Z,bid-extra-60355900226,2026-04-23T23:55:14.039Z
6703080,907324,11549.76,2026-04-23T22:00:24.633Z,bid-extra-60355900236,2026-04-23T23:55:14.039Z
6703210,907634,7645.360000000001,2026-04-23T22:00:24.633Z,bid-extra-60355900246,2026-04-23T23:55:14.039Z
6703340,907944,8280.960000000001,2026-04-23T22:00:24.634Z,bid-extra-60355900256,2026-04-23T23:55:14.039Z
6703470,908254,8916.56,2026-04-23T22:00:24.634Z,bid-extra-60355900266,2026-04-23T23:55:14.039Z
6703600,908564,9552.16,2026-04-23T22:00:24.634Z,bid-extra-60355900276,2026-04-23T23:55:14.039Z
6703730,908874,10187.76,2026-04-23T22:00:24.634Z,bid-extra-60355900286,2026-04-23T23:55:14.039Z
6703860,909184,10823.36,2026-04-23T22:00:24.634Z,bid-extra-60355900296,2026-04-23T23:55:14.039Z
6703990,909494,2469.76,2026-04-23T22:00:24.634Z,bid-extra-60355900306,2026-04-23T23:55:14.039Z
6704120,909804,3105.36,2026-04-23T22:00:24.634Z,bid-extra-60355900316,2026-04-23T23:55:14.039Z
6704250,910114,3740.96,2026-04-23T22:00:24.634Z,bid-extra-60355900326,2026-04-23T23:55:14.039Z
6704380,910424,4376.56,2026-04-23T22:00:24.634Z,bid-extra-60355900336,2026-04-23T23:55:14.039Z
6704510,910734,5012.16,2026-04-23T22:00:24.634Z,bid-extra-60355900346,2026-04-23T23:55:14.039Z
6704640,911044,5647.76,2026-04-23T22:00:24.635Z,bid-extra-60355900356,2026-04-23T23:55:14.039Z
6704770,911354,1743.3600000000001,2026-04-23T22:00:24.635Z,bid-extra-60355900366,2026-04-23T23:55:14.039Z
6704900,911664,2378.96,2026-04-23T22:00:24.635Z,bid-extra-60355900376,2026-04-23T23:55:14.039Z
6705030,911974,3014.56,2026-04-23T22:00:24.635Z,bid-extra-60355900386,2026-04-23T23:55:14.039Z
6705160,912284,3650.1600000000003,2026-04-23T22:00:24.635Z,bid-extra-60355900396,2026-04-23T23:55:14.039Z
6705290,912594,4285.76,2026-04-23T22:00:24.635Z,bid-extra-60355900406,2026-04-23T23:55:14.039Z
6705420,912904,4921.360000000001,2026-04-23T22:00:24.635Z,bid-extra-60355900416,2026-04-23T23:55:14.039Z
6705550,913214,5556.96,2026-04-23T22:00:24.635Z,bid-extra-60355900426,2026-04-23T23:55:14.039Z
6705680,913524,6192.56,2026-04-23T22:00:24.635Z,bid-extra-60355900436,2026-04-23T23:55:14.039Z
6705810,913834,6828.16,2026-04-23T22:00:24.635Z,bid-extra-60355900446,2026-04-23T23:55:14.039Z
6705940,914144,7463.76,2026-04-23T22:00:24.636Z,bid-extra-60355900456,2026-04-23T23:55:14.039Z
6706070,914454,8099.360000000001,2026-04-23T22:00:24.636Z,bid-extra-60355900466,2026-04-23T23:55:14.039Z
6706200,914764,8734.960000000001,2026-04-23T22:00:24.636Z,bid-extra-60355900476,2026-04-23T23:55:14.039Z
6706330,915074,9370.56,2026-04-23T22:00:24.636Z,bid-extra-60355900486,2026-04-23T23:55:14.039Z
