auction,bidder,price,dateTime,extra,processed_time
5700090,900194,1016.96,2026-04-23T21:59:14.631Z,bid-extra-60348900006,2026-04-23T23:55:14.039Z
5700220,900504,1652.56,2026-04-23T21:59:14.631Z,bid-extra-60348900016,2026-04-23T23:55:14.039Z
5700350,900814,2288.16,2026-04-23T21:59:14.631Z,bid-extra-60348900026,2026-04-23T23:55:14.039Z
5700480,901124,2923.76,2026-04-23T21:59:14.631Z,bid-extra-60348900036,2026-04-23T23:55:14.039Z
5700610,901434,3559.36,2026-04-23T21:59:14.631Z,bid-extra-60348900046,2026-04-23T23:55:14.039Z
5700740,901744,4194.96,2026-04-23T21:59:14.632Z,bid-extra-60348900056,2026-04-23T23:55:14.039Z
5700870,902054,4830.56,2026-04-23T21:59:14.632Z,bid-extra-60348900066,2026-04-23T23:55:14.039Z
5701000,902364,5466.16,2026-04-23T21:59:14.632Z,bid-extra-60348900076,2026-04-23T23:55:14.039Z
5701130,902674,6101.76,2026-04-23T21:59:14.632Z,bid-extra-60348900086,2026-04-23T23:55:14.039Z
5701260,902984,6737.360000000001,2026-04-23T21:59:14.632Z,bid-extra-60348900096,2026-04-23T23:55:14.039Z
5701390,903294,7372.96,2026-04-23T21:59:14.632Z,bid-extra-60348900106,2026-04-23T23:55:14.039Z
5701520,903604,8008.56,2026-04-23T21:59:14.632Z,bid-extra-60348900116,2026-04-23T23:55:14.039Z
5701650,903914,4104.16,2026-04-23T21:59:14.632Z,bid-extra-60348900126,2026-04-23T23:55:14.039Z
5701780,904224,4739.76,2026-04-23T21:59:14.632Z,bid-extra-60348900136,2026-04-23T23:55:14.039Z
5701910,904534,5375.360000000001,2026-04-23T21:59:14.632Z,bid-extra-60348900146,2026-04-23T23:55:14.039Z
5702040,904844,6010.96,2026-04-23T21:59:14.633Z,bid-extra-60348900156,2026-04-23T23:55:14.039Z
5702170,905154,6646.56,2026-04-23T21:59:14.633Z,bid-extra-60348900166,2026-04-23T23:55:14.039Z
5702300,905464,7282.16,2026-04-23T21:59:14.633Z,bid-extra-60348900176,2026-04-23T23:55:14.039Z
5702430,905774,7917.76,2026-04-23T21:59:14.633Z,bid-extra-60348900186,2026-04-23T23:55:14.039Z
