auction,bidder,price,dateTime,extra,processed_time
5700090,900194,381.36,2026-04-23T22:00:54.631Z,bid-extra-60358900006,2026-04-23T23:55:14.039Z
5700220,900504,1016.96,2026-04-23T22:00:54.631Z,bid-extra-60358900016,2026-04-23T23:55:14.039Z
5700350,900814,1652.56,2026-04-23T22:00:54.631Z,bid-extra-60358900026,2026-04-23T23:55:14.039Z
5700480,901124,2288.16,2026-04-23T22:00:54.631Z,bid-extra-60358900036,2026-04-23T23:55:14.039Z
5700610,901434,2923.76,2026-04-23T22:00:54.631Z,bid-extra-60358900046,2026-04-23T23:55:14.039Z
5700740,901744,3559.36,2026-04-23T22:00:54.632Z,bid-extra-60358900056,2026-04-23T23:55:14.039Z
5700870,902054,4194.96,2026-04-23T22:00:54.632Z,bid-extra-60358900066,2026-04-23T23:55:14.039Z
5701000,902364,4830.56,2026-04-23T22:00:54.632Z,bid-extra-60358900076,2026-04-23T23:55:14.039Z
5701130,902674,5466.16,2026-04-23T22:00:54.632Z,bid-extra-60358900086,2026-04-23T23:55:14.039Z
5701260,902984,6101.76,2026-04-23T22:00:54.632Z,bid-extra-60358900096,2026-04-23T23:55:14.039Z
5701390,903294,6737.360000000001,2026-04-23T22:00:54.632Z,bid-extra-60358900106,2026-04-23T23:55:14.039Z
5701520,903604,7372.96,2026-04-23T22:00:54.632Z,bid-extra-60358900116,2026-04-23T23:55:14.039Z
5701650,903914,3468.56,2026-04-23T22:00:54.632Z,bid-extra-60358900126,2026-04-23T23:55:14.039Z
5701780,904224,4104.16,2026-04-23T22:00:54.632Z,bid-extra-60358900136,2026-04-23T23:55:14.039Z
5701910,904534,4739.76,2026-04-23T22:00:54.632Z,bid-extra-60358900146,2026-04-23T23:55:14.039Z
5702040,904844,5375.360000000001,2026-04-23T22:00:54.633Z,bid-extra-60358900156,2026-04-23T23:55:14.039Z
5702170,905154,6010.96,2026-04-23T22:00:54.633Z,bid-extra-60358900166,2026-04-23T23:55:14.039Z
5702300,905464,6646.56,2026-04-23T22:00:54.633Z,bid-extra-60358900176,2026-04-23T23:55:14.039Z
5702430,905774,7282.16,2026-04-23T22:00:54.633Z,bid-extra-60358900186,2026-04-23T23:55:14.039Z
5702560,906084,7917.76,2026-04-23T22:00:54.633Z,bid-extra-60358900196,2026-04-23T23:55:14.039Z
5702690,906394,8553.36,2026-04-23T22:00:54.633Z,bid-extra-60358900206,2026-04-23T23:55:14.039Z
5702820,906704,9188.960000000001,2026-04-23T22:00:54.633Z,bid-extra-60358900216,2026-04-23T23:55:14.039Z
5702950,907014,9824.56,2026-04-23T22:00:54.633Z,bid-extra-60358900226,2026-04-23T23:55:14.039Z
5703080,907324,10460.16,2026-04-23T22:00:54.633Z,bid-extra-60358900236,2026-04-23T23:55:14.039Z
5703210,907634,6555.76,2026-04-23T22:00:54.633Z,bid-extra-60358900246,2026-04-23T23:55:14.039Z
5703340,907944,7191.360000000001,2026-04-23T22:00:54.634Z,bid-extra-60358900256,2026-04-23T23:55:14.039Z
