auction,bidder,price,dateTime,extra,processed_time
2700090,900194,6737.360000000001,2026-04-23T22:00:44.631Z,bid-extra-60357900006,2026-04-23T23:55:14.039Z
2700220,900504,7372.96,2026-04-23T22:00:44.631Z,bid-extra-60357900016,2026-04-23T23:55:14.039Z
2700350,900814,8008.56,2026-04-23T22:00:44.631Z,bid-extra-60357900026,2026-04-23T23:55:14.039Z
2700480,901124,8644.16,2026-04-23T22:00:44.631Z,bid-extra-60357900036,2026-04-23T23:55:14.039Z
2700610,901434,9279.76,2026-04-23T22:00:44.631Z,bid-extra-60357900046,2026-04-23T23:55:14.039Z
2700740,901744,9915.36,2026-04-23T22:00:44.632Z,bid-extra-60357900056,2026-04-23T23:55:14.039Z
2700870,902054,10550.960000000001,2026-04-23T22:00:44.632Z,bid-extra-60357900066,2026-04-23T23:55:14.039Z
2701000,902364,11186.56,2026-04-23T22:00:44.632Z,bid-extra-60357900076,2026-04-23T23:55:14.039Z
2701130,902674,11822.16,2026-04-23T22:00:44.632Z,bid-extra-60357900086,2026-04-23T23:55:14.039Z
2701260,902984,12457.76,2026-04-23T22:00:44.632Z,bid-extra-60357900096,2026-04-23T23:55:14.039Z
2701390,903294,4104.16,2026-04-23T22:00:44.632Z,bid-extra-60357900106,2026-04-23T23:55:14.039Z
2701520,903604,4739.76,2026-04-23T22:00:44.632Z,bid-extra-60357900116,2026-04-23T23:55:14.039Z
2701650,903914,835.36,2026-04-23T22:00:44.632Z,bid-extra-60357900126,2026-04-23T23:55:14.039Z
2701780,904224,1470.96,2026-04-23T22:00:44.632Z,bid-extra-60357900136,2026-04-23T23:55:14.039Z
2701910,904534,2106.56,2026-04-23T22:00:44.632Z,bid-extra-60357900146,2026-04-23T23:55:14.039Z
2702040,904844,2742.1600000000003,2026-04-23T22:00:44.633Z,bid-extra-60357900156,2026-04-23T23:55:14.039Z
2702170,905154,3377.76,2026-04-23T22:00:44.633Z,bid-extra-60357900166,2026-04-23T23:55:14.039Z
2702300,905464,4013.36,2026-04-23T22:00:44.633Z,bid-extra-60357900176,2026-04-23T23:55:14.039Z
2702430,905774,4648.96,2026-04-23T22:00:44.633Z,bid-extra-60357900186,2026-04-23T23:55:14.039Z
2702560,906084,5284.56,2026-04-23T22:00:44.633Z,bid-extra-60357900196,2026-04-23T23:55:14.039Z
2702690,906394,5920.16,2026-04-23T22:00:44.633Z,bid-extra-60357900206,2026-04-23T23:55:14.039Z
2702820,906704,6555.76,2026-04-23T22:00:44.633Z,bid-extra-60357900216,2026-04-23T23:55:14.039Z
2702950,907014,7191.360000000001,2026-04-23T22:00:44.633Z,bid-extra-60357900226,2026-04-23T23:55:14.039Z
2703080,907324,7826.96,2026-04-23T22:00:44.633Z,bid-extra-60357900236,2026-04-23T23:55:14.039Z
2703210,907634,3922.56,2026-04-23T22:00:44.633Z,bid-extra-60357900246,2026-04-23T23:55:14.039Z
2703340,907944,4558.16,2026-04-23T22:00:44.634Z,bid-extra-60357900256,2026-04-23T23:55:14.039Z
2703470,908254,5193.76,2026-04-23T22:00:44.634Z,bid-extra-60357900266,2026-04-23T23:55:14.039Z
2703600,908564,5829.360000000001,2026-04-23T22:00:44.634Z,bid-extra-60357900276,2026-04-23T23:55:14.039Z
2703730,908874,6464.96,2026-04-23T22:00:44.634Z,bid-extra-60357900286,2026-04-23T23:55:14.039Z
2703860,909184,7100.56,2026-04-23T22:00:44.634Z,bid-extra-60357900296,2026-04-23T23:55:14.039Z
2703990,909494,7736.16,2026-04-23T22:00:44.634Z,bid-extra-60357900306,2026-04-23T23:55:14.039Z
2704120,909804,8371.76,2026-04-23T22:00:44.634Z,bid-extra-60357900316,2026-04-23T23:55:14.039Z
2704250,910114,9007.36,2026-04-23T22:00:44.634Z,bid-extra-60357900326,2026-04-23T23:55:14.039Z
2704380,910424,9642.960000000001,2026-04-23T22:00:44.634Z,bid-extra-60357900336,2026-04-23T23:55:14.039Z
2704510,910734,10278.56,2026-04-23T22:00:44.634Z,bid-extra-60357900346,2026-04-23T23:55:14.039Z
2704640,911044,10914.16,2026-04-23T22:00:44.635Z,bid-extra-60357900356,2026-04-23T23:55:14.039Z
2704770,911354,7009.76,2026-04-23T22:00:44.635Z,bid-extra-60357900366,2026-04-23T23:55:14.039Z
2704900,911664,7645.360000000001,2026-04-23T22:00:44.635Z,bid-extra-60357900376,2026-04-23T23:55:14.039Z
2705030,911974,8280.960000000001,2026-04-23T22:00:44.635Z,bid-extra-60357900386,2026-04-23T23:55:14.039Z
2705160,912284,8916.56,2026-04-23T22:00:44.635Z,bid-extra-60357900396,2026-04-23T23:55:14.039Z
