auction,bidder,price,dateTime,extra,processed_time
700090,900194,4558.16,2026-04-23T22:01:44.631Z,bid-extra-60363900006,2026-04-23T23:55:14.039Z
700220,900504,5193.76,2026-04-23T22:01:44.631Z,bid-extra-60363900016,2026-04-23T23:55:14.039Z
700350,900814,5829.360000000001,2026-04-23T22:01:44.631Z,bid-extra-60363900026,2026-04-23T23:55:14.039Z
700480,901124,6464.96,2026-04-23T22:01:44.631Z,bid-extra-60363900036,2026-04-23T23:55:14.039Z
700610,901434,7100.56,2026-04-23T22:01:44.631Z,bid-extra-60363900046,2026-04-23T23:55:14.039Z
700740,901744,7736.16,2026-04-23T22:01:44.632Z,bid-extra-60363900056,2026-04-23T23:55:14.039Z
700870,902054,8371.76,2026-04-23T22:01:44.632Z,bid-extra-60363900066,2026-04-23T23:55:14.039Z
701000,902364,9007.36,2026-04-23T22:01:44.632Z,bid-extra-60363900076,2026-04-23T23:55:14.039Z
701130,902674,9642.960000000001,2026-04-23T22:01:44.632Z,bid-extra-60363900086,2026-04-23T23:55:14.039Z
701260,902984,10278.56,2026-04-23T22:01:44.632Z,bid-extra-60363900096,2026-04-23T23:55:14.039Z
701390,903294,10914.16,2026-04-23T22:01:44.632Z,bid-extra-60363900106,2026-04-23T23:55:14.039Z
701520,903604,11549.76,2026-04-23T22:01:44.632Z,bid-extra-60363900116,2026-04-23T23:55:14.039Z
701650,903914,7645.360000000001,2026-04-23T22:01:44.632Z,bid-extra-60363900126,2026-04-23T23:55:14.039Z
701780,904224,8280.960000000001,2026-04-23T22:01:44.632Z,bid-extra-60363900136,2026-04-23T23:55:14.039Z
701910,904534,8916.56,2026-04-23T22:01:44.632Z,bid-extra-60363900146,2026-04-23T23:55:14.039Z
702040,904844,9552.16,2026-04-23T22:01:44.633Z,bid-extra-60363900156,2026-04-23T23:55:14.039Z
702170,905154,10187.76,2026-04-23T22:01:44.633Z,bid-extra-60363900166,2026-04-23T23:55:14.039Z
702300,905464,10823.36,2026-04-23T22:01:44.633Z,bid-extra-60363900176,2026-04-23T23:55:14.039Z
702430,905774,11458.960000000001,2026-04-23T22:01:44.633Z,bid-extra-60363900186,2026-04-23T23:55:14.039Z
702560,906084,3105.36,2026-04-23T22:01:44.633Z,bid-extra-60363900196,2026-04-23T23:55:14.039Z
702690,906394,3740.96,2026-04-23T22:01:44.633Z,bid-extra-60363900206,2026-04-23T23:55:14.039Z
702820,906704,4376.56,2026-04-23T22:01:44.633Z,bid-extra-60363900216,2026-04-23T23:55:14.039Z
702950,907014,5012.16,2026-04-23T22:01:44.633Z,bid-extra-60363900226,2026-04-23T23:55:14.039Z
703080,907324,5647.76,2026-04-23T22:01:44.633Z,bid-extra-60363900236,2026-04-23T23:55:14.039Z
703210,907634,1743.3600000000001,2026-04-23T22:01:44.633Z,bid-extra-60363900246,2026-04-23T23:55:14.039Z
703340,907944,2378.96,2026-04-23T22:01:44.634Z,bid-extra-60363900256,2026-04-23T23:55:14.039Z
703470,908254,3014.56,2026-04-23T22:01:44.634Z,bid-extra-60363900266,2026-04-23T23:55:14.039Z
703600,908564,3650.1600000000003,2026-04-23T22:01:44.634Z,bid-extra-60363900276,2026-04-23T23:55:14.039Z
703730,908874,4285.76,2026-04-23T22:01:44.634Z,bid-extra-60363900286,2026-04-23T23:55:14.039Z
703860,909184,4921.360000000001,2026-04-23T22:01:44.634Z,bid-extra-60363900296,2026-04-23T23:55:14.039Z
703990,909494,5556.96,2026-04-23T22:01:44.634Z,bid-extra-60363900306,2026-04-23T23:55:14.039Z
704120,909804,6192.56,2026-04-23T22:01:44.634Z,bid-extra-60363900316,2026-04-23T23:55:14.039Z
704250,910114,6828.16,2026-04-23T22:01:44.634Z,bid-extra-60363900326,2026-04-23T23:55:14.039Z
704380,910424,7463.76,2026-04-23T22:01:44.634Z,bid-extra-60363900336,2026-04-23T23:55:14.039Z
704510,910734,8099.360000000001,2026-04-23T22:01:44.634Z,bid-extra-60363900346,2026-04-23T23:55:14.039Z
704640,911044,8734.960000000001,2026-04-23T22:01:44.635Z,bid-extra-60363900356,2026-04-23T23:55:14.039Z
704770,911354,4830.56,2026-04-23T22:01:44.635Z,bid-extra-60363900366,2026-04-23T23:55:14.039Z
704900,911664,5466.16,2026-04-23T22:01:44.635Z,bid-extra-60363900376,2026-04-23T23:55:14.039Z
705030,911974,6101.76,2026-04-23T22:01:44.635Z,bid-extra-60363900386,2026-04-23T23:55:14.039Z
705160,912284,6737.360000000001,2026-04-23T22:01:44.635Z,bid-extra-60363900396,2026-04-23T23:55:14.039Z
705290,912594,7372.96,2026-04-23T22:01:44.635Z,bid-extra-60363900406,2026-04-23T23:55:14.039Z
705420,912904,8008.56,2026-04-23T22:01:44.635Z,bid-extra-60363900416,2026-04-23T23:55:14.039Z
705550,913214,8644.16,2026-04-23T22:01:44.635Z,bid-extra-60363900426,2026-04-23T23:55:14.039Z
705680,913524,9279.76,2026-04-23T22:01:44.635Z,bid-extra-60363900436,2026-04-23T23:55:14.039Z
705810,913834,9915.36,2026-04-23T22:01:44.635Z,bid-extra-60363900446,2026-04-23T23:55:14.039Z
705940,914144,10550.960000000001,2026-04-23T22:01:44.636Z,bid-extra-60363900456,2026-04-23T23:55:14.039Z
706070,914454,11186.56,2026-04-23T22:01:44.636Z,bid-extra-60363900466,2026-04-23T23:55:14.039Z
706200,914764,11822.16,2026-04-23T22:01:44.636Z,bid-extra-60363900476,2026-04-23T23:55:14.039Z
706330,915074,12457.76,2026-04-23T22:01:44.636Z,bid-extra-60363900486,2026-04-23T23:55:14.039Z
706460,915384,8553.36,2026-04-23T22:01:44.636Z,bid-extra-60363900496,2026-04-23T23:55:14.039Z
706590,915694,9188.960000000001,2026-04-23T22:01:44.636Z,bid-extra-60363900506,2026-04-23T23:55:14.039Z
