auction,bidder,price,dateTime,extra,processed_time
7700090,900194,2560.56,2026-04-23T21:59:54.631Z,bid-extra-60352900006,2026-04-23T23:55:14.039Z
7700220,900504,3196.1600000000003,2026-04-23T21:59:54.631Z,bid-extra-60352900016,2026-04-23T23:55:14.039Z
7700350,900814,3831.76,2026-04-23T21:59:54.631Z,bid-extra-60352900026,2026-04-23T23:55:14.039Z
7700480,901124,4467.360000000001,2026-04-23T21:59:54.631Z,bid-extra-60352900036,2026-04-23T23:55:14.039Z
7700610,901434,5102.96,2026-04-23T21:59:54.631Z,bid-extra-60352900046,2026-04-23T23:55:14.039Z
7700740,901744,5738.56,2026-04-23T21:59:54.632Z,bid-extra-60352900056,2026-04-23T23:55:14.039Z
7700870,902054,6374.16,2026-04-23T21:59:54.632Z,bid-extra-60352900066,2026-04-23T23:55:14.039Z
7701000,902364,7009.76,2026-04-23T21:59:54.632Z,bid-extra-60352900076,2026-04-23T23:55:14.039Z
7701130,902674,7645.360000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900086,2026-04-23T23:55:14.039Z
7701260,902984,8280.960000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900096,2026-04-23T23:55:14.039Z
7701390,903294,8916.56,2026-04-23T21:59:54.632Z,bid-extra-60352900106,2026-04-23T23:55:14.039Z
7701520,903604,9552.16,2026-04-23T21:59:54.632Z,bid-extra-60352900116,2026-04-23T23:55:14.039Z
7701650,903914,5647.76,2026-04-23T21:59:54.632Z,bid-extra-60352900126,2026-04-23T23:55:14.039Z
7701780,904224,6283.360000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900136,2026-04-23T23:55:14.039Z
7701910,904534,6918.96,2026-04-23T21:59:54.632Z,bid-extra-60352900146,2026-04-23T23:55:14.039Z
7702040,904844,7554.56,2026-04-23T21:59:54.633Z,bid-extra-60352900156,2026-04-23T23:55:14.039Z
7702170,905154,8190.16,2026-04-23T21:59:54.633Z,bid-extra-60352900166,2026-04-23T23:55:14.039Z
7702300,905464,8825.76,2026-04-23T21:59:54.633Z,bid-extra-60352900176,2026-04-23T23:55:14.039Z
7702430,905774,9461.36,2026-04-23T21:59:54.633Z,bid-extra-60352900186,2026-04-23T23:55:14.039Z
7702560,906084,10096.960000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900196,2026-04-23T23:55:14.039Z
7702690,906394,10732.56,2026-04-23T21:59:54.633Z,bid-extra-60352900206,2026-04-23T23:55:14.039Z
7702820,906704,11368.16,2026-04-23T21:59:54.633Z,bid-extra-60352900216,2026-04-23T23:55:14.039Z
7702950,907014,12003.76,2026-04-23T21:59:54.633Z,bid-extra-60352900226,2026-04-23T23:55:14.039Z
7703080,907324,12639.36,2026-04-23T21:59:54.633Z,bid-extra-60352900236,2026-04-23T23:55:14.039Z
7703210,907634,8734.960000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900246,2026-04-23T23:55:14.039Z
7703340,907944,9370.56,2026-04-23T21:59:54.634Z,bid-extra-60352900256,2026-04-23T23:55:14.039Z
7703470,908254,1016.96,2026-04-23T21:59:54.634Z,bid-extra-60352900266,2026-04-23T23:55:14.039Z
7703600,908564,1652.56,2026-04-23T21:59:54.634Z,bid-extra-60352900276,2026-04-23T23:55:14.039Z
7703730,908874,2288.16,2026-04-23T21:59:54.634Z,bid-extra-60352900286,2026-04-23T23:55:14.039Z
7703860,909184,2923.76,2026-04-23T21:59:54.634Z,bid-extra-60352900296,2026-04-23T23:55:14.039Z
7703990,909494,3559.36,2026-04-23T21:59:54.634Z,bid-extra-60352900306,2026-04-23T23:55:14.039Z
7704120,909804,4194.96,2026-04-23T21:59:54.634Z,bid-extra-60352900316,2026-04-23T23:55:14.039Z
7704250,910114,4830.56,2026-04-23T21:59:54.634Z,bid-extra-60352900326,2026-04-23T23:55:14.039Z
7704380,910424,5466.16,2026-04-23T21:59:54.634Z,bid-extra-60352900336,2026-04-23T23:55:14.039Z
7704510,910734,6101.76,2026-04-23T21:59:54.634Z,bid-extra-60352900346,2026-04-23T23:55:14.039Z
7704640,911044,6737.360000000001,2026-04-23T21:59:54.635Z,bid-extra-60352900356,2026-04-23T23:55:14.039Z
7704770,911354,2832.96,2026-04-23T21:59:54.635Z,bid-extra-60352900366,2026-04-23T23:55:14.039Z
7704900,911664,3468.56,2026-04-23T21:59:54.635Z,bid-extra-60352900376,2026-04-23T23:55:14.039Z
7705030,911974,4104.16,2026-04-23T21:59:54.635Z,bid-extra-60352900386,2026-04-23T23:55:14.039Z
7705160,912284,4739.76,2026-04-23T21:59:54.635Z,bid-extra-60352900396,2026-04-23T23:55:14.039Z
7705290,912594,5375.360000000001,2026-04-23T21:59:54.635Z,bid-extra-60352900406,2026-04-23T23:55:14.039Z
7705420,912904,6010.96,2026-04-23T21:59:54.635Z,bid-extra-60352900416,2026-04-23T23:55:14.039Z
7705550,913214,6646.56,2026-04-23T21:59:54.635Z,bid-extra-60352900426,2026-04-23T23:55:14.039Z
7705680,913524,7282.16,2026-04-23T21:59:54.635Z,bid-extra-60352900436,2026-04-23T23:55:14.039Z
7705810,913834,7917.76,2026-04-23T21:59:54.635Z,bid-extra-60352900446,2026-04-23T23:55:14.039Z
7705940,914144,8553.36,2026-04-23T21:59:54.636Z,bid-extra-60352900456,2026-04-23T23:55:14.039Z
7706070,914454,9188.960000000001,2026-04-23T21:59:54.636Z,bid-extra-60352900466,2026-04-23T23:55:14.039Z
7706200,914764,9824.56,2026-04-23T21:59:54.636Z,bid-extra-60352900476,2026-04-23T23:55:14.039Z
7706330,915074,10460.16,2026-04-23T21:59:54.636Z,bid-extra-60352900486,2026-04-23T23:55:14.039Z
7706460,915384,6555.76,2026-04-23T21:59:54.636Z,bid-extra-60352900496,2026-04-23T23:55:14.039Z
7706590,915694,7191.360000000001,2026-04-23T21:59:54.636Z,bid-extra-60352900506,2026-04-23T23:55:14.039Z
7706720,916004,7826.96,2026-04-23T21:59:54.636Z,bid-extra-60352900516,2026-04-23T23:55:14.039Z
7706850,916314,8462.56,2026-04-23T21:59:54.636Z,bid-extra-60352900526,2026-04-23T23:55:14.039Z
7706980,916624,9098.16,2026-04-23T21:59:54.636Z,bid-extra-60352900536,2026-04-23T23:55:14.039Z
7707110,916934,9733.76,2026-04-23T21:59:54.636Z,bid-extra-60352900546,2026-04-23T23:55:14.039Z
7707240,917244,10369.36,2026-04-23T21:59:54.637Z,bid-extra-60352900556,2026-04-23T23:55:14.039Z
7707370,917554,11004.960000000001,2026-04-23T21:59:54.637Z,bid-extra-60352900566,2026-04-23T23:55:14.039Z
7707500,917864,11640.56,2026-04-23T21:59:54.637Z,bid-extra-60352900576,2026-04-23T23:55:14.039Z
7707630,918174,12276.16,2026-04-23T21:59:54.637Z,bid-extra-60352900586,2026-04-23T23:55:14.039Z
7707760,918484,12911.76,2026-04-23T21:59:54.637Z,bid-extra-60352900596,2026-04-23T23:55:14.039Z
7707890,918794,4558.16,2026-04-23T21:59:54.637Z,bid-extra-60352900606,2026-04-23T23:55:14.039Z
7708020,919104,653.76,2026-04-23T21:59:54.637Z,bid-extra-60352900616,2026-04-23T23:55:14.039Z
7708150,919414,1289.3600000000001,2026-04-23T21:59:54.637Z,bid-extra-60352900626,2026-04-23T23:55:14.039Z
7708280,919724,1924.96,2026-04-23T21:59:54.637Z,bid-extra-60352900636,2026-04-23T23:55:14.039Z
7708410,920034,2560.56,2026-04-23T21:59:54.637Z,bid-extra-60352900646,2026-04-23T23:55:14.039Z
7708540,920344,3196.1600000000003,2026-04-23T21:59:54.638Z,bid-extra-60352900656,2026-04-23T23:55:14.039Z
7708670,920654,3831.76,2026-04-23T21:59:54.638Z,bid-extra-60352900666,2026-04-23T23:55:14.039Z
7708800,920964,4467.360000000001,2026-04-23T21:59:54.638Z,bid-extra-60352900676,2026-04-23T23:55:14.039Z
7708930,921274,5102.96,2026-04-23T21:59:54.638Z,bid-extra-60352900686,2026-04-23T23:55:14.039Z
7709060,921584,5738.56,2026-04-23T21:59:54.638Z,bid-extra-60352900696,2026-04-23T23:55:14.039Z
7709190,921894,6374.16,2026-04-23T21:59:54.638Z,bid-extra-60352900706,2026-04-23T23:55:14.039Z
7709320,922204,7009.76,2026-04-23T21:59:54.638Z,bid-extra-60352900716,2026-04-23T23:55:14.039Z
7709450,922514,7645.360000000001,2026-04-23T21:59:54.638Z,bid-extra-60352900726,2026-04-23T23:55:14.039Z
7709580,922824,3740.96,2026-04-23T21:59:54.638Z,bid-extra-60352900736,2026-04-23T23:55:14.039Z
7709710,923134,4376.56,2026-04-23T21:59:54.638Z,bid-extra-60352900746,2026-04-23T23:55:14.039Z
7709840,923444,5012.16,2026-04-23T21:59:54.639Z,bid-extra-60352900756,2026-04-23T23:55:14.039Z
7709970,923754,5647.76,2026-04-23T21:59:54.639Z,bid-extra-60352900766,2026-04-23T23:55:14.039Z
7710100,924064,6283.360000000001,2026-04-23T21:59:54.639Z,bid-extra-60352900776,2026-04-23T23:55:14.039Z
7710230,924374,6918.96,2026-04-23T21:59:54.639Z,bid-extra-60352900786,2026-04-23T23:55:14.039Z
7710360,924684,7554.56,2026-04-23T21:59:54.639Z,bid-extra-60352900796,2026-04-23T23:55:14.039Z
7710490,924994,8190.16,2026-04-23T21:59:54.639Z,bid-extra-60352900806,2026-04-23T23:55:14.039Z
7710620,925304,8825.76,2026-04-23T21:59:54.639Z,bid-extra-60352900816,2026-04-23T23:55:14.039Z
