auction,bidder,price,dateTime,extra,processed_time
7700090,900194,1924.96,2026-04-23T22:01:34.631Z,bid-extra-60362900006,2026-04-23T23:55:14.039Z
7700220,900504,2560.56,2026-04-23T22:01:34.631Z,bid-extra-60362900016,2026-04-23T23:55:14.039Z
7700350,900814,3196.1600000000003,2026-04-23T22:01:34.631Z,bid-extra-60362900026,2026-04-23T23:55:14.039Z
7700480,901124,3831.76,2026-04-23T22:01:34.631Z,bid-extra-60362900036,2026-04-23T23:55:14.039Z
7700610,901434,4467.360000000001,2026-04-23T22:01:34.631Z,bid-extra-60362900046,2026-04-23T23:55:14.039Z
7700740,901744,5102.96,2026-04-23T22:01:34.632Z,bid-extra-60362900056,2026-04-23T23:55:14.039Z
7700870,902054,5738.56,2026-04-23T22:01:34.632Z,bid-extra-60362900066,2026-04-23T23:55:14.039Z
7701000,902364,6374.16,2026-04-23T22:01:34.632Z,bid-extra-60362900076,2026-04-23T23:55:14.039Z
7701130,902674,7009.76,2026-04-23T22:01:34.632Z,bid-extra-60362900086,2026-04-23T23:55:14.039Z
7701260,902984,7645.360000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900096,2026-04-23T23:55:14.039Z
7701390,903294,8280.960000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900106,2026-04-23T23:55:14.039Z
7701520,903604,8916.56,2026-04-23T22:01:34.632Z,bid-extra-60362900116,2026-04-23T23:55:14.039Z
7701650,903914,5012.16,2026-04-23T22:01:34.632Z,bid-extra-60362900126,2026-04-23T23:55:14.039Z
7701780,904224,5647.76,2026-04-23T22:01:34.632Z,bid-extra-60362900136,2026-04-23T23:55:14.039Z
7701910,904534,6283.360000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900146,2026-04-23T23:55:14.039Z
7702040,904844,6918.96,2026-04-23T22:01:34.633Z,bid-extra-60362900156,2026-04-23T23:55:14.039Z
7702170,905154,7554.56,2026-04-23T22:01:34.633Z,bid-extra-60362900166,2026-04-23T23:55:14.039Z
7702300,905464,8190.16,2026-04-23T22:01:34.633Z,bid-extra-60362900176,2026-04-23T23:55:14.039Z
7702430,905774,8825.76,2026-04-23T22:01:34.633Z,bid-extra-60362900186,2026-04-23T23:55:14.039Z
7702560,906084,9461.36,2026-04-23T22:01:34.633Z,bid-extra-60362900196,2026-04-23T23:55:14.039Z
7702690,906394,10096.960000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900206,2026-04-23T23:55:14.039Z
7702820,906704,10732.56,2026-04-23T22:01:34.633Z,bid-extra-60362900216,2026-04-23T23:55:14.039Z
7702950,907014,11368.16,2026-04-23T22:01:34.633Z,bid-extra-60362900226,2026-04-23T23:55:14.039Z
7703080,907324,12003.76,2026-04-23T22:01:34.633Z,bid-extra-60362900236,2026-04-23T23:55:14.039Z
7703210,907634,8099.360000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900246,2026-04-23T23:55:14.039Z
7703340,907944,8734.960000000001,2026-04-23T22:01:34.634Z,bid-extra-60362900256,2026-04-23T23:55:14.039Z
7703470,908254,9370.56,2026-04-23T22:01:34.634Z,bid-extra-60362900266,2026-04-23T23:55:14.039Z
7703600,908564,10006.16,2026-04-23T22:01:34.634Z,bid-extra-60362900276,2026-04-23T23:55:14.039Z
7703730,908874,10641.76,2026-04-23T22:01:34.634Z,bid-extra-60362900286,2026-04-23T23:55:14.039Z
7703860,909184,2288.16,2026-04-23T22:01:34.634Z,bid-extra-60362900296,2026-04-23T23:55:14.039Z
7703990,909494,2923.76,2026-04-23T22:01:34.634Z,bid-extra-60362900306,2026-04-23T23:55:14.039Z
7704120,909804,3559.36,2026-04-23T22:01:34.634Z,bid-extra-60362900316,2026-04-23T23:55:14.039Z
7704250,910114,4194.96,2026-04-23T22:01:34.634Z,bid-extra-60362900326,2026-04-23T23:55:14.039Z
7704380,910424,4830.56,2026-04-23T22:01:34.634Z,bid-extra-60362900336,2026-04-23T23:55:14.039Z
7704510,910734,5466.16,2026-04-23T22:01:34.634Z,bid-extra-60362900346,2026-04-23T23:55:14.039Z
7704640,911044,6101.76,2026-04-23T22:01:34.635Z,bid-extra-60362900356,2026-04-23T23:55:14.039Z
7704770,911354,2197.36,2026-04-23T22:01:34.635Z,bid-extra-60362900366,2026-04-23T23:55:14.039Z
7704900,911664,2832.96,2026-04-23T22:01:34.635Z,bid-extra-60362900376,2026-04-23T23:55:14.039Z
7705030,911974,3468.56,2026-04-23T22:01:34.635Z,bid-extra-60362900386,2026-04-23T23:55:14.039Z
7705160,912284,4104.16,2026-04-23T22:01:34.635Z,bid-extra-60362900396,2026-04-23T23:55:14.039Z
7705290,912594,4739.76,2026-04-23T22:01:34.635Z,bid-extra-60362900406,2026-04-23T23:55:14.039Z
7705420,912904,5375.360000000001,2026-04-23T22:01:34.635Z,bid-extra-60362900416,2026-04-23T23:55:14.039Z
7705550,913214,6010.96,2026-04-23T22:01:34.635Z,bid-extra-60362900426,2026-04-23T23:55:14.039Z
7705680,913524,6646.56,2026-04-23T22:01:34.635Z,bid-extra-60362900436,2026-04-23T23:55:14.039Z
7705810,913834,7282.16,2026-04-23T22:01:34.635Z,bid-extra-60362900446,2026-04-23T23:55:14.039Z
7705940,914144,7917.76,2026-04-23T22:01:34.636Z,bid-extra-60362900456,2026-04-23T23:55:14.039Z
7706070,914454,8553.36,2026-04-23T22:01:34.636Z,bid-extra-60362900466,2026-04-23T23:55:14.039Z
7706200,914764,9188.960000000001,2026-04-23T22:01:34.636Z,bid-extra-60362900476,2026-04-23T23:55:14.039Z
7706330,915074,9824.56,2026-04-23T22:01:34.636Z,bid-extra-60362900486,2026-04-23T23:55:14.039Z
7706460,915384,5920.16,2026-04-23T22:01:34.636Z,bid-extra-60362900496,2026-04-23T23:55:14.039Z
