auction,bidder,price,dateTime,extra,processed_time
9700090,900194,3468.56,2026-04-23T22:02:14.631Z,bid-extra-60366900006,2026-04-23T23:55:14.039Z
9700220,900504,4104.16,2026-04-23T22:02:14.631Z,bid-extra-60366900016,2026-04-23T23:55:14.039Z
9700350,900814,4739.76,2026-04-23T22:02:14.631Z,bid-extra-60366900026,2026-04-23T23:55:14.039Z
9700480,901124,5375.360000000001,2026-04-23T22:02:14.631Z,bid-extra-60366900036,2026-04-23T23:55:14.039Z
9700610,901434,6010.96,2026-04-23T22:02:14.631Z,bid-extra-60366900046,2026-04-23T23:55:14.039Z
9700740,901744,6646.56,2026-04-23T22:02:14.632Z,bid-extra-60366900056,2026-04-23T23:55:14.039Z
9700870,902054,7282.16,2026-04-23T22:02:14.632Z,bid-extra-60366900066,2026-04-23T23:55:14.039Z
9701000,902364,7917.76,2026-04-23T22:02:14.632Z,bid-extra-60366900076,2026-04-23T23:55:14.039Z
9701130,902674,8553.36,2026-04-23T22:02:14.632Z,bid-extra-60366900086,2026-04-23T23:55:14.039Z
9701260,902984,9188.960000000001,2026-04-23T22:02:14.632Z,bid-extra-60366900096,2026-04-23T23:55:14.039Z
9701390,903294,9824.56,2026-04-23T22:02:14.632Z,bid-extra-60366900106,2026-04-23T23:55:14.039Z
9701520,903604,10460.16,2026-04-23T22:02:14.632Z,bid-extra-60366900116,2026-04-23T23:55:14.039Z
9701650,903914,6555.76,2026-04-23T22:02:14.632Z,bid-extra-60366900126,2026-04-23T23:55:14.039Z
9701780,904224,7191.360000000001,2026-04-23T22:02:14.632Z,bid-extra-60366900136,2026-04-23T23:55:14.039Z
9701910,904534,7826.96,2026-04-23T22:02:14.632Z,bid-extra-60366900146,2026-04-23T23:55:14.039Z
9702040,904844,8462.56,2026-04-23T22:02:14.633Z,bid-extra-60366900156,2026-04-23T23:55:14.039Z
9702170,905154,9098.16,2026-04-23T22:02:14.633Z,bid-extra-60366900166,2026-04-23T23:55:14.039Z
9702300,905464,9733.76,2026-04-23T22:02:14.633Z,bid-extra-60366900176,2026-04-23T23:55:14.039Z
9702430,905774,10369.36,2026-04-23T22:02:14.633Z,bid-extra-60366900186,2026-04-23T23:55:14.039Z
9702560,906084,11004.960000000001,2026-04-23T22:02:14.633Z,bid-extra-60366900196,2026-04-23T23:55:14.039Z
9702690,906394,11640.56,2026-04-23T22:02:14.633Z,bid-extra-60366900206,2026-04-23T23:55:14.039Z
9702820,906704,12276.16,2026-04-23T22:02:14.633Z,bid-extra-60366900216,2026-04-23T23:55:14.039Z
9702950,907014,12911.76,2026-04-23T22:02:14.633Z,bid-extra-60366900226,2026-04-23T23:55:14.039Z
