auction,bidder,price,dateTime,extra,processed_time
700090,900194,5193.76,2026-04-23T22:00:04.631Z,bid-extra-60353900006,2026-04-23T23:55:14.039Z
700220,900504,5829.360000000001,2026-04-23T22:00:04.631Z,bid-extra-60353900016,2026-04-23T23:55:14.039Z
700350,900814,6464.96,2026-04-23T22:00:04.631Z,bid-extra-60353900026,2026-04-23T23:55:14.039Z
700480,901124,7100.56,2026-04-23T22:00:04.631Z,bid-extra-60353900036,2026-04-23T23:55:14.039Z
700610,901434,7736.16,2026-04-23T22:00:04.631Z,bid-extra-60353900046,2026-04-23T23:55:14.039Z
700740,901744,8371.76,2026-04-23T22:00:04.632Z,bid-extra-60353900056,2026-04-23T23:55:14.039Z
700870,902054,9007.36,2026-04-23T22:00:04.632Z,bid-extra-60353900066,2026-04-23T23:55:14.039Z
701000,902364,9642.960000000001,2026-04-23T22:00:04.632Z,bid-extra-60353900076,2026-04-23T23:55:14.039Z
701130,902674,10278.56,2026-04-23T22:00:04.632Z,bid-extra-60353900086,2026-04-23T23:55:14.039Z
701260,902984,10914.16,2026-04-23T22:00:04.632Z,bid-extra-60353900096,2026-04-23T23:55:14.039Z
701390,903294,11549.76,2026-04-23T22:00:04.632Z,bid-extra-60353900106,2026-04-23T23:55:14.039Z
701520,903604,12185.36,2026-04-23T22:00:04.632Z,bid-extra-60353900116,2026-04-23T23:55:14.039Z
701650,903914,8280.960000000001,2026-04-23T22:00:04.632Z,bid-extra-60353900126,2026-04-23T23:55:14.039Z
701780,904224,8916.56,2026-04-23T22:00:04.632Z,bid-extra-60353900136,2026-04-23T23:55:14.039Z
701910,904534,9552.16,2026-04-23T22:00:04.632Z,bid-extra-60353900146,2026-04-23T23:55:14.039Z
702040,904844,10187.76,2026-04-23T22:00:04.633Z,bid-extra-60353900156,2026-04-23T23:55:14.039Z
702170,905154,1834.16,2026-04-23T22:00:04.633Z,bid-extra-60353900166,2026-04-23T23:55:14.039Z
702300,905464,2469.76,2026-04-23T22:00:04.633Z,bid-extra-60353900176,2026-04-23T23:55:14.039Z
702430,905774,3105.36,2026-04-23T22:00:04.633Z,bid-extra-60353900186,2026-04-23T23:55:14.039Z
702560,906084,3740.96,2026-04-23T22:00:04.633Z,bid-extra-60353900196,2026-04-23T23:55:14.039Z
702690,906394,4376.56,2026-04-23T22:00:04.633Z,bid-extra-60353900206,2026-04-23T23:55:14.039Z
702820,906704,5012.16,2026-04-23T22:00:04.633Z,bid-extra-60353900216,2026-04-23T23:55:14.039Z
702950,907014,5647.76,2026-04-23T22:00:04.633Z,bid-extra-60353900226,2026-04-23T23:55:14.039Z
703080,907324,6283.360000000001,2026-04-23T22:00:04.633Z,bid-extra-60353900236,2026-04-23T23:55:14.039Z
703210,907634,2378.96,2026-04-23T22:00:04.633Z,bid-extra-60353900246,2026-04-23T23:55:14.039Z
703340,907944,3014.56,2026-04-23T22:00:04.634Z,bid-extra-60353900256,2026-04-23T23:55:14.039Z
