auction,bidder,price,dateTime,extra,processed_time
4700090,900194,8280.960000000001,2026-04-23T22:01:24.631Z,bid-extra-60361900006,2026-04-23T23:55:14.039Z
4700220,900504,8916.56,2026-04-23T22:01:24.631Z,bid-extra-60361900016,2026-04-23T23:55:14.039Z
4700350,900814,9552.16,2026-04-23T22:01:24.631Z,bid-extra-60361900026,2026-04-23T23:55:14.039Z
4700480,901124,10187.76,2026-04-23T22:01:24.631Z,bid-extra-60361900036,2026-04-23T23:55:14.039Z
4700610,901434,1834.16,2026-04-23T22:01:24.631Z,bid-extra-60361900046,2026-04-23T23:55:14.039Z
4700740,901744,2469.76,2026-04-23T22:01:24.632Z,bid-extra-60361900056,2026-04-23T23:55:14.039Z
4700870,902054,3105.36,2026-04-23T22:01:24.632Z,bid-extra-60361900066,2026-04-23T23:55:14.039Z
4701000,902364,3740.96,2026-04-23T22:01:24.632Z,bid-extra-60361900076,2026-04-23T23:55:14.039Z
4701130,902674,4376.56,2026-04-23T22:01:24.632Z,bid-extra-60361900086,2026-04-23T23:55:14.039Z
4701260,902984,5012.16,2026-04-23T22:01:24.632Z,bid-extra-60361900096,2026-04-23T23:55:14.039Z
4701390,903294,5647.76,2026-04-23T22:01:24.632Z,bid-extra-60361900106,2026-04-23T23:55:14.039Z
4701520,903604,6283.360000000001,2026-04-23T22:01:24.632Z,bid-extra-60361900116,2026-04-23T23:55:14.039Z
4701650,903914,2378.96,2026-04-23T22:01:24.632Z,bid-extra-60361900126,2026-04-23T23:55:14.039Z
4701780,904224,3014.56,2026-04-23T22:01:24.632Z,bid-extra-60361900136,2026-04-23T23:55:14.039Z
4701910,904534,3650.1600000000003,2026-04-23T22:01:24.632Z,bid-extra-60361900146,2026-04-23T23:55:14.039Z
4702040,904844,4285.76,2026-04-23T22:01:24.633Z,bid-extra-60361900156,2026-04-23T23:55:14.039Z
4702170,905154,4921.360000000001,2026-04-23T22:01:24.633Z,bid-extra-60361900166,2026-04-23T23:55:14.039Z
4702300,905464,5556.96,2026-04-23T22:01:24.633Z,bid-extra-60361900176,2026-04-23T23:55:14.039Z
4702430,905774,6192.56,2026-04-23T22:01:24.633Z,bid-extra-60361900186,2026-04-23T23:55:14.039Z
4702560,906084,6828.16,2026-04-23T22:01:24.633Z,bid-extra-60361900196,2026-04-23T23:55:14.039Z
4702690,906394,7463.76,2026-04-23T22:01:24.633Z,bid-extra-60361900206,2026-04-23T23:55:14.039Z
4702820,906704,8099.360000000001,2026-04-23T22:01:24.633Z,bid-extra-60361900216,2026-04-23T23:55:14.039Z
4702950,907014,8734.960000000001,2026-04-23T22:01:24.633Z,bid-extra-60361900226,2026-04-23T23:55:14.039Z
4703080,907324,9370.56,2026-04-23T22:01:24.633Z,bid-extra-60361900236,2026-04-23T23:55:14.039Z
4703210,907634,5466.16,2026-04-23T22:01:24.633Z,bid-extra-60361900246,2026-04-23T23:55:14.039Z
4703340,907944,6101.76,2026-04-23T22:01:24.634Z,bid-extra-60361900256,2026-04-23T23:55:14.039Z
4703470,908254,6737.360000000001,2026-04-23T22:01:24.634Z,bid-extra-60361900266,2026-04-23T23:55:14.039Z
4703600,908564,7372.96,2026-04-23T22:01:24.634Z,bid-extra-60361900276,2026-04-23T23:55:14.039Z
4703730,908874,8008.56,2026-04-23T22:01:24.634Z,bid-extra-60361900286,2026-04-23T23:55:14.039Z
4703860,909184,8644.16,2026-04-23T22:01:24.634Z,bid-extra-60361900296,2026-04-23T23:55:14.039Z
4703990,909494,9279.76,2026-04-23T22:01:24.634Z,bid-extra-60361900306,2026-04-23T23:55:14.039Z
4704120,909804,9915.36,2026-04-23T22:01:24.634Z,bid-extra-60361900316,2026-04-23T23:55:14.039Z
4704250,910114,10550.960000000001,2026-04-23T22:01:24.634Z,bid-extra-60361900326,2026-04-23T23:55:14.039Z
4704380,910424,11186.56,2026-04-23T22:01:24.634Z,bid-extra-60361900336,2026-04-23T23:55:14.039Z
4704510,910734,11822.16,2026-04-23T22:01:24.634Z,bid-extra-60361900346,2026-04-23T23:55:14.039Z
4704640,911044,12457.76,2026-04-23T22:01:24.635Z,bid-extra-60361900356,2026-04-23T23:55:14.039Z
4704770,911354,8553.36,2026-04-23T22:01:24.635Z,bid-extra-60361900366,2026-04-23T23:55:14.039Z
4704900,911664,9188.960000000001,2026-04-23T22:01:24.635Z,bid-extra-60361900376,2026-04-23T23:55:14.039Z
4705030,911974,9824.56,2026-04-23T22:01:24.635Z,bid-extra-60361900386,2026-04-23T23:55:14.039Z
4705160,912284,1470.96,2026-04-23T22:01:24.635Z,bid-extra-60361900396,2026-04-23T23:55:14.039Z
4705290,912594,2106.56,2026-04-23T22:01:24.635Z,bid-extra-60361900406,2026-04-23T23:55:14.039Z
4705420,912904,2742.1600000000003,2026-04-23T22:01:24.635Z,bid-extra-60361900416,2026-04-23T23:55:14.039Z
4705550,913214,3377.76,2026-04-23T22:01:24.635Z,bid-extra-60361900426,2026-04-23T23:55:14.039Z
4705680,913524,4013.36,2026-04-23T22:01:24.635Z,bid-extra-60361900436,2026-04-23T23:55:14.039Z
4705810,913834,4648.96,2026-04-23T22:01:24.635Z,bid-extra-60361900446,2026-04-23T23:55:14.039Z
4705940,914144,5284.56,2026-04-23T22:01:24.636Z,bid-extra-60361900456,2026-04-23T23:55:14.039Z
4706070,914454,5920.16,2026-04-23T22:01:24.636Z,bid-extra-60361900466,2026-04-23T23:55:14.039Z
4706200,914764,6555.76,2026-04-23T22:01:24.636Z,bid-extra-60361900476,2026-04-23T23:55:14.039Z
4706330,915074,7191.360000000001,2026-04-23T22:01:24.636Z,bid-extra-60361900486,2026-04-23T23:55:14.039Z
4706460,915384,3286.96,2026-04-23T22:01:24.636Z,bid-extra-60361900496,2026-04-23T23:55:14.039Z
4706590,915694,3922.56,2026-04-23T22:01:24.636Z,bid-extra-60361900506,2026-04-23T23:55:14.039Z
4706720,916004,4558.16,2026-04-23T22:01:24.636Z,bid-extra-60361900516,2026-04-23T23:55:14.039Z
4706850,916314,5193.76,2026-04-23T22:01:24.636Z,bid-extra-60361900526,2026-04-23T23:55:14.039Z
4706980,916624,5829.360000000001,2026-04-23T22:01:24.636Z,bid-extra-60361900536,2026-04-23T23:55:14.039Z
4707110,916934,6464.96,2026-04-23T22:01:24.636Z,bid-extra-60361900546,2026-04-23T23:55:14.039Z
4707240,917244,7100.56,2026-04-23T22:01:24.637Z,bid-extra-60361900556,2026-04-23T23:55:14.039Z
4707370,917554,7736.16,2026-04-23T22:01:24.637Z,bid-extra-60361900566,2026-04-23T23:55:14.039Z
4707500,917864,8371.76,2026-04-23T22:01:24.637Z,bid-extra-60361900576,2026-04-23T23:55:14.039Z
4707630,918174,9007.36,2026-04-23T22:01:24.637Z,bid-extra-60361900586,2026-04-23T23:55:14.039Z
4707760,918484,9642.960000000001,2026-04-23T22:01:24.637Z,bid-extra-60361900596,2026-04-23T23:55:14.039Z
4707890,918794,10278.56,2026-04-23T22:01:24.637Z,bid-extra-60361900606,2026-04-23T23:55:14.039Z
4708020,919104,6374.16,2026-04-23T22:01:24.637Z,bid-extra-60361900616,2026-04-23T23:55:14.039Z
4708150,919414,7009.76,2026-04-23T22:01:24.637Z,bid-extra-60361900626,2026-04-23T23:55:14.039Z
4708280,919724,7645.360000000001,2026-04-23T22:01:24.637Z,bid-extra-60361900636,2026-04-23T23:55:14.039Z
4708410,920034,8280.960000000001,2026-04-23T22:01:24.637Z,bid-extra-60361900646,2026-04-23T23:55:14.039Z
4708540,920344,8916.56,2026-04-23T22:01:24.638Z,bid-extra-60361900656,2026-04-23T23:55:14.039Z
4708670,920654,9552.16,2026-04-23T22:01:24.638Z,bid-extra-60361900666,2026-04-23T23:55:14.039Z
4708800,920964,10187.76,2026-04-23T22:01:24.638Z,bid-extra-60361900676,2026-04-23T23:55:14.039Z
4708930,921274,10823.36,2026-04-23T22:01:24.638Z,bid-extra-60361900686,2026-04-23T23:55:14.039Z
4709060,921584,11458.960000000001,2026-04-23T22:01:24.638Z,bid-extra-60361900696,2026-04-23T23:55:14.039Z
4709190,921894,12094.56,2026-04-23T22:01:24.638Z,bid-extra-60361900706,2026-04-23T23:55:14.039Z
4709320,922204,12730.16,2026-04-23T22:01:24.638Z,bid-extra-60361900716,2026-04-23T23:55:14.039Z
4709450,922514,13365.76,2026-04-23T22:01:24.638Z,bid-extra-60361900726,2026-04-23T23:55:14.039Z
4709580,922824,472.16,2026-04-23T22:01:24.638Z,bid-extra-60361900736,2026-04-23T23:55:14.039Z
4709710,923134,1107.76,2026-04-23T22:01:24.638Z,bid-extra-60361900746,2026-04-23T23:55:14.039Z
4709840,923444,1743.3600000000001,2026-04-23T22:01:24.639Z,bid-extra-60361900756,2026-04-23T23:55:14.039Z
4709970,923754,2378.96,2026-04-23T22:01:24.639Z,bid-extra-60361900766,2026-04-23T23:55:14.039Z
4710100,924064,3014.56,2026-04-23T22:01:24.639Z,bid-extra-60361900776,2026-04-23T23:55:14.039Z
4710230,924374,3650.1600000000003,2026-04-23T22:01:24.639Z,bid-extra-60361900786,2026-04-23T23:55:14.039Z
4710360,924684,4285.76,2026-04-23T22:01:24.639Z,bid-extra-60361900796,2026-04-23T23:55:14.039Z
4710490,924994,4921.360000000001,2026-04-23T22:01:24.639Z,bid-extra-60361900806,2026-04-23T23:55:14.039Z
4710620,925304,5556.96,2026-04-23T22:01:24.639Z,bid-extra-60361900816,2026-04-23T23:55:14.039Z
4710750,925614,6192.56,2026-04-23T22:01:24.639Z,bid-extra-60361900826,2026-04-23T23:55:14.039Z
4710880,925924,6828.16,2026-04-23T22:01:24.639Z,bid-extra-60361900836,2026-04-23T23:55:14.039Z
4711010,926234,7463.76,2026-04-23T22:01:24.639Z,bid-extra-60361900846,2026-04-23T23:55:14.039Z
4711140,926544,3559.36,2026-04-23T22:01:24.640Z,bid-extra-60361900856,2026-04-23T23:55:14.039Z
4711270,926854,4194.96,2026-04-23T22:01:24.640Z,bid-extra-60361900866,2026-04-23T23:55:14.039Z
4711400,927164,4830.56,2026-04-23T22:01:24.640Z,bid-extra-60361900876,2026-04-23T23:55:14.039Z
4711530,927474,5466.16,2026-04-23T22:01:24.640Z,bid-extra-60361900886,2026-04-23T23:55:14.039Z
4711660,927784,6101.76,2026-04-23T22:01:24.640Z,bid-extra-60361900896,2026-04-23T23:55:14.039Z
4711790,928094,6737.360000000001,2026-04-23T22:01:24.640Z,bid-extra-60361900906,2026-04-23T23:55:14.039Z
4711920,928404,7372.96,2026-04-23T22:01:24.640Z,bid-extra-60361900916,2026-04-23T23:55:14.039Z
4712050,928714,8008.56,2026-04-23T22:01:24.640Z,bid-extra-60361900926,2026-04-23T23:55:14.039Z
4712180,929024,8644.16,2026-04-23T22:01:24.640Z,bid-extra-60361900936,2026-04-23T23:55:14.039Z
4712310,929334,9279.76,2026-04-23T22:01:24.640Z,bid-extra-60361900946,2026-04-23T23:55:14.039Z
4712440,929644,9915.36,2026-04-23T22:01:24.641Z,bid-extra-60361900956,2026-04-23T23:55:14.039Z
4712570,929954,10550.960000000001,2026-04-23T22:01:24.641Z,bid-extra-60361900966,2026-04-23T23:55:14.039Z
4712700,930264,6646.56,2026-04-23T22:01:24.641Z,bid-extra-60361900976,2026-04-23T23:55:14.039Z
4712830,930574,7282.16,2026-04-23T22:01:24.641Z,bid-extra-60361900986,2026-04-23T23:55:14.039Z
4712960,930884,7917.76,2026-04-23T22:01:24.641Z,bid-extra-60361900996,2026-04-23T23:55:14.039Z
4713090,931194,8553.36,2026-04-23T22:01:24.641Z,bid-extra-60361901006,2026-04-23T23:55:14.039Z
4713220,931504,9188.960000000001,2026-04-23T22:01:24.641Z,bid-extra-60361901016,2026-04-23T23:55:14.039Z
4713350,931814,9824.56,2026-04-23T22:01:24.641Z,bid-extra-60361901026,2026-04-23T23:55:14.039Z
4713480,932124,10460.16,2026-04-23T22:01:24.641Z,bid-extra-60361901036,2026-04-23T23:55:14.039Z
4713610,932434,11095.76,2026-04-23T22:01:24.641Z,bid-extra-60361901046,2026-04-23T23:55:14.039Z
4713740,932744,11731.36,2026-04-23T22:01:24.642Z,bid-extra-60361901056,2026-04-23T23:55:14.039Z
4713870,933054,12366.960000000001,2026-04-23T22:01:24.642Z,bid-extra-60361901066,2026-04-23T23:55:14.039Z
4714000,933364,4013.36,2026-04-23T22:01:24.642Z,bid-extra-60361901076,2026-04-23T23:55:14.039Z
4714130,933674,4648.96,2026-04-23T22:01:24.642Z,bid-extra-60361901086,2026-04-23T23:55:14.039Z
4714260,933984,5284.56,2026-04-23T22:01:24.642Z,bid-extra-60361901096,2026-04-23T23:55:14.039Z
4714390,934294,1380.16,2026-04-23T22:01:24.642Z,bid-extra-60361901106,2026-04-23T23:55:14.039Z
4714520,934604,2015.76,2026-04-23T22:01:24.642Z,bid-extra-60361901116,2026-04-23T23:55:14.039Z
4714650,934914,2651.36,2026-04-23T22:01:24.642Z,bid-extra-60361901126,2026-04-23T23:55:14.039Z
4714780,935224,3286.96,2026-04-23T22:01:24.642Z,bid-extra-60361901136,2026-04-23T23:55:14.039Z
4714910,935534,3922.56,2026-04-23T22:01:24.642Z,bid-extra-60361901146,2026-04-23T23:55:14.039Z
4715040,935844,4558.16,2026-04-23T22:01:24.643Z,bid-extra-60361901156,2026-04-23T23:55:14.039Z
4715170,936154,5193.76,2026-04-23T22:01:24.643Z,bid-extra-60361901166,2026-04-23T23:55:14.039Z
4715300,936464,5829.360000000001,2026-04-23T22:01:24.643Z,bid-extra-60361901176,2026-04-23T23:55:14.039Z
4715430,936774,6464.96,2026-04-23T22:01:24.643Z,bid-extra-60361901186,2026-04-23T23:55:14.039Z
4715560,937084,7100.56,2026-04-23T22:01:24.643Z,bid-extra-60361901196,2026-04-23T23:55:14.039Z
4715690,937394,7736.16,2026-04-23T22:01:24.643Z,bid-extra-60361901206,2026-04-23T23:55:14.039Z
4715820,937704,8371.76,2026-04-23T22:01:24.643Z,bid-extra-60361901216,2026-04-23T23:55:14.039Z
4715950,938014,4467.360000000001,2026-04-23T22:01:24.643Z,bid-extra-60361901226,2026-04-23T23:55:14.039Z
4716080,938324,5102.96,2026-04-23T22:01:24.643Z,bid-extra-60361901236,2026-04-23T23:55:14.039Z
4716210,938634,5738.56,2026-04-23T22:01:24.643Z,bid-extra-60361901246,2026-04-23T23:55:14.039Z
4716340,938944,6374.16,2026-04-23T22:01:24.644Z,bid-extra-60361901256,2026-04-23T23:55:14.039Z
4716470,939254,7009.76,2026-04-23T22:01:24.644Z,bid-extra-60361901266,2026-04-23T23:55:14.039Z
4716600,939564,7645.360000000001,2026-04-23T22:01:24.644Z,bid-extra-60361901276,2026-04-23T23:55:14.039Z
4716730,939874,8280.960000000001,2026-04-23T22:01:24.644Z,bid-extra-60361901286,2026-04-23T23:55:14.039Z
4716860,940184,8916.56,2026-04-23T22:01:24.644Z,bid-extra-60361901296,2026-04-23T23:55:14.039Z
