auction,bidder,price,dateTime,extra,processed_time
3700090,900194,8462.56,2026-04-23T21:58:34.631Z,bid-extra-60344900006,2026-04-23T23:55:14.039Z
3700220,900504,9098.16,2026-04-23T21:58:34.631Z,bid-extra-60344900016,2026-04-23T23:55:14.039Z
3700350,900814,9733.76,2026-04-23T21:58:34.631Z,bid-extra-60344900026,2026-04-23T23:55:14.039Z
3700480,901124,10369.36,2026-04-23T21:58:34.631Z,bid-extra-60344900036,2026-04-23T23:55:14.039Z
3700610,901434,2015.76,2026-04-23T21:58:34.631Z,bid-extra-60344900046,2026-04-23T23:55:14.039Z
3700740,901744,2651.36,2026-04-23T21:58:34.632Z,bid-extra-60344900056,2026-04-23T23:55:14.039Z
3700870,902054,3286.96,2026-04-23T21:58:34.632Z,bid-extra-60344900066,2026-04-23T23:55:14.039Z
3701000,902364,3922.56,2026-04-23T21:58:34.632Z,bid-extra-60344900076,2026-04-23T23:55:14.039Z
3701130,902674,4558.16,2026-04-23T21:58:34.632Z,bid-extra-60344900086,2026-04-23T23:55:14.039Z
3701260,902984,5193.76,2026-04-23T21:58:34.632Z,bid-extra-60344900096,2026-04-23T23:55:14.039Z
3701390,903294,5829.360000000001,2026-04-23T21:58:34.632Z,bid-extra-60344900106,2026-04-23T23:55:14.039Z
3701520,903604,6464.96,2026-04-23T21:58:34.632Z,bid-extra-60344900116,2026-04-23T23:55:14.039Z
3701650,903914,2560.56,2026-04-23T21:58:34.632Z,bid-extra-60344900126,2026-04-23T23:55:14.039Z
3701780,904224,3196.1600000000003,2026-04-23T21:58:34.632Z,bid-extra-60344900136,2026-04-23T23:55:14.039Z
3701910,904534,3831.76,2026-04-23T21:58:34.632Z,bid-extra-60344900146,2026-04-23T23:55:14.039Z
3702040,904844,4467.360000000001,2026-04-23T21:58:34.633Z,bid-extra-60344900156,2026-04-23T23:55:14.039Z
3702170,905154,5102.96,2026-04-23T21:58:34.633Z,bid-extra-60344900166,2026-04-23T23:55:14.039Z
3702300,905464,5738.56,2026-04-23T21:58:34.633Z,bid-extra-60344900176,2026-04-23T23:55:14.039Z
3702430,905774,6374.16,2026-04-23T21:58:34.633Z,bid-extra-60344900186,2026-04-23T23:55:14.039Z
3702560,906084,7009.76,2026-04-23T21:58:34.633Z,bid-extra-60344900196,2026-04-23T23:55:14.039Z
3702690,906394,7645.360000000001,2026-04-23T21:58:34.633Z,bid-extra-60344900206,2026-04-23T23:55:14.039Z
3702820,906704,8280.960000000001,2026-04-23T21:58:34.633Z,bid-extra-60344900216,2026-04-23T23:55:14.039Z
3702950,907014,8916.56,2026-04-23T21:58:34.633Z,bid-extra-60344900226,2026-04-23T23:55:14.039Z
3703080,907324,9552.16,2026-04-23T21:58:34.633Z,bid-extra-60344900236,2026-04-23T23:55:14.039Z
3703210,907634,5647.76,2026-04-23T21:58:34.633Z,bid-extra-60344900246,2026-04-23T23:55:14.039Z
3703340,907944,6283.360000000001,2026-04-23T21:58:34.634Z,bid-extra-60344900256,2026-04-23T23:55:14.039Z
3703470,908254,6918.96,2026-04-23T21:58:34.634Z,bid-extra-60344900266,2026-04-23T23:55:14.039Z
3703600,908564,7554.56,2026-04-23T21:58:34.634Z,bid-extra-60344900276,2026-04-23T23:55:14.039Z
3703730,908874,8190.16,2026-04-23T21:58:34.634Z,bid-extra-60344900286,2026-04-23T23:55:14.039Z
3703860,909184,8825.76,2026-04-23T21:58:34.634Z,bid-extra-60344900296,2026-04-23T23:55:14.039Z
3703990,909494,9461.36,2026-04-23T21:58:34.634Z,bid-extra-60344900306,2026-04-23T23:55:14.039Z
3704120,909804,10096.960000000001,2026-04-23T21:58:34.634Z,bid-extra-60344900316,2026-04-23T23:55:14.039Z
3704250,910114,10732.56,2026-04-23T21:58:34.634Z,bid-extra-60344900326,2026-04-23T23:55:14.039Z
3704380,910424,11368.16,2026-04-23T21:58:34.634Z,bid-extra-60344900336,2026-04-23T23:55:14.039Z
3704510,910734,12003.76,2026-04-23T21:58:34.634Z,bid-extra-60344900346,2026-04-23T23:55:14.039Z
3704640,911044,12639.36,2026-04-23T21:58:34.635Z,bid-extra-60344900356,2026-04-23T23:55:14.039Z
3704770,911354,8734.960000000001,2026-04-23T21:58:34.635Z,bid-extra-60344900366,2026-04-23T23:55:14.039Z
3704900,911664,9370.56,2026-04-23T21:58:34.635Z,bid-extra-60344900376,2026-04-23T23:55:14.039Z
3705030,911974,1016.96,2026-04-23T21:58:34.635Z,bid-extra-60344900386,2026-04-23T23:55:14.039Z
