auction,bidder,price,dateTime,extra,processed_time
3700090,900194,7826.96,2026-04-23T22:00:14.631Z,bid-extra-60354900006,2026-04-23T23:55:14.039Z
3700220,900504,8462.56,2026-04-23T22:00:14.631Z,bid-extra-60354900016,2026-04-23T23:55:14.039Z
3700350,900814,9098.16,2026-04-23T22:00:14.631Z,bid-extra-60354900026,2026-04-23T23:55:14.039Z
3700480,901124,9733.76,2026-04-23T22:00:14.631Z,bid-extra-60354900036,2026-04-23T23:55:14.039Z
3700610,901434,10369.36,2026-04-23T22:00:14.631Z,bid-extra-60354900046,2026-04-23T23:55:14.039Z
3700740,901744,11004.960000000001,2026-04-23T22:00:14.632Z,bid-extra-60354900056,2026-04-23T23:55:14.039Z
3700870,902054,2651.36,2026-04-23T22:00:14.632Z,bid-extra-60354900066,2026-04-23T23:55:14.039Z
3701000,902364,3286.96,2026-04-23T22:00:14.632Z,bid-extra-60354900076,2026-04-23T23:55:14.039Z
3701130,902674,3922.56,2026-04-23T22:00:14.632Z,bid-extra-60354900086,2026-04-23T23:55:14.039Z
3701260,902984,4558.16,2026-04-23T22:00:14.632Z,bid-extra-60354900096,2026-04-23T23:55:14.039Z
3701390,903294,5193.76,2026-04-23T22:00:14.632Z,bid-extra-60354900106,2026-04-23T23:55:14.039Z
3701520,903604,5829.360000000001,2026-04-23T22:00:14.632Z,bid-extra-60354900116,2026-04-23T23:55:14.039Z
3701650,903914,1924.96,2026-04-23T22:00:14.632Z,bid-extra-60354900126,2026-04-23T23:55:14.039Z
3701780,904224,2560.56,2026-04-23T22:00:14.632Z,bid-extra-60354900136,2026-04-23T23:55:14.039Z
3701910,904534,3196.1600000000003,2026-04-23T22:00:14.632Z,bid-extra-60354900146,2026-04-23T23:55:14.039Z
3702040,904844,3831.76,2026-04-23T22:00:14.633Z,bid-extra-60354900156,2026-04-23T23:55:14.039Z
3702170,905154,4467.360000000001,2026-04-23T22:00:14.633Z,bid-extra-60354900166,2026-04-23T23:55:14.039Z
3702300,905464,5102.96,2026-04-23T22:00:14.633Z,bid-extra-60354900176,2026-04-23T23:55:14.039Z
3702430,905774,5738.56,2026-04-23T22:00:14.633Z,bid-extra-60354900186,2026-04-23T23:55:14.039Z
3702560,906084,6374.16,2026-04-23T22:00:14.633Z,bid-extra-60354900196,2026-04-23T23:55:14.039Z
3702690,906394,7009.76,2026-04-23T22:00:14.633Z,bid-extra-60354900206,2026-04-23T23:55:14.039Z
3702820,906704,7645.360000000001,2026-04-23T22:00:14.633Z,bid-extra-60354900216,2026-04-23T23:55:14.039Z
3702950,907014,8280.960000000001,2026-04-23T22:00:14.633Z,bid-extra-60354900226,2026-04-23T23:55:14.039Z
3703080,907324,8916.56,2026-04-23T22:00:14.633Z,bid-extra-60354900236,2026-04-23T23:55:14.039Z
3703210,907634,5012.16,2026-04-23T22:00:14.633Z,bid-extra-60354900246,2026-04-23T23:55:14.039Z
3703340,907944,5647.76,2026-04-23T22:00:14.634Z,bid-extra-60354900256,2026-04-23T23:55:14.039Z
3703470,908254,6283.360000000001,2026-04-23T22:00:14.634Z,bid-extra-60354900266,2026-04-23T23:55:14.039Z
3703600,908564,6918.96,2026-04-23T22:00:14.634Z,bid-extra-60354900276,2026-04-23T23:55:14.039Z
3703730,908874,7554.56,2026-04-23T22:00:14.634Z,bid-extra-60354900286,2026-04-23T23:55:14.039Z
3703860,909184,8190.16,2026-04-23T22:00:14.634Z,bid-extra-60354900296,2026-04-23T23:55:14.039Z
3703990,909494,8825.76,2026-04-23T22:00:14.634Z,bid-extra-60354900306,2026-04-23T23:55:14.039Z
3704120,909804,9461.36,2026-04-23T22:00:14.634Z,bid-extra-60354900316,2026-04-23T23:55:14.039Z
3704250,910114,10096.960000000001,2026-04-23T22:00:14.634Z,bid-extra-60354900326,2026-04-23T23:55:14.039Z
