auction,bidder,price,dateTime,extra,processed_time
9700090,900194,4739.76,2026-04-23T21:58:54.631Z,bid-extra-60346900006,2026-04-23T23:55:14.039Z
9700220,900504,5375.360000000001,2026-04-23T21:58:54.631Z,bid-extra-60346900016,2026-04-23T23:55:14.039Z
9700350,900814,6010.96,2026-04-23T21:58:54.631Z,bid-extra-60346900026,2026-04-23T23:55:14.039Z
9700480,901124,6646.56,2026-04-23T21:58:54.631Z,bid-extra-60346900036,2026-04-23T23:55:14.039Z
9700610,901434,7282.16,2026-04-23T21:58:54.631Z,bid-extra-60346900046,2026-04-23T23:55:14.039Z
9700740,901744,7917.76,2026-04-23T21:58:54.632Z,bid-extra-60346900056,2026-04-23T23:55:14.039Z
9700870,902054,8553.36,2026-04-23T21:58:54.632Z,bid-extra-60346900066,2026-04-23T23:55:14.039Z
9701000,902364,9188.960000000001,2026-04-23T21:58:54.632Z,bid-extra-60346900076,2026-04-23T23:55:14.039Z
9701130,902674,9824.56,2026-04-23T21:58:54.632Z,bid-extra-60346900086,2026-04-23T23:55:14.039Z
9701260,902984,10460.16,2026-04-23T21:58:54.632Z,bid-extra-60346900096,2026-04-23T23:55:14.039Z
9701390,903294,11095.76,2026-04-23T21:58:54.632Z,bid-extra-60346900106,2026-04-23T23:55:14.039Z
9701520,903604,11731.36,2026-04-23T21:58:54.632Z,bid-extra-60346900116,2026-04-23T23:55:14.039Z
9701650,903914,7826.96,2026-04-23T21:58:54.632Z,bid-extra-60346900126,2026-04-23T23:55:14.039Z
9701780,904224,8462.56,2026-04-23T21:58:54.632Z,bid-extra-60346900136,2026-04-23T23:55:14.039Z
9701910,904534,9098.16,2026-04-23T21:58:54.632Z,bid-extra-60346900146,2026-04-23T23:55:14.039Z
9702040,904844,9733.76,2026-04-23T21:58:54.633Z,bid-extra-60346900156,2026-04-23T23:55:14.039Z
9702170,905154,10369.36,2026-04-23T21:58:54.633Z,bid-extra-60346900166,2026-04-23T23:55:14.039Z
9702300,905464,11004.960000000001,2026-04-23T21:58:54.633Z,bid-extra-60346900176,2026-04-23T23:55:14.039Z
9702430,905774,2651.36,2026-04-23T21:58:54.633Z,bid-extra-60346900186,2026-04-23T23:55:14.039Z
9702560,906084,3286.96,2026-04-23T21:58:54.633Z,bid-extra-60346900196,2026-04-23T23:55:14.039Z
9702690,906394,3922.56,2026-04-23T21:58:54.633Z,bid-extra-60346900206,2026-04-23T23:55:14.039Z
9702820,906704,4558.16,2026-04-23T21:58:54.633Z,bid-extra-60346900216,2026-04-23T23:55:14.039Z
9702950,907014,5193.76,2026-04-23T21:58:54.633Z,bid-extra-60346900226,2026-04-23T23:55:14.039Z
9703080,907324,5829.360000000001,2026-04-23T21:58:54.633Z,bid-extra-60346900236,2026-04-23T23:55:14.039Z
9703210,907634,1924.96,2026-04-23T21:58:54.633Z,bid-extra-60346900246,2026-04-23T23:55:14.039Z
9703340,907944,2560.56,2026-04-23T21:58:54.634Z,bid-extra-60346900256,2026-04-23T23:55:14.039Z
9703470,908254,3196.1600000000003,2026-04-23T21:58:54.634Z,bid-extra-60346900266,2026-04-23T23:55:14.039Z
9703600,908564,3831.76,2026-04-23T21:58:54.634Z,bid-extra-60346900276,2026-04-23T23:55:14.039Z
9703730,908874,4467.360000000001,2026-04-23T21:58:54.634Z,bid-extra-60346900286,2026-04-23T23:55:14.039Z
9703860,909184,5102.96,2026-04-23T21:58:54.634Z,bid-extra-60346900296,2026-04-23T23:55:14.039Z
9703990,909494,5738.56,2026-04-23T21:58:54.634Z,bid-extra-60346900306,2026-04-23T23:55:14.039Z
9704120,909804,6374.16,2026-04-23T21:58:54.634Z,bid-extra-60346900316,2026-04-23T23:55:14.039Z
9704250,910114,7009.76,2026-04-23T21:58:54.634Z,bid-extra-60346900326,2026-04-23T23:55:14.039Z
9704380,910424,7645.360000000001,2026-04-23T21:58:54.634Z,bid-extra-60346900336,2026-04-23T23:55:14.039Z
