auction,bidder,price,dateTime,extra,processed_time
2700090,900194,7372.96,2026-04-23T21:59:04.631Z,bid-extra-60347900006,2026-04-23T23:55:14.039Z
2700220,900504,8008.56,2026-04-23T21:59:04.631Z,bid-extra-60347900016,2026-04-23T23:55:14.039Z
2700350,900814,8644.16,2026-04-23T21:59:04.631Z,bid-extra-60347900026,2026-04-23T23:55:14.039Z
2700480,901124,9279.76,2026-04-23T21:59:04.631Z,bid-extra-60347900036,2026-04-23T23:55:14.039Z
2700610,901434,9915.36,2026-04-23T21:59:04.631Z,bid-extra-60347900046,2026-04-23T23:55:14.039Z
2700740,901744,10550.960000000001,2026-04-23T21:59:04.632Z,bid-extra-60347900056,2026-04-23T23:55:14.039Z
2700870,902054,11186.56,2026-04-23T21:59:04.632Z,bid-extra-60347900066,2026-04-23T23:55:14.039Z
2701000,902364,11822.16,2026-04-23T21:59:04.632Z,bid-extra-60347900076,2026-04-23T23:55:14.039Z
2701130,902674,3468.56,2026-04-23T21:59:04.632Z,bid-extra-60347900086,2026-04-23T23:55:14.039Z
2701260,902984,4104.16,2026-04-23T21:59:04.632Z,bid-extra-60347900096,2026-04-23T23:55:14.039Z
2701390,903294,4739.76,2026-04-23T21:59:04.632Z,bid-extra-60347900106,2026-04-23T23:55:14.039Z
2701520,903604,5375.360000000001,2026-04-23T21:59:04.632Z,bid-extra-60347900116,2026-04-23T23:55:14.039Z
2701650,903914,1470.96,2026-04-23T21:59:04.632Z,bid-extra-60347900126,2026-04-23T23:55:14.039Z
2701780,904224,2106.56,2026-04-23T21:59:04.632Z,bid-extra-60347900136,2026-04-23T23:55:14.039Z
2701910,904534,2742.1600000000003,2026-04-23T21:59:04.632Z,bid-extra-60347900146,2026-04-23T23:55:14.039Z
2702040,904844,3377.76,2026-04-23T21:59:04.633Z,bid-extra-60347900156,2026-04-23T23:55:14.039Z
2702170,905154,4013.36,2026-04-23T21:59:04.633Z,bid-extra-60347900166,2026-04-23T23:55:14.039Z
2702300,905464,4648.96,2026-04-23T21:59:04.633Z,bid-extra-60347900176,2026-04-23T23:55:14.039Z
2702430,905774,5284.56,2026-04-23T21:59:04.633Z,bid-extra-60347900186,2026-04-23T23:55:14.039Z
2702560,906084,5920.16,2026-04-23T21:59:04.633Z,bid-extra-60347900196,2026-04-23T23:55:14.039Z
2702690,906394,6555.76,2026-04-23T21:59:04.633Z,bid-extra-60347900206,2026-04-23T23:55:14.039Z
2702820,906704,7191.360000000001,2026-04-23T21:59:04.633Z,bid-extra-60347900216,2026-04-23T23:55:14.039Z
2702950,907014,7826.96,2026-04-23T21:59:04.633Z,bid-extra-60347900226,2026-04-23T23:55:14.039Z
2703080,907324,8462.56,2026-04-23T21:59:04.633Z,bid-extra-60347900236,2026-04-23T23:55:14.039Z
2703210,907634,4558.16,2026-04-23T21:59:04.633Z,bid-extra-60347900246,2026-04-23T23:55:14.039Z
2703340,907944,5193.76,2026-04-23T21:59:04.634Z,bid-extra-60347900256,2026-04-23T23:55:14.039Z
2703470,908254,5829.360000000001,2026-04-23T21:59:04.634Z,bid-extra-60347900266,2026-04-23T23:55:14.039Z
2703600,908564,6464.96,2026-04-23T21:59:04.634Z,bid-extra-60347900276,2026-04-23T23:55:14.039Z
2703730,908874,7100.56,2026-04-23T21:59:04.634Z,bid-extra-60347900286,2026-04-23T23:55:14.039Z
2703860,909184,7736.16,2026-04-23T21:59:04.634Z,bid-extra-60347900296,2026-04-23T23:55:14.039Z
2703990,909494,8371.76,2026-04-23T21:59:04.634Z,bid-extra-60347900306,2026-04-23T23:55:14.039Z
2704120,909804,9007.36,2026-04-23T21:59:04.634Z,bid-extra-60347900316,2026-04-23T23:55:14.039Z
2704250,910114,9642.960000000001,2026-04-23T21:59:04.634Z,bid-extra-60347900326,2026-04-23T23:55:14.039Z
2704380,910424,10278.56,2026-04-23T21:59:04.634Z,bid-extra-60347900336,2026-04-23T23:55:14.039Z
2704510,910734,10914.16,2026-04-23T21:59:04.634Z,bid-extra-60347900346,2026-04-23T23:55:14.039Z
2704640,911044,11549.76,2026-04-23T21:59:04.635Z,bid-extra-60347900356,2026-04-23T23:55:14.039Z
