auction,bidder,price,dateTime,extra,processed_time
2700090,900194,6101.76,2026-04-23T22:02:24.631Z,bid-extra-60367900006,2026-04-23T23:55:14.039Z
2700220,900504,6737.360000000001,2026-04-23T22:02:24.631Z,bid-extra-60367900016,2026-04-23T23:55:14.039Z
2700350,900814,7372.96,2026-04-23T22:02:24.631Z,bid-extra-60367900026,2026-04-23T23:55:14.039Z
2700480,901124,8008.56,2026-04-23T22:02:24.631Z,bid-extra-60367900036,2026-04-23T23:55:14.039Z
2700610,901434,8644.16,2026-04-23T22:02:24.631Z,bid-extra-60367900046,2026-04-23T23:55:14.039Z
2700740,901744,9279.76,2026-04-23T22:02:24.632Z,bid-extra-60367900056,2026-04-23T23:55:14.039Z
2700870,902054,9915.36,2026-04-23T22:02:24.632Z,bid-extra-60367900066,2026-04-23T23:55:14.039Z
2701000,902364,10550.960000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900076,2026-04-23T23:55:14.039Z
2701130,902674,11186.56,2026-04-23T22:02:24.632Z,bid-extra-60367900086,2026-04-23T23:55:14.039Z
2701260,902984,11822.16,2026-04-23T22:02:24.632Z,bid-extra-60367900096,2026-04-23T23:55:14.039Z
2701390,903294,12457.76,2026-04-23T22:02:24.632Z,bid-extra-60367900106,2026-04-23T23:55:14.039Z
2701520,903604,13093.36,2026-04-23T22:02:24.632Z,bid-extra-60367900116,2026-04-23T23:55:14.039Z
2701650,903914,9188.960000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900126,2026-04-23T23:55:14.039Z
2701780,904224,835.36,2026-04-23T22:02:24.632Z,bid-extra-60367900136,2026-04-23T23:55:14.039Z
2701910,904534,1470.96,2026-04-23T22:02:24.632Z,bid-extra-60367900146,2026-04-23T23:55:14.039Z
2702040,904844,2106.56,2026-04-23T22:02:24.633Z,bid-extra-60367900156,2026-04-23T23:55:14.039Z
2702170,905154,2742.1600000000003,2026-04-23T22:02:24.633Z,bid-extra-60367900166,2026-04-23T23:55:14.039Z
2702300,905464,3377.76,2026-04-23T22:02:24.633Z,bid-extra-60367900176,2026-04-23T23:55:14.039Z
2702430,905774,4013.36,2026-04-23T22:02:24.633Z,bid-extra-60367900186,2026-04-23T23:55:14.039Z
2702560,906084,4648.96,2026-04-23T22:02:24.633Z,bid-extra-60367900196,2026-04-23T23:55:14.039Z
2702690,906394,5284.56,2026-04-23T22:02:24.633Z,bid-extra-60367900206,2026-04-23T23:55:14.039Z
2702820,906704,5920.16,2026-04-23T22:02:24.633Z,bid-extra-60367900216,2026-04-23T23:55:14.039Z
2702950,907014,6555.76,2026-04-23T22:02:24.633Z,bid-extra-60367900226,2026-04-23T23:55:14.039Z
2703080,907324,7191.360000000001,2026-04-23T22:02:24.633Z,bid-extra-60367900236,2026-04-23T23:55:14.039Z
2703210,907634,3286.96,2026-04-23T22:02:24.633Z,bid-extra-60367900246,2026-04-23T23:55:14.039Z
2703340,907944,3922.56,2026-04-23T22:02:24.634Z,bid-extra-60367900256,2026-04-23T23:55:14.039Z
2703470,908254,4558.16,2026-04-23T22:02:24.634Z,bid-extra-60367900266,2026-04-23T23:55:14.039Z
2703600,908564,5193.76,2026-04-23T22:02:24.634Z,bid-extra-60367900276,2026-04-23T23:55:14.039Z
2703730,908874,5829.360000000001,2026-04-23T22:02:24.634Z,bid-extra-60367900286,2026-04-23T23:55:14.039Z
2703860,909184,6464.96,2026-04-23T22:02:24.634Z,bid-extra-60367900296,2026-04-23T23:55:14.039Z
2703990,909494,7100.56,2026-04-23T22:02:24.634Z,bid-extra-60367900306,2026-04-23T23:55:14.039Z
2704120,909804,7736.16,2026-04-23T22:02:24.634Z,bid-extra-60367900316,2026-04-23T23:55:14.039Z
2704250,910114,8371.76,2026-04-23T22:02:24.634Z,bid-extra-60367900326,2026-04-23T23:55:14.039Z
2704380,910424,9007.36,2026-04-23T22:02:24.634Z,bid-extra-60367900336,2026-04-23T23:55:14.039Z
2704510,910734,9642.960000000001,2026-04-23T22:02:24.634Z,bid-extra-60367900346,2026-04-23T23:55:14.039Z
2704640,911044,10278.56,2026-04-23T22:02:24.635Z,bid-extra-60367900356,2026-04-23T23:55:14.039Z
2704770,911354,6374.16,2026-04-23T22:02:24.635Z,bid-extra-60367900366,2026-04-23T23:55:14.039Z
2704900,911664,7009.76,2026-04-23T22:02:24.635Z,bid-extra-60367900376,2026-04-23T23:55:14.039Z
2705030,911974,7645.360000000001,2026-04-23T22:02:24.635Z,bid-extra-60367900386,2026-04-23T23:55:14.039Z
2705160,912284,8280.960000000001,2026-04-23T22:02:24.635Z,bid-extra-60367900396,2026-04-23T23:55:14.039Z
2705290,912594,8916.56,2026-04-23T22:02:24.635Z,bid-extra-60367900406,2026-04-23T23:55:14.039Z
2705420,912904,9552.16,2026-04-23T22:02:24.635Z,bid-extra-60367900416,2026-04-23T23:55:14.039Z
2705550,913214,10187.76,2026-04-23T22:02:24.635Z,bid-extra-60367900426,2026-04-23T23:55:14.039Z
2705680,913524,10823.36,2026-04-23T22:02:24.635Z,bid-extra-60367900436,2026-04-23T23:55:14.039Z
2705810,913834,11458.960000000001,2026-04-23T22:02:24.635Z,bid-extra-60367900446,2026-04-23T23:55:14.039Z
2705940,914144,12094.56,2026-04-23T22:02:24.636Z,bid-extra-60367900456,2026-04-23T23:55:14.039Z
2706070,914454,12730.16,2026-04-23T22:02:24.636Z,bid-extra-60367900466,2026-04-23T23:55:14.039Z
2706200,914764,4376.56,2026-04-23T22:02:24.636Z,bid-extra-60367900476,2026-04-23T23:55:14.039Z
2706330,915074,5012.16,2026-04-23T22:02:24.636Z,bid-extra-60367900486,2026-04-23T23:55:14.039Z
2706460,915384,1107.76,2026-04-23T22:02:24.636Z,bid-extra-60367900496,2026-04-23T23:55:14.039Z
2706590,915694,1743.3600000000001,2026-04-23T22:02:24.636Z,bid-extra-60367900506,2026-04-23T23:55:14.039Z
2706720,916004,2378.96,2026-04-23T22:02:24.636Z,bid-extra-60367900516,2026-04-23T23:55:14.039Z
2706850,916314,3014.56,2026-04-23T22:02:24.636Z,bid-extra-60367900526,2026-04-23T23:55:14.039Z
2706980,916624,3650.1600000000003,2026-04-23T22:02:24.636Z,bid-extra-60367900536,2026-04-23T23:55:14.039Z
2707110,916934,4285.76,2026-04-23T22:02:24.636Z,bid-extra-60367900546,2026-04-23T23:55:14.039Z
2707240,917244,4921.360000000001,2026-04-23T22:02:24.637Z,bid-extra-60367900556,2026-04-23T23:55:14.039Z
2707370,917554,5556.96,2026-04-23T22:02:24.637Z,bid-extra-60367900566,2026-04-23T23:55:14.039Z
2707500,917864,6192.56,2026-04-23T22:02:24.637Z,bid-extra-60367900576,2026-04-23T23:55:14.039Z
2707630,918174,6828.16,2026-04-23T22:02:24.637Z,bid-extra-60367900586,2026-04-23T23:55:14.039Z
2707760,918484,7463.76,2026-04-23T22:02:24.637Z,bid-extra-60367900596,2026-04-23T23:55:14.039Z
2707890,918794,8099.360000000001,2026-04-23T22:02:24.637Z,bid-extra-60367900606,2026-04-23T23:55:14.039Z
2708020,919104,4194.96,2026-04-23T22:02:24.637Z,bid-extra-60367900616,2026-04-23T23:55:14.039Z
2708150,919414,4830.56,2026-04-23T22:02:24.637Z,bid-extra-60367900626,2026-04-23T23:55:14.039Z
2708280,919724,5466.16,2026-04-23T22:02:24.637Z,bid-extra-60367900636,2026-04-23T23:55:14.039Z
2708410,920034,6101.76,2026-04-23T22:02:24.637Z,bid-extra-60367900646,2026-04-23T23:55:14.039Z
2708540,920344,6737.360000000001,2026-04-23T22:02:24.638Z,bid-extra-60367900656,2026-04-23T23:55:14.039Z
2708670,920654,7372.96,2026-04-23T22:02:24.638Z,bid-extra-60367900666,2026-04-23T23:55:14.039Z
2708800,920964,8008.56,2026-04-23T22:02:24.638Z,bid-extra-60367900676,2026-04-23T23:55:14.039Z
2708930,921274,8644.16,2026-04-23T22:02:24.638Z,bid-extra-60367900686,2026-04-23T23:55:14.039Z
2709060,921584,9279.76,2026-04-23T22:02:24.638Z,bid-extra-60367900696,2026-04-23T23:55:14.039Z
2709190,921894,9915.36,2026-04-23T22:02:24.638Z,bid-extra-60367900706,2026-04-23T23:55:14.039Z
2709320,922204,10550.960000000001,2026-04-23T22:02:24.638Z,bid-extra-60367900716,2026-04-23T23:55:14.039Z
2709450,922514,11186.56,2026-04-23T22:02:24.638Z,bid-extra-60367900726,2026-04-23T23:55:14.039Z
2709580,922824,7282.16,2026-04-23T22:02:24.638Z,bid-extra-60367900736,2026-04-23T23:55:14.039Z
2709710,923134,7917.76,2026-04-23T22:02:24.638Z,bid-extra-60367900746,2026-04-23T23:55:14.039Z
