auction,bidder,price,dateTime,extra,processed_time
7700090,900194,3196.1600000000003,2026-04-23T21:58:14.631Z,bid-extra-60342900006,2026-04-23T23:55:14.039Z
7700220,900504,3831.76,2026-04-23T21:58:14.631Z,bid-extra-60342900016,2026-04-23T23:55:14.039Z
7700350,900814,4467.360000000001,2026-04-23T21:58:14.631Z,bid-extra-60342900026,2026-04-23T23:55:14.039Z
7700480,901124,5102.96,2026-04-23T21:58:14.631Z,bid-extra-60342900036,2026-04-23T23:55:14.039Z
7700610,901434,5738.56,2026-04-23T21:58:14.631Z,bid-extra-60342900046,2026-04-23T23:55:14.039Z
7700740,901744,6374.16,2026-04-23T21:58:14.632Z,bid-extra-60342900056,2026-04-23T23:55:14.039Z
7700870,902054,7009.76,2026-04-23T21:58:14.632Z,bid-extra-60342900066,2026-04-23T23:55:14.039Z
7701000,902364,7645.360000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900076,2026-04-23T23:55:14.039Z
7701130,902674,8280.960000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900086,2026-04-23T23:55:14.039Z
7701260,902984,8916.56,2026-04-23T21:58:14.632Z,bid-extra-60342900096,2026-04-23T23:55:14.039Z
7701390,903294,9552.16,2026-04-23T21:58:14.632Z,bid-extra-60342900106,2026-04-23T23:55:14.039Z
7701520,903604,10187.76,2026-04-23T21:58:14.632Z,bid-extra-60342900116,2026-04-23T23:55:14.039Z
7701650,903914,6283.360000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900126,2026-04-23T23:55:14.039Z
7701780,904224,6918.96,2026-04-23T21:58:14.632Z,bid-extra-60342900136,2026-04-23T23:55:14.039Z
7701910,904534,7554.56,2026-04-23T21:58:14.632Z,bid-extra-60342900146,2026-04-23T23:55:14.039Z
7702040,904844,8190.16,2026-04-23T21:58:14.633Z,bid-extra-60342900156,2026-04-23T23:55:14.039Z
7702170,905154,8825.76,2026-04-23T21:58:14.633Z,bid-extra-60342900166,2026-04-23T23:55:14.039Z
7702300,905464,9461.36,2026-04-23T21:58:14.633Z,bid-extra-60342900176,2026-04-23T23:55:14.039Z
7702430,905774,10096.960000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900186,2026-04-23T23:55:14.039Z
7702560,906084,10732.56,2026-04-23T21:58:14.633Z,bid-extra-60342900196,2026-04-23T23:55:14.039Z
7702690,906394,11368.16,2026-04-23T21:58:14.633Z,bid-extra-60342900206,2026-04-23T23:55:14.039Z
7702820,906704,12003.76,2026-04-23T21:58:14.633Z,bid-extra-60342900216,2026-04-23T23:55:14.039Z
7702950,907014,12639.36,2026-04-23T21:58:14.633Z,bid-extra-60342900226,2026-04-23T23:55:14.039Z
7703080,907324,13274.960000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900236,2026-04-23T23:55:14.039Z
7703210,907634,381.36,2026-04-23T21:58:14.633Z,bid-extra-60342900246,2026-04-23T23:55:14.039Z
7703340,907944,1016.96,2026-04-23T21:58:14.634Z,bid-extra-60342900256,2026-04-23T23:55:14.039Z
7703470,908254,1652.56,2026-04-23T21:58:14.634Z,bid-extra-60342900266,2026-04-23T23:55:14.039Z
7703600,908564,2288.16,2026-04-23T21:58:14.634Z,bid-extra-60342900276,2026-04-23T23:55:14.039Z
7703730,908874,2923.76,2026-04-23T21:58:14.634Z,bid-extra-60342900286,2026-04-23T23:55:14.039Z
7703860,909184,3559.36,2026-04-23T21:58:14.634Z,bid-extra-60342900296,2026-04-23T23:55:14.039Z
7703990,909494,4194.96,2026-04-23T21:58:14.634Z,bid-extra-60342900306,2026-04-23T23:55:14.039Z
7704120,909804,4830.56,2026-04-23T21:58:14.634Z,bid-extra-60342900316,2026-04-23T23:55:14.039Z
7704250,910114,5466.16,2026-04-23T21:58:14.634Z,bid-extra-60342900326,2026-04-23T23:55:14.039Z
7704380,910424,6101.76,2026-04-23T21:58:14.634Z,bid-extra-60342900336,2026-04-23T23:55:14.039Z
7704510,910734,6737.360000000001,2026-04-23T21:58:14.634Z,bid-extra-60342900346,2026-04-23T23:55:14.039Z
7704640,911044,7372.96,2026-04-23T21:58:14.635Z,bid-extra-60342900356,2026-04-23T23:55:14.039Z
7704770,911354,3468.56,2026-04-23T21:58:14.635Z,bid-extra-60342900366,2026-04-23T23:55:14.039Z
7704900,911664,4104.16,2026-04-23T21:58:14.635Z,bid-extra-60342900376,2026-04-23T23:55:14.039Z
