auction,bidder,price,dateTime,extra,processed_time
4700090,900194,8916.56,2026-04-23T21:59:44.631Z,bid-extra-60351900006,2026-04-23T23:55:14.039Z
4700220,900504,9552.16,2026-04-23T21:59:44.631Z,bid-extra-60351900016,2026-04-23T23:55:14.039Z
4700350,900814,1198.56,2026-04-23T21:59:44.631Z,bid-extra-60351900026,2026-04-23T23:55:14.039Z
4700480,901124,1834.16,2026-04-23T21:59:44.631Z,bid-extra-60351900036,2026-04-23T23:55:14.039Z
4700610,901434,2469.76,2026-04-23T21:59:44.631Z,bid-extra-60351900046,2026-04-23T23:55:14.039Z
4700740,901744,3105.36,2026-04-23T21:59:44.632Z,bid-extra-60351900056,2026-04-23T23:55:14.039Z
4700870,902054,3740.96,2026-04-23T21:59:44.632Z,bid-extra-60351900066,2026-04-23T23:55:14.039Z
4701000,902364,4376.56,2026-04-23T21:59:44.632Z,bid-extra-60351900076,2026-04-23T23:55:14.039Z
4701130,902674,5012.16,2026-04-23T21:59:44.632Z,bid-extra-60351900086,2026-04-23T23:55:14.039Z
4701260,902984,5647.76,2026-04-23T21:59:44.632Z,bid-extra-60351900096,2026-04-23T23:55:14.039Z
4701390,903294,6283.360000000001,2026-04-23T21:59:44.632Z,bid-extra-60351900106,2026-04-23T23:55:14.039Z
4701520,903604,6918.96,2026-04-23T21:59:44.632Z,bid-extra-60351900116,2026-04-23T23:55:14.039Z
4701650,903914,3014.56,2026-04-23T21:59:44.632Z,bid-extra-60351900126,2026-04-23T23:55:14.039Z
4701780,904224,3650.1600000000003,2026-04-23T21:59:44.632Z,bid-extra-60351900136,2026-04-23T23:55:14.039Z
4701910,904534,4285.76,2026-04-23T21:59:44.632Z,bid-extra-60351900146,2026-04-23T23:55:14.039Z
4702040,904844,4921.360000000001,2026-04-23T21:59:44.633Z,bid-extra-60351900156,2026-04-23T23:55:14.039Z
4702170,905154,5556.96,2026-04-23T21:59:44.633Z,bid-extra-60351900166,2026-04-23T23:55:14.039Z
4702300,905464,6192.56,2026-04-23T21:59:44.633Z,bid-extra-60351900176,2026-04-23T23:55:14.039Z
4702430,905774,6828.16,2026-04-23T21:59:44.633Z,bid-extra-60351900186,2026-04-23T23:55:14.039Z
4702560,906084,7463.76,2026-04-23T21:59:44.633Z,bid-extra-60351900196,2026-04-23T23:55:14.039Z
4702690,906394,8099.360000000001,2026-04-23T21:59:44.633Z,bid-extra-60351900206,2026-04-23T23:55:14.039Z
4702820,906704,8734.960000000001,2026-04-23T21:59:44.633Z,bid-extra-60351900216,2026-04-23T23:55:14.039Z
4702950,907014,9370.56,2026-04-23T21:59:44.633Z,bid-extra-60351900226,2026-04-23T23:55:14.039Z
4703080,907324,10006.16,2026-04-23T21:59:44.633Z,bid-extra-60351900236,2026-04-23T23:55:14.039Z
4703210,907634,6101.76,2026-04-23T21:59:44.633Z,bid-extra-60351900246,2026-04-23T23:55:14.039Z
4703340,907944,6737.360000000001,2026-04-23T21:59:44.634Z,bid-extra-60351900256,2026-04-23T23:55:14.039Z
4703470,908254,7372.96,2026-04-23T21:59:44.634Z,bid-extra-60351900266,2026-04-23T23:55:14.039Z
4703600,908564,8008.56,2026-04-23T21:59:44.634Z,bid-extra-60351900276,2026-04-23T23:55:14.039Z
4703730,908874,8644.16,2026-04-23T21:59:44.634Z,bid-extra-60351900286,2026-04-23T23:55:14.039Z
4703860,909184,9279.76,2026-04-23T21:59:44.634Z,bid-extra-60351900296,2026-04-23T23:55:14.039Z
4703990,909494,9915.36,2026-04-23T21:59:44.634Z,bid-extra-60351900306,2026-04-23T23:55:14.039Z
4704120,909804,10550.960000000001,2026-04-23T21:59:44.634Z,bid-extra-60351900316,2026-04-23T23:55:14.039Z
4704250,910114,11186.56,2026-04-23T21:59:44.634Z,bid-extra-60351900326,2026-04-23T23:55:14.039Z
4704380,910424,11822.16,2026-04-23T21:59:44.634Z,bid-extra-60351900336,2026-04-23T23:55:14.039Z
4704510,910734,12457.76,2026-04-23T21:59:44.634Z,bid-extra-60351900346,2026-04-23T23:55:14.039Z
4704640,911044,13093.36,2026-04-23T21:59:44.635Z,bid-extra-60351900356,2026-04-23T23:55:14.039Z
4704770,911354,199.76000000000002,2026-04-23T21:59:44.635Z,bid-extra-60351900366,2026-04-23T23:55:14.039Z
4704900,911664,835.36,2026-04-23T21:59:44.635Z,bid-extra-60351900376,2026-04-23T23:55:14.039Z
4705030,911974,1470.96,2026-04-23T21:59:44.635Z,bid-extra-60351900386,2026-04-23T23:55:14.039Z
4705160,912284,2106.56,2026-04-23T21:59:44.635Z,bid-extra-60351900396,2026-04-23T23:55:14.039Z
4705290,912594,2742.1600000000003,2026-04-23T21:59:44.635Z,bid-extra-60351900406,2026-04-23T23:55:14.039Z
4705420,912904,3377.76,2026-04-23T21:59:44.635Z,bid-extra-60351900416,2026-04-23T23:55:14.039Z
4705550,913214,4013.36,2026-04-23T21:59:44.635Z,bid-extra-60351900426,2026-04-23T23:55:14.039Z
4705680,913524,4648.96,2026-04-23T21:59:44.635Z,bid-extra-60351900436,2026-04-23T23:55:14.039Z
4705810,913834,5284.56,2026-04-23T21:59:44.635Z,bid-extra-60351900446,2026-04-23T23:55:14.039Z
4705940,914144,5920.16,2026-04-23T21:59:44.636Z,bid-extra-60351900456,2026-04-23T23:55:14.039Z
4706070,914454,6555.76,2026-04-23T21:59:44.636Z,bid-extra-60351900466,2026-04-23T23:55:14.039Z
4706200,914764,7191.360000000001,2026-04-23T21:59:44.636Z,bid-extra-60351900476,2026-04-23T23:55:14.039Z
4706330,915074,7826.96,2026-04-23T21:59:44.636Z,bid-extra-60351900486,2026-04-23T23:55:14.039Z
4706460,915384,3922.56,2026-04-23T21:59:44.636Z,bid-extra-60351900496,2026-04-23T23:55:14.039Z
4706590,915694,4558.16,2026-04-23T21:59:44.636Z,bid-extra-60351900506,2026-04-23T23:55:14.039Z
4706720,916004,5193.76,2026-04-23T21:59:44.636Z,bid-extra-60351900516,2026-04-23T23:55:14.039Z
4706850,916314,5829.360000000001,2026-04-23T21:59:44.636Z,bid-extra-60351900526,2026-04-23T23:55:14.039Z
4706980,916624,6464.96,2026-04-23T21:59:44.636Z,bid-extra-60351900536,2026-04-23T23:55:14.039Z
4707110,916934,7100.56,2026-04-23T21:59:44.636Z,bid-extra-60351900546,2026-04-23T23:55:14.039Z
4707240,917244,7736.16,2026-04-23T21:59:44.637Z,bid-extra-60351900556,2026-04-23T23:55:14.039Z
4707370,917554,8371.76,2026-04-23T21:59:44.637Z,bid-extra-60351900566,2026-04-23T23:55:14.039Z
4707500,917864,9007.36,2026-04-23T21:59:44.637Z,bid-extra-60351900576,2026-04-23T23:55:14.039Z
4707630,918174,9642.960000000001,2026-04-23T21:59:44.637Z,bid-extra-60351900586,2026-04-23T23:55:14.039Z
4707760,918484,10278.56,2026-04-23T21:59:44.637Z,bid-extra-60351900596,2026-04-23T23:55:14.039Z
4707890,918794,10914.16,2026-04-23T21:59:44.637Z,bid-extra-60351900606,2026-04-23T23:55:14.039Z
4708020,919104,7009.76,2026-04-23T21:59:44.637Z,bid-extra-60351900616,2026-04-23T23:55:14.039Z
4708150,919414,7645.360000000001,2026-04-23T21:59:44.637Z,bid-extra-60351900626,2026-04-23T23:55:14.039Z
4708280,919724,8280.960000000001,2026-04-23T21:59:44.637Z,bid-extra-60351900636,2026-04-23T23:55:14.039Z
4708410,920034,8916.56,2026-04-23T21:59:44.637Z,bid-extra-60351900646,2026-04-23T23:55:14.039Z
4708540,920344,9552.16,2026-04-23T21:59:44.638Z,bid-extra-60351900656,2026-04-23T23:55:14.039Z
