auction,bidder,price,dateTime,extra,processed_time
6700090,900194,835.36,2026-04-23T22:02:04.631Z,bid-extra-60365900006,2026-04-23T23:55:14.039Z
6700220,900504,1470.96,2026-04-23T22:02:04.631Z,bid-extra-60365900016,2026-04-23T23:55:14.039Z
6700350,900814,2106.56,2026-04-23T22:02:04.631Z,bid-extra-60365900026,2026-04-23T23:55:14.039Z
6700480,901124,2742.1600000000003,2026-04-23T22:02:04.631Z,bid-extra-60365900036,2026-04-23T23:55:14.039Z
6700610,901434,3377.76,2026-04-23T22:02:04.631Z,bid-extra-60365900046,2026-04-23T23:55:14.039Z
6700740,901744,4013.36,2026-04-23T22:02:04.632Z,bid-extra-60365900056,2026-04-23T23:55:14.039Z
6700870,902054,4648.96,2026-04-23T22:02:04.632Z,bid-extra-60365900066,2026-04-23T23:55:14.039Z
6701000,902364,5284.56,2026-04-23T22:02:04.632Z,bid-extra-60365900076,2026-04-23T23:55:14.039Z
6701130,902674,5920.16,2026-04-23T22:02:04.632Z,bid-extra-60365900086,2026-04-23T23:55:14.039Z
6701260,902984,6555.76,2026-04-23T22:02:04.632Z,bid-extra-60365900096,2026-04-23T23:55:14.039Z
6701390,903294,7191.360000000001,2026-04-23T22:02:04.632Z,bid-extra-60365900106,2026-04-23T23:55:14.039Z
6701520,903604,7826.96,2026-04-23T22:02:04.632Z,bid-extra-60365900116,2026-04-23T23:55:14.039Z
6701650,903914,3922.56,2026-04-23T22:02:04.632Z,bid-extra-60365900126,2026-04-23T23:55:14.039Z
6701780,904224,4558.16,2026-04-23T22:02:04.632Z,bid-extra-60365900136,2026-04-23T23:55:14.039Z
6701910,904534,5193.76,2026-04-23T22:02:04.632Z,bid-extra-60365900146,2026-04-23T23:55:14.039Z
6702040,904844,5829.360000000001,2026-04-23T22:02:04.633Z,bid-extra-60365900156,2026-04-23T23:55:14.039Z
6702170,905154,6464.96,2026-04-23T22:02:04.633Z,bid-extra-60365900166,2026-04-23T23:55:14.039Z
6702300,905464,7100.56,2026-04-23T22:02:04.633Z,bid-extra-60365900176,2026-04-23T23:55:14.039Z
6702430,905774,7736.16,2026-04-23T22:02:04.633Z,bid-extra-60365900186,2026-04-23T23:55:14.039Z
6702560,906084,8371.76,2026-04-23T22:02:04.633Z,bid-extra-60365900196,2026-04-23T23:55:14.039Z
6702690,906394,9007.36,2026-04-23T22:02:04.633Z,bid-extra-60365900206,2026-04-23T23:55:14.039Z
6702820,906704,9642.960000000001,2026-04-23T22:02:04.633Z,bid-extra-60365900216,2026-04-23T23:55:14.039Z
6702950,907014,10278.56,2026-04-23T22:02:04.633Z,bid-extra-60365900226,2026-04-23T23:55:14.039Z
6703080,907324,10914.16,2026-04-23T22:02:04.633Z,bid-extra-60365900236,2026-04-23T23:55:14.039Z
6703210,907634,7009.76,2026-04-23T22:02:04.633Z,bid-extra-60365900246,2026-04-23T23:55:14.039Z
6703340,907944,7645.360000000001,2026-04-23T22:02:04.634Z,bid-extra-60365900256,2026-04-23T23:55:14.039Z
6703470,908254,8280.960000000001,2026-04-23T22:02:04.634Z,bid-extra-60365900266,2026-04-23T23:55:14.039Z
6703600,908564,8916.56,2026-04-23T22:02:04.634Z,bid-extra-60365900276,2026-04-23T23:55:14.039Z
6703730,908874,9552.16,2026-04-23T22:02:04.634Z,bid-extra-60365900286,2026-04-23T23:55:14.039Z
6703860,909184,10187.76,2026-04-23T22:02:04.634Z,bid-extra-60365900296,2026-04-23T23:55:14.039Z
6703990,909494,10823.36,2026-04-23T22:02:04.634Z,bid-extra-60365900306,2026-04-23T23:55:14.039Z
6704120,909804,11458.960000000001,2026-04-23T22:02:04.634Z,bid-extra-60365900316,2026-04-23T23:55:14.039Z
6704250,910114,12094.56,2026-04-23T22:02:04.634Z,bid-extra-60365900326,2026-04-23T23:55:14.039Z
6704380,910424,3740.96,2026-04-23T22:02:04.634Z,bid-extra-60365900336,2026-04-23T23:55:14.039Z
6704510,910734,4376.56,2026-04-23T22:02:04.634Z,bid-extra-60365900346,2026-04-23T23:55:14.039Z
6704640,911044,5012.16,2026-04-23T22:02:04.635Z,bid-extra-60365900356,2026-04-23T23:55:14.039Z
