auction,bidder,price,dateTime,extra,processed_time
8700090,900194,3014.56,2026-04-23T22:01:04.631Z,bid-extra-60359900006,2026-04-23T23:55:14.039Z
8700220,900504,3650.1600000000003,2026-04-23T22:01:04.631Z,bid-extra-60359900016,2026-04-23T23:55:14.039Z
8700350,900814,4285.76,2026-04-23T22:01:04.631Z,bid-extra-60359900026,2026-04-23T23:55:14.039Z
8700480,901124,4921.360000000001,2026-04-23T22:01:04.631Z,bid-extra-60359900036,2026-04-23T23:55:14.039Z
8700610,901434,5556.96,2026-04-23T22:01:04.631Z,bid-extra-60359900046,2026-04-23T23:55:14.039Z
8700740,901744,6192.56,2026-04-23T22:01:04.632Z,bid-extra-60359900056,2026-04-23T23:55:14.039Z
8700870,902054,6828.16,2026-04-23T22:01:04.632Z,bid-extra-60359900066,2026-04-23T23:55:14.039Z
8701000,902364,7463.76,2026-04-23T22:01:04.632Z,bid-extra-60359900076,2026-04-23T23:55:14.039Z
8701130,902674,8099.360000000001,2026-04-23T22:01:04.632Z,bid-extra-60359900086,2026-04-23T23:55:14.039Z
8701260,902984,8734.960000000001,2026-04-23T22:01:04.632Z,bid-extra-60359900096,2026-04-23T23:55:14.039Z
8701390,903294,9370.56,2026-04-23T22:01:04.632Z,bid-extra-60359900106,2026-04-23T23:55:14.039Z
8701520,903604,10006.16,2026-04-23T22:01:04.632Z,bid-extra-60359900116,2026-04-23T23:55:14.039Z
8701650,903914,6101.76,2026-04-23T22:01:04.632Z,bid-extra-60359900126,2026-04-23T23:55:14.039Z
8701780,904224,6737.360000000001,2026-04-23T22:01:04.632Z,bid-extra-60359900136,2026-04-23T23:55:14.039Z
8701910,904534,7372.96,2026-04-23T22:01:04.632Z,bid-extra-60359900146,2026-04-23T23:55:14.039Z
8702040,904844,8008.56,2026-04-23T22:01:04.633Z,bid-extra-60359900156,2026-04-23T23:55:14.039Z
8702170,905154,8644.16,2026-04-23T22:01:04.633Z,bid-extra-60359900166,2026-04-23T23:55:14.039Z
8702300,905464,9279.76,2026-04-23T22:01:04.633Z,bid-extra-60359900176,2026-04-23T23:55:14.039Z
8702430,905774,9915.36,2026-04-23T22:01:04.633Z,bid-extra-60359900186,2026-04-23T23:55:14.039Z
8702560,906084,10550.960000000001,2026-04-23T22:01:04.633Z,bid-extra-60359900196,2026-04-23T23:55:14.039Z
8702690,906394,11186.56,2026-04-23T22:01:04.633Z,bid-extra-60359900206,2026-04-23T23:55:14.039Z
8702820,906704,11822.16,2026-04-23T22:01:04.633Z,bid-extra-60359900216,2026-04-23T23:55:14.039Z
8702950,907014,12457.76,2026-04-23T22:01:04.633Z,bid-extra-60359900226,2026-04-23T23:55:14.039Z
8703080,907324,13093.36,2026-04-23T22:01:04.633Z,bid-extra-60359900236,2026-04-23T23:55:14.039Z
8703210,907634,199.76000000000002,2026-04-23T22:01:04.633Z,bid-extra-60359900246,2026-04-23T23:55:14.039Z
8703340,907944,835.36,2026-04-23T22:01:04.634Z,bid-extra-60359900256,2026-04-23T23:55:14.039Z
8703470,908254,1470.96,2026-04-23T22:01:04.634Z,bid-extra-60359900266,2026-04-23T23:55:14.039Z
8703600,908564,2106.56,2026-04-23T22:01:04.634Z,bid-extra-60359900276,2026-04-23T23:55:14.039Z
8703730,908874,2742.1600000000003,2026-04-23T22:01:04.634Z,bid-extra-60359900286,2026-04-23T23:55:14.039Z
8703860,909184,3377.76,2026-04-23T22:01:04.634Z,bid-extra-60359900296,2026-04-23T23:55:14.039Z
8703990,909494,4013.36,2026-04-23T22:01:04.634Z,bid-extra-60359900306,2026-04-23T23:55:14.039Z
8704120,909804,4648.96,2026-04-23T22:01:04.634Z,bid-extra-60359900316,2026-04-23T23:55:14.039Z
8704250,910114,5284.56,2026-04-23T22:01:04.634Z,bid-extra-60359900326,2026-04-23T23:55:14.039Z
8704380,910424,5920.16,2026-04-23T22:01:04.634Z,bid-extra-60359900336,2026-04-23T23:55:14.039Z
8704510,910734,6555.76,2026-04-23T22:01:04.634Z,bid-extra-60359900346,2026-04-23T23:55:14.039Z
8704640,911044,7191.360000000001,2026-04-23T22:01:04.635Z,bid-extra-60359900356,2026-04-23T23:55:14.039Z
8704770,911354,3286.96,2026-04-23T22:01:04.635Z,bid-extra-60359900366,2026-04-23T23:55:14.039Z
8704900,911664,3922.56,2026-04-23T22:01:04.635Z,bid-extra-60359900376,2026-04-23T23:55:14.039Z
8705030,911974,4558.16,2026-04-23T22:01:04.635Z,bid-extra-60359900386,2026-04-23T23:55:14.039Z
8705160,912284,5193.76,2026-04-23T22:01:04.635Z,bid-extra-60359900396,2026-04-23T23:55:14.039Z
8705290,912594,5829.360000000001,2026-04-23T22:01:04.635Z,bid-extra-60359900406,2026-04-23T23:55:14.039Z
8705420,912904,6464.96,2026-04-23T22:01:04.635Z,bid-extra-60359900416,2026-04-23T23:55:14.039Z
8705550,913214,7100.56,2026-04-23T22:01:04.635Z,bid-extra-60359900426,2026-04-23T23:55:14.039Z
8705680,913524,7736.16,2026-04-23T22:01:04.635Z,bid-extra-60359900436,2026-04-23T23:55:14.039Z
8705810,913834,8371.76,2026-04-23T22:01:04.635Z,bid-extra-60359900446,2026-04-23T23:55:14.039Z
8705940,914144,9007.36,2026-04-23T22:01:04.636Z,bid-extra-60359900456,2026-04-23T23:55:14.039Z
8706070,914454,9642.960000000001,2026-04-23T22:01:04.636Z,bid-extra-60359900466,2026-04-23T23:55:14.039Z
8706200,914764,10278.56,2026-04-23T22:01:04.636Z,bid-extra-60359900476,2026-04-23T23:55:14.039Z
8706330,915074,10914.16,2026-04-23T22:01:04.636Z,bid-extra-60359900486,2026-04-23T23:55:14.039Z
8706460,915384,7009.76,2026-04-23T22:01:04.636Z,bid-extra-60359900496,2026-04-23T23:55:14.039Z
8706590,915694,7645.360000000001,2026-04-23T22:01:04.636Z,bid-extra-60359900506,2026-04-23T23:55:14.039Z
8706720,916004,8280.960000000001,2026-04-23T22:01:04.636Z,bid-extra-60359900516,2026-04-23T23:55:14.039Z
8706850,916314,8916.56,2026-04-23T22:01:04.636Z,bid-extra-60359900526,2026-04-23T23:55:14.039Z
8706980,916624,9552.16,2026-04-23T22:01:04.636Z,bid-extra-60359900536,2026-04-23T23:55:14.039Z
8707110,916934,10187.76,2026-04-23T22:01:04.636Z,bid-extra-60359900546,2026-04-23T23:55:14.039Z
8707240,917244,10823.36,2026-04-23T22:01:04.637Z,bid-extra-60359900556,2026-04-23T23:55:14.039Z
8707370,917554,11458.960000000001,2026-04-23T22:01:04.637Z,bid-extra-60359900566,2026-04-23T23:55:14.039Z
8707500,917864,12094.56,2026-04-23T22:01:04.637Z,bid-extra-60359900576,2026-04-23T23:55:14.039Z
8707630,918174,12730.16,2026-04-23T22:01:04.637Z,bid-extra-60359900586,2026-04-23T23:55:14.039Z
8707760,918484,4376.56,2026-04-23T22:01:04.637Z,bid-extra-60359900596,2026-04-23T23:55:14.039Z
8707890,918794,5012.16,2026-04-23T22:01:04.637Z,bid-extra-60359900606,2026-04-23T23:55:14.039Z
8708020,919104,1107.76,2026-04-23T22:01:04.637Z,bid-extra-60359900616,2026-04-23T23:55:14.039Z
8708150,919414,1743.3600000000001,2026-04-23T22:01:04.637Z,bid-extra-60359900626,2026-04-23T23:55:14.039Z
8708280,919724,2378.96,2026-04-23T22:01:04.637Z,bid-extra-60359900636,2026-04-23T23:55:14.039Z
8708410,920034,3014.56,2026-04-23T22:01:04.637Z,bid-extra-60359900646,2026-04-23T23:55:14.039Z
8708540,920344,3650.1600000000003,2026-04-23T22:01:04.638Z,bid-extra-60359900656,2026-04-23T23:55:14.039Z
8708670,920654,4285.76,2026-04-23T22:01:04.638Z,bid-extra-60359900666,2026-04-23T23:55:14.039Z
8708800,920964,4921.360000000001,2026-04-23T22:01:04.638Z,bid-extra-60359900676,2026-04-23T23:55:14.039Z
8708930,921274,5556.96,2026-04-23T22:01:04.638Z,bid-extra-60359900686,2026-04-23T23:55:14.039Z
8709060,921584,6192.56,2026-04-23T22:01:04.638Z,bid-extra-60359900696,2026-04-23T23:55:14.039Z
8709190,921894,6828.16,2026-04-23T22:01:04.638Z,bid-extra-60359900706,2026-04-23T23:55:14.039Z
8709320,922204,7463.76,2026-04-23T22:01:04.638Z,bid-extra-60359900716,2026-04-23T23:55:14.039Z
8709450,922514,8099.360000000001,2026-04-23T22:01:04.638Z,bid-extra-60359900726,2026-04-23T23:55:14.039Z
8709580,922824,4194.96,2026-04-23T22:01:04.638Z,bid-extra-60359900736,2026-04-23T23:55:14.039Z
8709710,923134,4830.56,2026-04-23T22:01:04.638Z,bid-extra-60359900746,2026-04-23T23:55:14.039Z
8709840,923444,5466.16,2026-04-23T22:01:04.639Z,bid-extra-60359900756,2026-04-23T23:55:14.039Z
8709970,923754,6101.76,2026-04-23T22:01:04.639Z,bid-extra-60359900766,2026-04-23T23:55:14.039Z
8710100,924064,6737.360000000001,2026-04-23T22:01:04.639Z,bid-extra-60359900776,2026-04-23T23:55:14.039Z
8710230,924374,7372.96,2026-04-23T22:01:04.639Z,bid-extra-60359900786,2026-04-23T23:55:14.039Z
8710360,924684,8008.56,2026-04-23T22:01:04.639Z,bid-extra-60359900796,2026-04-23T23:55:14.039Z
8710490,924994,8644.16,2026-04-23T22:01:04.639Z,bid-extra-60359900806,2026-04-23T23:55:14.039Z
8710620,925304,9279.76,2026-04-23T22:01:04.639Z,bid-extra-60359900816,2026-04-23T23:55:14.039Z
8710750,925614,9915.36,2026-04-23T22:01:04.639Z,bid-extra-60359900826,2026-04-23T23:55:14.039Z
8710880,925924,10550.960000000001,2026-04-23T22:01:04.639Z,bid-extra-60359900836,2026-04-23T23:55:14.039Z
8711010,926234,11186.56,2026-04-23T22:01:04.639Z,bid-extra-60359900846,2026-04-23T23:55:14.039Z
8711140,926544,7282.16,2026-04-23T22:01:04.640Z,bid-extra-60359900856,2026-04-23T23:55:14.039Z
8711270,926854,7917.76,2026-04-23T22:01:04.640Z,bid-extra-60359900866,2026-04-23T23:55:14.039Z
8711400,927164,8553.36,2026-04-23T22:01:04.640Z,bid-extra-60359900876,2026-04-23T23:55:14.039Z
8711530,927474,9188.960000000001,2026-04-23T22:01:04.640Z,bid-extra-60359900886,2026-04-23T23:55:14.039Z
8711660,927784,9824.56,2026-04-23T22:01:04.640Z,bid-extra-60359900896,2026-04-23T23:55:14.039Z
8711790,928094,10460.16,2026-04-23T22:01:04.640Z,bid-extra-60359900906,2026-04-23T23:55:14.039Z
8711920,928404,11095.76,2026-04-23T22:01:04.640Z,bid-extra-60359900916,2026-04-23T23:55:14.039Z
8712050,928714,11731.36,2026-04-23T22:01:04.640Z,bid-extra-60359900926,2026-04-23T23:55:14.039Z
8712180,929024,3377.76,2026-04-23T22:01:04.640Z,bid-extra-60359900936,2026-04-23T23:55:14.039Z
8712310,929334,4013.36,2026-04-23T22:01:04.640Z,bid-extra-60359900946,2026-04-23T23:55:14.039Z
8712440,929644,4648.96,2026-04-23T22:01:04.641Z,bid-extra-60359900956,2026-04-23T23:55:14.039Z
8712570,929954,5284.56,2026-04-23T22:01:04.641Z,bid-extra-60359900966,2026-04-23T23:55:14.039Z
8712700,930264,1380.16,2026-04-23T22:01:04.641Z,bid-extra-60359900976,2026-04-23T23:55:14.039Z
8712830,930574,2015.76,2026-04-23T22:01:04.641Z,bid-extra-60359900986,2026-04-23T23:55:14.039Z
8712960,930884,2651.36,2026-04-23T22:01:04.641Z,bid-extra-60359900996,2026-04-23T23:55:14.039Z
8713090,931194,3286.96,2026-04-23T22:01:04.641Z,bid-extra-60359901006,2026-04-23T23:55:14.039Z
8713220,931504,3922.56,2026-04-23T22:01:04.641Z,bid-extra-60359901016,2026-04-23T23:55:14.039Z
8713350,931814,4558.16,2026-04-23T22:01:04.641Z,bid-extra-60359901026,2026-04-23T23:55:14.039Z
8713480,932124,5193.76,2026-04-23T22:01:04.641Z,bid-extra-60359901036,2026-04-23T23:55:14.039Z
8713610,932434,5829.360000000001,2026-04-23T22:01:04.641Z,bid-extra-60359901046,2026-04-23T23:55:14.039Z
8713740,932744,6464.96,2026-04-23T22:01:04.642Z,bid-extra-60359901056,2026-04-23T23:55:14.039Z
8713870,933054,7100.56,2026-04-23T22:01:04.642Z,bid-extra-60359901066,2026-04-23T23:55:14.039Z
8714000,933364,7736.16,2026-04-23T22:01:04.642Z,bid-extra-60359901076,2026-04-23T23:55:14.039Z
8714130,933674,8371.76,2026-04-23T22:01:04.642Z,bid-extra-60359901086,2026-04-23T23:55:14.039Z
8714260,933984,9007.36,2026-04-23T22:01:04.642Z,bid-extra-60359901096,2026-04-23T23:55:14.039Z
8714390,934294,5102.96,2026-04-23T22:01:04.642Z,bid-extra-60359901106,2026-04-23T23:55:14.039Z
8714520,934604,5738.56,2026-04-23T22:01:04.642Z,bid-extra-60359901116,2026-04-23T23:55:14.039Z
8714650,934914,6374.16,2026-04-23T22:01:04.642Z,bid-extra-60359901126,2026-04-23T23:55:14.039Z
8714780,935224,7009.76,2026-04-23T22:01:04.642Z,bid-extra-60359901136,2026-04-23T23:55:14.039Z
8714910,935534,7645.360000000001,2026-04-23T22:01:04.642Z,bid-extra-60359901146,2026-04-23T23:55:14.039Z
8715040,935844,8280.960000000001,2026-04-23T22:01:04.643Z,bid-extra-60359901156,2026-04-23T23:55:14.039Z
8715170,936154,8916.56,2026-04-23T22:01:04.643Z,bid-extra-60359901166,2026-04-23T23:55:14.039Z
8715300,936464,9552.16,2026-04-23T22:01:04.643Z,bid-extra-60359901176,2026-04-23T23:55:14.039Z
8715430,936774,10187.76,2026-04-23T22:01:04.643Z,bid-extra-60359901186,2026-04-23T23:55:14.039Z
8715560,937084,10823.36,2026-04-23T22:01:04.643Z,bid-extra-60359901196,2026-04-23T23:55:14.039Z
8715690,937394,11458.960000000001,2026-04-23T22:01:04.643Z,bid-extra-60359901206,2026-04-23T23:55:14.039Z
8715820,937704,12094.56,2026-04-23T22:01:04.643Z,bid-extra-60359901216,2026-04-23T23:55:14.039Z
8715950,938014,8190.16,2026-04-23T22:01:04.643Z,bid-extra-60359901226,2026-04-23T23:55:14.039Z
8716080,938324,8825.76,2026-04-23T22:01:04.643Z,bid-extra-60359901236,2026-04-23T23:55:14.039Z
8716210,938634,9461.36,2026-04-23T22:01:04.643Z,bid-extra-60359901246,2026-04-23T23:55:14.039Z
