auction,bidder,price,dateTime,extra,processed_time
1700090,900194,6283.360000000001,2026-04-23T21:59:34.631Z,bid-extra-60350900006,2026-04-23T23:55:14.039Z
1700220,900504,6918.96,2026-04-23T21:59:34.631Z,bid-extra-60350900016,2026-04-23T23:55:14.039Z
1700350,900814,7554.56,2026-04-23T21:59:34.631Z,bid-extra-60350900026,2026-04-23T23:55:14.039Z
1700480,901124,8190.16,2026-04-23T21:59:34.631Z,bid-extra-60350900036,2026-04-23T23:55:14.039Z
1700610,901434,8825.76,2026-04-23T21:59:34.631Z,bid-extra-60350900046,2026-04-23T23:55:14.039Z
1700740,901744,9461.36,2026-04-23T21:59:34.632Z,bid-extra-60350900056,2026-04-23T23:55:14.039Z
1700870,902054,10096.960000000001,2026-04-23T21:59:34.632Z,bid-extra-60350900066,2026-04-23T23:55:14.039Z
1701000,902364,10732.56,2026-04-23T21:59:34.632Z,bid-extra-60350900076,2026-04-23T23:55:14.039Z
1701130,902674,11368.16,2026-04-23T21:59:34.632Z,bid-extra-60350900086,2026-04-23T23:55:14.039Z
1701260,902984,12003.76,2026-04-23T21:59:34.632Z,bid-extra-60350900096,2026-04-23T23:55:14.039Z
1701390,903294,12639.36,2026-04-23T21:59:34.632Z,bid-extra-60350900106,2026-04-23T23:55:14.039Z
1701520,903604,13274.960000000001,2026-04-23T21:59:34.632Z,bid-extra-60350900116,2026-04-23T23:55:14.039Z
1701650,903914,381.36,2026-04-23T21:59:34.632Z,bid-extra-60350900126,2026-04-23T23:55:14.039Z
1701780,904224,1016.96,2026-04-23T21:59:34.632Z,bid-extra-60350900136,2026-04-23T23:55:14.039Z
1701910,904534,1652.56,2026-04-23T21:59:34.632Z,bid-extra-60350900146,2026-04-23T23:55:14.039Z
1702040,904844,2288.16,2026-04-23T21:59:34.633Z,bid-extra-60350900156,2026-04-23T23:55:14.039Z
1702170,905154,2923.76,2026-04-23T21:59:34.633Z,bid-extra-60350900166,2026-04-23T23:55:14.039Z
1702300,905464,3559.36,2026-04-23T21:59:34.633Z,bid-extra-60350900176,2026-04-23T23:55:14.039Z
1702430,905774,4194.96,2026-04-23T21:59:34.633Z,bid-extra-60350900186,2026-04-23T23:55:14.039Z
1702560,906084,4830.56,2026-04-23T21:59:34.633Z,bid-extra-60350900196,2026-04-23T23:55:14.039Z
1702690,906394,5466.16,2026-04-23T21:59:34.633Z,bid-extra-60350900206,2026-04-23T23:55:14.039Z
1702820,906704,6101.76,2026-04-23T21:59:34.633Z,bid-extra-60350900216,2026-04-23T23:55:14.039Z
1702950,907014,6737.360000000001,2026-04-23T21:59:34.633Z,bid-extra-60350900226,2026-04-23T23:55:14.039Z
1703080,907324,7372.96,2026-04-23T21:59:34.633Z,bid-extra-60350900236,2026-04-23T23:55:14.039Z
1703210,907634,3468.56,2026-04-23T21:59:34.633Z,bid-extra-60350900246,2026-04-23T23:55:14.039Z
1703340,907944,4104.16,2026-04-23T21:59:34.634Z,bid-extra-60350900256,2026-04-23T23:55:14.039Z
1703470,908254,4739.76,2026-04-23T21:59:34.634Z,bid-extra-60350900266,2026-04-23T23:55:14.039Z
1703600,908564,5375.360000000001,2026-04-23T21:59:34.634Z,bid-extra-60350900276,2026-04-23T23:55:14.039Z
1703730,908874,6010.96,2026-04-23T21:59:34.634Z,bid-extra-60350900286,2026-04-23T23:55:14.039Z
1703860,909184,6646.56,2026-04-23T21:59:34.634Z,bid-extra-60350900296,2026-04-23T23:55:14.039Z
1703990,909494,7282.16,2026-04-23T21:59:34.634Z,bid-extra-60350900306,2026-04-23T23:55:14.039Z
1704120,909804,7917.76,2026-04-23T21:59:34.634Z,bid-extra-60350900316,2026-04-23T23:55:14.039Z
1704250,910114,8553.36,2026-04-23T21:59:34.634Z,bid-extra-60350900326,2026-04-23T23:55:14.039Z
1704380,910424,9188.960000000001,2026-04-23T21:59:34.634Z,bid-extra-60350900336,2026-04-23T23:55:14.039Z
1704510,910734,9824.56,2026-04-23T21:59:34.634Z,bid-extra-60350900346,2026-04-23T23:55:14.039Z
1704640,911044,10460.16,2026-04-23T21:59:34.635Z,bid-extra-60350900356,2026-04-23T23:55:14.039Z
1704770,911354,6555.76,2026-04-23T21:59:34.635Z,bid-extra-60350900366,2026-04-23T23:55:14.039Z
1704900,911664,7191.360000000001,2026-04-23T21:59:34.635Z,bid-extra-60350900376,2026-04-23T23:55:14.039Z
1705030,911974,7826.96,2026-04-23T21:59:34.635Z,bid-extra-60350900386,2026-04-23T23:55:14.039Z
1705160,912284,8462.56,2026-04-23T21:59:34.635Z,bid-extra-60350900396,2026-04-23T23:55:14.039Z
1705290,912594,9098.16,2026-04-23T21:59:34.635Z,bid-extra-60350900406,2026-04-23T23:55:14.039Z
1705420,912904,9733.76,2026-04-23T21:59:34.635Z,bid-extra-60350900416,2026-04-23T23:55:14.039Z
1705550,913214,10369.36,2026-04-23T21:59:34.635Z,bid-extra-60350900426,2026-04-23T23:55:14.039Z
1705680,913524,11004.960000000001,2026-04-23T21:59:34.635Z,bid-extra-60350900436,2026-04-23T23:55:14.039Z
1705810,913834,11640.56,2026-04-23T21:59:34.635Z,bid-extra-60350900446,2026-04-23T23:55:14.039Z
1705940,914144,12276.16,2026-04-23T21:59:34.636Z,bid-extra-60350900456,2026-04-23T23:55:14.039Z
1706070,914454,3922.56,2026-04-23T21:59:34.636Z,bid-extra-60350900466,2026-04-23T23:55:14.039Z
1706200,914764,4558.16,2026-04-23T21:59:34.636Z,bid-extra-60350900476,2026-04-23T23:55:14.039Z
1706330,915074,5193.76,2026-04-23T21:59:34.636Z,bid-extra-60350900486,2026-04-23T23:55:14.039Z
1706460,915384,1289.3600000000001,2026-04-23T21:59:34.636Z,bid-extra-60350900496,2026-04-23T23:55:14.039Z
1706590,915694,1924.96,2026-04-23T21:59:34.636Z,bid-extra-60350900506,2026-04-23T23:55:14.039Z
1706720,916004,2560.56,2026-04-23T21:59:34.636Z,bid-extra-60350900516,2026-04-23T23:55:14.039Z
1706850,916314,3196.1600000000003,2026-04-23T21:59:34.636Z,bid-extra-60350900526,2026-04-23T23:55:14.039Z
1706980,916624,3831.76,2026-04-23T21:59:34.636Z,bid-extra-60350900536,2026-04-23T23:55:14.039Z
1707110,916934,4467.360000000001,2026-04-23T21:59:34.636Z,bid-extra-60350900546,2026-04-23T23:55:14.039Z
1707240,917244,5102.96,2026-04-23T21:59:34.637Z,bid-extra-60350900556,2026-04-23T23:55:14.039Z
1707370,917554,5738.56,2026-04-23T21:59:34.637Z,bid-extra-60350900566,2026-04-23T23:55:14.039Z
1707500,917864,6374.16,2026-04-23T21:59:34.637Z,bid-extra-60350900576,2026-04-23T23:55:14.039Z
1707630,918174,7009.76,2026-04-23T21:59:34.637Z,bid-extra-60350900586,2026-04-23T23:55:14.039Z
1707760,918484,7645.360000000001,2026-04-23T21:59:34.637Z,bid-extra-60350900596,2026-04-23T23:55:14.039Z
1707890,918794,8280.960000000001,2026-04-23T21:59:34.637Z,bid-extra-60350900606,2026-04-23T23:55:14.039Z
1708020,919104,4376.56,2026-04-23T21:59:34.637Z,bid-extra-60350900616,2026-04-23T23:55:14.039Z
1708150,919414,5012.16,2026-04-23T21:59:34.637Z,bid-extra-60350900626,2026-04-23T23:55:14.039Z
1708280,919724,5647.76,2026-04-23T21:59:34.637Z,bid-extra-60350900636,2026-04-23T23:55:14.039Z
1708410,920034,6283.360000000001,2026-04-23T21:59:34.637Z,bid-extra-60350900646,2026-04-23T23:55:14.039Z
1708540,920344,6918.96,2026-04-23T21:59:34.638Z,bid-extra-60350900656,2026-04-23T23:55:14.039Z
1708670,920654,7554.56,2026-04-23T21:59:34.638Z,bid-extra-60350900666,2026-04-23T23:55:14.039Z
1708800,920964,8190.16,2026-04-23T21:59:34.638Z,bid-extra-60350900676,2026-04-23T23:55:14.039Z
1708930,921274,8825.76,2026-04-23T21:59:34.638Z,bid-extra-60350900686,2026-04-23T23:55:14.039Z
1709060,921584,9461.36,2026-04-23T21:59:34.638Z,bid-extra-60350900696,2026-04-23T23:55:14.039Z
1709190,921894,10096.960000000001,2026-04-23T21:59:34.638Z,bid-extra-60350900706,2026-04-23T23:55:14.039Z
1709320,922204,10732.56,2026-04-23T21:59:34.638Z,bid-extra-60350900716,2026-04-23T23:55:14.039Z
1709450,922514,11368.16,2026-04-23T21:59:34.638Z,bid-extra-60350900726,2026-04-23T23:55:14.039Z
1709580,922824,7463.76,2026-04-23T21:59:34.638Z,bid-extra-60350900736,2026-04-23T23:55:14.039Z
1709710,923134,8099.360000000001,2026-04-23T21:59:34.638Z,bid-extra-60350900746,2026-04-23T23:55:14.039Z
1709840,923444,8734.960000000001,2026-04-23T21:59:34.639Z,bid-extra-60350900756,2026-04-23T23:55:14.039Z
1709970,923754,9370.56,2026-04-23T21:59:34.639Z,bid-extra-60350900766,2026-04-23T23:55:14.039Z
1710100,924064,10006.16,2026-04-23T21:59:34.639Z,bid-extra-60350900776,2026-04-23T23:55:14.039Z
1710230,924374,10641.76,2026-04-23T21:59:34.639Z,bid-extra-60350900786,2026-04-23T23:55:14.039Z
1710360,924684,11277.36,2026-04-23T21:59:34.639Z,bid-extra-60350900796,2026-04-23T23:55:14.039Z
1710490,924994,2923.76,2026-04-23T21:59:34.639Z,bid-extra-60350900806,2026-04-23T23:55:14.039Z
1710620,925304,3559.36,2026-04-23T21:59:34.639Z,bid-extra-60350900816,2026-04-23T23:55:14.039Z
1710750,925614,4194.96,2026-04-23T21:59:34.639Z,bid-extra-60350900826,2026-04-23T23:55:14.039Z
1710880,925924,4830.56,2026-04-23T21:59:34.639Z,bid-extra-60350900836,2026-04-23T23:55:14.039Z
1711010,926234,5466.16,2026-04-23T21:59:34.639Z,bid-extra-60350900846,2026-04-23T23:55:14.039Z
1711140,926544,1561.76,2026-04-23T21:59:34.640Z,bid-extra-60350900856,2026-04-23T23:55:14.039Z
1711270,926854,2197.36,2026-04-23T21:59:34.640Z,bid-extra-60350900866,2026-04-23T23:55:14.039Z
1711400,927164,2832.96,2026-04-23T21:59:34.640Z,bid-extra-60350900876,2026-04-23T23:55:14.039Z
1711530,927474,3468.56,2026-04-23T21:59:34.640Z,bid-extra-60350900886,2026-04-23T23:55:14.039Z
1711660,927784,4104.16,2026-04-23T21:59:34.640Z,bid-extra-60350900896,2026-04-23T23:55:14.039Z
1711790,928094,4739.76,2026-04-23T21:59:34.640Z,bid-extra-60350900906,2026-04-23T23:55:14.039Z
1711920,928404,5375.360000000001,2026-04-23T21:59:34.640Z,bid-extra-60350900916,2026-04-23T23:55:14.039Z
1712050,928714,6010.96,2026-04-23T21:59:34.640Z,bid-extra-60350900926,2026-04-23T23:55:14.039Z
1712180,929024,6646.56,2026-04-23T21:59:34.640Z,bid-extra-60350900936,2026-04-23T23:55:14.039Z
1712310,929334,7282.16,2026-04-23T21:59:34.640Z,bid-extra-60350900946,2026-04-23T23:55:14.039Z
1712440,929644,7917.76,2026-04-23T21:59:34.641Z,bid-extra-60350900956,2026-04-23T23:55:14.039Z
1712570,929954,8553.36,2026-04-23T21:59:34.641Z,bid-extra-60350900966,2026-04-23T23:55:14.039Z
1712700,930264,4648.96,2026-04-23T21:59:34.641Z,bid-extra-60350900976,2026-04-23T23:55:14.039Z
1712830,930574,5284.56,2026-04-23T21:59:34.641Z,bid-extra-60350900986,2026-04-23T23:55:14.039Z
1712960,930884,5920.16,2026-04-23T21:59:34.641Z,bid-extra-60350900996,2026-04-23T23:55:14.039Z
1713090,931194,6555.76,2026-04-23T21:59:34.641Z,bid-extra-60350901006,2026-04-23T23:55:14.039Z
1713220,931504,7191.360000000001,2026-04-23T21:59:34.641Z,bid-extra-60350901016,2026-04-23T23:55:14.039Z
1713350,931814,7826.96,2026-04-23T21:59:34.641Z,bid-extra-60350901026,2026-04-23T23:55:14.039Z
1713480,932124,8462.56,2026-04-23T21:59:34.641Z,bid-extra-60350901036,2026-04-23T23:55:14.039Z
1713610,932434,9098.16,2026-04-23T21:59:34.641Z,bid-extra-60350901046,2026-04-23T23:55:14.039Z
1713740,932744,9733.76,2026-04-23T21:59:34.642Z,bid-extra-60350901056,2026-04-23T23:55:14.039Z
1713870,933054,10369.36,2026-04-23T21:59:34.642Z,bid-extra-60350901066,2026-04-23T23:55:14.039Z
