auction,bidder,price,dateTime,extra,processed_time
6700090,900194,2106.56,2026-04-23T21:58:44.631Z,bid-extra-60345900006,2026-04-23T23:55:14.039Z
6700220,900504,2742.1600000000003,2026-04-23T21:58:44.631Z,bid-extra-60345900016,2026-04-23T23:55:14.039Z
6700350,900814,3377.76,2026-04-23T21:58:44.631Z,bid-extra-60345900026,2026-04-23T23:55:14.039Z
6700480,901124,4013.36,2026-04-23T21:58:44.631Z,bid-extra-60345900036,2026-04-23T23:55:14.039Z
6700610,901434,4648.96,2026-04-23T21:58:44.631Z,bid-extra-60345900046,2026-04-23T23:55:14.039Z
6700740,901744,5284.56,2026-04-23T21:58:44.632Z,bid-extra-60345900056,2026-04-23T23:55:14.039Z
6700870,902054,5920.16,2026-04-23T21:58:44.632Z,bid-extra-60345900066,2026-04-23T23:55:14.039Z
6701000,902364,6555.76,2026-04-23T21:58:44.632Z,bid-extra-60345900076,2026-04-23T23:55:14.039Z
6701130,902674,7191.360000000001,2026-04-23T21:58:44.632Z,bid-extra-60345900086,2026-04-23T23:55:14.039Z
6701260,902984,7826.96,2026-04-23T21:58:44.632Z,bid-extra-60345900096,2026-04-23T23:55:14.039Z
6701390,903294,8462.56,2026-04-23T21:58:44.632Z,bid-extra-60345900106,2026-04-23T23:55:14.039Z
6701520,903604,9098.16,2026-04-23T21:58:44.632Z,bid-extra-60345900116,2026-04-23T23:55:14.039Z
6701650,903914,5193.76,2026-04-23T21:58:44.632Z,bid-extra-60345900126,2026-04-23T23:55:14.039Z
6701780,904224,5829.360000000001,2026-04-23T21:58:44.632Z,bid-extra-60345900136,2026-04-23T23:55:14.039Z
6701910,904534,6464.96,2026-04-23T21:58:44.632Z,bid-extra-60345900146,2026-04-23T23:55:14.039Z
6702040,904844,7100.56,2026-04-23T21:58:44.633Z,bid-extra-60345900156,2026-04-23T23:55:14.039Z
6702170,905154,7736.16,2026-04-23T21:58:44.633Z,bid-extra-60345900166,2026-04-23T23:55:14.039Z
6702300,905464,8371.76,2026-04-23T21:58:44.633Z,bid-extra-60345900176,2026-04-23T23:55:14.039Z
6702430,905774,9007.36,2026-04-23T21:58:44.633Z,bid-extra-60345900186,2026-04-23T23:55:14.039Z
6702560,906084,9642.960000000001,2026-04-23T21:58:44.633Z,bid-extra-60345900196,2026-04-23T23:55:14.039Z
6702690,906394,10278.56,2026-04-23T21:58:44.633Z,bid-extra-60345900206,2026-04-23T23:55:14.039Z
6702820,906704,10914.16,2026-04-23T21:58:44.633Z,bid-extra-60345900216,2026-04-23T23:55:14.039Z
6702950,907014,11549.76,2026-04-23T21:58:44.633Z,bid-extra-60345900226,2026-04-23T23:55:14.039Z
6703080,907324,12185.36,2026-04-23T21:58:44.633Z,bid-extra-60345900236,2026-04-23T23:55:14.039Z
6703210,907634,8280.960000000001,2026-04-23T21:58:44.633Z,bid-extra-60345900246,2026-04-23T23:55:14.039Z
6703340,907944,8916.56,2026-04-23T21:58:44.634Z,bid-extra-60345900256,2026-04-23T23:55:14.039Z
6703470,908254,9552.16,2026-04-23T21:58:44.634Z,bid-extra-60345900266,2026-04-23T23:55:14.039Z
6703600,908564,10187.76,2026-04-23T21:58:44.634Z,bid-extra-60345900276,2026-04-23T23:55:14.039Z
6703730,908874,1834.16,2026-04-23T21:58:44.634Z,bid-extra-60345900286,2026-04-23T23:55:14.039Z
6703860,909184,2469.76,2026-04-23T21:58:44.634Z,bid-extra-60345900296,2026-04-23T23:55:14.039Z
6703990,909494,3105.36,2026-04-23T21:58:44.634Z,bid-extra-60345900306,2026-04-23T23:55:14.039Z
6704120,909804,3740.96,2026-04-23T21:58:44.634Z,bid-extra-60345900316,2026-04-23T23:55:14.039Z
6704250,910114,4376.56,2026-04-23T21:58:44.634Z,bid-extra-60345900326,2026-04-23T23:55:14.039Z
6704380,910424,5012.16,2026-04-23T21:58:44.634Z,bid-extra-60345900336,2026-04-23T23:55:14.039Z
6704510,910734,5647.76,2026-04-23T21:58:44.634Z,bid-extra-60345900346,2026-04-23T23:55:14.039Z
6704640,911044,6283.360000000001,2026-04-23T21:58:44.635Z,bid-extra-60345900356,2026-04-23T23:55:14.039Z
6704770,911354,2378.96,2026-04-23T21:58:44.635Z,bid-extra-60345900366,2026-04-23T23:55:14.039Z
6704900,911664,3014.56,2026-04-23T21:58:44.635Z,bid-extra-60345900376,2026-04-23T23:55:14.039Z
6705030,911974,3650.1600000000003,2026-04-23T21:58:44.635Z,bid-extra-60345900386,2026-04-23T23:55:14.039Z
6705160,912284,4285.76,2026-04-23T21:58:44.635Z,bid-extra-60345900396,2026-04-23T23:55:14.039Z
6705290,912594,4921.360000000001,2026-04-23T21:58:44.635Z,bid-extra-60345900406,2026-04-23T23:55:14.039Z
6705420,912904,5556.96,2026-04-23T21:58:44.635Z,bid-extra-60345900416,2026-04-23T23:55:14.039Z
6705550,913214,6192.56,2026-04-23T21:58:44.635Z,bid-extra-60345900426,2026-04-23T23:55:14.039Z
6705680,913524,6828.16,2026-04-23T21:58:44.635Z,bid-extra-60345900436,2026-04-23T23:55:14.039Z
6705810,913834,7463.76,2026-04-23T21:58:44.635Z,bid-extra-60345900446,2026-04-23T23:55:14.039Z
6705940,914144,8099.360000000001,2026-04-23T21:58:44.636Z,bid-extra-60345900456,2026-04-23T23:55:14.039Z
6706070,914454,8734.960000000001,2026-04-23T21:58:44.636Z,bid-extra-60345900466,2026-04-23T23:55:14.039Z
6706200,914764,9370.56,2026-04-23T21:58:44.636Z,bid-extra-60345900476,2026-04-23T23:55:14.039Z
6706330,915074,10006.16,2026-04-23T21:58:44.636Z,bid-extra-60345900486,2026-04-23T23:55:14.039Z
6706460,915384,6101.76,2026-04-23T21:58:44.636Z,bid-extra-60345900496,2026-04-23T23:55:14.039Z
6706590,915694,6737.360000000001,2026-04-23T21:58:44.636Z,bid-extra-60345900506,2026-04-23T23:55:14.039Z
6706720,916004,7372.96,2026-04-23T21:58:44.636Z,bid-extra-60345900516,2026-04-23T23:55:14.039Z
6706850,916314,8008.56,2026-04-23T21:58:44.636Z,bid-extra-60345900526,2026-04-23T23:55:14.039Z
6706980,916624,8644.16,2026-04-23T21:58:44.636Z,bid-extra-60345900536,2026-04-23T23:55:14.039Z
6707110,916934,9279.76,2026-04-23T21:58:44.636Z,bid-extra-60345900546,2026-04-23T23:55:14.039Z
6707240,917244,9915.36,2026-04-23T21:58:44.637Z,bid-extra-60345900556,2026-04-23T23:55:14.039Z
6707370,917554,10550.960000000001,2026-04-23T21:58:44.637Z,bid-extra-60345900566,2026-04-23T23:55:14.039Z
6707500,917864,11186.56,2026-04-23T21:58:44.637Z,bid-extra-60345900576,2026-04-23T23:55:14.039Z
6707630,918174,11822.16,2026-04-23T21:58:44.637Z,bid-extra-60345900586,2026-04-23T23:55:14.039Z
6707760,918484,12457.76,2026-04-23T21:58:44.637Z,bid-extra-60345900596,2026-04-23T23:55:14.039Z
6707890,918794,13093.36,2026-04-23T21:58:44.637Z,bid-extra-60345900606,2026-04-23T23:55:14.039Z
6708020,919104,9188.960000000001,2026-04-23T21:58:44.637Z,bid-extra-60345900616,2026-04-23T23:55:14.039Z
6708150,919414,835.36,2026-04-23T21:58:44.637Z,bid-extra-60345900626,2026-04-23T23:55:14.039Z
6708280,919724,1470.96,2026-04-23T21:58:44.637Z,bid-extra-60345900636,2026-04-23T23:55:14.039Z
6708410,920034,2106.56,2026-04-23T21:58:44.637Z,bid-extra-60345900646,2026-04-23T23:55:14.039Z
6708540,920344,2742.1600000000003,2026-04-23T21:58:44.638Z,bid-extra-60345900656,2026-04-23T23:55:14.039Z
6708670,920654,3377.76,2026-04-23T21:58:44.638Z,bid-extra-60345900666,2026-04-23T23:55:14.039Z
6708800,920964,4013.36,2026-04-23T21:58:44.638Z,bid-extra-60345900676,2026-04-23T23:55:14.039Z
6708930,921274,4648.96,2026-04-23T21:58:44.638Z,bid-extra-60345900686,2026-04-23T23:55:14.039Z
6709060,921584,5284.56,2026-04-23T21:58:44.638Z,bid-extra-60345900696,2026-04-23T23:55:14.039Z
6709190,921894,5920.16,2026-04-23T21:58:44.638Z,bid-extra-60345900706,2026-04-23T23:55:14.039Z
6709320,922204,6555.76,2026-04-23T21:58:44.638Z,bid-extra-60345900716,2026-04-23T23:55:14.039Z
6709450,922514,7191.360000000001,2026-04-23T21:58:44.638Z,bid-extra-60345900726,2026-04-23T23:55:14.039Z
6709580,922824,3286.96,2026-04-23T21:58:44.638Z,bid-extra-60345900736,2026-04-23T23:55:14.039Z
6709710,923134,3922.56,2026-04-23T21:58:44.638Z,bid-extra-60345900746,2026-04-23T23:55:14.039Z
6709840,923444,4558.16,2026-04-23T21:58:44.639Z,bid-extra-60345900756,2026-04-23T23:55:14.039Z
6709970,923754,5193.76,2026-04-23T21:58:44.639Z,bid-extra-60345900766,2026-04-23T23:55:14.039Z
6710100,924064,5829.360000000001,2026-04-23T21:58:44.639Z,bid-extra-60345900776,2026-04-23T23:55:14.039Z
6710230,924374,6464.96,2026-04-23T21:58:44.639Z,bid-extra-60345900786,2026-04-23T23:55:14.039Z
6710360,924684,7100.56,2026-04-23T21:58:44.639Z,bid-extra-60345900796,2026-04-23T23:55:14.039Z
6710490,924994,7736.16,2026-04-23T21:58:44.639Z,bid-extra-60345900806,2026-04-23T23:55:14.039Z
6710620,925304,8371.76,2026-04-23T21:58:44.639Z,bid-extra-60345900816,2026-04-23T23:55:14.039Z
6710750,925614,9007.36,2026-04-23T21:58:44.639Z,bid-extra-60345900826,2026-04-23T23:55:14.039Z
6710880,925924,9642.960000000001,2026-04-23T21:58:44.639Z,bid-extra-60345900836,2026-04-23T23:55:14.039Z
6711010,926234,10278.56,2026-04-23T21:58:44.639Z,bid-extra-60345900846,2026-04-23T23:55:14.039Z
6711140,926544,6374.16,2026-04-23T21:58:44.640Z,bid-extra-60345900856,2026-04-23T23:55:14.039Z
6711270,926854,7009.76,2026-04-23T21:58:44.640Z,bid-extra-60345900866,2026-04-23T23:55:14.039Z
6711400,927164,7645.360000000001,2026-04-23T21:58:44.640Z,bid-extra-60345900876,2026-04-23T23:55:14.039Z
6711530,927474,8280.960000000001,2026-04-23T21:58:44.640Z,bid-extra-60345900886,2026-04-23T23:55:14.039Z
6711660,927784,8916.56,2026-04-23T21:58:44.640Z,bid-extra-60345900896,2026-04-23T23:55:14.039Z
6711790,928094,9552.16,2026-04-23T21:58:44.640Z,bid-extra-60345900906,2026-04-23T23:55:14.039Z
6711920,928404,10187.76,2026-04-23T21:58:44.640Z,bid-extra-60345900916,2026-04-23T23:55:14.039Z
6712050,928714,10823.36,2026-04-23T21:58:44.640Z,bid-extra-60345900926,2026-04-23T23:55:14.039Z
6712180,929024,11458.960000000001,2026-04-23T21:58:44.640Z,bid-extra-60345900936,2026-04-23T23:55:14.039Z
6712310,929334,12094.56,2026-04-23T21:58:44.640Z,bid-extra-60345900946,2026-04-23T23:55:14.039Z
6712440,929644,12730.16,2026-04-23T21:58:44.641Z,bid-extra-60345900956,2026-04-23T23:55:14.039Z
6712570,929954,4376.56,2026-04-23T21:58:44.641Z,bid-extra-60345900966,2026-04-23T23:55:14.039Z
6712700,930264,472.16,2026-04-23T21:58:44.641Z,bid-extra-60345900976,2026-04-23T23:55:14.039Z
6712830,930574,1107.76,2026-04-23T21:58:44.641Z,bid-extra-60345900986,2026-04-23T23:55:14.039Z
6712960,930884,1743.3600000000001,2026-04-23T21:58:44.641Z,bid-extra-60345900996,2026-04-23T23:55:14.039Z
6713090,931194,2378.96,2026-04-23T21:58:44.641Z,bid-extra-60345901006,2026-04-23T23:55:14.039Z
6713220,931504,3014.56,2026-04-23T21:58:44.641Z,bid-extra-60345901016,2026-04-23T23:55:14.039Z
6713350,931814,3650.1600000000003,2026-04-23T21:58:44.641Z,bid-extra-60345901026,2026-04-23T23:55:14.039Z
6713480,932124,4285.76,2026-04-23T21:58:44.641Z,bid-extra-60345901036,2026-04-23T23:55:14.039Z
6713610,932434,4921.360000000001,2026-04-23T21:58:44.641Z,bid-extra-60345901046,2026-04-23T23:55:14.039Z
6713740,932744,5556.96,2026-04-23T21:58:44.642Z,bid-extra-60345901056,2026-04-23T23:55:14.039Z
6713870,933054,6192.56,2026-04-23T21:58:44.642Z,bid-extra-60345901066,2026-04-23T23:55:14.039Z
6714000,933364,6828.16,2026-04-23T21:58:44.642Z,bid-extra-60345901076,2026-04-23T23:55:14.039Z
6714130,933674,7463.76,2026-04-23T21:58:44.642Z,bid-extra-60345901086,2026-04-23T23:55:14.039Z
6714260,933984,8099.360000000001,2026-04-23T21:58:44.642Z,bid-extra-60345901096,2026-04-23T23:55:14.039Z
6714390,934294,4194.96,2026-04-23T21:58:44.642Z,bid-extra-60345901106,2026-04-23T23:55:14.039Z
6714520,934604,4830.56,2026-04-23T21:58:44.642Z,bid-extra-60345901116,2026-04-23T23:55:14.039Z
6714650,934914,5466.16,2026-04-23T21:58:44.642Z,bid-extra-60345901126,2026-04-23T23:55:14.039Z
6714780,935224,6101.76,2026-04-23T21:58:44.642Z,bid-extra-60345901136,2026-04-23T23:55:14.039Z
6714910,935534,6737.360000000001,2026-04-23T21:58:44.642Z,bid-extra-60345901146,2026-04-23T23:55:14.039Z
6715040,935844,7372.96,2026-04-23T21:58:44.643Z,bid-extra-60345901156,2026-04-23T23:55:14.039Z
6715170,936154,8008.56,2026-04-23T21:58:44.643Z,bid-extra-60345901166,2026-04-23T23:55:14.039Z
6715300,936464,8644.16,2026-04-23T21:58:44.643Z,bid-extra-60345901176,2026-04-23T23:55:14.039Z
6715430,936774,9279.76,2026-04-23T21:58:44.643Z,bid-extra-60345901186,2026-04-23T23:55:14.039Z
6715560,937084,9915.36,2026-04-23T21:58:44.643Z,bid-extra-60345901196,2026-04-23T23:55:14.039Z
6715690,937394,10550.960000000001,2026-04-23T21:58:44.643Z,bid-extra-60345901206,2026-04-23T23:55:14.039Z
6715820,937704,11186.56,2026-04-23T21:58:44.643Z,bid-extra-60345901216,2026-04-23T23:55:14.039Z
6715950,938014,7282.16,2026-04-23T21:58:44.643Z,bid-extra-60345901226,2026-04-23T23:55:14.039Z
6716080,938324,7917.76,2026-04-23T21:58:44.643Z,bid-extra-60345901236,2026-04-23T23:55:14.039Z
6716210,938634,8553.36,2026-04-23T21:58:44.643Z,bid-extra-60345901246,2026-04-23T23:55:14.039Z
6716340,938944,9188.960000000001,2026-04-23T21:58:44.644Z,bid-extra-60345901256,2026-04-23T23:55:14.039Z
6716470,939254,9824.56,2026-04-23T21:58:44.644Z,bid-extra-60345901266,2026-04-23T23:55:14.039Z
6716600,939564,10460.16,2026-04-23T21:58:44.644Z,bid-extra-60345901276,2026-04-23T23:55:14.039Z
6716730,939874,11095.76,2026-04-23T21:58:44.644Z,bid-extra-60345901286,2026-04-23T23:55:14.039Z
6716860,940184,11731.36,2026-04-23T21:58:44.644Z,bid-extra-60345901296,2026-04-23T23:55:14.039Z
6716990,940494,3377.76,2026-04-23T21:58:44.644Z,bid-extra-60345901306,2026-04-23T23:55:14.039Z
6717120,940804,4013.36,2026-04-23T21:58:44.644Z,bid-extra-60345901316,2026-04-23T23:55:14.039Z
6717250,941114,4648.96,2026-04-23T21:58:44.644Z,bid-extra-60345901326,2026-04-23T23:55:14.039Z
6717380,941424,5284.56,2026-04-23T21:58:44.644Z,bid-extra-60345901336,2026-04-23T23:55:14.039Z
6717510,941734,1380.16,2026-04-23T21:58:44.644Z,bid-extra-60345901346,2026-04-23T23:55:14.039Z
6717640,942044,2015.76,2026-04-23T21:58:44.645Z,bid-extra-60345901356,2026-04-23T23:55:14.039Z
6717770,942354,2651.36,2026-04-23T21:58:44.645Z,bid-extra-60345901366,2026-04-23T23:55:14.039Z
6717900,942664,3286.96,2026-04-23T21:58:44.645Z,bid-extra-60345901376,2026-04-23T23:55:14.039Z
6718030,942974,3922.56,2026-04-23T21:58:44.645Z,bid-extra-60345901386,2026-04-23T23:55:14.039Z
6718160,943284,4558.16,2026-04-23T21:58:44.645Z,bid-extra-60345901396,2026-04-23T23:55:14.039Z
6718290,943594,5193.76,2026-04-23T21:58:44.645Z,bid-extra-60345901406,2026-04-23T23:55:14.039Z
6718420,943904,5829.360000000001,2026-04-23T21:58:44.645Z,bid-extra-60345901416,2026-04-23T23:55:14.039Z
6718550,944214,6464.96,2026-04-23T21:58:44.645Z,bid-extra-60345901426,2026-04-23T23:55:14.039Z
6718680,944524,7100.56,2026-04-23T21:58:44.645Z,bid-extra-60345901436,2026-04-23T23:55:14.039Z
6718810,944834,7736.16,2026-04-23T21:58:44.645Z,bid-extra-60345901446,2026-04-23T23:55:14.039Z
6718940,945144,8371.76,2026-04-23T21:58:44.646Z,bid-extra-60345901456,2026-04-23T23:55:14.039Z
6719070,945454,4467.360000000001,2026-04-23T21:58:44.646Z,bid-extra-60345901466,2026-04-23T23:55:14.039Z
6719200,945764,5102.96,2026-04-23T21:58:44.646Z,bid-extra-60345901476,2026-04-23T23:55:14.039Z
6719330,946074,5738.56,2026-04-23T21:58:44.646Z,bid-extra-60345901486,2026-04-23T23:55:14.039Z
6719460,946384,6374.16,2026-04-23T21:58:44.646Z,bid-extra-60345901496,2026-04-23T23:55:14.039Z
6719590,946694,7009.76,2026-04-23T21:58:44.646Z,bid-extra-60345901506,2026-04-23T23:55:14.039Z
6719720,947004,7645.360000000001,2026-04-23T21:58:44.646Z,bid-extra-60345901516,2026-04-23T23:55:14.039Z
6719850,947314,8280.960000000001,2026-04-23T21:58:44.646Z,bid-extra-60345901526,2026-04-23T23:55:14.039Z
6719980,947624,8916.56,2026-04-23T21:58:44.646Z,bid-extra-60345901536,2026-04-23T23:55:14.039Z
6720110,947934,9552.16,2026-04-23T21:58:44.646Z,bid-extra-60345901546,2026-04-23T23:55:14.039Z
6720240,948244,10187.76,2026-04-23T21:58:44.647Z,bid-extra-60345901556,2026-04-23T23:55:14.039Z
6720370,948554,10823.36,2026-04-23T21:58:44.647Z,bid-extra-60345901566,2026-04-23T23:55:14.039Z
6720500,948864,11458.960000000001,2026-04-23T21:58:44.647Z,bid-extra-60345901576,2026-04-23T23:55:14.039Z
6720630,949174,7554.56,2026-04-23T21:58:44.647Z,bid-extra-60345901586,2026-04-23T23:55:14.039Z
6720760,949484,8190.16,2026-04-23T21:58:44.647Z,bid-extra-60345901596,2026-04-23T23:55:14.039Z
6720890,949794,8825.76,2026-04-23T21:58:44.647Z,bid-extra-60345901606,2026-04-23T23:55:14.039Z
6721020,950104,9461.36,2026-04-23T21:58:44.647Z,bid-extra-60345901616,2026-04-23T23:55:14.039Z
6721150,950414,10096.960000000001,2026-04-23T21:58:44.647Z,bid-extra-60345901626,2026-04-23T23:55:14.039Z
6721280,950724,10732.56,2026-04-23T21:58:44.647Z,bid-extra-60345901636,2026-04-23T23:55:14.039Z
6721410,951034,2378.96,2026-04-23T21:58:44.647Z,bid-extra-60345901646,2026-04-23T23:55:14.039Z
6721540,951344,3014.56,2026-04-23T21:58:44.648Z,bid-extra-60345901656,2026-04-23T23:55:14.039Z
6721670,951654,3650.1600000000003,2026-04-23T21:58:44.648Z,bid-extra-60345901666,2026-04-23T23:55:14.039Z
6721800,951964,4285.76,2026-04-23T21:58:44.648Z,bid-extra-60345901676,2026-04-23T23:55:14.039Z
6721930,952274,4921.360000000001,2026-04-23T21:58:44.648Z,bid-extra-60345901686,2026-04-23T23:55:14.039Z
6722060,952584,5556.96,2026-04-23T21:58:44.648Z,bid-extra-60345901696,2026-04-23T23:55:14.039Z
6722190,952894,6192.56,2026-04-23T21:58:44.648Z,bid-extra-60345901706,2026-04-23T23:55:14.039Z
6722320,953204,2288.16,2026-04-23T21:58:44.648Z,bid-extra-60345901716,2026-04-23T23:55:14.039Z
6722450,953514,2923.76,2026-04-23T21:58:44.648Z,bid-extra-60345901726,2026-04-23T23:55:14.039Z
6722580,953824,3559.36,2026-04-23T21:58:44.648Z,bid-extra-60345901736,2026-04-23T23:55:14.039Z
6722710,954134,4194.96,2026-04-23T21:58:44.648Z,bid-extra-60345901746,2026-04-23T23:55:14.039Z
6722840,954444,4830.56,2026-04-23T21:58:44.649Z,bid-extra-60345901756,2026-04-23T23:55:14.039Z
6722970,954754,5466.16,2026-04-23T21:58:44.649Z,bid-extra-60345901766,2026-04-23T23:55:14.039Z
6723100,955064,6101.76,2026-04-23T21:58:44.649Z,bid-extra-60345901776,2026-04-23T23:55:14.039Z
6723230,955374,6737.360000000001,2026-04-23T21:58:44.649Z,bid-extra-60345901786,2026-04-23T23:55:14.039Z
6723360,955684,7372.96,2026-04-23T21:58:44.649Z,bid-extra-60345901796,2026-04-23T23:55:14.039Z
6723490,955994,8008.56,2026-04-23T21:58:44.649Z,bid-extra-60345901806,2026-04-23T23:55:14.039Z
6723620,956304,8644.16,2026-04-23T21:58:44.649Z,bid-extra-60345901816,2026-04-23T23:55:14.039Z
6723750,956614,9279.76,2026-04-23T21:58:44.649Z,bid-extra-60345901826,2026-04-23T23:55:14.039Z
6723880,956924,5375.360000000001,2026-04-23T21:58:44.649Z,bid-extra-60345901836,2026-04-23T23:55:14.039Z
6724010,957234,6010.96,2026-04-23T21:58:44.649Z,bid-extra-60345901846,2026-04-23T23:55:14.039Z
6724140,957544,6646.56,2026-04-23T21:58:44.650Z,bid-extra-60345901856,2026-04-23T23:55:14.039Z
6724270,957854,7282.16,2026-04-23T21:58:44.650Z,bid-extra-60345901866,2026-04-23T23:55:14.039Z
6724400,958164,7917.76,2026-04-23T21:58:44.650Z,bid-extra-60345901876,2026-04-23T23:55:14.039Z
6724530,958474,8553.36,2026-04-23T21:58:44.650Z,bid-extra-60345901886,2026-04-23T23:55:14.039Z
6724660,958784,9188.960000000001,2026-04-23T21:58:44.650Z,bid-extra-60345901896,2026-04-23T23:55:14.039Z
6724790,959094,9824.56,2026-04-23T21:58:44.650Z,bid-extra-60345901906,2026-04-23T23:55:14.039Z
6724920,959404,10460.16,2026-04-23T21:58:44.650Z,bid-extra-60345901916,2026-04-23T23:55:14.039Z
6725050,959714,11095.76,2026-04-23T21:58:44.650Z,bid-extra-60345901926,2026-04-23T23:55:14.039Z
6725180,960024,11731.36,2026-04-23T21:58:44.650Z,bid-extra-60345901936,2026-04-23T23:55:14.039Z
6725310,960334,12366.960000000001,2026-04-23T21:58:44.650Z,bid-extra-60345901946,2026-04-23T23:55:14.039Z
6725440,960644,8462.56,2026-04-23T21:58:44.651Z,bid-extra-60345901956,2026-04-23T23:55:14.039Z
6725570,960954,9098.16,2026-04-23T21:58:44.651Z,bid-extra-60345901966,2026-04-23T23:55:14.039Z
6725700,961264,9733.76,2026-04-23T21:58:44.651Z,bid-extra-60345901976,2026-04-23T23:55:14.039Z
6725830,961574,10369.36,2026-04-23T21:58:44.651Z,bid-extra-60345901986,2026-04-23T23:55:14.039Z
6725960,961884,2015.76,2026-04-23T21:58:44.651Z,bid-extra-60345901996,2026-04-23T23:55:14.039Z
6726090,962194,2651.36,2026-04-23T21:58:44.651Z,bid-extra-60345902006,2026-04-23T23:55:14.039Z
6726220,962504,3286.96,2026-04-23T21:58:44.651Z,bid-extra-60345902016,2026-04-23T23:55:14.039Z
6726350,962814,3922.56,2026-04-23T21:58:44.651Z,bid-extra-60345902026,2026-04-23T23:55:14.039Z
6726480,963124,4558.16,2026-04-23T21:58:44.651Z,bid-extra-60345902036,2026-04-23T23:55:14.039Z
6726610,963434,5193.76,2026-04-23T21:58:44.651Z,bid-extra-60345902046,2026-04-23T23:55:14.039Z
6726740,963744,5829.360000000001,2026-04-23T21:58:44.652Z,bid-extra-60345902056,2026-04-23T23:55:14.039Z
6726870,964054,6464.96,2026-04-23T21:58:44.652Z,bid-extra-60345902066,2026-04-23T23:55:14.039Z
