auction,bidder,price,dateTime,extra,processed_time
3700090,900194,7191.360000000001,2026-04-23T22:01:54.631Z,bid-extra-60364900006,2026-04-23T23:55:14.039Z
3700220,900504,7826.96,2026-04-23T22:01:54.631Z,bid-extra-60364900016,2026-04-23T23:55:14.039Z
3700350,900814,8462.56,2026-04-23T22:01:54.631Z,bid-extra-60364900026,2026-04-23T23:55:14.039Z
3700480,901124,9098.16,2026-04-23T22:01:54.631Z,bid-extra-60364900036,2026-04-23T23:55:14.039Z
3700610,901434,9733.76,2026-04-23T22:01:54.631Z,bid-extra-60364900046,2026-04-23T23:55:14.039Z
3700740,901744,10369.36,2026-04-23T22:01:54.632Z,bid-extra-60364900056,2026-04-23T23:55:14.039Z
3700870,902054,11004.960000000001,2026-04-23T22:01:54.632Z,bid-extra-60364900066,2026-04-23T23:55:14.039Z
3701000,902364,11640.56,2026-04-23T22:01:54.632Z,bid-extra-60364900076,2026-04-23T23:55:14.039Z
3701130,902674,12276.16,2026-04-23T22:01:54.632Z,bid-extra-60364900086,2026-04-23T23:55:14.039Z
3701260,902984,3922.56,2026-04-23T22:01:54.632Z,bid-extra-60364900096,2026-04-23T23:55:14.039Z
3701390,903294,4558.16,2026-04-23T22:01:54.632Z,bid-extra-60364900106,2026-04-23T23:55:14.039Z
3701520,903604,5193.76,2026-04-23T22:01:54.632Z,bid-extra-60364900116,2026-04-23T23:55:14.039Z
3701650,903914,1289.3600000000001,2026-04-23T22:01:54.632Z,bid-extra-60364900126,2026-04-23T23:55:14.039Z
3701780,904224,1924.96,2026-04-23T22:01:54.632Z,bid-extra-60364900136,2026-04-23T23:55:14.039Z
3701910,904534,2560.56,2026-04-23T22:01:54.632Z,bid-extra-60364900146,2026-04-23T23:55:14.039Z
3702040,904844,3196.1600000000003,2026-04-23T22:01:54.633Z,bid-extra-60364900156,2026-04-23T23:55:14.039Z
3702170,905154,3831.76,2026-04-23T22:01:54.633Z,bid-extra-60364900166,2026-04-23T23:55:14.039Z
3702300,905464,4467.360000000001,2026-04-23T22:01:54.633Z,bid-extra-60364900176,2026-04-23T23:55:14.039Z
3702430,905774,5102.96,2026-04-23T22:01:54.633Z,bid-extra-60364900186,2026-04-23T23:55:14.039Z
3702560,906084,5738.56,2026-04-23T22:01:54.633Z,bid-extra-60364900196,2026-04-23T23:55:14.039Z
3702690,906394,6374.16,2026-04-23T22:01:54.633Z,bid-extra-60364900206,2026-04-23T23:55:14.039Z
3702820,906704,7009.76,2026-04-23T22:01:54.633Z,bid-extra-60364900216,2026-04-23T23:55:14.039Z
3702950,907014,7645.360000000001,2026-04-23T22:01:54.633Z,bid-extra-60364900226,2026-04-23T23:55:14.039Z
