auction,bidder,price,dateTime,extra,processed_time
9700090,900194,4104.16,2026-04-23T22:00:34.631Z,bid-extra-60356900006,2026-04-23T23:55:14.039Z
9700220,900504,4739.76,2026-04-23T22:00:34.631Z,bid-extra-60356900016,2026-04-23T23:55:14.039Z
9700350,900814,5375.360000000001,2026-04-23T22:00:34.631Z,bid-extra-60356900026,2026-04-23T23:55:14.039Z
9700480,901124,6010.96,2026-04-23T22:00:34.631Z,bid-extra-60356900036,2026-04-23T23:55:14.039Z
9700610,901434,6646.56,2026-04-23T22:00:34.631Z,bid-extra-60356900046,2026-04-23T23:55:14.039Z
9700740,901744,7282.16,2026-04-23T22:00:34.632Z,bid-extra-60356900056,2026-04-23T23:55:14.039Z
9700870,902054,7917.76,2026-04-23T22:00:34.632Z,bid-extra-60356900066,2026-04-23T23:55:14.039Z
9701000,902364,8553.36,2026-04-23T22:00:34.632Z,bid-extra-60356900076,2026-04-23T23:55:14.039Z
9701130,902674,9188.960000000001,2026-04-23T22:00:34.632Z,bid-extra-60356900086,2026-04-23T23:55:14.039Z
9701260,902984,9824.56,2026-04-23T22:00:34.632Z,bid-extra-60356900096,2026-04-23T23:55:14.039Z
9701390,903294,10460.16,2026-04-23T22:00:34.632Z,bid-extra-60356900106,2026-04-23T23:55:14.039Z
9701520,903604,11095.76,2026-04-23T22:00:34.632Z,bid-extra-60356900116,2026-04-23T23:55:14.039Z
9701650,903914,7191.360000000001,2026-04-23T22:00:34.632Z,bid-extra-60356900126,2026-04-23T23:55:14.039Z
9701780,904224,7826.96,2026-04-23T22:00:34.632Z,bid-extra-60356900136,2026-04-23T23:55:14.039Z
9701910,904534,8462.56,2026-04-23T22:00:34.632Z,bid-extra-60356900146,2026-04-23T23:55:14.039Z
9702040,904844,9098.16,2026-04-23T22:00:34.633Z,bid-extra-60356900156,2026-04-23T23:55:14.039Z
9702170,905154,9733.76,2026-04-23T22:00:34.633Z,bid-extra-60356900166,2026-04-23T23:55:14.039Z
9702300,905464,10369.36,2026-04-23T22:00:34.633Z,bid-extra-60356900176,2026-04-23T23:55:14.039Z
9702430,905774,11004.960000000001,2026-04-23T22:00:34.633Z,bid-extra-60356900186,2026-04-23T23:55:14.039Z
9702560,906084,11640.56,2026-04-23T22:00:34.633Z,bid-extra-60356900196,2026-04-23T23:55:14.039Z
9702690,906394,3286.96,2026-04-23T22:00:34.633Z,bid-extra-60356900206,2026-04-23T23:55:14.039Z
9702820,906704,3922.56,2026-04-23T22:00:34.633Z,bid-extra-60356900216,2026-04-23T23:55:14.039Z
9702950,907014,4558.16,2026-04-23T22:00:34.633Z,bid-extra-60356900226,2026-04-23T23:55:14.039Z
9703080,907324,5193.76,2026-04-23T22:00:34.633Z,bid-extra-60356900236,2026-04-23T23:55:14.039Z
9703210,907634,1289.3600000000001,2026-04-23T22:00:34.633Z,bid-extra-60356900246,2026-04-23T23:55:14.039Z
9703340,907944,1924.96,2026-04-23T22:00:34.634Z,bid-extra-60356900256,2026-04-23T23:55:14.039Z
9703470,908254,2560.56,2026-04-23T22:00:34.634Z,bid-extra-60356900266,2026-04-23T23:55:14.039Z
9703600,908564,3196.1600000000003,2026-04-23T22:00:34.634Z,bid-extra-60356900276,2026-04-23T23:55:14.039Z
9703730,908874,3831.76,2026-04-23T22:00:34.634Z,bid-extra-60356900286,2026-04-23T23:55:14.039Z
9703860,909184,4467.360000000001,2026-04-23T22:00:34.634Z,bid-extra-60356900296,2026-04-23T23:55:14.039Z
9703990,909494,5102.96,2026-04-23T22:00:34.634Z,bid-extra-60356900306,2026-04-23T23:55:14.039Z
9704120,909804,5738.56,2026-04-23T22:00:34.634Z,bid-extra-60356900316,2026-04-23T23:55:14.039Z
9704250,910114,6374.16,2026-04-23T22:00:34.634Z,bid-extra-60356900326,2026-04-23T23:55:14.039Z
9704380,910424,7009.76,2026-04-23T22:00:34.634Z,bid-extra-60356900336,2026-04-23T23:55:14.039Z
9704510,910734,7645.360000000001,2026-04-23T22:00:34.634Z,bid-extra-60356900346,2026-04-23T23:55:14.039Z
9704640,911044,8280.960000000001,2026-04-23T22:00:34.635Z,bid-extra-60356900356,2026-04-23T23:55:14.039Z
9704770,911354,4376.56,2026-04-23T22:00:34.635Z,bid-extra-60356900366,2026-04-23T23:55:14.039Z
9704900,911664,5012.16,2026-04-23T22:00:34.635Z,bid-extra-60356900376,2026-04-23T23:55:14.039Z
9705030,911974,5647.76,2026-04-23T22:00:34.635Z,bid-extra-60356900386,2026-04-23T23:55:14.039Z
9705160,912284,6283.360000000001,2026-04-23T22:00:34.635Z,bid-extra-60356900396,2026-04-23T23:55:14.039Z
9705290,912594,6918.96,2026-04-23T22:00:34.635Z,bid-extra-60356900406,2026-04-23T23:55:14.039Z
9705420,912904,7554.56,2026-04-23T22:00:34.635Z,bid-extra-60356900416,2026-04-23T23:55:14.039Z
