auction,bidder,price,dateTime,extra,processed_time
700090,900194,5829.360000000001,2026-04-23T21:58:24.631Z,bid-extra-60343900006,2026-04-23T23:55:14.039Z
700220,900504,6464.96,2026-04-23T21:58:24.631Z,bid-extra-60343900016,2026-04-23T23:55:14.039Z
700350,900814,7100.56,2026-04-23T21:58:24.631Z,bid-extra-60343900026,2026-04-23T23:55:14.039Z
700480,901124,7736.16,2026-04-23T21:58:24.631Z,bid-extra-60343900036,2026-04-23T23:55:14.039Z
700610,901434,8371.76,2026-04-23T21:58:24.631Z,bid-extra-60343900046,2026-04-23T23:55:14.039Z
700740,901744,9007.36,2026-04-23T21:58:24.632Z,bid-extra-60343900056,2026-04-23T23:55:14.039Z
700870,902054,9642.960000000001,2026-04-23T21:58:24.632Z,bid-extra-60343900066,2026-04-23T23:55:14.039Z
701000,902364,10278.56,2026-04-23T21:58:24.632Z,bid-extra-60343900076,2026-04-23T23:55:14.039Z
701130,902674,10914.16,2026-04-23T21:58:24.632Z,bid-extra-60343900086,2026-04-23T23:55:14.039Z
701260,902984,11549.76,2026-04-23T21:58:24.632Z,bid-extra-60343900096,2026-04-23T23:55:14.039Z
701390,903294,12185.36,2026-04-23T21:58:24.632Z,bid-extra-60343900106,2026-04-23T23:55:14.039Z
701520,903604,12820.960000000001,2026-04-23T21:58:24.632Z,bid-extra-60343900116,2026-04-23T23:55:14.039Z
701650,903914,8916.56,2026-04-23T21:58:24.632Z,bid-extra-60343900126,2026-04-23T23:55:14.039Z
701780,904224,9552.16,2026-04-23T21:58:24.632Z,bid-extra-60343900136,2026-04-23T23:55:14.039Z
701910,904534,1198.56,2026-04-23T21:58:24.632Z,bid-extra-60343900146,2026-04-23T23:55:14.039Z
702040,904844,1834.16,2026-04-23T21:58:24.633Z,bid-extra-60343900156,2026-04-23T23:55:14.039Z
702170,905154,2469.76,2026-04-23T21:58:24.633Z,bid-extra-60343900166,2026-04-23T23:55:14.039Z
702300,905464,3105.36,2026-04-23T21:58:24.633Z,bid-extra-60343900176,2026-04-23T23:55:14.039Z
702430,905774,3740.96,2026-04-23T21:58:24.633Z,bid-extra-60343900186,2026-04-23T23:55:14.039Z
702560,906084,4376.56,2026-04-23T21:58:24.633Z,bid-extra-60343900196,2026-04-23T23:55:14.039Z
702690,906394,5012.16,2026-04-23T21:58:24.633Z,bid-extra-60343900206,2026-04-23T23:55:14.039Z
702820,906704,5647.76,2026-04-23T21:58:24.633Z,bid-extra-60343900216,2026-04-23T23:55:14.039Z
702950,907014,6283.360000000001,2026-04-23T21:58:24.633Z,bid-extra-60343900226,2026-04-23T23:55:14.039Z
703080,907324,6918.96,2026-04-23T21:58:24.633Z,bid-extra-60343900236,2026-04-23T23:55:14.039Z
703210,907634,3014.56,2026-04-23T21:58:24.633Z,bid-extra-60343900246,2026-04-23T23:55:14.039Z
703340,907944,3650.1600000000003,2026-04-23T21:58:24.634Z,bid-extra-60343900256,2026-04-23T23:55:14.039Z
703470,908254,4285.76,2026-04-23T21:58:24.634Z,bid-extra-60343900266,2026-04-23T23:55:14.039Z
703600,908564,4921.360000000001,2026-04-23T21:58:24.634Z,bid-extra-60343900276,2026-04-23T23:55:14.039Z
703730,908874,5556.96,2026-04-23T21:58:24.634Z,bid-extra-60343900286,2026-04-23T23:55:14.039Z
703860,909184,6192.56,2026-04-23T21:58:24.634Z,bid-extra-60343900296,2026-04-23T23:55:14.039Z
703990,909494,6828.16,2026-04-23T21:58:24.634Z,bid-extra-60343900306,2026-04-23T23:55:14.039Z
704120,909804,7463.76,2026-04-23T21:58:24.634Z,bid-extra-60343900316,2026-04-23T23:55:14.039Z
704250,910114,8099.360000000001,2026-04-23T21:58:24.634Z,bid-extra-60343900326,2026-04-23T23:55:14.039Z
704380,910424,8734.960000000001,2026-04-23T21:58:24.634Z,bid-extra-60343900336,2026-04-23T23:55:14.039Z
704510,910734,9370.56,2026-04-23T21:58:24.634Z,bid-extra-60343900346,2026-04-23T23:55:14.039Z
704640,911044,10006.16,2026-04-23T21:58:24.635Z,bid-extra-60343900356,2026-04-23T23:55:14.039Z
704770,911354,6101.76,2026-04-23T21:58:24.635Z,bid-extra-60343900366,2026-04-23T23:55:14.039Z
704900,911664,6737.360000000001,2026-04-23T21:58:24.635Z,bid-extra-60343900376,2026-04-23T23:55:14.039Z
705030,911974,7372.96,2026-04-23T21:58:24.635Z,bid-extra-60343900386,2026-04-23T23:55:14.039Z
705160,912284,8008.56,2026-04-23T21:58:24.635Z,bid-extra-60343900396,2026-04-23T23:55:14.039Z
705290,912594,8644.16,2026-04-23T21:58:24.635Z,bid-extra-60343900406,2026-04-23T23:55:14.039Z
705420,912904,9279.76,2026-04-23T21:58:24.635Z,bid-extra-60343900416,2026-04-23T23:55:14.039Z
705550,913214,9915.36,2026-04-23T21:58:24.635Z,bid-extra-60343900426,2026-04-23T23:55:14.039Z
705680,913524,10550.960000000001,2026-04-23T21:58:24.635Z,bid-extra-60343900436,2026-04-23T23:55:14.039Z
705810,913834,11186.56,2026-04-23T21:58:24.635Z,bid-extra-60343900446,2026-04-23T23:55:14.039Z
705940,914144,11822.16,2026-04-23T21:58:24.636Z,bid-extra-60343900456,2026-04-23T23:55:14.039Z
706070,914454,12457.76,2026-04-23T21:58:24.636Z,bid-extra-60343900466,2026-04-23T23:55:14.039Z
706200,914764,13093.36,2026-04-23T21:58:24.636Z,bid-extra-60343900476,2026-04-23T23:55:14.039Z
706330,915074,4739.76,2026-04-23T21:58:24.636Z,bid-extra-60343900486,2026-04-23T23:55:14.039Z
706460,915384,835.36,2026-04-23T21:58:24.636Z,bid-extra-60343900496,2026-04-23T23:55:14.039Z
706590,915694,1470.96,2026-04-23T21:58:24.636Z,bid-extra-60343900506,2026-04-23T23:55:14.039Z
706720,916004,2106.56,2026-04-23T21:58:24.636Z,bid-extra-60343900516,2026-04-23T23:55:14.039Z
706850,916314,2742.1600000000003,2026-04-23T21:58:24.636Z,bid-extra-60343900526,2026-04-23T23:55:14.039Z
706980,916624,3377.76,2026-04-23T21:58:24.636Z,bid-extra-60343900536,2026-04-23T23:55:14.039Z
707110,916934,4013.36,2026-04-23T21:58:24.636Z,bid-extra-60343900546,2026-04-23T23:55:14.039Z
707240,917244,4648.96,2026-04-23T21:58:24.637Z,bid-extra-60343900556,2026-04-23T23:55:14.039Z
707370,917554,5284.56,2026-04-23T21:58:24.637Z,bid-extra-60343900566,2026-04-23T23:55:14.039Z
707500,917864,5920.16,2026-04-23T21:58:24.637Z,bid-extra-60343900576,2026-04-23T23:55:14.039Z
707630,918174,6555.76,2026-04-23T21:58:24.637Z,bid-extra-60343900586,2026-04-23T23:55:14.039Z
707760,918484,7191.360000000001,2026-04-23T21:58:24.637Z,bid-extra-60343900596,2026-04-23T23:55:14.039Z
707890,918794,7826.96,2026-04-23T21:58:24.637Z,bid-extra-60343900606,2026-04-23T23:55:14.039Z
708020,919104,3922.56,2026-04-23T21:58:24.637Z,bid-extra-60343900616,2026-04-23T23:55:14.039Z
708150,919414,4558.16,2026-04-23T21:58:24.637Z,bid-extra-60343900626,2026-04-23T23:55:14.039Z
708280,919724,5193.76,2026-04-23T21:58:24.637Z,bid-extra-60343900636,2026-04-23T23:55:14.039Z
708410,920034,5829.360000000001,2026-04-23T21:58:24.637Z,bid-extra-60343900646,2026-04-23T23:55:14.039Z
708540,920344,6464.96,2026-04-23T21:58:24.638Z,bid-extra-60343900656,2026-04-23T23:55:14.039Z
708670,920654,7100.56,2026-04-23T21:58:24.638Z,bid-extra-60343900666,2026-04-23T23:55:14.039Z
708800,920964,7736.16,2026-04-23T21:58:24.638Z,bid-extra-60343900676,2026-04-23T23:55:14.039Z
708930,921274,8371.76,2026-04-23T21:58:24.638Z,bid-extra-60343900686,2026-04-23T23:55:14.039Z
709060,921584,9007.36,2026-04-23T21:58:24.638Z,bid-extra-60343900696,2026-04-23T23:55:14.039Z
709190,921894,9642.960000000001,2026-04-23T21:58:24.638Z,bid-extra-60343900706,2026-04-23T23:55:14.039Z
709320,922204,10278.56,2026-04-23T21:58:24.638Z,bid-extra-60343900716,2026-04-23T23:55:14.039Z
709450,922514,10914.16,2026-04-23T21:58:24.638Z,bid-extra-60343900726,2026-04-23T23:55:14.039Z
709580,922824,7009.76,2026-04-23T21:58:24.638Z,bid-extra-60343900736,2026-04-23T23:55:14.039Z
709710,923134,7645.360000000001,2026-04-23T21:58:24.638Z,bid-extra-60343900746,2026-04-23T23:55:14.039Z
709840,923444,8280.960000000001,2026-04-23T21:58:24.639Z,bid-extra-60343900756,2026-04-23T23:55:14.039Z
709970,923754,8916.56,2026-04-23T21:58:24.639Z,bid-extra-60343900766,2026-04-23T23:55:14.039Z
710100,924064,9552.16,2026-04-23T21:58:24.639Z,bid-extra-60343900776,2026-04-23T23:55:14.039Z
710230,924374,10187.76,2026-04-23T21:58:24.639Z,bid-extra-60343900786,2026-04-23T23:55:14.039Z
710360,924684,10823.36,2026-04-23T21:58:24.639Z,bid-extra-60343900796,2026-04-23T23:55:14.039Z
710490,924994,11458.960000000001,2026-04-23T21:58:24.639Z,bid-extra-60343900806,2026-04-23T23:55:14.039Z
710620,925304,12094.56,2026-04-23T21:58:24.639Z,bid-extra-60343900816,2026-04-23T23:55:14.039Z
710750,925614,3740.96,2026-04-23T21:58:24.639Z,bid-extra-60343900826,2026-04-23T23:55:14.039Z
710880,925924,4376.56,2026-04-23T21:58:24.639Z,bid-extra-60343900836,2026-04-23T23:55:14.039Z
711010,926234,5012.16,2026-04-23T21:58:24.639Z,bid-extra-60343900846,2026-04-23T23:55:14.039Z
711140,926544,1107.76,2026-04-23T21:58:24.640Z,bid-extra-60343900856,2026-04-23T23:55:14.039Z
711270,926854,1743.3600000000001,2026-04-23T21:58:24.640Z,bid-extra-60343900866,2026-04-23T23:55:14.039Z
711400,927164,2378.96,2026-04-23T21:58:24.640Z,bid-extra-60343900876,2026-04-23T23:55:14.039Z
711530,927474,3014.56,2026-04-23T21:58:24.640Z,bid-extra-60343900886,2026-04-23T23:55:14.039Z
711660,927784,3650.1600000000003,2026-04-23T21:58:24.640Z,bid-extra-60343900896,2026-04-23T23:55:14.039Z
711790,928094,4285.76,2026-04-23T21:58:24.640Z,bid-extra-60343900906,2026-04-23T23:55:14.039Z
711920,928404,4921.360000000001,2026-04-23T21:58:24.640Z,bid-extra-60343900916,2026-04-23T23:55:14.039Z
712050,928714,5556.96,2026-04-23T21:58:24.640Z,bid-extra-60343900926,2026-04-23T23:55:14.039Z
712180,929024,6192.56,2026-04-23T21:58:24.640Z,bid-extra-60343900936,2026-04-23T23:55:14.039Z
712310,929334,6828.16,2026-04-23T21:58:24.640Z,bid-extra-60343900946,2026-04-23T23:55:14.039Z
712440,929644,7463.76,2026-04-23T21:58:24.641Z,bid-extra-60343900956,2026-04-23T23:55:14.039Z
712570,929954,8099.360000000001,2026-04-23T21:58:24.641Z,bid-extra-60343900966,2026-04-23T23:55:14.039Z
712700,930264,4194.96,2026-04-23T21:58:24.641Z,bid-extra-60343900976,2026-04-23T23:55:14.039Z
712830,930574,4830.56,2026-04-23T21:58:24.641Z,bid-extra-60343900986,2026-04-23T23:55:14.039Z
712960,930884,5466.16,2026-04-23T21:58:24.641Z,bid-extra-60343900996,2026-04-23T23:55:14.039Z
713090,931194,6101.76,2026-04-23T21:58:24.641Z,bid-extra-60343901006,2026-04-23T23:55:14.039Z
713220,931504,6737.360000000001,2026-04-23T21:58:24.641Z,bid-extra-60343901016,2026-04-23T23:55:14.039Z
713350,931814,7372.96,2026-04-23T21:58:24.641Z,bid-extra-60343901026,2026-04-23T23:55:14.039Z
713480,932124,8008.56,2026-04-23T21:58:24.641Z,bid-extra-60343901036,2026-04-23T23:55:14.039Z
713610,932434,8644.16,2026-04-23T21:58:24.641Z,bid-extra-60343901046,2026-04-23T23:55:14.039Z
713740,932744,9279.76,2026-04-23T21:58:24.642Z,bid-extra-60343901056,2026-04-23T23:55:14.039Z
713870,933054,9915.36,2026-04-23T21:58:24.642Z,bid-extra-60343901066,2026-04-23T23:55:14.039Z
714000,933364,10550.960000000001,2026-04-23T21:58:24.642Z,bid-extra-60343901076,2026-04-23T23:55:14.039Z
714130,933674,11186.56,2026-04-23T21:58:24.642Z,bid-extra-60343901086,2026-04-23T23:55:14.039Z
714260,933984,11822.16,2026-04-23T21:58:24.642Z,bid-extra-60343901096,2026-04-23T23:55:14.039Z
714390,934294,7917.76,2026-04-23T21:58:24.642Z,bid-extra-60343901106,2026-04-23T23:55:14.039Z
714520,934604,8553.36,2026-04-23T21:58:24.642Z,bid-extra-60343901116,2026-04-23T23:55:14.039Z
714650,934914,9188.960000000001,2026-04-23T21:58:24.642Z,bid-extra-60343901126,2026-04-23T23:55:14.039Z
714780,935224,9824.56,2026-04-23T21:58:24.642Z,bid-extra-60343901136,2026-04-23T23:55:14.039Z
