auction,bidder,price,dateTime,extra,processed_time
8700090,900194,3650.1600000000003,2026-04-23T21:59:24.631Z,bid-extra-60349900006,2026-04-23T23:55:14.039Z
8700220,900504,4285.76,2026-04-23T21:59:24.631Z,bid-extra-60349900016,2026-04-23T23:55:14.039Z
8700350,900814,4921.360000000001,2026-04-23T21:59:24.631Z,bid-extra-60349900026,2026-04-23T23:55:14.039Z
8700480,901124,5556.96,2026-04-23T21:59:24.631Z,bid-extra-60349900036,2026-04-23T23:55:14.039Z
8700610,901434,6192.56,2026-04-23T21:59:24.631Z,bid-extra-60349900046,2026-04-23T23:55:14.039Z
8700740,901744,6828.16,2026-04-23T21:59:24.632Z,bid-extra-60349900056,2026-04-23T23:55:14.039Z
8700870,902054,7463.76,2026-04-23T21:59:24.632Z,bid-extra-60349900066,2026-04-23T23:55:14.039Z
8701000,902364,8099.360000000001,2026-04-23T21:59:24.632Z,bid-extra-60349900076,2026-04-23T23:55:14.039Z
8701130,902674,8734.960000000001,2026-04-23T21:59:24.632Z,bid-extra-60349900086,2026-04-23T23:55:14.039Z
8701260,902984,9370.56,2026-04-23T21:59:24.632Z,bid-extra-60349900096,2026-04-23T23:55:14.039Z
8701390,903294,10006.16,2026-04-23T21:59:24.632Z,bid-extra-60349900106,2026-04-23T23:55:14.039Z
8701520,903604,10641.76,2026-04-23T21:59:24.632Z,bid-extra-60349900116,2026-04-23T23:55:14.039Z
8701650,903914,6737.360000000001,2026-04-23T21:59:24.632Z,bid-extra-60349900126,2026-04-23T23:55:14.039Z
8701780,904224,7372.96,2026-04-23T21:59:24.632Z,bid-extra-60349900136,2026-04-23T23:55:14.039Z
8701910,904534,8008.56,2026-04-23T21:59:24.632Z,bid-extra-60349900146,2026-04-23T23:55:14.039Z
8702040,904844,8644.16,2026-04-23T21:59:24.633Z,bid-extra-60349900156,2026-04-23T23:55:14.039Z
8702170,905154,9279.76,2026-04-23T21:59:24.633Z,bid-extra-60349900166,2026-04-23T23:55:14.039Z
8702300,905464,9915.36,2026-04-23T21:59:24.633Z,bid-extra-60349900176,2026-04-23T23:55:14.039Z
8702430,905774,10550.960000000001,2026-04-23T21:59:24.633Z,bid-extra-60349900186,2026-04-23T23:55:14.039Z
