auction,bidder,price,dateTime,extra,processed_time
700103,900225,4621.72,2026-04-23T22:01:44.631Z,bid-extra-60363900007,2026-04-23T23:55:14.039Z
700233,900535,5257.320000000001,2026-04-23T22:01:44.631Z,bid-extra-60363900017,2026-04-23T23:55:14.039Z
700363,900845,5892.92,2026-04-23T22:01:44.631Z,bid-extra-60363900027,2026-04-23T23:55:14.039Z
700493,901155,6528.52,2026-04-23T22:01:44.631Z,bid-extra-60363900037,2026-04-23T23:55:14.039Z
700623,901465,7164.12,2026-04-23T22:01:44.631Z,bid-extra-60363900047,2026-04-23T23:55:14.039Z
700753,901775,7799.72,2026-04-23T22:01:44.632Z,bid-extra-60363900057,2026-04-23T23:55:14.039Z
700883,902085,8435.32,2026-04-23T22:01:44.632Z,bid-extra-60363900067,2026-04-23T23:55:14.039Z
701013,902395,9070.92,2026-04-23T22:01:44.632Z,bid-extra-60363900077,2026-04-23T23:55:14.039Z
701143,902705,9706.52,2026-04-23T22:01:44.632Z,bid-extra-60363900087,2026-04-23T23:55:14.039Z
701273,903015,10342.12,2026-04-23T22:01:44.632Z,bid-extra-60363900097,2026-04-23T23:55:14.039Z
701403,903325,10977.720000000001,2026-04-23T22:01:44.632Z,bid-extra-60363900107,2026-04-23T23:55:14.039Z
701533,903635,11613.32,2026-04-23T22:01:44.632Z,bid-extra-60363900117,2026-04-23T23:55:14.039Z
701663,903945,7708.92,2026-04-23T22:01:44.632Z,bid-extra-60363900127,2026-04-23T23:55:14.039Z
701793,904255,8344.52,2026-04-23T22:01:44.632Z,bid-extra-60363900137,2026-04-23T23:55:14.039Z
701923,904565,8980.12,2026-04-23T22:01:44.632Z,bid-extra-60363900147,2026-04-23T23:55:14.039Z
702053,904875,9615.720000000001,2026-04-23T22:01:44.633Z,bid-extra-60363900157,2026-04-23T23:55:14.039Z
702183,905185,10251.32,2026-04-23T22:01:44.633Z,bid-extra-60363900167,2026-04-23T23:55:14.039Z
702313,905495,10886.92,2026-04-23T22:01:44.633Z,bid-extra-60363900177,2026-04-23T23:55:14.039Z
702443,905805,2533.32,2026-04-23T22:01:44.633Z,bid-extra-60363900187,2026-04-23T23:55:14.039Z
702573,906115,3168.92,2026-04-23T22:01:44.633Z,bid-extra-60363900197,2026-04-23T23:55:14.039Z
702703,906425,3804.52,2026-04-23T22:01:44.633Z,bid-extra-60363900207,2026-04-23T23:55:14.039Z
702833,906735,4440.12,2026-04-23T22:01:44.633Z,bid-extra-60363900217,2026-04-23T23:55:14.039Z
702963,907045,5075.72,2026-04-23T22:01:44.633Z,bid-extra-60363900227,2026-04-23T23:55:14.039Z
