auction,bidder,price,dateTime,extra,processed_time
700103,900225,5257.320000000001,2026-04-23T22:00:04.631Z,bid-extra-60353900007,2026-04-23T23:55:14.039Z
700233,900535,5892.92,2026-04-23T22:00:04.631Z,bid-extra-60353900017,2026-04-23T23:55:14.039Z
700363,900845,6528.52,2026-04-23T22:00:04.631Z,bid-extra-60353900027,2026-04-23T23:55:14.039Z
700493,901155,7164.12,2026-04-23T22:00:04.631Z,bid-extra-60353900037,2026-04-23T23:55:14.039Z
700623,901465,7799.72,2026-04-23T22:00:04.631Z,bid-extra-60353900047,2026-04-23T23:55:14.039Z
700753,901775,8435.32,2026-04-23T22:00:04.632Z,bid-extra-60353900057,2026-04-23T23:55:14.039Z
700883,902085,9070.92,2026-04-23T22:00:04.632Z,bid-extra-60353900067,2026-04-23T23:55:14.039Z
701013,902395,9706.52,2026-04-23T22:00:04.632Z,bid-extra-60353900077,2026-04-23T23:55:14.039Z
701143,902705,10342.12,2026-04-23T22:00:04.632Z,bid-extra-60353900087,2026-04-23T23:55:14.039Z
701273,903015,10977.720000000001,2026-04-23T22:00:04.632Z,bid-extra-60353900097,2026-04-23T23:55:14.039Z
701403,903325,11613.32,2026-04-23T22:00:04.632Z,bid-extra-60353900107,2026-04-23T23:55:14.039Z
701533,903635,12248.92,2026-04-23T22:00:04.632Z,bid-extra-60353900117,2026-04-23T23:55:14.039Z
701663,903945,8344.52,2026-04-23T22:00:04.632Z,bid-extra-60353900127,2026-04-23T23:55:14.039Z
701793,904255,8980.12,2026-04-23T22:00:04.632Z,bid-extra-60353900137,2026-04-23T23:55:14.039Z
701923,904565,9615.720000000001,2026-04-23T22:00:04.632Z,bid-extra-60353900147,2026-04-23T23:55:14.039Z
702053,904875,10251.32,2026-04-23T22:00:04.633Z,bid-extra-60353900157,2026-04-23T23:55:14.039Z
702183,905185,1897.72,2026-04-23T22:00:04.633Z,bid-extra-60353900167,2026-04-23T23:55:14.039Z
702313,905495,2533.32,2026-04-23T22:00:04.633Z,bid-extra-60353900177,2026-04-23T23:55:14.039Z
702443,905805,3168.92,2026-04-23T22:00:04.633Z,bid-extra-60353900187,2026-04-23T23:55:14.039Z
702573,906115,3804.52,2026-04-23T22:00:04.633Z,bid-extra-60353900197,2026-04-23T23:55:14.039Z
702703,906425,4440.12,2026-04-23T22:00:04.633Z,bid-extra-60353900207,2026-04-23T23:55:14.039Z
702833,906735,5075.72,2026-04-23T22:00:04.633Z,bid-extra-60353900217,2026-04-23T23:55:14.039Z
702963,907045,5711.320000000001,2026-04-23T22:00:04.633Z,bid-extra-60353900227,2026-04-23T23:55:14.039Z
703093,907355,6346.92,2026-04-23T22:00:04.633Z,bid-extra-60353900237,2026-04-23T23:55:14.039Z
703223,907665,2442.52,2026-04-23T22:00:04.633Z,bid-extra-60353900247,2026-04-23T23:55:14.039Z
703353,907975,3078.12,2026-04-23T22:00:04.634Z,bid-extra-60353900257,2026-04-23T23:55:14.039Z
