auction,bidder,price,dateTime,extra,processed_time
6700103,900225,898.9200000000001,2026-04-23T22:02:04.631Z,bid-extra-60365900007,2026-04-23T23:55:14.039Z
6700233,900535,1534.52,2026-04-23T22:02:04.631Z,bid-extra-60365900017,2026-04-23T23:55:14.039Z
6700363,900845,2170.12,2026-04-23T22:02:04.631Z,bid-extra-60365900027,2026-04-23T23:55:14.039Z
6700493,901155,2805.7200000000003,2026-04-23T22:02:04.631Z,bid-extra-60365900037,2026-04-23T23:55:14.039Z
6700623,901465,3441.32,2026-04-23T22:02:04.631Z,bid-extra-60365900047,2026-04-23T23:55:14.039Z
6700753,901775,4076.92,2026-04-23T22:02:04.632Z,bid-extra-60365900057,2026-04-23T23:55:14.039Z
6700883,902085,4712.52,2026-04-23T22:02:04.632Z,bid-extra-60365900067,2026-04-23T23:55:14.039Z
6701013,902395,5348.12,2026-04-23T22:02:04.632Z,bid-extra-60365900077,2026-04-23T23:55:14.039Z
6701143,902705,5983.72,2026-04-23T22:02:04.632Z,bid-extra-60365900087,2026-04-23T23:55:14.039Z
6701273,903015,6619.320000000001,2026-04-23T22:02:04.632Z,bid-extra-60365900097,2026-04-23T23:55:14.039Z
6701403,903325,7254.92,2026-04-23T22:02:04.632Z,bid-extra-60365900107,2026-04-23T23:55:14.039Z
6701533,903635,7890.52,2026-04-23T22:02:04.632Z,bid-extra-60365900117,2026-04-23T23:55:14.039Z
6701663,903945,3986.1200000000003,2026-04-23T22:02:04.632Z,bid-extra-60365900127,2026-04-23T23:55:14.039Z
6701793,904255,4621.72,2026-04-23T22:02:04.632Z,bid-extra-60365900137,2026-04-23T23:55:14.039Z
6701923,904565,5257.320000000001,2026-04-23T22:02:04.632Z,bid-extra-60365900147,2026-04-23T23:55:14.039Z
6702053,904875,5892.92,2026-04-23T22:02:04.633Z,bid-extra-60365900157,2026-04-23T23:55:14.039Z
6702183,905185,6528.52,2026-04-23T22:02:04.633Z,bid-extra-60365900167,2026-04-23T23:55:14.039Z
6702313,905495,7164.12,2026-04-23T22:02:04.633Z,bid-extra-60365900177,2026-04-23T23:55:14.039Z
6702443,905805,7799.72,2026-04-23T22:02:04.633Z,bid-extra-60365900187,2026-04-23T23:55:14.039Z
6702573,906115,8435.32,2026-04-23T22:02:04.633Z,bid-extra-60365900197,2026-04-23T23:55:14.039Z
6702703,906425,9070.92,2026-04-23T22:02:04.633Z,bid-extra-60365900207,2026-04-23T23:55:14.039Z
6702833,906735,9706.52,2026-04-23T22:02:04.633Z,bid-extra-60365900217,2026-04-23T23:55:14.039Z
6702963,907045,10342.12,2026-04-23T22:02:04.633Z,bid-extra-60365900227,2026-04-23T23:55:14.039Z
6703093,907355,10977.720000000001,2026-04-23T22:02:04.633Z,bid-extra-60365900237,2026-04-23T23:55:14.039Z
6703223,907665,7073.320000000001,2026-04-23T22:02:04.633Z,bid-extra-60365900247,2026-04-23T23:55:14.039Z
6703353,907975,7708.92,2026-04-23T22:02:04.634Z,bid-extra-60365900257,2026-04-23T23:55:14.039Z
6703483,908285,8344.52,2026-04-23T22:02:04.634Z,bid-extra-60365900267,2026-04-23T23:55:14.039Z
6703613,908595,8980.12,2026-04-23T22:02:04.634Z,bid-extra-60365900277,2026-04-23T23:55:14.039Z
6703743,908905,9615.720000000001,2026-04-23T22:02:04.634Z,bid-extra-60365900287,2026-04-23T23:55:14.039Z
6703873,909215,10251.32,2026-04-23T22:02:04.634Z,bid-extra-60365900297,2026-04-23T23:55:14.039Z
6704003,909525,10886.92,2026-04-23T22:02:04.634Z,bid-extra-60365900307,2026-04-23T23:55:14.039Z
6704133,909835,11522.52,2026-04-23T22:02:04.634Z,bid-extra-60365900317,2026-04-23T23:55:14.039Z
6704263,910145,12158.12,2026-04-23T22:02:04.634Z,bid-extra-60365900327,2026-04-23T23:55:14.039Z
6704393,910455,3804.52,2026-04-23T22:02:04.634Z,bid-extra-60365900337,2026-04-23T23:55:14.039Z
6704523,910765,4440.12,2026-04-23T22:02:04.634Z,bid-extra-60365900347,2026-04-23T23:55:14.039Z
6704653,911075,5075.72,2026-04-23T22:02:04.635Z,bid-extra-60365900357,2026-04-23T23:55:14.039Z
6704783,911385,1171.32,2026-04-23T22:02:04.635Z,bid-extra-60365900367,2026-04-23T23:55:14.039Z
6704913,911695,1806.92,2026-04-23T22:02:04.635Z,bid-extra-60365900377,2026-04-23T23:55:14.039Z
6705043,912005,2442.52,2026-04-23T22:02:04.635Z,bid-extra-60365900387,2026-04-23T23:55:14.039Z
6705173,912315,3078.12,2026-04-23T22:02:04.635Z,bid-extra-60365900397,2026-04-23T23:55:14.039Z
6705303,912625,3713.7200000000003,2026-04-23T22:02:04.635Z,bid-extra-60365900407,2026-04-23T23:55:14.039Z
6705433,912935,4349.32,2026-04-23T22:02:04.635Z,bid-extra-60365900417,2026-04-23T23:55:14.039Z
6705563,913245,4984.92,2026-04-23T22:02:04.635Z,bid-extra-60365900427,2026-04-23T23:55:14.039Z
6705693,913555,5620.52,2026-04-23T22:02:04.635Z,bid-extra-60365900437,2026-04-23T23:55:14.039Z
6705823,913865,6256.12,2026-04-23T22:02:04.635Z,bid-extra-60365900447,2026-04-23T23:55:14.039Z
6705953,914175,6891.72,2026-04-23T22:02:04.636Z,bid-extra-60365900457,2026-04-23T23:55:14.039Z
6706083,914485,7527.320000000001,2026-04-23T22:02:04.636Z,bid-extra-60365900467,2026-04-23T23:55:14.039Z
6706213,914795,8162.92,2026-04-23T22:02:04.636Z,bid-extra-60365900477,2026-04-23T23:55:14.039Z
6706343,915105,8798.52,2026-04-23T22:02:04.636Z,bid-extra-60365900487,2026-04-23T23:55:14.039Z
6706473,915415,4894.12,2026-04-23T22:02:04.636Z,bid-extra-60365900497,2026-04-23T23:55:14.039Z
6706603,915725,5529.72,2026-04-23T22:02:04.636Z,bid-extra-60365900507,2026-04-23T23:55:14.039Z
6706733,916035,6165.320000000001,2026-04-23T22:02:04.636Z,bid-extra-60365900517,2026-04-23T23:55:14.039Z
6706863,916345,6800.92,2026-04-23T22:02:04.636Z,bid-extra-60365900527,2026-04-23T23:55:14.039Z
6706993,916655,7436.52,2026-04-23T22:02:04.636Z,bid-extra-60365900537,2026-04-23T23:55:14.039Z
6707123,916965,8072.12,2026-04-23T22:02:04.636Z,bid-extra-60365900547,2026-04-23T23:55:14.039Z
6707253,917275,8707.720000000001,2026-04-23T22:02:04.637Z,bid-extra-60365900557,2026-04-23T23:55:14.039Z
6707383,917585,9343.32,2026-04-23T22:02:04.637Z,bid-extra-60365900567,2026-04-23T23:55:14.039Z
6707513,917895,9978.92,2026-04-23T22:02:04.637Z,bid-extra-60365900577,2026-04-23T23:55:14.039Z
6707643,918205,10614.52,2026-04-23T22:02:04.637Z,bid-extra-60365900587,2026-04-23T23:55:14.039Z
6707773,918515,11250.12,2026-04-23T22:02:04.637Z,bid-extra-60365900597,2026-04-23T23:55:14.039Z
6707903,918825,11885.720000000001,2026-04-23T22:02:04.637Z,bid-extra-60365900607,2026-04-23T23:55:14.039Z
6708033,919135,7981.320000000001,2026-04-23T22:02:04.637Z,bid-extra-60365900617,2026-04-23T23:55:14.039Z
6708163,919445,8616.92,2026-04-23T22:02:04.637Z,bid-extra-60365900627,2026-04-23T23:55:14.039Z
6708293,919755,9252.52,2026-04-23T22:02:04.637Z,bid-extra-60365900637,2026-04-23T23:55:14.039Z
6708423,920065,9888.12,2026-04-23T22:02:04.637Z,bid-extra-60365900647,2026-04-23T23:55:14.039Z
6708553,920375,10523.720000000001,2026-04-23T22:02:04.638Z,bid-extra-60365900657,2026-04-23T23:55:14.039Z
6708683,920685,11159.32,2026-04-23T22:02:04.638Z,bid-extra-60365900667,2026-04-23T23:55:14.039Z
6708813,920995,2805.7200000000003,2026-04-23T22:02:04.638Z,bid-extra-60365900677,2026-04-23T23:55:14.039Z
6708943,921305,3441.32,2026-04-23T22:02:04.638Z,bid-extra-60365900687,2026-04-23T23:55:14.039Z
6709073,921615,4076.92,2026-04-23T22:02:04.638Z,bid-extra-60365900697,2026-04-23T23:55:14.039Z
6709203,921925,4712.52,2026-04-23T22:02:04.638Z,bid-extra-60365900707,2026-04-23T23:55:14.039Z
6709333,922235,5348.12,2026-04-23T22:02:04.638Z,bid-extra-60365900717,2026-04-23T23:55:14.039Z
6709463,922545,5983.72,2026-04-23T22:02:04.638Z,bid-extra-60365900727,2026-04-23T23:55:14.039Z
6709593,922855,2079.32,2026-04-23T22:02:04.638Z,bid-extra-60365900737,2026-04-23T23:55:14.039Z
6709723,923165,2714.92,2026-04-23T22:02:04.638Z,bid-extra-60365900747,2026-04-23T23:55:14.039Z
6709853,923475,3350.52,2026-04-23T22:02:04.639Z,bid-extra-60365900757,2026-04-23T23:55:14.039Z
6709983,923785,3986.1200000000003,2026-04-23T22:02:04.639Z,bid-extra-60365900767,2026-04-23T23:55:14.039Z
6710113,924095,4621.72,2026-04-23T22:02:04.639Z,bid-extra-60365900777,2026-04-23T23:55:14.039Z
6710243,924405,5257.320000000001,2026-04-23T22:02:04.639Z,bid-extra-60365900787,2026-04-23T23:55:14.039Z
6710373,924715,5892.92,2026-04-23T22:02:04.639Z,bid-extra-60365900797,2026-04-23T23:55:14.039Z
6710503,925025,6528.52,2026-04-23T22:02:04.639Z,bid-extra-60365900807,2026-04-23T23:55:14.039Z
6710633,925335,7164.12,2026-04-23T22:02:04.639Z,bid-extra-60365900817,2026-04-23T23:55:14.039Z
6710763,925645,7799.72,2026-04-23T22:02:04.639Z,bid-extra-60365900827,2026-04-23T23:55:14.039Z
6710893,925955,8435.32,2026-04-23T22:02:04.639Z,bid-extra-60365900837,2026-04-23T23:55:14.039Z
6711023,926265,9070.92,2026-04-23T22:02:04.639Z,bid-extra-60365900847,2026-04-23T23:55:14.039Z
6711153,926575,5166.52,2026-04-23T22:02:04.640Z,bid-extra-60365900857,2026-04-23T23:55:14.039Z
6711283,926885,5802.12,2026-04-23T22:02:04.640Z,bid-extra-60365900867,2026-04-23T23:55:14.039Z
