auction,bidder,price,dateTime,extra,processed_time
7700103,900225,3259.7200000000003,2026-04-23T21:58:14.631Z,bid-extra-60342900007,2026-04-23T23:55:14.039Z
7700233,900535,3895.32,2026-04-23T21:58:14.631Z,bid-extra-60342900017,2026-04-23T23:55:14.039Z
7700363,900845,4530.92,2026-04-23T21:58:14.631Z,bid-extra-60342900027,2026-04-23T23:55:14.039Z
7700493,901155,5166.52,2026-04-23T21:58:14.631Z,bid-extra-60342900037,2026-04-23T23:55:14.039Z
7700623,901465,5802.12,2026-04-23T21:58:14.631Z,bid-extra-60342900047,2026-04-23T23:55:14.039Z
7700753,901775,6437.72,2026-04-23T21:58:14.632Z,bid-extra-60342900057,2026-04-23T23:55:14.039Z
7700883,902085,7073.320000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900067,2026-04-23T23:55:14.039Z
7701013,902395,7708.92,2026-04-23T21:58:14.632Z,bid-extra-60342900077,2026-04-23T23:55:14.039Z
7701143,902705,8344.52,2026-04-23T21:58:14.632Z,bid-extra-60342900087,2026-04-23T23:55:14.039Z
7701273,903015,8980.12,2026-04-23T21:58:14.632Z,bid-extra-60342900097,2026-04-23T23:55:14.039Z
7701403,903325,9615.720000000001,2026-04-23T21:58:14.632Z,bid-extra-60342900107,2026-04-23T23:55:14.039Z
7701533,903635,10251.32,2026-04-23T21:58:14.632Z,bid-extra-60342900117,2026-04-23T23:55:14.039Z
7701663,903945,6346.92,2026-04-23T21:58:14.632Z,bid-extra-60342900127,2026-04-23T23:55:14.039Z
7701793,904255,6982.52,2026-04-23T21:58:14.632Z,bid-extra-60342900137,2026-04-23T23:55:14.039Z
7701923,904565,7618.12,2026-04-23T21:58:14.632Z,bid-extra-60342900147,2026-04-23T23:55:14.039Z
7702053,904875,8253.720000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900157,2026-04-23T23:55:14.039Z
7702183,905185,8889.32,2026-04-23T21:58:14.633Z,bid-extra-60342900167,2026-04-23T23:55:14.039Z
7702313,905495,9524.92,2026-04-23T21:58:14.633Z,bid-extra-60342900177,2026-04-23T23:55:14.039Z
7702443,905805,10160.52,2026-04-23T21:58:14.633Z,bid-extra-60342900187,2026-04-23T23:55:14.039Z
7702573,906115,10796.12,2026-04-23T21:58:14.633Z,bid-extra-60342900197,2026-04-23T23:55:14.039Z
7702703,906425,11431.720000000001,2026-04-23T21:58:14.633Z,bid-extra-60342900207,2026-04-23T23:55:14.039Z
7702833,906735,12067.32,2026-04-23T21:58:14.633Z,bid-extra-60342900217,2026-04-23T23:55:14.039Z
7702963,907045,12702.92,2026-04-23T21:58:14.633Z,bid-extra-60342900227,2026-04-23T23:55:14.039Z
7703093,907355,13338.52,2026-04-23T21:58:14.633Z,bid-extra-60342900237,2026-04-23T23:55:14.039Z
7703223,907665,444.92,2026-04-23T21:58:14.633Z,bid-extra-60342900247,2026-04-23T23:55:14.039Z
7703353,907975,1080.52,2026-04-23T21:58:14.634Z,bid-extra-60342900257,2026-04-23T23:55:14.039Z
7703483,908285,1716.1200000000001,2026-04-23T21:58:14.634Z,bid-extra-60342900267,2026-04-23T23:55:14.039Z
7703613,908595,2351.7200000000003,2026-04-23T21:58:14.634Z,bid-extra-60342900277,2026-04-23T23:55:14.039Z
7703743,908905,2987.32,2026-04-23T21:58:14.634Z,bid-extra-60342900287,2026-04-23T23:55:14.039Z
7703873,909215,3622.92,2026-04-23T21:58:14.634Z,bid-extra-60342900297,2026-04-23T23:55:14.039Z
7704003,909525,4258.52,2026-04-23T21:58:14.634Z,bid-extra-60342900307,2026-04-23T23:55:14.039Z
7704133,909835,4894.12,2026-04-23T21:58:14.634Z,bid-extra-60342900317,2026-04-23T23:55:14.039Z
7704263,910145,5529.72,2026-04-23T21:58:14.634Z,bid-extra-60342900327,2026-04-23T23:55:14.039Z
7704393,910455,6165.320000000001,2026-04-23T21:58:14.634Z,bid-extra-60342900337,2026-04-23T23:55:14.039Z
7704523,910765,6800.92,2026-04-23T21:58:14.634Z,bid-extra-60342900347,2026-04-23T23:55:14.039Z
7704653,911075,7436.52,2026-04-23T21:58:14.635Z,bid-extra-60342900357,2026-04-23T23:55:14.039Z
7704783,911385,3532.12,2026-04-23T21:58:14.635Z,bid-extra-60342900367,2026-04-23T23:55:14.039Z
7704913,911695,4167.72,2026-04-23T21:58:14.635Z,bid-extra-60342900377,2026-04-23T23:55:14.039Z
7705043,912005,4803.32,2026-04-23T21:58:14.635Z,bid-extra-60342900387,2026-04-23T23:55:14.039Z
7705173,912315,5438.92,2026-04-23T21:58:14.635Z,bid-extra-60342900397,2026-04-23T23:55:14.039Z
7705303,912625,6074.52,2026-04-23T21:58:14.635Z,bid-extra-60342900407,2026-04-23T23:55:14.039Z
7705433,912935,6710.12,2026-04-23T21:58:14.635Z,bid-extra-60342900417,2026-04-23T23:55:14.039Z
7705563,913245,7345.72,2026-04-23T21:58:14.635Z,bid-extra-60342900427,2026-04-23T23:55:14.039Z
7705693,913555,7981.320000000001,2026-04-23T21:58:14.635Z,bid-extra-60342900437,2026-04-23T23:55:14.039Z
7705823,913865,8616.92,2026-04-23T21:58:14.635Z,bid-extra-60342900447,2026-04-23T23:55:14.039Z
7705953,914175,9252.52,2026-04-23T21:58:14.636Z,bid-extra-60342900457,2026-04-23T23:55:14.039Z
7706083,914485,9888.12,2026-04-23T21:58:14.636Z,bid-extra-60342900467,2026-04-23T23:55:14.039Z
7706213,914795,10523.720000000001,2026-04-23T21:58:14.636Z,bid-extra-60342900477,2026-04-23T23:55:14.039Z
7706343,915105,11159.32,2026-04-23T21:58:14.636Z,bid-extra-60342900487,2026-04-23T23:55:14.039Z
7706473,915415,7254.92,2026-04-23T21:58:14.636Z,bid-extra-60342900497,2026-04-23T23:55:14.039Z
7706603,915725,7890.52,2026-04-23T21:58:14.636Z,bid-extra-60342900507,2026-04-23T23:55:14.039Z
7706733,916035,8526.12,2026-04-23T21:58:14.636Z,bid-extra-60342900517,2026-04-23T23:55:14.039Z
7706863,916345,9161.720000000001,2026-04-23T21:58:14.636Z,bid-extra-60342900527,2026-04-23T23:55:14.039Z
7706993,916655,9797.32,2026-04-23T21:58:14.636Z,bid-extra-60342900537,2026-04-23T23:55:14.039Z
7707123,916965,10432.92,2026-04-23T21:58:14.636Z,bid-extra-60342900547,2026-04-23T23:55:14.039Z
7707253,917275,11068.52,2026-04-23T21:58:14.637Z,bid-extra-60342900557,2026-04-23T23:55:14.039Z
7707383,917585,11704.12,2026-04-23T21:58:14.637Z,bid-extra-60342900567,2026-04-23T23:55:14.039Z
7707513,917895,12339.720000000001,2026-04-23T21:58:14.637Z,bid-extra-60342900577,2026-04-23T23:55:14.039Z
7707643,918205,3986.1200000000003,2026-04-23T21:58:14.637Z,bid-extra-60342900587,2026-04-23T23:55:14.039Z
7707773,918515,4621.72,2026-04-23T21:58:14.637Z,bid-extra-60342900597,2026-04-23T23:55:14.039Z
7707903,918825,5257.320000000001,2026-04-23T21:58:14.637Z,bid-extra-60342900607,2026-04-23T23:55:14.039Z
7708033,919135,1352.92,2026-04-23T21:58:14.637Z,bid-extra-60342900617,2026-04-23T23:55:14.039Z
7708163,919445,1988.52,2026-04-23T21:58:14.637Z,bid-extra-60342900627,2026-04-23T23:55:14.039Z
7708293,919755,2624.12,2026-04-23T21:58:14.637Z,bid-extra-60342900637,2026-04-23T23:55:14.039Z
7708423,920065,3259.7200000000003,2026-04-23T21:58:14.637Z,bid-extra-60342900647,2026-04-23T23:55:14.039Z
7708553,920375,3895.32,2026-04-23T21:58:14.638Z,bid-extra-60342900657,2026-04-23T23:55:14.039Z
7708683,920685,4530.92,2026-04-23T21:58:14.638Z,bid-extra-60342900667,2026-04-23T23:55:14.039Z
7708813,920995,5166.52,2026-04-23T21:58:14.638Z,bid-extra-60342900677,2026-04-23T23:55:14.039Z
7708943,921305,5802.12,2026-04-23T21:58:14.638Z,bid-extra-60342900687,2026-04-23T23:55:14.039Z
7709073,921615,6437.72,2026-04-23T21:58:14.638Z,bid-extra-60342900697,2026-04-23T23:55:14.039Z
7709203,921925,7073.320000000001,2026-04-23T21:58:14.638Z,bid-extra-60342900707,2026-04-23T23:55:14.039Z
7709333,922235,7708.92,2026-04-23T21:58:14.638Z,bid-extra-60342900717,2026-04-23T23:55:14.039Z
7709463,922545,8344.52,2026-04-23T21:58:14.638Z,bid-extra-60342900727,2026-04-23T23:55:14.039Z
7709593,922855,4440.12,2026-04-23T21:58:14.638Z,bid-extra-60342900737,2026-04-23T23:55:14.039Z
7709723,923165,5075.72,2026-04-23T21:58:14.638Z,bid-extra-60342900747,2026-04-23T23:55:14.039Z
7709853,923475,5711.320000000001,2026-04-23T21:58:14.639Z,bid-extra-60342900757,2026-04-23T23:55:14.039Z
7709983,923785,6346.92,2026-04-23T21:58:14.639Z,bid-extra-60342900767,2026-04-23T23:55:14.039Z
7710113,924095,6982.52,2026-04-23T21:58:14.639Z,bid-extra-60342900777,2026-04-23T23:55:14.039Z
7710243,924405,7618.12,2026-04-23T21:58:14.639Z,bid-extra-60342900787,2026-04-23T23:55:14.039Z
7710373,924715,8253.720000000001,2026-04-23T21:58:14.639Z,bid-extra-60342900797,2026-04-23T23:55:14.039Z
7710503,925025,8889.32,2026-04-23T21:58:14.639Z,bid-extra-60342900807,2026-04-23T23:55:14.039Z
7710633,925335,9524.92,2026-04-23T21:58:14.639Z,bid-extra-60342900817,2026-04-23T23:55:14.039Z
7710763,925645,10160.52,2026-04-23T21:58:14.639Z,bid-extra-60342900827,2026-04-23T23:55:14.039Z
7710893,925955,10796.12,2026-04-23T21:58:14.639Z,bid-extra-60342900837,2026-04-23T23:55:14.039Z
7711023,926265,11431.720000000001,2026-04-23T21:58:14.639Z,bid-extra-60342900847,2026-04-23T23:55:14.039Z
7711153,926575,7527.320000000001,2026-04-23T21:58:14.640Z,bid-extra-60342900857,2026-04-23T23:55:14.039Z
7711283,926885,8162.92,2026-04-23T21:58:14.640Z,bid-extra-60342900867,2026-04-23T23:55:14.039Z
7711413,927195,8798.52,2026-04-23T21:58:14.640Z,bid-extra-60342900877,2026-04-23T23:55:14.039Z
7711543,927505,9434.12,2026-04-23T21:58:14.640Z,bid-extra-60342900887,2026-04-23T23:55:14.039Z
7711673,927815,10069.720000000001,2026-04-23T21:58:14.640Z,bid-extra-60342900897,2026-04-23T23:55:14.039Z
7711803,928125,10705.32,2026-04-23T21:58:14.640Z,bid-extra-60342900907,2026-04-23T23:55:14.039Z
7711933,928435,11340.92,2026-04-23T21:58:14.640Z,bid-extra-60342900917,2026-04-23T23:55:14.039Z
7712063,928745,2987.32,2026-04-23T21:58:14.640Z,bid-extra-60342900927,2026-04-23T23:55:14.039Z
7712193,929055,3622.92,2026-04-23T21:58:14.640Z,bid-extra-60342900937,2026-04-23T23:55:14.039Z
7712323,929365,4258.52,2026-04-23T21:58:14.640Z,bid-extra-60342900947,2026-04-23T23:55:14.039Z
7712453,929675,4894.12,2026-04-23T21:58:14.641Z,bid-extra-60342900957,2026-04-23T23:55:14.039Z
7712583,929985,5529.72,2026-04-23T21:58:14.641Z,bid-extra-60342900967,2026-04-23T23:55:14.039Z
7712713,930295,1625.3200000000002,2026-04-23T21:58:14.641Z,bid-extra-60342900977,2026-04-23T23:55:14.039Z
7712843,930605,2260.92,2026-04-23T21:58:14.641Z,bid-extra-60342900987,2026-04-23T23:55:14.039Z
7712973,930915,2896.52,2026-04-23T21:58:14.641Z,bid-extra-60342900997,2026-04-23T23:55:14.039Z
7713103,931225,3532.12,2026-04-23T21:58:14.641Z,bid-extra-60342901007,2026-04-23T23:55:14.039Z
7713233,931535,4167.72,2026-04-23T21:58:14.641Z,bid-extra-60342901017,2026-04-23T23:55:14.039Z
7713363,931845,4803.32,2026-04-23T21:58:14.641Z,bid-extra-60342901027,2026-04-23T23:55:14.039Z
7713493,932155,5438.92,2026-04-23T21:58:14.641Z,bid-extra-60342901037,2026-04-23T23:55:14.039Z
7713623,932465,6074.52,2026-04-23T21:58:14.641Z,bid-extra-60342901047,2026-04-23T23:55:14.039Z
7713753,932775,6710.12,2026-04-23T21:58:14.642Z,bid-extra-60342901057,2026-04-23T23:55:14.039Z
7713883,933085,7345.72,2026-04-23T21:58:14.642Z,bid-extra-60342901067,2026-04-23T23:55:14.039Z
7714013,933395,7981.320000000001,2026-04-23T21:58:14.642Z,bid-extra-60342901077,2026-04-23T23:55:14.039Z
7714143,933705,8616.92,2026-04-23T21:58:14.642Z,bid-extra-60342901087,2026-04-23T23:55:14.039Z
7714273,934015,9252.52,2026-04-23T21:58:14.642Z,bid-extra-60342901097,2026-04-23T23:55:14.039Z
7714403,934325,5348.12,2026-04-23T21:58:14.642Z,bid-extra-60342901107,2026-04-23T23:55:14.039Z
7714533,934635,5983.72,2026-04-23T21:58:14.642Z,bid-extra-60342901117,2026-04-23T23:55:14.039Z
7714663,934945,6619.320000000001,2026-04-23T21:58:14.642Z,bid-extra-60342901127,2026-04-23T23:55:14.039Z
7714793,935255,7254.92,2026-04-23T21:58:14.642Z,bid-extra-60342901137,2026-04-23T23:55:14.039Z
7714923,935565,7890.52,2026-04-23T21:58:14.642Z,bid-extra-60342901147,2026-04-23T23:55:14.039Z
7715053,935875,8526.12,2026-04-23T21:58:14.643Z,bid-extra-60342901157,2026-04-23T23:55:14.039Z
7715183,936185,9161.720000000001,2026-04-23T21:58:14.643Z,bid-extra-60342901167,2026-04-23T23:55:14.039Z
7715313,936495,9797.32,2026-04-23T21:58:14.643Z,bid-extra-60342901177,2026-04-23T23:55:14.039Z
7715443,936805,10432.92,2026-04-23T21:58:14.643Z,bid-extra-60342901187,2026-04-23T23:55:14.039Z
7715573,937115,11068.52,2026-04-23T21:58:14.643Z,bid-extra-60342901197,2026-04-23T23:55:14.039Z
7715703,937425,11704.12,2026-04-23T21:58:14.643Z,bid-extra-60342901207,2026-04-23T23:55:14.039Z
7715833,937735,12339.720000000001,2026-04-23T21:58:14.643Z,bid-extra-60342901217,2026-04-23T23:55:14.039Z
7715963,938045,8435.32,2026-04-23T21:58:14.643Z,bid-extra-60342901227,2026-04-23T23:55:14.039Z
7716093,938355,9070.92,2026-04-23T21:58:14.643Z,bid-extra-60342901237,2026-04-23T23:55:14.039Z
7716223,938665,9706.52,2026-04-23T21:58:14.643Z,bid-extra-60342901247,2026-04-23T23:55:14.039Z
7716353,938975,10342.12,2026-04-23T21:58:14.644Z,bid-extra-60342901257,2026-04-23T23:55:14.039Z
7716483,939285,1988.52,2026-04-23T21:58:14.644Z,bid-extra-60342901267,2026-04-23T23:55:14.039Z
7716613,939595,2624.12,2026-04-23T21:58:14.644Z,bid-extra-60342901277,2026-04-23T23:55:14.039Z
7716743,939905,3259.7200000000003,2026-04-23T21:58:14.644Z,bid-extra-60342901287,2026-04-23T23:55:14.039Z
7716873,940215,3895.32,2026-04-23T21:58:14.644Z,bid-extra-60342901297,2026-04-23T23:55:14.039Z
