auction,bidder,price,dateTime,extra,processed_time
700103,900225,5892.92,2026-04-23T21:58:24.631Z,bid-extra-60343900007,2026-04-23T23:55:14.039Z
700233,900535,6528.52,2026-04-23T21:58:24.631Z,bid-extra-60343900017,2026-04-23T23:55:14.039Z
700363,900845,7164.12,2026-04-23T21:58:24.631Z,bid-extra-60343900027,2026-04-23T23:55:14.039Z
700493,901155,7799.72,2026-04-23T21:58:24.631Z,bid-extra-60343900037,2026-04-23T23:55:14.039Z
700623,901465,8435.32,2026-04-23T21:58:24.631Z,bid-extra-60343900047,2026-04-23T23:55:14.039Z
700753,901775,9070.92,2026-04-23T21:58:24.632Z,bid-extra-60343900057,2026-04-23T23:55:14.039Z
700883,902085,9706.52,2026-04-23T21:58:24.632Z,bid-extra-60343900067,2026-04-23T23:55:14.039Z
701013,902395,10342.12,2026-04-23T21:58:24.632Z,bid-extra-60343900077,2026-04-23T23:55:14.039Z
701143,902705,10977.720000000001,2026-04-23T21:58:24.632Z,bid-extra-60343900087,2026-04-23T23:55:14.039Z
701273,903015,11613.32,2026-04-23T21:58:24.632Z,bid-extra-60343900097,2026-04-23T23:55:14.039Z
701403,903325,12248.92,2026-04-23T21:58:24.632Z,bid-extra-60343900107,2026-04-23T23:55:14.039Z
701533,903635,12884.52,2026-04-23T21:58:24.632Z,bid-extra-60343900117,2026-04-23T23:55:14.039Z
701663,903945,8980.12,2026-04-23T21:58:24.632Z,bid-extra-60343900127,2026-04-23T23:55:14.039Z
701793,904255,9615.720000000001,2026-04-23T21:58:24.632Z,bid-extra-60343900137,2026-04-23T23:55:14.039Z
701923,904565,1262.1200000000001,2026-04-23T21:58:24.632Z,bid-extra-60343900147,2026-04-23T23:55:14.039Z
702053,904875,1897.72,2026-04-23T21:58:24.633Z,bid-extra-60343900157,2026-04-23T23:55:14.039Z
702183,905185,2533.32,2026-04-23T21:58:24.633Z,bid-extra-60343900167,2026-04-23T23:55:14.039Z
702313,905495,3168.92,2026-04-23T21:58:24.633Z,bid-extra-60343900177,2026-04-23T23:55:14.039Z
702443,905805,3804.52,2026-04-23T21:58:24.633Z,bid-extra-60343900187,2026-04-23T23:55:14.039Z
