auction,bidder,price,dateTime,extra,processed_time
9700103,900225,4803.32,2026-04-23T21:58:54.631Z,bid-extra-60346900007,2026-04-23T23:55:14.039Z
9700233,900535,5438.92,2026-04-23T21:58:54.631Z,bid-extra-60346900017,2026-04-23T23:55:14.039Z
9700363,900845,6074.52,2026-04-23T21:58:54.631Z,bid-extra-60346900027,2026-04-23T23:55:14.039Z
9700493,901155,6710.12,2026-04-23T21:58:54.631Z,bid-extra-60346900037,2026-04-23T23:55:14.039Z
9700623,901465,7345.72,2026-04-23T21:58:54.631Z,bid-extra-60346900047,2026-04-23T23:55:14.039Z
9700753,901775,7981.320000000001,2026-04-23T21:58:54.632Z,bid-extra-60346900057,2026-04-23T23:55:14.039Z
9700883,902085,8616.92,2026-04-23T21:58:54.632Z,bid-extra-60346900067,2026-04-23T23:55:14.039Z
9701013,902395,9252.52,2026-04-23T21:58:54.632Z,bid-extra-60346900077,2026-04-23T23:55:14.039Z
9701143,902705,9888.12,2026-04-23T21:58:54.632Z,bid-extra-60346900087,2026-04-23T23:55:14.039Z
9701273,903015,10523.720000000001,2026-04-23T21:58:54.632Z,bid-extra-60346900097,2026-04-23T23:55:14.039Z
9701403,903325,11159.32,2026-04-23T21:58:54.632Z,bid-extra-60346900107,2026-04-23T23:55:14.039Z
9701533,903635,11794.92,2026-04-23T21:58:54.632Z,bid-extra-60346900117,2026-04-23T23:55:14.039Z
9701663,903945,7890.52,2026-04-23T21:58:54.632Z,bid-extra-60346900127,2026-04-23T23:55:14.039Z
9701793,904255,8526.12,2026-04-23T21:58:54.632Z,bid-extra-60346900137,2026-04-23T23:55:14.039Z
9701923,904565,9161.720000000001,2026-04-23T21:58:54.632Z,bid-extra-60346900147,2026-04-23T23:55:14.039Z
9702053,904875,9797.32,2026-04-23T21:58:54.633Z,bid-extra-60346900157,2026-04-23T23:55:14.039Z
9702183,905185,10432.92,2026-04-23T21:58:54.633Z,bid-extra-60346900167,2026-04-23T23:55:14.039Z
9702313,905495,11068.52,2026-04-23T21:58:54.633Z,bid-extra-60346900177,2026-04-23T23:55:14.039Z
9702443,905805,2714.92,2026-04-23T21:58:54.633Z,bid-extra-60346900187,2026-04-23T23:55:14.039Z
9702573,906115,3350.52,2026-04-23T21:58:54.633Z,bid-extra-60346900197,2026-04-23T23:55:14.039Z
9702703,906425,3986.1200000000003,2026-04-23T21:58:54.633Z,bid-extra-60346900207,2026-04-23T23:55:14.039Z
9702833,906735,4621.72,2026-04-23T21:58:54.633Z,bid-extra-60346900217,2026-04-23T23:55:14.039Z
9702963,907045,5257.320000000001,2026-04-23T21:58:54.633Z,bid-extra-60346900227,2026-04-23T23:55:14.039Z
9703093,907355,5892.92,2026-04-23T21:58:54.633Z,bid-extra-60346900237,2026-04-23T23:55:14.039Z
9703223,907665,1988.52,2026-04-23T21:58:54.633Z,bid-extra-60346900247,2026-04-23T23:55:14.039Z
9703353,907975,2624.12,2026-04-23T21:58:54.634Z,bid-extra-60346900257,2026-04-23T23:55:14.039Z
9703483,908285,3259.7200000000003,2026-04-23T21:58:54.634Z,bid-extra-60346900267,2026-04-23T23:55:14.039Z
9703613,908595,3895.32,2026-04-23T21:58:54.634Z,bid-extra-60346900277,2026-04-23T23:55:14.039Z
9703743,908905,4530.92,2026-04-23T21:58:54.634Z,bid-extra-60346900287,2026-04-23T23:55:14.039Z
9703873,909215,5166.52,2026-04-23T21:58:54.634Z,bid-extra-60346900297,2026-04-23T23:55:14.039Z
9704003,909525,5802.12,2026-04-23T21:58:54.634Z,bid-extra-60346900307,2026-04-23T23:55:14.039Z
9704133,909835,6437.72,2026-04-23T21:58:54.634Z,bid-extra-60346900317,2026-04-23T23:55:14.039Z
9704263,910145,7073.320000000001,2026-04-23T21:58:54.634Z,bid-extra-60346900327,2026-04-23T23:55:14.039Z
9704393,910455,7708.92,2026-04-23T21:58:54.634Z,bid-extra-60346900337,2026-04-23T23:55:14.039Z
9704523,910765,8344.52,2026-04-23T21:58:54.634Z,bid-extra-60346900347,2026-04-23T23:55:14.039Z
9704653,911075,8980.12,2026-04-23T21:58:54.635Z,bid-extra-60346900357,2026-04-23T23:55:14.039Z
9704783,911385,5075.72,2026-04-23T21:58:54.635Z,bid-extra-60346900367,2026-04-23T23:55:14.039Z
9704913,911695,5711.320000000001,2026-04-23T21:58:54.635Z,bid-extra-60346900377,2026-04-23T23:55:14.039Z
9705043,912005,6346.92,2026-04-23T21:58:54.635Z,bid-extra-60346900387,2026-04-23T23:55:14.039Z
9705173,912315,6982.52,2026-04-23T21:58:54.635Z,bid-extra-60346900397,2026-04-23T23:55:14.039Z
9705303,912625,7618.12,2026-04-23T21:58:54.635Z,bid-extra-60346900407,2026-04-23T23:55:14.039Z
9705433,912935,8253.720000000001,2026-04-23T21:58:54.635Z,bid-extra-60346900417,2026-04-23T23:55:14.039Z
9705563,913245,8889.32,2026-04-23T21:58:54.635Z,bid-extra-60346900427,2026-04-23T23:55:14.039Z
9705693,913555,9524.92,2026-04-23T21:58:54.635Z,bid-extra-60346900437,2026-04-23T23:55:14.039Z
9705823,913865,10160.52,2026-04-23T21:58:54.635Z,bid-extra-60346900447,2026-04-23T23:55:14.039Z
9705953,914175,10796.12,2026-04-23T21:58:54.636Z,bid-extra-60346900457,2026-04-23T23:55:14.039Z
9706083,914485,11431.720000000001,2026-04-23T21:58:54.636Z,bid-extra-60346900467,2026-04-23T23:55:14.039Z
9706213,914795,12067.32,2026-04-23T21:58:54.636Z,bid-extra-60346900477,2026-04-23T23:55:14.039Z
9706343,915105,12702.92,2026-04-23T21:58:54.636Z,bid-extra-60346900487,2026-04-23T23:55:14.039Z
9706473,915415,8798.52,2026-04-23T21:58:54.636Z,bid-extra-60346900497,2026-04-23T23:55:14.039Z
9706603,915725,9434.12,2026-04-23T21:58:54.636Z,bid-extra-60346900507,2026-04-23T23:55:14.039Z
9706733,916035,10069.720000000001,2026-04-23T21:58:54.636Z,bid-extra-60346900517,2026-04-23T23:55:14.039Z
9706863,916345,1716.1200000000001,2026-04-23T21:58:54.636Z,bid-extra-60346900527,2026-04-23T23:55:14.039Z
