auction,bidder,price,dateTime,extra,processed_time
6700103,900225,2170.12,2026-04-23T21:58:44.631Z,bid-extra-60345900007,2026-04-23T23:55:14.039Z
6700233,900535,2805.7200000000003,2026-04-23T21:58:44.631Z,bid-extra-60345900017,2026-04-23T23:55:14.039Z
6700363,900845,3441.32,2026-04-23T21:58:44.631Z,bid-extra-60345900027,2026-04-23T23:55:14.039Z
6700493,901155,4076.92,2026-04-23T21:58:44.631Z,bid-extra-60345900037,2026-04-23T23:55:14.039Z
6700623,901465,4712.52,2026-04-23T21:58:44.631Z,bid-extra-60345900047,2026-04-23T23:55:14.039Z
6700753,901775,5348.12,2026-04-23T21:58:44.632Z,bid-extra-60345900057,2026-04-23T23:55:14.039Z
6700883,902085,5983.72,2026-04-23T21:58:44.632Z,bid-extra-60345900067,2026-04-23T23:55:14.039Z
6701013,902395,6619.320000000001,2026-04-23T21:58:44.632Z,bid-extra-60345900077,2026-04-23T23:55:14.039Z
6701143,902705,7254.92,2026-04-23T21:58:44.632Z,bid-extra-60345900087,2026-04-23T23:55:14.039Z
6701273,903015,7890.52,2026-04-23T21:58:44.632Z,bid-extra-60345900097,2026-04-23T23:55:14.039Z
6701403,903325,8526.12,2026-04-23T21:58:44.632Z,bid-extra-60345900107,2026-04-23T23:55:14.039Z
6701533,903635,9161.720000000001,2026-04-23T21:58:44.632Z,bid-extra-60345900117,2026-04-23T23:55:14.039Z
6701663,903945,5257.320000000001,2026-04-23T21:58:44.632Z,bid-extra-60345900127,2026-04-23T23:55:14.039Z
6701793,904255,5892.92,2026-04-23T21:58:44.632Z,bid-extra-60345900137,2026-04-23T23:55:14.039Z
6701923,904565,6528.52,2026-04-23T21:58:44.632Z,bid-extra-60345900147,2026-04-23T23:55:14.039Z
6702053,904875,7164.12,2026-04-23T21:58:44.633Z,bid-extra-60345900157,2026-04-23T23:55:14.039Z
6702183,905185,7799.72,2026-04-23T21:58:44.633Z,bid-extra-60345900167,2026-04-23T23:55:14.039Z
6702313,905495,8435.32,2026-04-23T21:58:44.633Z,bid-extra-60345900177,2026-04-23T23:55:14.039Z
6702443,905805,9070.92,2026-04-23T21:58:44.633Z,bid-extra-60345900187,2026-04-23T23:55:14.039Z
6702573,906115,9706.52,2026-04-23T21:58:44.633Z,bid-extra-60345900197,2026-04-23T23:55:14.039Z
6702703,906425,10342.12,2026-04-23T21:58:44.633Z,bid-extra-60345900207,2026-04-23T23:55:14.039Z
6702833,906735,10977.720000000001,2026-04-23T21:58:44.633Z,bid-extra-60345900217,2026-04-23T23:55:14.039Z
6702963,907045,11613.32,2026-04-23T21:58:44.633Z,bid-extra-60345900227,2026-04-23T23:55:14.039Z
6703093,907355,12248.92,2026-04-23T21:58:44.633Z,bid-extra-60345900237,2026-04-23T23:55:14.039Z
6703223,907665,8344.52,2026-04-23T21:58:44.633Z,bid-extra-60345900247,2026-04-23T23:55:14.039Z
6703353,907975,8980.12,2026-04-23T21:58:44.634Z,bid-extra-60345900257,2026-04-23T23:55:14.039Z
6703483,908285,9615.720000000001,2026-04-23T21:58:44.634Z,bid-extra-60345900267,2026-04-23T23:55:14.039Z
6703613,908595,10251.32,2026-04-23T21:58:44.634Z,bid-extra-60345900277,2026-04-23T23:55:14.039Z
6703743,908905,1897.72,2026-04-23T21:58:44.634Z,bid-extra-60345900287,2026-04-23T23:55:14.039Z
6703873,909215,2533.32,2026-04-23T21:58:44.634Z,bid-extra-60345900297,2026-04-23T23:55:14.039Z
6704003,909525,3168.92,2026-04-23T21:58:44.634Z,bid-extra-60345900307,2026-04-23T23:55:14.039Z
6704133,909835,3804.52,2026-04-23T21:58:44.634Z,bid-extra-60345900317,2026-04-23T23:55:14.039Z
6704263,910145,4440.12,2026-04-23T21:58:44.634Z,bid-extra-60345900327,2026-04-23T23:55:14.039Z
6704393,910455,5075.72,2026-04-23T21:58:44.634Z,bid-extra-60345900337,2026-04-23T23:55:14.039Z
6704523,910765,5711.320000000001,2026-04-23T21:58:44.634Z,bid-extra-60345900347,2026-04-23T23:55:14.039Z
6704653,911075,6346.92,2026-04-23T21:58:44.635Z,bid-extra-60345900357,2026-04-23T23:55:14.039Z
6704783,911385,2442.52,2026-04-23T21:58:44.635Z,bid-extra-60345900367,2026-04-23T23:55:14.039Z
6704913,911695,3078.12,2026-04-23T21:58:44.635Z,bid-extra-60345900377,2026-04-23T23:55:14.039Z
6705043,912005,3713.7200000000003,2026-04-23T21:58:44.635Z,bid-extra-60345900387,2026-04-23T23:55:14.039Z
6705173,912315,4349.32,2026-04-23T21:58:44.635Z,bid-extra-60345900397,2026-04-23T23:55:14.039Z
6705303,912625,4984.92,2026-04-23T21:58:44.635Z,bid-extra-60345900407,2026-04-23T23:55:14.039Z
6705433,912935,5620.52,2026-04-23T21:58:44.635Z,bid-extra-60345900417,2026-04-23T23:55:14.039Z
6705563,913245,6256.12,2026-04-23T21:58:44.635Z,bid-extra-60345900427,2026-04-23T23:55:14.039Z
6705693,913555,6891.72,2026-04-23T21:58:44.635Z,bid-extra-60345900437,2026-04-23T23:55:14.039Z
6705823,913865,7527.320000000001,2026-04-23T21:58:44.635Z,bid-extra-60345900447,2026-04-23T23:55:14.039Z
6705953,914175,8162.92,2026-04-23T21:58:44.636Z,bid-extra-60345900457,2026-04-23T23:55:14.039Z
6706083,914485,8798.52,2026-04-23T21:58:44.636Z,bid-extra-60345900467,2026-04-23T23:55:14.039Z
6706213,914795,9434.12,2026-04-23T21:58:44.636Z,bid-extra-60345900477,2026-04-23T23:55:14.039Z
6706343,915105,10069.720000000001,2026-04-23T21:58:44.636Z,bid-extra-60345900487,2026-04-23T23:55:14.039Z
6706473,915415,6165.320000000001,2026-04-23T21:58:44.636Z,bid-extra-60345900497,2026-04-23T23:55:14.039Z
6706603,915725,6800.92,2026-04-23T21:58:44.636Z,bid-extra-60345900507,2026-04-23T23:55:14.039Z
6706733,916035,7436.52,2026-04-23T21:58:44.636Z,bid-extra-60345900517,2026-04-23T23:55:14.039Z
6706863,916345,8072.12,2026-04-23T21:58:44.636Z,bid-extra-60345900527,2026-04-23T23:55:14.039Z
6706993,916655,8707.720000000001,2026-04-23T21:58:44.636Z,bid-extra-60345900537,2026-04-23T23:55:14.039Z
6707123,916965,9343.32,2026-04-23T21:58:44.636Z,bid-extra-60345900547,2026-04-23T23:55:14.039Z
6707253,917275,9978.92,2026-04-23T21:58:44.637Z,bid-extra-60345900557,2026-04-23T23:55:14.039Z
6707383,917585,10614.52,2026-04-23T21:58:44.637Z,bid-extra-60345900567,2026-04-23T23:55:14.039Z
6707513,917895,11250.12,2026-04-23T21:58:44.637Z,bid-extra-60345900577,2026-04-23T23:55:14.039Z
6707643,918205,11885.720000000001,2026-04-23T21:58:44.637Z,bid-extra-60345900587,2026-04-23T23:55:14.039Z
6707773,918515,12521.32,2026-04-23T21:58:44.637Z,bid-extra-60345900597,2026-04-23T23:55:14.039Z
6707903,918825,13156.92,2026-04-23T21:58:44.637Z,bid-extra-60345900607,2026-04-23T23:55:14.039Z
6708033,919135,9252.52,2026-04-23T21:58:44.637Z,bid-extra-60345900617,2026-04-23T23:55:14.039Z
6708163,919445,898.9200000000001,2026-04-23T21:58:44.637Z,bid-extra-60345900627,2026-04-23T23:55:14.039Z
6708293,919755,1534.52,2026-04-23T21:58:44.637Z,bid-extra-60345900637,2026-04-23T23:55:14.039Z
6708423,920065,2170.12,2026-04-23T21:58:44.637Z,bid-extra-60345900647,2026-04-23T23:55:14.039Z
6708553,920375,2805.7200000000003,2026-04-23T21:58:44.638Z,bid-extra-60345900657,2026-04-23T23:55:14.039Z
6708683,920685,3441.32,2026-04-23T21:58:44.638Z,bid-extra-60345900667,2026-04-23T23:55:14.039Z
6708813,920995,4076.92,2026-04-23T21:58:44.638Z,bid-extra-60345900677,2026-04-23T23:55:14.039Z
6708943,921305,4712.52,2026-04-23T21:58:44.638Z,bid-extra-60345900687,2026-04-23T23:55:14.039Z
6709073,921615,5348.12,2026-04-23T21:58:44.638Z,bid-extra-60345900697,2026-04-23T23:55:14.039Z
6709203,921925,5983.72,2026-04-23T21:58:44.638Z,bid-extra-60345900707,2026-04-23T23:55:14.039Z
6709333,922235,6619.320000000001,2026-04-23T21:58:44.638Z,bid-extra-60345900717,2026-04-23T23:55:14.039Z
6709463,922545,7254.92,2026-04-23T21:58:44.638Z,bid-extra-60345900727,2026-04-23T23:55:14.039Z
6709593,922855,3350.52,2026-04-23T21:58:44.638Z,bid-extra-60345900737,2026-04-23T23:55:14.039Z
6709723,923165,3986.1200000000003,2026-04-23T21:58:44.638Z,bid-extra-60345900747,2026-04-23T23:55:14.039Z
