auction,bidder,price,dateTime,extra,processed_time
7700103,900225,1988.52,2026-04-23T22:01:34.631Z,bid-extra-60362900007,2026-04-23T23:55:14.039Z
7700233,900535,2624.12,2026-04-23T22:01:34.631Z,bid-extra-60362900017,2026-04-23T23:55:14.039Z
7700363,900845,3259.7200000000003,2026-04-23T22:01:34.631Z,bid-extra-60362900027,2026-04-23T23:55:14.039Z
7700493,901155,3895.32,2026-04-23T22:01:34.631Z,bid-extra-60362900037,2026-04-23T23:55:14.039Z
7700623,901465,4530.92,2026-04-23T22:01:34.631Z,bid-extra-60362900047,2026-04-23T23:55:14.039Z
7700753,901775,5166.52,2026-04-23T22:01:34.632Z,bid-extra-60362900057,2026-04-23T23:55:14.039Z
7700883,902085,5802.12,2026-04-23T22:01:34.632Z,bid-extra-60362900067,2026-04-23T23:55:14.039Z
7701013,902395,6437.72,2026-04-23T22:01:34.632Z,bid-extra-60362900077,2026-04-23T23:55:14.039Z
7701143,902705,7073.320000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900087,2026-04-23T23:55:14.039Z
7701273,903015,7708.92,2026-04-23T22:01:34.632Z,bid-extra-60362900097,2026-04-23T23:55:14.039Z
7701403,903325,8344.52,2026-04-23T22:01:34.632Z,bid-extra-60362900107,2026-04-23T23:55:14.039Z
7701533,903635,8980.12,2026-04-23T22:01:34.632Z,bid-extra-60362900117,2026-04-23T23:55:14.039Z
7701663,903945,5075.72,2026-04-23T22:01:34.632Z,bid-extra-60362900127,2026-04-23T23:55:14.039Z
7701793,904255,5711.320000000001,2026-04-23T22:01:34.632Z,bid-extra-60362900137,2026-04-23T23:55:14.039Z
7701923,904565,6346.92,2026-04-23T22:01:34.632Z,bid-extra-60362900147,2026-04-23T23:55:14.039Z
7702053,904875,6982.52,2026-04-23T22:01:34.633Z,bid-extra-60362900157,2026-04-23T23:55:14.039Z
7702183,905185,7618.12,2026-04-23T22:01:34.633Z,bid-extra-60362900167,2026-04-23T23:55:14.039Z
7702313,905495,8253.720000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900177,2026-04-23T23:55:14.039Z
7702443,905805,8889.32,2026-04-23T22:01:34.633Z,bid-extra-60362900187,2026-04-23T23:55:14.039Z
7702573,906115,9524.92,2026-04-23T22:01:34.633Z,bid-extra-60362900197,2026-04-23T23:55:14.039Z
7702703,906425,10160.52,2026-04-23T22:01:34.633Z,bid-extra-60362900207,2026-04-23T23:55:14.039Z
7702833,906735,10796.12,2026-04-23T22:01:34.633Z,bid-extra-60362900217,2026-04-23T23:55:14.039Z
7702963,907045,11431.720000000001,2026-04-23T22:01:34.633Z,bid-extra-60362900227,2026-04-23T23:55:14.039Z
7703093,907355,12067.32,2026-04-23T22:01:34.633Z,bid-extra-60362900237,2026-04-23T23:55:14.039Z
7703223,907665,8162.92,2026-04-23T22:01:34.633Z,bid-extra-60362900247,2026-04-23T23:55:14.039Z
7703353,907975,8798.52,2026-04-23T22:01:34.634Z,bid-extra-60362900257,2026-04-23T23:55:14.039Z
7703483,908285,9434.12,2026-04-23T22:01:34.634Z,bid-extra-60362900267,2026-04-23T23:55:14.039Z
7703613,908595,10069.720000000001,2026-04-23T22:01:34.634Z,bid-extra-60362900277,2026-04-23T23:55:14.039Z
7703743,908905,1716.1200000000001,2026-04-23T22:01:34.634Z,bid-extra-60362900287,2026-04-23T23:55:14.039Z
7703873,909215,2351.7200000000003,2026-04-23T22:01:34.634Z,bid-extra-60362900297,2026-04-23T23:55:14.039Z
7704003,909525,2987.32,2026-04-23T22:01:34.634Z,bid-extra-60362900307,2026-04-23T23:55:14.039Z
7704133,909835,3622.92,2026-04-23T22:01:34.634Z,bid-extra-60362900317,2026-04-23T23:55:14.039Z
7704263,910145,4258.52,2026-04-23T22:01:34.634Z,bid-extra-60362900327,2026-04-23T23:55:14.039Z
