auction,bidder,price,dateTime,extra,processed_time
5700103,900225,444.92,2026-04-23T22:00:54.631Z,bid-extra-60358900007,2026-04-23T23:55:14.039Z
5700233,900535,1080.52,2026-04-23T22:00:54.631Z,bid-extra-60358900017,2026-04-23T23:55:14.039Z
5700363,900845,1716.1200000000001,2026-04-23T22:00:54.631Z,bid-extra-60358900027,2026-04-23T23:55:14.039Z
5700493,901155,2351.7200000000003,2026-04-23T22:00:54.631Z,bid-extra-60358900037,2026-04-23T23:55:14.039Z
5700623,901465,2987.32,2026-04-23T22:00:54.631Z,bid-extra-60358900047,2026-04-23T23:55:14.039Z
5700753,901775,3622.92,2026-04-23T22:00:54.632Z,bid-extra-60358900057,2026-04-23T23:55:14.039Z
5700883,902085,4258.52,2026-04-23T22:00:54.632Z,bid-extra-60358900067,2026-04-23T23:55:14.039Z
5701013,902395,4894.12,2026-04-23T22:00:54.632Z,bid-extra-60358900077,2026-04-23T23:55:14.039Z
5701143,902705,5529.72,2026-04-23T22:00:54.632Z,bid-extra-60358900087,2026-04-23T23:55:14.039Z
5701273,903015,6165.320000000001,2026-04-23T22:00:54.632Z,bid-extra-60358900097,2026-04-23T23:55:14.039Z
5701403,903325,6800.92,2026-04-23T22:00:54.632Z,bid-extra-60358900107,2026-04-23T23:55:14.039Z
5701533,903635,7436.52,2026-04-23T22:00:54.632Z,bid-extra-60358900117,2026-04-23T23:55:14.039Z
5701663,903945,3532.12,2026-04-23T22:00:54.632Z,bid-extra-60358900127,2026-04-23T23:55:14.039Z
5701793,904255,4167.72,2026-04-23T22:00:54.632Z,bid-extra-60358900137,2026-04-23T23:55:14.039Z
5701923,904565,4803.32,2026-04-23T22:00:54.632Z,bid-extra-60358900147,2026-04-23T23:55:14.039Z
5702053,904875,5438.92,2026-04-23T22:00:54.633Z,bid-extra-60358900157,2026-04-23T23:55:14.039Z
5702183,905185,6074.52,2026-04-23T22:00:54.633Z,bid-extra-60358900167,2026-04-23T23:55:14.039Z
5702313,905495,6710.12,2026-04-23T22:00:54.633Z,bid-extra-60358900177,2026-04-23T23:55:14.039Z
5702443,905805,7345.72,2026-04-23T22:00:54.633Z,bid-extra-60358900187,2026-04-23T23:55:14.039Z
5702573,906115,7981.320000000001,2026-04-23T22:00:54.633Z,bid-extra-60358900197,2026-04-23T23:55:14.039Z
5702703,906425,8616.92,2026-04-23T22:00:54.633Z,bid-extra-60358900207,2026-04-23T23:55:14.039Z
5702833,906735,9252.52,2026-04-23T22:00:54.633Z,bid-extra-60358900217,2026-04-23T23:55:14.039Z
5702963,907045,9888.12,2026-04-23T22:00:54.633Z,bid-extra-60358900227,2026-04-23T23:55:14.039Z
5703093,907355,10523.720000000001,2026-04-23T22:00:54.633Z,bid-extra-60358900237,2026-04-23T23:55:14.039Z
5703223,907665,6619.320000000001,2026-04-23T22:00:54.633Z,bid-extra-60358900247,2026-04-23T23:55:14.039Z
5703353,907975,7254.92,2026-04-23T22:00:54.634Z,bid-extra-60358900257,2026-04-23T23:55:14.039Z
5703483,908285,7890.52,2026-04-23T22:00:54.634Z,bid-extra-60358900267,2026-04-23T23:55:14.039Z
5703613,908595,8526.12,2026-04-23T22:00:54.634Z,bid-extra-60358900277,2026-04-23T23:55:14.039Z
5703743,908905,9161.720000000001,2026-04-23T22:00:54.634Z,bid-extra-60358900287,2026-04-23T23:55:14.039Z
5703873,909215,9797.32,2026-04-23T22:00:54.634Z,bid-extra-60358900297,2026-04-23T23:55:14.039Z
5704003,909525,10432.92,2026-04-23T22:00:54.634Z,bid-extra-60358900307,2026-04-23T23:55:14.039Z
5704133,909835,11068.52,2026-04-23T22:00:54.634Z,bid-extra-60358900317,2026-04-23T23:55:14.039Z
5704263,910145,11704.12,2026-04-23T22:00:54.634Z,bid-extra-60358900327,2026-04-23T23:55:14.039Z
5704393,910455,12339.720000000001,2026-04-23T22:00:54.634Z,bid-extra-60358900337,2026-04-23T23:55:14.039Z
5704523,910765,3986.1200000000003,2026-04-23T22:00:54.634Z,bid-extra-60358900347,2026-04-23T23:55:14.039Z
