auction,bidder,price,dateTime,extra,processed_time
4700103,900225,8980.12,2026-04-23T21:59:44.631Z,bid-extra-60351900007,2026-04-23T23:55:14.039Z
4700233,900535,9615.720000000001,2026-04-23T21:59:44.631Z,bid-extra-60351900017,2026-04-23T23:55:14.039Z
4700363,900845,1262.1200000000001,2026-04-23T21:59:44.631Z,bid-extra-60351900027,2026-04-23T23:55:14.039Z
4700493,901155,1897.72,2026-04-23T21:59:44.631Z,bid-extra-60351900037,2026-04-23T23:55:14.039Z
4700623,901465,2533.32,2026-04-23T21:59:44.631Z,bid-extra-60351900047,2026-04-23T23:55:14.039Z
4700753,901775,3168.92,2026-04-23T21:59:44.632Z,bid-extra-60351900057,2026-04-23T23:55:14.039Z
4700883,902085,3804.52,2026-04-23T21:59:44.632Z,bid-extra-60351900067,2026-04-23T23:55:14.039Z
4701013,902395,4440.12,2026-04-23T21:59:44.632Z,bid-extra-60351900077,2026-04-23T23:55:14.039Z
4701143,902705,5075.72,2026-04-23T21:59:44.632Z,bid-extra-60351900087,2026-04-23T23:55:14.039Z
4701273,903015,5711.320000000001,2026-04-23T21:59:44.632Z,bid-extra-60351900097,2026-04-23T23:55:14.039Z
4701403,903325,6346.92,2026-04-23T21:59:44.632Z,bid-extra-60351900107,2026-04-23T23:55:14.039Z
4701533,903635,6982.52,2026-04-23T21:59:44.632Z,bid-extra-60351900117,2026-04-23T23:55:14.039Z
4701663,903945,3078.12,2026-04-23T21:59:44.632Z,bid-extra-60351900127,2026-04-23T23:55:14.039Z
4701793,904255,3713.7200000000003,2026-04-23T21:59:44.632Z,bid-extra-60351900137,2026-04-23T23:55:14.039Z
4701923,904565,4349.32,2026-04-23T21:59:44.632Z,bid-extra-60351900147,2026-04-23T23:55:14.039Z
4702053,904875,4984.92,2026-04-23T21:59:44.633Z,bid-extra-60351900157,2026-04-23T23:55:14.039Z
4702183,905185,5620.52,2026-04-23T21:59:44.633Z,bid-extra-60351900167,2026-04-23T23:55:14.039Z
4702313,905495,6256.12,2026-04-23T21:59:44.633Z,bid-extra-60351900177,2026-04-23T23:55:14.039Z
4702443,905805,6891.72,2026-04-23T21:59:44.633Z,bid-extra-60351900187,2026-04-23T23:55:14.039Z
4702573,906115,7527.320000000001,2026-04-23T21:59:44.633Z,bid-extra-60351900197,2026-04-23T23:55:14.039Z
4702703,906425,8162.92,2026-04-23T21:59:44.633Z,bid-extra-60351900207,2026-04-23T23:55:14.039Z
4702833,906735,8798.52,2026-04-23T21:59:44.633Z,bid-extra-60351900217,2026-04-23T23:55:14.039Z
4702963,907045,9434.12,2026-04-23T21:59:44.633Z,bid-extra-60351900227,2026-04-23T23:55:14.039Z
4703093,907355,10069.720000000001,2026-04-23T21:59:44.633Z,bid-extra-60351900237,2026-04-23T23:55:14.039Z
4703223,907665,6165.320000000001,2026-04-23T21:59:44.633Z,bid-extra-60351900247,2026-04-23T23:55:14.039Z
4703353,907975,6800.92,2026-04-23T21:59:44.634Z,bid-extra-60351900257,2026-04-23T23:55:14.039Z
4703483,908285,7436.52,2026-04-23T21:59:44.634Z,bid-extra-60351900267,2026-04-23T23:55:14.039Z
4703613,908595,8072.12,2026-04-23T21:59:44.634Z,bid-extra-60351900277,2026-04-23T23:55:14.039Z
4703743,908905,8707.720000000001,2026-04-23T21:59:44.634Z,bid-extra-60351900287,2026-04-23T23:55:14.039Z
4703873,909215,9343.32,2026-04-23T21:59:44.634Z,bid-extra-60351900297,2026-04-23T23:55:14.039Z
