auction,bidder,price,dateTime,extra,processed_time
7700103,900225,2624.12,2026-04-23T21:59:54.631Z,bid-extra-60352900007,2026-04-23T23:55:14.039Z
7700233,900535,3259.7200000000003,2026-04-23T21:59:54.631Z,bid-extra-60352900017,2026-04-23T23:55:14.039Z
7700363,900845,3895.32,2026-04-23T21:59:54.631Z,bid-extra-60352900027,2026-04-23T23:55:14.039Z
7700493,901155,4530.92,2026-04-23T21:59:54.631Z,bid-extra-60352900037,2026-04-23T23:55:14.039Z
7700623,901465,5166.52,2026-04-23T21:59:54.631Z,bid-extra-60352900047,2026-04-23T23:55:14.039Z
7700753,901775,5802.12,2026-04-23T21:59:54.632Z,bid-extra-60352900057,2026-04-23T23:55:14.039Z
7700883,902085,6437.72,2026-04-23T21:59:54.632Z,bid-extra-60352900067,2026-04-23T23:55:14.039Z
7701013,902395,7073.320000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900077,2026-04-23T23:55:14.039Z
7701143,902705,7708.92,2026-04-23T21:59:54.632Z,bid-extra-60352900087,2026-04-23T23:55:14.039Z
7701273,903015,8344.52,2026-04-23T21:59:54.632Z,bid-extra-60352900097,2026-04-23T23:55:14.039Z
7701403,903325,8980.12,2026-04-23T21:59:54.632Z,bid-extra-60352900107,2026-04-23T23:55:14.039Z
7701533,903635,9615.720000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900117,2026-04-23T23:55:14.039Z
7701663,903945,5711.320000000001,2026-04-23T21:59:54.632Z,bid-extra-60352900127,2026-04-23T23:55:14.039Z
7701793,904255,6346.92,2026-04-23T21:59:54.632Z,bid-extra-60352900137,2026-04-23T23:55:14.039Z
7701923,904565,6982.52,2026-04-23T21:59:54.632Z,bid-extra-60352900147,2026-04-23T23:55:14.039Z
7702053,904875,7618.12,2026-04-23T21:59:54.633Z,bid-extra-60352900157,2026-04-23T23:55:14.039Z
7702183,905185,8253.720000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900167,2026-04-23T23:55:14.039Z
7702313,905495,8889.32,2026-04-23T21:59:54.633Z,bid-extra-60352900177,2026-04-23T23:55:14.039Z
7702443,905805,9524.92,2026-04-23T21:59:54.633Z,bid-extra-60352900187,2026-04-23T23:55:14.039Z
7702573,906115,10160.52,2026-04-23T21:59:54.633Z,bid-extra-60352900197,2026-04-23T23:55:14.039Z
7702703,906425,10796.12,2026-04-23T21:59:54.633Z,bid-extra-60352900207,2026-04-23T23:55:14.039Z
7702833,906735,11431.720000000001,2026-04-23T21:59:54.633Z,bid-extra-60352900217,2026-04-23T23:55:14.039Z
7702963,907045,12067.32,2026-04-23T21:59:54.633Z,bid-extra-60352900227,2026-04-23T23:55:14.039Z
7703093,907355,12702.92,2026-04-23T21:59:54.633Z,bid-extra-60352900237,2026-04-23T23:55:14.039Z
7703223,907665,8798.52,2026-04-23T21:59:54.633Z,bid-extra-60352900247,2026-04-23T23:55:14.039Z
7703353,907975,9434.12,2026-04-23T21:59:54.634Z,bid-extra-60352900257,2026-04-23T23:55:14.039Z
7703483,908285,1080.52,2026-04-23T21:59:54.634Z,bid-extra-60352900267,2026-04-23T23:55:14.039Z
7703613,908595,1716.1200000000001,2026-04-23T21:59:54.634Z,bid-extra-60352900277,2026-04-23T23:55:14.039Z
7703743,908905,2351.7200000000003,2026-04-23T21:59:54.634Z,bid-extra-60352900287,2026-04-23T23:55:14.039Z
7703873,909215,2987.32,2026-04-23T21:59:54.634Z,bid-extra-60352900297,2026-04-23T23:55:14.039Z
7704003,909525,3622.92,2026-04-23T21:59:54.634Z,bid-extra-60352900307,2026-04-23T23:55:14.039Z
7704133,909835,4258.52,2026-04-23T21:59:54.634Z,bid-extra-60352900317,2026-04-23T23:55:14.039Z
7704263,910145,4894.12,2026-04-23T21:59:54.634Z,bid-extra-60352900327,2026-04-23T23:55:14.039Z
7704393,910455,5529.72,2026-04-23T21:59:54.634Z,bid-extra-60352900337,2026-04-23T23:55:14.039Z
7704523,910765,6165.320000000001,2026-04-23T21:59:54.634Z,bid-extra-60352900347,2026-04-23T23:55:14.039Z
7704653,911075,6800.92,2026-04-23T21:59:54.635Z,bid-extra-60352900357,2026-04-23T23:55:14.039Z
7704783,911385,2896.52,2026-04-23T21:59:54.635Z,bid-extra-60352900367,2026-04-23T23:55:14.039Z
7704913,911695,3532.12,2026-04-23T21:59:54.635Z,bid-extra-60352900377,2026-04-23T23:55:14.039Z
7705043,912005,4167.72,2026-04-23T21:59:54.635Z,bid-extra-60352900387,2026-04-23T23:55:14.039Z
7705173,912315,4803.32,2026-04-23T21:59:54.635Z,bid-extra-60352900397,2026-04-23T23:55:14.039Z
7705303,912625,5438.92,2026-04-23T21:59:54.635Z,bid-extra-60352900407,2026-04-23T23:55:14.039Z
7705433,912935,6074.52,2026-04-23T21:59:54.635Z,bid-extra-60352900417,2026-04-23T23:55:14.039Z
