auction,bidder,price,dateTime,extra,processed_time
2700103,900225,7436.52,2026-04-23T21:59:04.631Z,bid-extra-60347900007,2026-04-23T23:55:14.039Z
2700233,900535,8072.12,2026-04-23T21:59:04.631Z,bid-extra-60347900017,2026-04-23T23:55:14.039Z
2700363,900845,8707.720000000001,2026-04-23T21:59:04.631Z,bid-extra-60347900027,2026-04-23T23:55:14.039Z
2700493,901155,9343.32,2026-04-23T21:59:04.631Z,bid-extra-60347900037,2026-04-23T23:55:14.039Z
2700623,901465,9978.92,2026-04-23T21:59:04.631Z,bid-extra-60347900047,2026-04-23T23:55:14.039Z
2700753,901775,10614.52,2026-04-23T21:59:04.632Z,bid-extra-60347900057,2026-04-23T23:55:14.039Z
2700883,902085,11250.12,2026-04-23T21:59:04.632Z,bid-extra-60347900067,2026-04-23T23:55:14.039Z
2701013,902395,11885.720000000001,2026-04-23T21:59:04.632Z,bid-extra-60347900077,2026-04-23T23:55:14.039Z
2701143,902705,3532.12,2026-04-23T21:59:04.632Z,bid-extra-60347900087,2026-04-23T23:55:14.039Z
2701273,903015,4167.72,2026-04-23T21:59:04.632Z,bid-extra-60347900097,2026-04-23T23:55:14.039Z
2701403,903325,4803.32,2026-04-23T21:59:04.632Z,bid-extra-60347900107,2026-04-23T23:55:14.039Z
2701533,903635,5438.92,2026-04-23T21:59:04.632Z,bid-extra-60347900117,2026-04-23T23:55:14.039Z
2701663,903945,1534.52,2026-04-23T21:59:04.632Z,bid-extra-60347900127,2026-04-23T23:55:14.039Z
2701793,904255,2170.12,2026-04-23T21:59:04.632Z,bid-extra-60347900137,2026-04-23T23:55:14.039Z
2701923,904565,2805.7200000000003,2026-04-23T21:59:04.632Z,bid-extra-60347900147,2026-04-23T23:55:14.039Z
2702053,904875,3441.32,2026-04-23T21:59:04.633Z,bid-extra-60347900157,2026-04-23T23:55:14.039Z
2702183,905185,4076.92,2026-04-23T21:59:04.633Z,bid-extra-60347900167,2026-04-23T23:55:14.039Z
2702313,905495,4712.52,2026-04-23T21:59:04.633Z,bid-extra-60347900177,2026-04-23T23:55:14.039Z
