auction,bidder,price,dateTime,extra,processed_time
8700103,900225,3078.12,2026-04-23T22:01:04.631Z,bid-extra-60359900007,2026-04-23T23:55:14.039Z
8700233,900535,3713.7200000000003,2026-04-23T22:01:04.631Z,bid-extra-60359900017,2026-04-23T23:55:14.039Z
8700363,900845,4349.32,2026-04-23T22:01:04.631Z,bid-extra-60359900027,2026-04-23T23:55:14.039Z
8700493,901155,4984.92,2026-04-23T22:01:04.631Z,bid-extra-60359900037,2026-04-23T23:55:14.039Z
8700623,901465,5620.52,2026-04-23T22:01:04.631Z,bid-extra-60359900047,2026-04-23T23:55:14.039Z
8700753,901775,6256.12,2026-04-23T22:01:04.632Z,bid-extra-60359900057,2026-04-23T23:55:14.039Z
8700883,902085,6891.72,2026-04-23T22:01:04.632Z,bid-extra-60359900067,2026-04-23T23:55:14.039Z
8701013,902395,7527.320000000001,2026-04-23T22:01:04.632Z,bid-extra-60359900077,2026-04-23T23:55:14.039Z
8701143,902705,8162.92,2026-04-23T22:01:04.632Z,bid-extra-60359900087,2026-04-23T23:55:14.039Z
8701273,903015,8798.52,2026-04-23T22:01:04.632Z,bid-extra-60359900097,2026-04-23T23:55:14.039Z
8701403,903325,9434.12,2026-04-23T22:01:04.632Z,bid-extra-60359900107,2026-04-23T23:55:14.039Z
8701533,903635,10069.720000000001,2026-04-23T22:01:04.632Z,bid-extra-60359900117,2026-04-23T23:55:14.039Z
8701663,903945,6165.320000000001,2026-04-23T22:01:04.632Z,bid-extra-60359900127,2026-04-23T23:55:14.039Z
8701793,904255,6800.92,2026-04-23T22:01:04.632Z,bid-extra-60359900137,2026-04-23T23:55:14.039Z
8701923,904565,7436.52,2026-04-23T22:01:04.632Z,bid-extra-60359900147,2026-04-23T23:55:14.039Z
8702053,904875,8072.12,2026-04-23T22:01:04.633Z,bid-extra-60359900157,2026-04-23T23:55:14.039Z
8702183,905185,8707.720000000001,2026-04-23T22:01:04.633Z,bid-extra-60359900167,2026-04-23T23:55:14.039Z
8702313,905495,9343.32,2026-04-23T22:01:04.633Z,bid-extra-60359900177,2026-04-23T23:55:14.039Z
8702443,905805,9978.92,2026-04-23T22:01:04.633Z,bid-extra-60359900187,2026-04-23T23:55:14.039Z
8702573,906115,10614.52,2026-04-23T22:01:04.633Z,bid-extra-60359900197,2026-04-23T23:55:14.039Z
8702703,906425,11250.12,2026-04-23T22:01:04.633Z,bid-extra-60359900207,2026-04-23T23:55:14.039Z
8702833,906735,11885.720000000001,2026-04-23T22:01:04.633Z,bid-extra-60359900217,2026-04-23T23:55:14.039Z
8702963,907045,12521.32,2026-04-23T22:01:04.633Z,bid-extra-60359900227,2026-04-23T23:55:14.039Z
8703093,907355,13156.92,2026-04-23T22:01:04.633Z,bid-extra-60359900237,2026-04-23T23:55:14.039Z
8703223,907665,263.32,2026-04-23T22:01:04.633Z,bid-extra-60359900247,2026-04-23T23:55:14.039Z
8703353,907975,898.9200000000001,2026-04-23T22:01:04.634Z,bid-extra-60359900257,2026-04-23T23:55:14.039Z
8703483,908285,1534.52,2026-04-23T22:01:04.634Z,bid-extra-60359900267,2026-04-23T23:55:14.039Z
8703613,908595,2170.12,2026-04-23T22:01:04.634Z,bid-extra-60359900277,2026-04-23T23:55:14.039Z
8703743,908905,2805.7200000000003,2026-04-23T22:01:04.634Z,bid-extra-60359900287,2026-04-23T23:55:14.039Z
8703873,909215,3441.32,2026-04-23T22:01:04.634Z,bid-extra-60359900297,2026-04-23T23:55:14.039Z
8704003,909525,4076.92,2026-04-23T22:01:04.634Z,bid-extra-60359900307,2026-04-23T23:55:14.039Z
8704133,909835,4712.52,2026-04-23T22:01:04.634Z,bid-extra-60359900317,2026-04-23T23:55:14.039Z
8704263,910145,5348.12,2026-04-23T22:01:04.634Z,bid-extra-60359900327,2026-04-23T23:55:14.039Z
8704393,910455,5983.72,2026-04-23T22:01:04.634Z,bid-extra-60359900337,2026-04-23T23:55:14.039Z
8704523,910765,6619.320000000001,2026-04-23T22:01:04.634Z,bid-extra-60359900347,2026-04-23T23:55:14.039Z
8704653,911075,7254.92,2026-04-23T22:01:04.635Z,bid-extra-60359900357,2026-04-23T23:55:14.039Z
8704783,911385,3350.52,2026-04-23T22:01:04.635Z,bid-extra-60359900367,2026-04-23T23:55:14.039Z
8704913,911695,3986.1200000000003,2026-04-23T22:01:04.635Z,bid-extra-60359900377,2026-04-23T23:55:14.039Z
8705043,912005,4621.72,2026-04-23T22:01:04.635Z,bid-extra-60359900387,2026-04-23T23:55:14.039Z
8705173,912315,5257.320000000001,2026-04-23T22:01:04.635Z,bid-extra-60359900397,2026-04-23T23:55:14.039Z
8705303,912625,5892.92,2026-04-23T22:01:04.635Z,bid-extra-60359900407,2026-04-23T23:55:14.039Z
8705433,912935,6528.52,2026-04-23T22:01:04.635Z,bid-extra-60359900417,2026-04-23T23:55:14.039Z
8705563,913245,7164.12,2026-04-23T22:01:04.635Z,bid-extra-60359900427,2026-04-23T23:55:14.039Z
8705693,913555,7799.72,2026-04-23T22:01:04.635Z,bid-extra-60359900437,2026-04-23T23:55:14.039Z
8705823,913865,8435.32,2026-04-23T22:01:04.635Z,bid-extra-60359900447,2026-04-23T23:55:14.039Z
8705953,914175,9070.92,2026-04-23T22:01:04.636Z,bid-extra-60359900457,2026-04-23T23:55:14.039Z
8706083,914485,9706.52,2026-04-23T22:01:04.636Z,bid-extra-60359900467,2026-04-23T23:55:14.039Z
8706213,914795,10342.12,2026-04-23T22:01:04.636Z,bid-extra-60359900477,2026-04-23T23:55:14.039Z
8706343,915105,10977.720000000001,2026-04-23T22:01:04.636Z,bid-extra-60359900487,2026-04-23T23:55:14.039Z
