auction,bidder,price,dateTime,extra,processed_time
9700103,900225,3532.12,2026-04-23T22:02:14.631Z,bid-extra-60366900007,2026-04-23T23:55:14.039Z
9700233,900535,4167.72,2026-04-23T22:02:14.631Z,bid-extra-60366900017,2026-04-23T23:55:14.039Z
9700363,900845,4803.32,2026-04-23T22:02:14.631Z,bid-extra-60366900027,2026-04-23T23:55:14.039Z
9700493,901155,5438.92,2026-04-23T22:02:14.631Z,bid-extra-60366900037,2026-04-23T23:55:14.039Z
9700623,901465,6074.52,2026-04-23T22:02:14.631Z,bid-extra-60366900047,2026-04-23T23:55:14.039Z
9700753,901775,6710.12,2026-04-23T22:02:14.632Z,bid-extra-60366900057,2026-04-23T23:55:14.039Z
9700883,902085,7345.72,2026-04-23T22:02:14.632Z,bid-extra-60366900067,2026-04-23T23:55:14.039Z
9701013,902395,7981.320000000001,2026-04-23T22:02:14.632Z,bid-extra-60366900077,2026-04-23T23:55:14.039Z
9701143,902705,8616.92,2026-04-23T22:02:14.632Z,bid-extra-60366900087,2026-04-23T23:55:14.039Z
9701273,903015,9252.52,2026-04-23T22:02:14.632Z,bid-extra-60366900097,2026-04-23T23:55:14.039Z
9701403,903325,9888.12,2026-04-23T22:02:14.632Z,bid-extra-60366900107,2026-04-23T23:55:14.039Z
9701533,903635,10523.720000000001,2026-04-23T22:02:14.632Z,bid-extra-60366900117,2026-04-23T23:55:14.039Z
9701663,903945,6619.320000000001,2026-04-23T22:02:14.632Z,bid-extra-60366900127,2026-04-23T23:55:14.039Z
9701793,904255,7254.92,2026-04-23T22:02:14.632Z,bid-extra-60366900137,2026-04-23T23:55:14.039Z
9701923,904565,7890.52,2026-04-23T22:02:14.632Z,bid-extra-60366900147,2026-04-23T23:55:14.039Z
9702053,904875,8526.12,2026-04-23T22:02:14.633Z,bid-extra-60366900157,2026-04-23T23:55:14.039Z
9702183,905185,9161.720000000001,2026-04-23T22:02:14.633Z,bid-extra-60366900167,2026-04-23T23:55:14.039Z
9702313,905495,9797.32,2026-04-23T22:02:14.633Z,bid-extra-60366900177,2026-04-23T23:55:14.039Z
9702443,905805,10432.92,2026-04-23T22:02:14.633Z,bid-extra-60366900187,2026-04-23T23:55:14.039Z
9702573,906115,11068.52,2026-04-23T22:02:14.633Z,bid-extra-60366900197,2026-04-23T23:55:14.039Z
9702703,906425,11704.12,2026-04-23T22:02:14.633Z,bid-extra-60366900207,2026-04-23T23:55:14.039Z
9702833,906735,12339.720000000001,2026-04-23T22:02:14.633Z,bid-extra-60366900217,2026-04-23T23:55:14.039Z
9702963,907045,12975.32,2026-04-23T22:02:14.633Z,bid-extra-60366900227,2026-04-23T23:55:14.039Z
9703093,907355,4621.72,2026-04-23T22:02:14.633Z,bid-extra-60366900237,2026-04-23T23:55:14.039Z
9703223,907665,717.32,2026-04-23T22:02:14.633Z,bid-extra-60366900247,2026-04-23T23:55:14.039Z
9703353,907975,1352.92,2026-04-23T22:02:14.634Z,bid-extra-60366900257,2026-04-23T23:55:14.039Z
9703483,908285,1988.52,2026-04-23T22:02:14.634Z,bid-extra-60366900267,2026-04-23T23:55:14.039Z
9703613,908595,2624.12,2026-04-23T22:02:14.634Z,bid-extra-60366900277,2026-04-23T23:55:14.039Z
9703743,908905,3259.7200000000003,2026-04-23T22:02:14.634Z,bid-extra-60366900287,2026-04-23T23:55:14.039Z
9703873,909215,3895.32,2026-04-23T22:02:14.634Z,bid-extra-60366900297,2026-04-23T23:55:14.039Z
9704003,909525,4530.92,2026-04-23T22:02:14.634Z,bid-extra-60366900307,2026-04-23T23:55:14.039Z
9704133,909835,5166.52,2026-04-23T22:02:14.634Z,bid-extra-60366900317,2026-04-23T23:55:14.039Z
9704263,910145,5802.12,2026-04-23T22:02:14.634Z,bid-extra-60366900327,2026-04-23T23:55:14.039Z
9704393,910455,6437.72,2026-04-23T22:02:14.634Z,bid-extra-60366900337,2026-04-23T23:55:14.039Z
9704523,910765,7073.320000000001,2026-04-23T22:02:14.634Z,bid-extra-60366900347,2026-04-23T23:55:14.039Z
9704653,911075,7708.92,2026-04-23T22:02:14.635Z,bid-extra-60366900357,2026-04-23T23:55:14.039Z
9704783,911385,3804.52,2026-04-23T22:02:14.635Z,bid-extra-60366900367,2026-04-23T23:55:14.039Z
9704913,911695,4440.12,2026-04-23T22:02:14.635Z,bid-extra-60366900377,2026-04-23T23:55:14.039Z
9705043,912005,5075.72,2026-04-23T22:02:14.635Z,bid-extra-60366900387,2026-04-23T23:55:14.039Z
9705173,912315,5711.320000000001,2026-04-23T22:02:14.635Z,bid-extra-60366900397,2026-04-23T23:55:14.039Z
9705303,912625,6346.92,2026-04-23T22:02:14.635Z,bid-extra-60366900407,2026-04-23T23:55:14.039Z
9705433,912935,6982.52,2026-04-23T22:02:14.635Z,bid-extra-60366900417,2026-04-23T23:55:14.039Z
9705563,913245,7618.12,2026-04-23T22:02:14.635Z,bid-extra-60366900427,2026-04-23T23:55:14.039Z
9705693,913555,8253.720000000001,2026-04-23T22:02:14.635Z,bid-extra-60366900437,2026-04-23T23:55:14.039Z
9705823,913865,8889.32,2026-04-23T22:02:14.635Z,bid-extra-60366900447,2026-04-23T23:55:14.039Z
9705953,914175,9524.92,2026-04-23T22:02:14.636Z,bid-extra-60366900457,2026-04-23T23:55:14.039Z
9706083,914485,10160.52,2026-04-23T22:02:14.636Z,bid-extra-60366900467,2026-04-23T23:55:14.039Z
9706213,914795,10796.12,2026-04-23T22:02:14.636Z,bid-extra-60366900477,2026-04-23T23:55:14.039Z
9706343,915105,11431.720000000001,2026-04-23T22:02:14.636Z,bid-extra-60366900487,2026-04-23T23:55:14.039Z
9706473,915415,7527.320000000001,2026-04-23T22:02:14.636Z,bid-extra-60366900497,2026-04-23T23:55:14.039Z
9706603,915725,8162.92,2026-04-23T22:02:14.636Z,bid-extra-60366900507,2026-04-23T23:55:14.039Z
9706733,916035,8798.52,2026-04-23T22:02:14.636Z,bid-extra-60366900517,2026-04-23T23:55:14.039Z
9706863,916345,9434.12,2026-04-23T22:02:14.636Z,bid-extra-60366900527,2026-04-23T23:55:14.039Z
9706993,916655,10069.720000000001,2026-04-23T22:02:14.636Z,bid-extra-60366900537,2026-04-23T23:55:14.039Z
9707123,916965,10705.32,2026-04-23T22:02:14.636Z,bid-extra-60366900547,2026-04-23T23:55:14.039Z
9707253,917275,11340.92,2026-04-23T22:02:14.637Z,bid-extra-60366900557,2026-04-23T23:55:14.039Z
9707383,917585,11976.52,2026-04-23T22:02:14.637Z,bid-extra-60366900567,2026-04-23T23:55:14.039Z
9707513,917895,3622.92,2026-04-23T22:02:14.637Z,bid-extra-60366900577,2026-04-23T23:55:14.039Z
9707643,918205,4258.52,2026-04-23T22:02:14.637Z,bid-extra-60366900587,2026-04-23T23:55:14.039Z
9707773,918515,4894.12,2026-04-23T22:02:14.637Z,bid-extra-60366900597,2026-04-23T23:55:14.039Z
9707903,918825,5529.72,2026-04-23T22:02:14.637Z,bid-extra-60366900607,2026-04-23T23:55:14.039Z
9708033,919135,1625.3200000000002,2026-04-23T22:02:14.637Z,bid-extra-60366900617,2026-04-23T23:55:14.039Z
9708163,919445,2260.92,2026-04-23T22:02:14.637Z,bid-extra-60366900627,2026-04-23T23:55:14.039Z
9708293,919755,2896.52,2026-04-23T22:02:14.637Z,bid-extra-60366900637,2026-04-23T23:55:14.039Z
9708423,920065,3532.12,2026-04-23T22:02:14.637Z,bid-extra-60366900647,2026-04-23T23:55:14.039Z
9708553,920375,4167.72,2026-04-23T22:02:14.638Z,bid-extra-60366900657,2026-04-23T23:55:14.039Z
9708683,920685,4803.32,2026-04-23T22:02:14.638Z,bid-extra-60366900667,2026-04-23T23:55:14.039Z
9708813,920995,5438.92,2026-04-23T22:02:14.638Z,bid-extra-60366900677,2026-04-23T23:55:14.039Z
9708943,921305,6074.52,2026-04-23T22:02:14.638Z,bid-extra-60366900687,2026-04-23T23:55:14.039Z
9709073,921615,6710.12,2026-04-23T22:02:14.638Z,bid-extra-60366900697,2026-04-23T23:55:14.039Z
9709203,921925,7345.72,2026-04-23T22:02:14.638Z,bid-extra-60366900707,2026-04-23T23:55:14.039Z
9709333,922235,7981.320000000001,2026-04-23T22:02:14.638Z,bid-extra-60366900717,2026-04-23T23:55:14.039Z
9709463,922545,8616.92,2026-04-23T22:02:14.638Z,bid-extra-60366900727,2026-04-23T23:55:14.039Z
9709593,922855,4712.52,2026-04-23T22:02:14.638Z,bid-extra-60366900737,2026-04-23T23:55:14.039Z
9709723,923165,5348.12,2026-04-23T22:02:14.638Z,bid-extra-60366900747,2026-04-23T23:55:14.039Z
9709853,923475,5983.72,2026-04-23T22:02:14.639Z,bid-extra-60366900757,2026-04-23T23:55:14.039Z
9709983,923785,6619.320000000001,2026-04-23T22:02:14.639Z,bid-extra-60366900767,2026-04-23T23:55:14.039Z
9710113,924095,7254.92,2026-04-23T22:02:14.639Z,bid-extra-60366900777,2026-04-23T23:55:14.039Z
9710243,924405,7890.52,2026-04-23T22:02:14.639Z,bid-extra-60366900787,2026-04-23T23:55:14.039Z
9710373,924715,8526.12,2026-04-23T22:02:14.639Z,bid-extra-60366900797,2026-04-23T23:55:14.039Z
9710503,925025,9161.720000000001,2026-04-23T22:02:14.639Z,bid-extra-60366900807,2026-04-23T23:55:14.039Z
9710633,925335,9797.32,2026-04-23T22:02:14.639Z,bid-extra-60366900817,2026-04-23T23:55:14.039Z
9710763,925645,10432.92,2026-04-23T22:02:14.639Z,bid-extra-60366900827,2026-04-23T23:55:14.039Z
9710893,925955,11068.52,2026-04-23T22:02:14.639Z,bid-extra-60366900837,2026-04-23T23:55:14.039Z
