auction,bidder,price,dateTime,extra,processed_time
5700103,900225,1080.52,2026-04-23T21:59:14.631Z,bid-extra-60348900007,2026-04-23T23:55:14.039Z
5700233,900535,1716.1200000000001,2026-04-23T21:59:14.631Z,bid-extra-60348900017,2026-04-23T23:55:14.039Z
5700363,900845,2351.7200000000003,2026-04-23T21:59:14.631Z,bid-extra-60348900027,2026-04-23T23:55:14.039Z
5700493,901155,2987.32,2026-04-23T21:59:14.631Z,bid-extra-60348900037,2026-04-23T23:55:14.039Z
5700623,901465,3622.92,2026-04-23T21:59:14.631Z,bid-extra-60348900047,2026-04-23T23:55:14.039Z
5700753,901775,4258.52,2026-04-23T21:59:14.632Z,bid-extra-60348900057,2026-04-23T23:55:14.039Z
5700883,902085,4894.12,2026-04-23T21:59:14.632Z,bid-extra-60348900067,2026-04-23T23:55:14.039Z
5701013,902395,5529.72,2026-04-23T21:59:14.632Z,bid-extra-60348900077,2026-04-23T23:55:14.039Z
5701143,902705,6165.320000000001,2026-04-23T21:59:14.632Z,bid-extra-60348900087,2026-04-23T23:55:14.039Z
5701273,903015,6800.92,2026-04-23T21:59:14.632Z,bid-extra-60348900097,2026-04-23T23:55:14.039Z
5701403,903325,7436.52,2026-04-23T21:59:14.632Z,bid-extra-60348900107,2026-04-23T23:55:14.039Z
5701533,903635,8072.12,2026-04-23T21:59:14.632Z,bid-extra-60348900117,2026-04-23T23:55:14.039Z
5701663,903945,4167.72,2026-04-23T21:59:14.632Z,bid-extra-60348900127,2026-04-23T23:55:14.039Z
5701793,904255,4803.32,2026-04-23T21:59:14.632Z,bid-extra-60348900137,2026-04-23T23:55:14.039Z
5701923,904565,5438.92,2026-04-23T21:59:14.632Z,bid-extra-60348900147,2026-04-23T23:55:14.039Z
5702053,904875,6074.52,2026-04-23T21:59:14.633Z,bid-extra-60348900157,2026-04-23T23:55:14.039Z
5702183,905185,6710.12,2026-04-23T21:59:14.633Z,bid-extra-60348900167,2026-04-23T23:55:14.039Z
5702313,905495,7345.72,2026-04-23T21:59:14.633Z,bid-extra-60348900177,2026-04-23T23:55:14.039Z
5702443,905805,7981.320000000001,2026-04-23T21:59:14.633Z,bid-extra-60348900187,2026-04-23T23:55:14.039Z
5702573,906115,8616.92,2026-04-23T21:59:14.633Z,bid-extra-60348900197,2026-04-23T23:55:14.039Z
5702703,906425,9252.52,2026-04-23T21:59:14.633Z,bid-extra-60348900207,2026-04-23T23:55:14.039Z
5702833,906735,9888.12,2026-04-23T21:59:14.633Z,bid-extra-60348900217,2026-04-23T23:55:14.039Z
5702963,907045,10523.720000000001,2026-04-23T21:59:14.633Z,bid-extra-60348900227,2026-04-23T23:55:14.039Z
5703093,907355,11159.32,2026-04-23T21:59:14.633Z,bid-extra-60348900237,2026-04-23T23:55:14.039Z
5703223,907665,7254.92,2026-04-23T21:59:14.633Z,bid-extra-60348900247,2026-04-23T23:55:14.039Z
5703353,907975,7890.52,2026-04-23T21:59:14.634Z,bid-extra-60348900257,2026-04-23T23:55:14.039Z
5703483,908285,8526.12,2026-04-23T21:59:14.634Z,bid-extra-60348900267,2026-04-23T23:55:14.039Z
5703613,908595,9161.720000000001,2026-04-23T21:59:14.634Z,bid-extra-60348900277,2026-04-23T23:55:14.039Z
5703743,908905,9797.32,2026-04-23T21:59:14.634Z,bid-extra-60348900287,2026-04-23T23:55:14.039Z
5703873,909215,10432.92,2026-04-23T21:59:14.634Z,bid-extra-60348900297,2026-04-23T23:55:14.039Z
