auction,bidder,price,dateTime,extra,processed_time
6700103,900225,1534.52,2026-04-23T22:00:24.631Z,bid-extra-60355900007,2026-04-23T23:55:14.039Z
6700233,900535,2170.12,2026-04-23T22:00:24.631Z,bid-extra-60355900017,2026-04-23T23:55:14.039Z
6700363,900845,2805.7200000000003,2026-04-23T22:00:24.631Z,bid-extra-60355900027,2026-04-23T23:55:14.039Z
6700493,901155,3441.32,2026-04-23T22:00:24.631Z,bid-extra-60355900037,2026-04-23T23:55:14.039Z
6700623,901465,4076.92,2026-04-23T22:00:24.631Z,bid-extra-60355900047,2026-04-23T23:55:14.039Z
6700753,901775,4712.52,2026-04-23T22:00:24.632Z,bid-extra-60355900057,2026-04-23T23:55:14.039Z
6700883,902085,5348.12,2026-04-23T22:00:24.632Z,bid-extra-60355900067,2026-04-23T23:55:14.039Z
6701013,902395,5983.72,2026-04-23T22:00:24.632Z,bid-extra-60355900077,2026-04-23T23:55:14.039Z
6701143,902705,6619.320000000001,2026-04-23T22:00:24.632Z,bid-extra-60355900087,2026-04-23T23:55:14.039Z
6701273,903015,7254.92,2026-04-23T22:00:24.632Z,bid-extra-60355900097,2026-04-23T23:55:14.039Z
6701403,903325,7890.52,2026-04-23T22:00:24.632Z,bid-extra-60355900107,2026-04-23T23:55:14.039Z
6701533,903635,8526.12,2026-04-23T22:00:24.632Z,bid-extra-60355900117,2026-04-23T23:55:14.039Z
6701663,903945,4621.72,2026-04-23T22:00:24.632Z,bid-extra-60355900127,2026-04-23T23:55:14.039Z
6701793,904255,5257.320000000001,2026-04-23T22:00:24.632Z,bid-extra-60355900137,2026-04-23T23:55:14.039Z
6701923,904565,5892.92,2026-04-23T22:00:24.632Z,bid-extra-60355900147,2026-04-23T23:55:14.039Z
6702053,904875,6528.52,2026-04-23T22:00:24.633Z,bid-extra-60355900157,2026-04-23T23:55:14.039Z
6702183,905185,7164.12,2026-04-23T22:00:24.633Z,bid-extra-60355900167,2026-04-23T23:55:14.039Z
6702313,905495,7799.72,2026-04-23T22:00:24.633Z,bid-extra-60355900177,2026-04-23T23:55:14.039Z
6702443,905805,8435.32,2026-04-23T22:00:24.633Z,bid-extra-60355900187,2026-04-23T23:55:14.039Z
6702573,906115,9070.92,2026-04-23T22:00:24.633Z,bid-extra-60355900197,2026-04-23T23:55:14.039Z
6702703,906425,9706.52,2026-04-23T22:00:24.633Z,bid-extra-60355900207,2026-04-23T23:55:14.039Z
6702833,906735,10342.12,2026-04-23T22:00:24.633Z,bid-extra-60355900217,2026-04-23T23:55:14.039Z
6702963,907045,10977.720000000001,2026-04-23T22:00:24.633Z,bid-extra-60355900227,2026-04-23T23:55:14.039Z
6703093,907355,11613.32,2026-04-23T22:00:24.633Z,bid-extra-60355900237,2026-04-23T23:55:14.039Z
6703223,907665,7708.92,2026-04-23T22:00:24.633Z,bid-extra-60355900247,2026-04-23T23:55:14.039Z
6703353,907975,8344.52,2026-04-23T22:00:24.634Z,bid-extra-60355900257,2026-04-23T23:55:14.039Z
6703483,908285,8980.12,2026-04-23T22:00:24.634Z,bid-extra-60355900267,2026-04-23T23:55:14.039Z
6703613,908595,9615.720000000001,2026-04-23T22:00:24.634Z,bid-extra-60355900277,2026-04-23T23:55:14.039Z
6703743,908905,10251.32,2026-04-23T22:00:24.634Z,bid-extra-60355900287,2026-04-23T23:55:14.039Z
6703873,909215,10886.92,2026-04-23T22:00:24.634Z,bid-extra-60355900297,2026-04-23T23:55:14.039Z
6704003,909525,2533.32,2026-04-23T22:00:24.634Z,bid-extra-60355900307,2026-04-23T23:55:14.039Z
6704133,909835,3168.92,2026-04-23T22:00:24.634Z,bid-extra-60355900317,2026-04-23T23:55:14.039Z
6704263,910145,3804.52,2026-04-23T22:00:24.634Z,bid-extra-60355900327,2026-04-23T23:55:14.039Z
6704393,910455,4440.12,2026-04-23T22:00:24.634Z,bid-extra-60355900337,2026-04-23T23:55:14.039Z
6704523,910765,5075.72,2026-04-23T22:00:24.634Z,bid-extra-60355900347,2026-04-23T23:55:14.039Z
6704653,911075,5711.320000000001,2026-04-23T22:00:24.635Z,bid-extra-60355900357,2026-04-23T23:55:14.039Z
6704783,911385,1806.92,2026-04-23T22:00:24.635Z,bid-extra-60355900367,2026-04-23T23:55:14.039Z
6704913,911695,2442.52,2026-04-23T22:00:24.635Z,bid-extra-60355900377,2026-04-23T23:55:14.039Z
6705043,912005,3078.12,2026-04-23T22:00:24.635Z,bid-extra-60355900387,2026-04-23T23:55:14.039Z
6705173,912315,3713.7200000000003,2026-04-23T22:00:24.635Z,bid-extra-60355900397,2026-04-23T23:55:14.039Z
6705303,912625,4349.32,2026-04-23T22:00:24.635Z,bid-extra-60355900407,2026-04-23T23:55:14.039Z
6705433,912935,4984.92,2026-04-23T22:00:24.635Z,bid-extra-60355900417,2026-04-23T23:55:14.039Z
6705563,913245,5620.52,2026-04-23T22:00:24.635Z,bid-extra-60355900427,2026-04-23T23:55:14.039Z
6705693,913555,6256.12,2026-04-23T22:00:24.635Z,bid-extra-60355900437,2026-04-23T23:55:14.039Z
6705823,913865,6891.72,2026-04-23T22:00:24.635Z,bid-extra-60355900447,2026-04-23T23:55:14.039Z
6705953,914175,7527.320000000001,2026-04-23T22:00:24.636Z,bid-extra-60355900457,2026-04-23T23:55:14.039Z
6706083,914485,8162.92,2026-04-23T22:00:24.636Z,bid-extra-60355900467,2026-04-23T23:55:14.039Z
6706213,914795,8798.52,2026-04-23T22:00:24.636Z,bid-extra-60355900477,2026-04-23T23:55:14.039Z
6706343,915105,9434.12,2026-04-23T22:00:24.636Z,bid-extra-60355900487,2026-04-23T23:55:14.039Z
6706473,915415,5529.72,2026-04-23T22:00:24.636Z,bid-extra-60355900497,2026-04-23T23:55:14.039Z
6706603,915725,6165.320000000001,2026-04-23T22:00:24.636Z,bid-extra-60355900507,2026-04-23T23:55:14.039Z
6706733,916035,6800.92,2026-04-23T22:00:24.636Z,bid-extra-60355900517,2026-04-23T23:55:14.039Z
6706863,916345,7436.52,2026-04-23T22:00:24.636Z,bid-extra-60355900527,2026-04-23T23:55:14.039Z
6706993,916655,8072.12,2026-04-23T22:00:24.636Z,bid-extra-60355900537,2026-04-23T23:55:14.039Z
6707123,916965,8707.720000000001,2026-04-23T22:00:24.636Z,bid-extra-60355900547,2026-04-23T23:55:14.039Z
6707253,917275,9343.32,2026-04-23T22:00:24.637Z,bid-extra-60355900557,2026-04-23T23:55:14.039Z
6707383,917585,9978.92,2026-04-23T22:00:24.637Z,bid-extra-60355900567,2026-04-23T23:55:14.039Z
6707513,917895,10614.52,2026-04-23T22:00:24.637Z,bid-extra-60355900577,2026-04-23T23:55:14.039Z
6707643,918205,11250.12,2026-04-23T22:00:24.637Z,bid-extra-60355900587,2026-04-23T23:55:14.039Z
6707773,918515,11885.720000000001,2026-04-23T22:00:24.637Z,bid-extra-60355900597,2026-04-23T23:55:14.039Z
6707903,918825,12521.32,2026-04-23T22:00:24.637Z,bid-extra-60355900607,2026-04-23T23:55:14.039Z
6708033,919135,8616.92,2026-04-23T22:00:24.637Z,bid-extra-60355900617,2026-04-23T23:55:14.039Z
6708163,919445,9252.52,2026-04-23T22:00:24.637Z,bid-extra-60355900627,2026-04-23T23:55:14.039Z
6708293,919755,9888.12,2026-04-23T22:00:24.637Z,bid-extra-60355900637,2026-04-23T23:55:14.039Z
6708423,920065,1534.52,2026-04-23T22:00:24.637Z,bid-extra-60355900647,2026-04-23T23:55:14.039Z
6708553,920375,2170.12,2026-04-23T22:00:24.638Z,bid-extra-60355900657,2026-04-23T23:55:14.039Z
6708683,920685,2805.7200000000003,2026-04-23T22:00:24.638Z,bid-extra-60355900667,2026-04-23T23:55:14.039Z
6708813,920995,3441.32,2026-04-23T22:00:24.638Z,bid-extra-60355900677,2026-04-23T23:55:14.039Z
6708943,921305,4076.92,2026-04-23T22:00:24.638Z,bid-extra-60355900687,2026-04-23T23:55:14.039Z
6709073,921615,4712.52,2026-04-23T22:00:24.638Z,bid-extra-60355900697,2026-04-23T23:55:14.039Z
6709203,921925,5348.12,2026-04-23T22:00:24.638Z,bid-extra-60355900707,2026-04-23T23:55:14.039Z
6709333,922235,5983.72,2026-04-23T22:00:24.638Z,bid-extra-60355900717,2026-04-23T23:55:14.039Z
6709463,922545,6619.320000000001,2026-04-23T22:00:24.638Z,bid-extra-60355900727,2026-04-23T23:55:14.039Z
6709593,922855,2714.92,2026-04-23T22:00:24.638Z,bid-extra-60355900737,2026-04-23T23:55:14.039Z
6709723,923165,3350.52,2026-04-23T22:00:24.638Z,bid-extra-60355900747,2026-04-23T23:55:14.039Z
6709853,923475,3986.1200000000003,2026-04-23T22:00:24.639Z,bid-extra-60355900757,2026-04-23T23:55:14.039Z
6709983,923785,4621.72,2026-04-23T22:00:24.639Z,bid-extra-60355900767,2026-04-23T23:55:14.039Z
6710113,924095,5257.320000000001,2026-04-23T22:00:24.639Z,bid-extra-60355900777,2026-04-23T23:55:14.039Z
6710243,924405,5892.92,2026-04-23T22:00:24.639Z,bid-extra-60355900787,2026-04-23T23:55:14.039Z
6710373,924715,6528.52,2026-04-23T22:00:24.639Z,bid-extra-60355900797,2026-04-23T23:55:14.039Z
6710503,925025,7164.12,2026-04-23T22:00:24.639Z,bid-extra-60355900807,2026-04-23T23:55:14.039Z
6710633,925335,7799.72,2026-04-23T22:00:24.639Z,bid-extra-60355900817,2026-04-23T23:55:14.039Z
6710763,925645,8435.32,2026-04-23T22:00:24.639Z,bid-extra-60355900827,2026-04-23T23:55:14.039Z
6710893,925955,9070.92,2026-04-23T22:00:24.639Z,bid-extra-60355900837,2026-04-23T23:55:14.039Z
6711023,926265,9706.52,2026-04-23T22:00:24.639Z,bid-extra-60355900847,2026-04-23T23:55:14.039Z
6711153,926575,5802.12,2026-04-23T22:00:24.640Z,bid-extra-60355900857,2026-04-23T23:55:14.039Z
6711283,926885,6437.72,2026-04-23T22:00:24.640Z,bid-extra-60355900867,2026-04-23T23:55:14.039Z
6711413,927195,7073.320000000001,2026-04-23T22:00:24.640Z,bid-extra-60355900877,2026-04-23T23:55:14.039Z
6711543,927505,7708.92,2026-04-23T22:00:24.640Z,bid-extra-60355900887,2026-04-23T23:55:14.039Z
6711673,927815,8344.52,2026-04-23T22:00:24.640Z,bid-extra-60355900897,2026-04-23T23:55:14.039Z
6711803,928125,8980.12,2026-04-23T22:00:24.640Z,bid-extra-60355900907,2026-04-23T23:55:14.039Z
6711933,928435,9615.720000000001,2026-04-23T22:00:24.640Z,bid-extra-60355900917,2026-04-23T23:55:14.039Z
6712063,928745,10251.32,2026-04-23T22:00:24.640Z,bid-extra-60355900927,2026-04-23T23:55:14.039Z
6712193,929055,10886.92,2026-04-23T22:00:24.640Z,bid-extra-60355900937,2026-04-23T23:55:14.039Z
6712323,929365,11522.52,2026-04-23T22:00:24.640Z,bid-extra-60355900947,2026-04-23T23:55:14.039Z
6712453,929675,12158.12,2026-04-23T22:00:24.641Z,bid-extra-60355900957,2026-04-23T23:55:14.039Z
6712583,929985,12793.720000000001,2026-04-23T22:00:24.641Z,bid-extra-60355900967,2026-04-23T23:55:14.039Z
6712713,930295,8889.32,2026-04-23T22:00:24.641Z,bid-extra-60355900977,2026-04-23T23:55:14.039Z
6712843,930605,535.72,2026-04-23T22:00:24.641Z,bid-extra-60355900987,2026-04-23T23:55:14.039Z
6712973,930915,1171.32,2026-04-23T22:00:24.641Z,bid-extra-60355900997,2026-04-23T23:55:14.039Z
6713103,931225,1806.92,2026-04-23T22:00:24.641Z,bid-extra-60355901007,2026-04-23T23:55:14.039Z
6713233,931535,2442.52,2026-04-23T22:00:24.641Z,bid-extra-60355901017,2026-04-23T23:55:14.039Z
6713363,931845,3078.12,2026-04-23T22:00:24.641Z,bid-extra-60355901027,2026-04-23T23:55:14.039Z
6713493,932155,3713.7200000000003,2026-04-23T22:00:24.641Z,bid-extra-60355901037,2026-04-23T23:55:14.039Z
6713623,932465,4349.32,2026-04-23T22:00:24.641Z,bid-extra-60355901047,2026-04-23T23:55:14.039Z
6713753,932775,4984.92,2026-04-23T22:00:24.642Z,bid-extra-60355901057,2026-04-23T23:55:14.039Z
6713883,933085,5620.52,2026-04-23T22:00:24.642Z,bid-extra-60355901067,2026-04-23T23:55:14.039Z
6714013,933395,6256.12,2026-04-23T22:00:24.642Z,bid-extra-60355901077,2026-04-23T23:55:14.039Z
6714143,933705,6891.72,2026-04-23T22:00:24.642Z,bid-extra-60355901087,2026-04-23T23:55:14.039Z
6714273,934015,7527.320000000001,2026-04-23T22:00:24.642Z,bid-extra-60355901097,2026-04-23T23:55:14.039Z
6714403,934325,3622.92,2026-04-23T22:00:24.642Z,bid-extra-60355901107,2026-04-23T23:55:14.039Z
6714533,934635,4258.52,2026-04-23T22:00:24.642Z,bid-extra-60355901117,2026-04-23T23:55:14.039Z
6714663,934945,4894.12,2026-04-23T22:00:24.642Z,bid-extra-60355901127,2026-04-23T23:55:14.039Z
6714793,935255,5529.72,2026-04-23T22:00:24.642Z,bid-extra-60355901137,2026-04-23T23:55:14.039Z
6714923,935565,6165.320000000001,2026-04-23T22:00:24.642Z,bid-extra-60355901147,2026-04-23T23:55:14.039Z
6715053,935875,6800.92,2026-04-23T22:00:24.643Z,bid-extra-60355901157,2026-04-23T23:55:14.039Z
6715183,936185,7436.52,2026-04-23T22:00:24.643Z,bid-extra-60355901167,2026-04-23T23:55:14.039Z
6715313,936495,8072.12,2026-04-23T22:00:24.643Z,bid-extra-60355901177,2026-04-23T23:55:14.039Z
6715443,936805,8707.720000000001,2026-04-23T22:00:24.643Z,bid-extra-60355901187,2026-04-23T23:55:14.039Z
6715573,937115,9343.32,2026-04-23T22:00:24.643Z,bid-extra-60355901197,2026-04-23T23:55:14.039Z
6715703,937425,9978.92,2026-04-23T22:00:24.643Z,bid-extra-60355901207,2026-04-23T23:55:14.039Z
6715833,937735,10614.52,2026-04-23T22:00:24.643Z,bid-extra-60355901217,2026-04-23T23:55:14.039Z
6715963,938045,6710.12,2026-04-23T22:00:24.643Z,bid-extra-60355901227,2026-04-23T23:55:14.039Z
6716093,938355,7345.72,2026-04-23T22:00:24.643Z,bid-extra-60355901237,2026-04-23T23:55:14.039Z
6716223,938665,7981.320000000001,2026-04-23T22:00:24.643Z,bid-extra-60355901247,2026-04-23T23:55:14.039Z
