auction,bidder,price,dateTime,extra,processed_time
4700103,900225,8344.52,2026-04-23T22:01:24.631Z,bid-extra-60361900007,2026-04-23T23:55:14.039Z
4700233,900535,8980.12,2026-04-23T22:01:24.631Z,bid-extra-60361900017,2026-04-23T23:55:14.039Z
4700363,900845,9615.720000000001,2026-04-23T22:01:24.631Z,bid-extra-60361900027,2026-04-23T23:55:14.039Z
4700493,901155,10251.32,2026-04-23T22:01:24.631Z,bid-extra-60361900037,2026-04-23T23:55:14.039Z
4700623,901465,1897.72,2026-04-23T22:01:24.631Z,bid-extra-60361900047,2026-04-23T23:55:14.039Z
4700753,901775,2533.32,2026-04-23T22:01:24.632Z,bid-extra-60361900057,2026-04-23T23:55:14.039Z
4700883,902085,3168.92,2026-04-23T22:01:24.632Z,bid-extra-60361900067,2026-04-23T23:55:14.039Z
4701013,902395,3804.52,2026-04-23T22:01:24.632Z,bid-extra-60361900077,2026-04-23T23:55:14.039Z
4701143,902705,4440.12,2026-04-23T22:01:24.632Z,bid-extra-60361900087,2026-04-23T23:55:14.039Z
4701273,903015,5075.72,2026-04-23T22:01:24.632Z,bid-extra-60361900097,2026-04-23T23:55:14.039Z
4701403,903325,5711.320000000001,2026-04-23T22:01:24.632Z,bid-extra-60361900107,2026-04-23T23:55:14.039Z
4701533,903635,6346.92,2026-04-23T22:01:24.632Z,bid-extra-60361900117,2026-04-23T23:55:14.039Z
4701663,903945,2442.52,2026-04-23T22:01:24.632Z,bid-extra-60361900127,2026-04-23T23:55:14.039Z
4701793,904255,3078.12,2026-04-23T22:01:24.632Z,bid-extra-60361900137,2026-04-23T23:55:14.039Z
4701923,904565,3713.7200000000003,2026-04-23T22:01:24.632Z,bid-extra-60361900147,2026-04-23T23:55:14.039Z
4702053,904875,4349.32,2026-04-23T22:01:24.633Z,bid-extra-60361900157,2026-04-23T23:55:14.039Z
4702183,905185,4984.92,2026-04-23T22:01:24.633Z,bid-extra-60361900167,2026-04-23T23:55:14.039Z
4702313,905495,5620.52,2026-04-23T22:01:24.633Z,bid-extra-60361900177,2026-04-23T23:55:14.039Z
4702443,905805,6256.12,2026-04-23T22:01:24.633Z,bid-extra-60361900187,2026-04-23T23:55:14.039Z
4702573,906115,6891.72,2026-04-23T22:01:24.633Z,bid-extra-60361900197,2026-04-23T23:55:14.039Z
4702703,906425,7527.320000000001,2026-04-23T22:01:24.633Z,bid-extra-60361900207,2026-04-23T23:55:14.039Z
4702833,906735,8162.92,2026-04-23T22:01:24.633Z,bid-extra-60361900217,2026-04-23T23:55:14.039Z
4702963,907045,8798.52,2026-04-23T22:01:24.633Z,bid-extra-60361900227,2026-04-23T23:55:14.039Z
4703093,907355,9434.12,2026-04-23T22:01:24.633Z,bid-extra-60361900237,2026-04-23T23:55:14.039Z
4703223,907665,5529.72,2026-04-23T22:01:24.633Z,bid-extra-60361900247,2026-04-23T23:55:14.039Z
4703353,907975,6165.320000000001,2026-04-23T22:01:24.634Z,bid-extra-60361900257,2026-04-23T23:55:14.039Z
4703483,908285,6800.92,2026-04-23T22:01:24.634Z,bid-extra-60361900267,2026-04-23T23:55:14.039Z
4703613,908595,7436.52,2026-04-23T22:01:24.634Z,bid-extra-60361900277,2026-04-23T23:55:14.039Z
4703743,908905,8072.12,2026-04-23T22:01:24.634Z,bid-extra-60361900287,2026-04-23T23:55:14.039Z
4703873,909215,8707.720000000001,2026-04-23T22:01:24.634Z,bid-extra-60361900297,2026-04-23T23:55:14.039Z
4704003,909525,9343.32,2026-04-23T22:01:24.634Z,bid-extra-60361900307,2026-04-23T23:55:14.039Z
4704133,909835,9978.92,2026-04-23T22:01:24.634Z,bid-extra-60361900317,2026-04-23T23:55:14.039Z
4704263,910145,10614.52,2026-04-23T22:01:24.634Z,bid-extra-60361900327,2026-04-23T23:55:14.039Z
4704393,910455,11250.12,2026-04-23T22:01:24.634Z,bid-extra-60361900337,2026-04-23T23:55:14.039Z
4704523,910765,11885.720000000001,2026-04-23T22:01:24.634Z,bid-extra-60361900347,2026-04-23T23:55:14.039Z
4704653,911075,12521.32,2026-04-23T22:01:24.635Z,bid-extra-60361900357,2026-04-23T23:55:14.039Z
4704783,911385,8616.92,2026-04-23T22:01:24.635Z,bid-extra-60361900367,2026-04-23T23:55:14.039Z
4704913,911695,9252.52,2026-04-23T22:01:24.635Z,bid-extra-60361900377,2026-04-23T23:55:14.039Z
4705043,912005,898.9200000000001,2026-04-23T22:01:24.635Z,bid-extra-60361900387,2026-04-23T23:55:14.039Z
4705173,912315,1534.52,2026-04-23T22:01:24.635Z,bid-extra-60361900397,2026-04-23T23:55:14.039Z
4705303,912625,2170.12,2026-04-23T22:01:24.635Z,bid-extra-60361900407,2026-04-23T23:55:14.039Z
4705433,912935,2805.7200000000003,2026-04-23T22:01:24.635Z,bid-extra-60361900417,2026-04-23T23:55:14.039Z
4705563,913245,3441.32,2026-04-23T22:01:24.635Z,bid-extra-60361900427,2026-04-23T23:55:14.039Z
4705693,913555,4076.92,2026-04-23T22:01:24.635Z,bid-extra-60361900437,2026-04-23T23:55:14.039Z
4705823,913865,4712.52,2026-04-23T22:01:24.635Z,bid-extra-60361900447,2026-04-23T23:55:14.039Z
4705953,914175,5348.12,2026-04-23T22:01:24.636Z,bid-extra-60361900457,2026-04-23T23:55:14.039Z
4706083,914485,5983.72,2026-04-23T22:01:24.636Z,bid-extra-60361900467,2026-04-23T23:55:14.039Z
4706213,914795,6619.320000000001,2026-04-23T22:01:24.636Z,bid-extra-60361900477,2026-04-23T23:55:14.039Z
4706343,915105,7254.92,2026-04-23T22:01:24.636Z,bid-extra-60361900487,2026-04-23T23:55:14.039Z
4706473,915415,3350.52,2026-04-23T22:01:24.636Z,bid-extra-60361900497,2026-04-23T23:55:14.039Z
4706603,915725,3986.1200000000003,2026-04-23T22:01:24.636Z,bid-extra-60361900507,2026-04-23T23:55:14.039Z
4706733,916035,4621.72,2026-04-23T22:01:24.636Z,bid-extra-60361900517,2026-04-23T23:55:14.039Z
4706863,916345,5257.320000000001,2026-04-23T22:01:24.636Z,bid-extra-60361900527,2026-04-23T23:55:14.039Z
4706993,916655,5892.92,2026-04-23T22:01:24.636Z,bid-extra-60361900537,2026-04-23T23:55:14.039Z
4707123,916965,6528.52,2026-04-23T22:01:24.636Z,bid-extra-60361900547,2026-04-23T23:55:14.039Z
4707253,917275,7164.12,2026-04-23T22:01:24.637Z,bid-extra-60361900557,2026-04-23T23:55:14.039Z
4707383,917585,7799.72,2026-04-23T22:01:24.637Z,bid-extra-60361900567,2026-04-23T23:55:14.039Z
4707513,917895,8435.32,2026-04-23T22:01:24.637Z,bid-extra-60361900577,2026-04-23T23:55:14.039Z
4707643,918205,9070.92,2026-04-23T22:01:24.637Z,bid-extra-60361900587,2026-04-23T23:55:14.039Z
4707773,918515,9706.52,2026-04-23T22:01:24.637Z,bid-extra-60361900597,2026-04-23T23:55:14.039Z
4707903,918825,10342.12,2026-04-23T22:01:24.637Z,bid-extra-60361900607,2026-04-23T23:55:14.039Z
4708033,919135,6437.72,2026-04-23T22:01:24.637Z,bid-extra-60361900617,2026-04-23T23:55:14.039Z
4708163,919445,7073.320000000001,2026-04-23T22:01:24.637Z,bid-extra-60361900627,2026-04-23T23:55:14.039Z
4708293,919755,7708.92,2026-04-23T22:01:24.637Z,bid-extra-60361900637,2026-04-23T23:55:14.039Z
4708423,920065,8344.52,2026-04-23T22:01:24.637Z,bid-extra-60361900647,2026-04-23T23:55:14.039Z
4708553,920375,8980.12,2026-04-23T22:01:24.638Z,bid-extra-60361900657,2026-04-23T23:55:14.039Z
4708683,920685,9615.720000000001,2026-04-23T22:01:24.638Z,bid-extra-60361900667,2026-04-23T23:55:14.039Z
4708813,920995,10251.32,2026-04-23T22:01:24.638Z,bid-extra-60361900677,2026-04-23T23:55:14.039Z
4708943,921305,10886.92,2026-04-23T22:01:24.638Z,bid-extra-60361900687,2026-04-23T23:55:14.039Z
4709073,921615,11522.52,2026-04-23T22:01:24.638Z,bid-extra-60361900697,2026-04-23T23:55:14.039Z
4709203,921925,12158.12,2026-04-23T22:01:24.638Z,bid-extra-60361900707,2026-04-23T23:55:14.039Z
4709333,922235,12793.720000000001,2026-04-23T22:01:24.638Z,bid-extra-60361900717,2026-04-23T23:55:14.039Z
4709463,922545,13429.32,2026-04-23T22:01:24.638Z,bid-extra-60361900727,2026-04-23T23:55:14.039Z
4709593,922855,535.72,2026-04-23T22:01:24.638Z,bid-extra-60361900737,2026-04-23T23:55:14.039Z
4709723,923165,1171.32,2026-04-23T22:01:24.638Z,bid-extra-60361900747,2026-04-23T23:55:14.039Z
4709853,923475,1806.92,2026-04-23T22:01:24.639Z,bid-extra-60361900757,2026-04-23T23:55:14.039Z
4709983,923785,2442.52,2026-04-23T22:01:24.639Z,bid-extra-60361900767,2026-04-23T23:55:14.039Z
4710113,924095,3078.12,2026-04-23T22:01:24.639Z,bid-extra-60361900777,2026-04-23T23:55:14.039Z
4710243,924405,3713.7200000000003,2026-04-23T22:01:24.639Z,bid-extra-60361900787,2026-04-23T23:55:14.039Z
4710373,924715,4349.32,2026-04-23T22:01:24.639Z,bid-extra-60361900797,2026-04-23T23:55:14.039Z
4710503,925025,4984.92,2026-04-23T22:01:24.639Z,bid-extra-60361900807,2026-04-23T23:55:14.039Z
4710633,925335,5620.52,2026-04-23T22:01:24.639Z,bid-extra-60361900817,2026-04-23T23:55:14.039Z
4710763,925645,6256.12,2026-04-23T22:01:24.639Z,bid-extra-60361900827,2026-04-23T23:55:14.039Z
4710893,925955,6891.72,2026-04-23T22:01:24.639Z,bid-extra-60361900837,2026-04-23T23:55:14.039Z
4711023,926265,7527.320000000001,2026-04-23T22:01:24.639Z,bid-extra-60361900847,2026-04-23T23:55:14.039Z
4711153,926575,3622.92,2026-04-23T22:01:24.640Z,bid-extra-60361900857,2026-04-23T23:55:14.039Z
4711283,926885,4258.52,2026-04-23T22:01:24.640Z,bid-extra-60361900867,2026-04-23T23:55:14.039Z
4711413,927195,4894.12,2026-04-23T22:01:24.640Z,bid-extra-60361900877,2026-04-23T23:55:14.039Z
4711543,927505,5529.72,2026-04-23T22:01:24.640Z,bid-extra-60361900887,2026-04-23T23:55:14.039Z
4711673,927815,6165.320000000001,2026-04-23T22:01:24.640Z,bid-extra-60361900897,2026-04-23T23:55:14.039Z
4711803,928125,6800.92,2026-04-23T22:01:24.640Z,bid-extra-60361900907,2026-04-23T23:55:14.039Z
4711933,928435,7436.52,2026-04-23T22:01:24.640Z,bid-extra-60361900917,2026-04-23T23:55:14.039Z
4712063,928745,8072.12,2026-04-23T22:01:24.640Z,bid-extra-60361900927,2026-04-23T23:55:14.039Z
4712193,929055,8707.720000000001,2026-04-23T22:01:24.640Z,bid-extra-60361900937,2026-04-23T23:55:14.039Z
4712323,929365,9343.32,2026-04-23T22:01:24.640Z,bid-extra-60361900947,2026-04-23T23:55:14.039Z
4712453,929675,9978.92,2026-04-23T22:01:24.641Z,bid-extra-60361900957,2026-04-23T23:55:14.039Z
4712583,929985,10614.52,2026-04-23T22:01:24.641Z,bid-extra-60361900967,2026-04-23T23:55:14.039Z
4712713,930295,6710.12,2026-04-23T22:01:24.641Z,bid-extra-60361900977,2026-04-23T23:55:14.039Z
4712843,930605,7345.72,2026-04-23T22:01:24.641Z,bid-extra-60361900987,2026-04-23T23:55:14.039Z
4712973,930915,7981.320000000001,2026-04-23T22:01:24.641Z,bid-extra-60361900997,2026-04-23T23:55:14.039Z
4713103,931225,8616.92,2026-04-23T22:01:24.641Z,bid-extra-60361901007,2026-04-23T23:55:14.039Z
4713233,931535,9252.52,2026-04-23T22:01:24.641Z,bid-extra-60361901017,2026-04-23T23:55:14.039Z
4713363,931845,9888.12,2026-04-23T22:01:24.641Z,bid-extra-60361901027,2026-04-23T23:55:14.039Z
4713493,932155,10523.720000000001,2026-04-23T22:01:24.641Z,bid-extra-60361901037,2026-04-23T23:55:14.039Z
4713623,932465,11159.32,2026-04-23T22:01:24.641Z,bid-extra-60361901047,2026-04-23T23:55:14.039Z
4713753,932775,11794.92,2026-04-23T22:01:24.642Z,bid-extra-60361901057,2026-04-23T23:55:14.039Z
4713883,933085,12430.52,2026-04-23T22:01:24.642Z,bid-extra-60361901067,2026-04-23T23:55:14.039Z
4714013,933395,4076.92,2026-04-23T22:01:24.642Z,bid-extra-60361901077,2026-04-23T23:55:14.039Z
4714143,933705,4712.52,2026-04-23T22:01:24.642Z,bid-extra-60361901087,2026-04-23T23:55:14.039Z
4714273,934015,5348.12,2026-04-23T22:01:24.642Z,bid-extra-60361901097,2026-04-23T23:55:14.039Z
4714403,934325,1443.72,2026-04-23T22:01:24.642Z,bid-extra-60361901107,2026-04-23T23:55:14.039Z
4714533,934635,2079.32,2026-04-23T22:01:24.642Z,bid-extra-60361901117,2026-04-23T23:55:14.039Z
4714663,934945,2714.92,2026-04-23T22:01:24.642Z,bid-extra-60361901127,2026-04-23T23:55:14.039Z
4714793,935255,3350.52,2026-04-23T22:01:24.642Z,bid-extra-60361901137,2026-04-23T23:55:14.039Z
4714923,935565,3986.1200000000003,2026-04-23T22:01:24.642Z,bid-extra-60361901147,2026-04-23T23:55:14.039Z
4715053,935875,4621.72,2026-04-23T22:01:24.643Z,bid-extra-60361901157,2026-04-23T23:55:14.039Z
4715183,936185,5257.320000000001,2026-04-23T22:01:24.643Z,bid-extra-60361901167,2026-04-23T23:55:14.039Z
4715313,936495,5892.92,2026-04-23T22:01:24.643Z,bid-extra-60361901177,2026-04-23T23:55:14.039Z
4715443,936805,6528.52,2026-04-23T22:01:24.643Z,bid-extra-60361901187,2026-04-23T23:55:14.039Z
4715573,937115,7164.12,2026-04-23T22:01:24.643Z,bid-extra-60361901197,2026-04-23T23:55:14.039Z
4715703,937425,7799.72,2026-04-23T22:01:24.643Z,bid-extra-60361901207,2026-04-23T23:55:14.039Z
4715833,937735,8435.32,2026-04-23T22:01:24.643Z,bid-extra-60361901217,2026-04-23T23:55:14.039Z
4715963,938045,4530.92,2026-04-23T22:01:24.643Z,bid-extra-60361901227,2026-04-23T23:55:14.039Z
4716093,938355,5166.52,2026-04-23T22:01:24.643Z,bid-extra-60361901237,2026-04-23T23:55:14.039Z
4716223,938665,5802.12,2026-04-23T22:01:24.643Z,bid-extra-60361901247,2026-04-23T23:55:14.039Z
4716353,938975,6437.72,2026-04-23T22:01:24.644Z,bid-extra-60361901257,2026-04-23T23:55:14.039Z
4716483,939285,7073.320000000001,2026-04-23T22:01:24.644Z,bid-extra-60361901267,2026-04-23T23:55:14.039Z
4716613,939595,7708.92,2026-04-23T22:01:24.644Z,bid-extra-60361901277,2026-04-23T23:55:14.039Z
4716743,939905,8344.52,2026-04-23T22:01:24.644Z,bid-extra-60361901287,2026-04-23T23:55:14.039Z
4716873,940215,8980.12,2026-04-23T22:01:24.644Z,bid-extra-60361901297,2026-04-23T23:55:14.039Z
4717003,940525,9615.720000000001,2026-04-23T22:01:24.644Z,bid-extra-60361901307,2026-04-23T23:55:14.039Z
4717133,940835,10251.32,2026-04-23T22:01:24.644Z,bid-extra-60361901317,2026-04-23T23:55:14.039Z
4717263,941145,10886.92,2026-04-23T22:01:24.644Z,bid-extra-60361901327,2026-04-23T23:55:14.039Z
4717393,941455,11522.52,2026-04-23T22:01:24.644Z,bid-extra-60361901337,2026-04-23T23:55:14.039Z
4717523,941765,7618.12,2026-04-23T22:01:24.644Z,bid-extra-60361901347,2026-04-23T23:55:14.039Z
4717653,942075,8253.720000000001,2026-04-23T22:01:24.645Z,bid-extra-60361901357,2026-04-23T23:55:14.039Z
4717783,942385,8889.32,2026-04-23T22:01:24.645Z,bid-extra-60361901367,2026-04-23T23:55:14.039Z
4717913,942695,9524.92,2026-04-23T22:01:24.645Z,bid-extra-60361901377,2026-04-23T23:55:14.039Z
4718043,943005,10160.52,2026-04-23T22:01:24.645Z,bid-extra-60361901387,2026-04-23T23:55:14.039Z
4718173,943315,10796.12,2026-04-23T22:01:24.645Z,bid-extra-60361901397,2026-04-23T23:55:14.039Z
4718303,943625,11431.720000000001,2026-04-23T22:01:24.645Z,bid-extra-60361901407,2026-04-23T23:55:14.039Z
4718433,943935,3078.12,2026-04-23T22:01:24.645Z,bid-extra-60361901417,2026-04-23T23:55:14.039Z
4718563,944245,3713.7200000000003,2026-04-23T22:01:24.645Z,bid-extra-60361901427,2026-04-23T23:55:14.039Z
