auction,bidder,price,dateTime,extra,processed_time
9700103,900225,4167.72,2026-04-23T22:00:34.631Z,bid-extra-60356900007,2026-04-23T23:55:14.039Z
9700233,900535,4803.32,2026-04-23T22:00:34.631Z,bid-extra-60356900017,2026-04-23T23:55:14.039Z
9700363,900845,5438.92,2026-04-23T22:00:34.631Z,bid-extra-60356900027,2026-04-23T23:55:14.039Z
9700493,901155,6074.52,2026-04-23T22:00:34.631Z,bid-extra-60356900037,2026-04-23T23:55:14.039Z
9700623,901465,6710.12,2026-04-23T22:00:34.631Z,bid-extra-60356900047,2026-04-23T23:55:14.039Z
9700753,901775,7345.72,2026-04-23T22:00:34.632Z,bid-extra-60356900057,2026-04-23T23:55:14.039Z
9700883,902085,7981.320000000001,2026-04-23T22:00:34.632Z,bid-extra-60356900067,2026-04-23T23:55:14.039Z
9701013,902395,8616.92,2026-04-23T22:00:34.632Z,bid-extra-60356900077,2026-04-23T23:55:14.039Z
9701143,902705,9252.52,2026-04-23T22:00:34.632Z,bid-extra-60356900087,2026-04-23T23:55:14.039Z
9701273,903015,9888.12,2026-04-23T22:00:34.632Z,bid-extra-60356900097,2026-04-23T23:55:14.039Z
9701403,903325,10523.720000000001,2026-04-23T22:00:34.632Z,bid-extra-60356900107,2026-04-23T23:55:14.039Z
9701533,903635,11159.32,2026-04-23T22:00:34.632Z,bid-extra-60356900117,2026-04-23T23:55:14.039Z
9701663,903945,7254.92,2026-04-23T22:00:34.632Z,bid-extra-60356900127,2026-04-23T23:55:14.039Z
9701793,904255,7890.52,2026-04-23T22:00:34.632Z,bid-extra-60356900137,2026-04-23T23:55:14.039Z
9701923,904565,8526.12,2026-04-23T22:00:34.632Z,bid-extra-60356900147,2026-04-23T23:55:14.039Z
9702053,904875,9161.720000000001,2026-04-23T22:00:34.633Z,bid-extra-60356900157,2026-04-23T23:55:14.039Z
9702183,905185,9797.32,2026-04-23T22:00:34.633Z,bid-extra-60356900167,2026-04-23T23:55:14.039Z
9702313,905495,10432.92,2026-04-23T22:00:34.633Z,bid-extra-60356900177,2026-04-23T23:55:14.039Z
9702443,905805,11068.52,2026-04-23T22:00:34.633Z,bid-extra-60356900187,2026-04-23T23:55:14.039Z
9702573,906115,11704.12,2026-04-23T22:00:34.633Z,bid-extra-60356900197,2026-04-23T23:55:14.039Z
9702703,906425,3350.52,2026-04-23T22:00:34.633Z,bid-extra-60356900207,2026-04-23T23:55:14.039Z
9702833,906735,3986.1200000000003,2026-04-23T22:00:34.633Z,bid-extra-60356900217,2026-04-23T23:55:14.039Z
9702963,907045,4621.72,2026-04-23T22:00:34.633Z,bid-extra-60356900227,2026-04-23T23:55:14.039Z
9703093,907355,5257.320000000001,2026-04-23T22:00:34.633Z,bid-extra-60356900237,2026-04-23T23:55:14.039Z
9703223,907665,1352.92,2026-04-23T22:00:34.633Z,bid-extra-60356900247,2026-04-23T23:55:14.039Z
9703353,907975,1988.52,2026-04-23T22:00:34.634Z,bid-extra-60356900257,2026-04-23T23:55:14.039Z
9703483,908285,2624.12,2026-04-23T22:00:34.634Z,bid-extra-60356900267,2026-04-23T23:55:14.039Z
9703613,908595,3259.7200000000003,2026-04-23T22:00:34.634Z,bid-extra-60356900277,2026-04-23T23:55:14.039Z
9703743,908905,3895.32,2026-04-23T22:00:34.634Z,bid-extra-60356900287,2026-04-23T23:55:14.039Z
9703873,909215,4530.92,2026-04-23T22:00:34.634Z,bid-extra-60356900297,2026-04-23T23:55:14.039Z
9704003,909525,5166.52,2026-04-23T22:00:34.634Z,bid-extra-60356900307,2026-04-23T23:55:14.039Z
9704133,909835,5802.12,2026-04-23T22:00:34.634Z,bid-extra-60356900317,2026-04-23T23:55:14.039Z
9704263,910145,6437.72,2026-04-23T22:00:34.634Z,bid-extra-60356900327,2026-04-23T23:55:14.039Z
9704393,910455,7073.320000000001,2026-04-23T22:00:34.634Z,bid-extra-60356900337,2026-04-23T23:55:14.039Z
9704523,910765,7708.92,2026-04-23T22:00:34.634Z,bid-extra-60356900347,2026-04-23T23:55:14.039Z
9704653,911075,8344.52,2026-04-23T22:00:34.635Z,bid-extra-60356900357,2026-04-23T23:55:14.039Z
9704783,911385,4440.12,2026-04-23T22:00:34.635Z,bid-extra-60356900367,2026-04-23T23:55:14.039Z
9704913,911695,5075.72,2026-04-23T22:00:34.635Z,bid-extra-60356900377,2026-04-23T23:55:14.039Z
9705043,912005,5711.320000000001,2026-04-23T22:00:34.635Z,bid-extra-60356900387,2026-04-23T23:55:14.039Z
9705173,912315,6346.92,2026-04-23T22:00:34.635Z,bid-extra-60356900397,2026-04-23T23:55:14.039Z
9705303,912625,6982.52,2026-04-23T22:00:34.635Z,bid-extra-60356900407,2026-04-23T23:55:14.039Z
9705433,912935,7618.12,2026-04-23T22:00:34.635Z,bid-extra-60356900417,2026-04-23T23:55:14.039Z
9705563,913245,8253.720000000001,2026-04-23T22:00:34.635Z,bid-extra-60356900427,2026-04-23T23:55:14.039Z
9705693,913555,8889.32,2026-04-23T22:00:34.635Z,bid-extra-60356900437,2026-04-23T23:55:14.039Z
9705823,913865,9524.92,2026-04-23T22:00:34.635Z,bid-extra-60356900447,2026-04-23T23:55:14.039Z
9705953,914175,10160.52,2026-04-23T22:00:34.636Z,bid-extra-60356900457,2026-04-23T23:55:14.039Z
9706083,914485,10796.12,2026-04-23T22:00:34.636Z,bid-extra-60356900467,2026-04-23T23:55:14.039Z
9706213,914795,11431.720000000001,2026-04-23T22:00:34.636Z,bid-extra-60356900477,2026-04-23T23:55:14.039Z
