auction,bidder,price,dateTime,extra,processed_time
1700103,900225,6346.92,2026-04-23T21:59:34.631Z,bid-extra-60350900007,2026-04-23T23:55:14.039Z
1700233,900535,6982.52,2026-04-23T21:59:34.631Z,bid-extra-60350900017,2026-04-23T23:55:14.039Z
1700363,900845,7618.12,2026-04-23T21:59:34.631Z,bid-extra-60350900027,2026-04-23T23:55:14.039Z
1700493,901155,8253.720000000001,2026-04-23T21:59:34.631Z,bid-extra-60350900037,2026-04-23T23:55:14.039Z
1700623,901465,8889.32,2026-04-23T21:59:34.631Z,bid-extra-60350900047,2026-04-23T23:55:14.039Z
1700753,901775,9524.92,2026-04-23T21:59:34.632Z,bid-extra-60350900057,2026-04-23T23:55:14.039Z
1700883,902085,10160.52,2026-04-23T21:59:34.632Z,bid-extra-60350900067,2026-04-23T23:55:14.039Z
1701013,902395,10796.12,2026-04-23T21:59:34.632Z,bid-extra-60350900077,2026-04-23T23:55:14.039Z
1701143,902705,11431.720000000001,2026-04-23T21:59:34.632Z,bid-extra-60350900087,2026-04-23T23:55:14.039Z
1701273,903015,12067.32,2026-04-23T21:59:34.632Z,bid-extra-60350900097,2026-04-23T23:55:14.039Z
1701403,903325,12702.92,2026-04-23T21:59:34.632Z,bid-extra-60350900107,2026-04-23T23:55:14.039Z
1701533,903635,13338.52,2026-04-23T21:59:34.632Z,bid-extra-60350900117,2026-04-23T23:55:14.039Z
1701663,903945,444.92,2026-04-23T21:59:34.632Z,bid-extra-60350900127,2026-04-23T23:55:14.039Z
1701793,904255,1080.52,2026-04-23T21:59:34.632Z,bid-extra-60350900137,2026-04-23T23:55:14.039Z
1701923,904565,1716.1200000000001,2026-04-23T21:59:34.632Z,bid-extra-60350900147,2026-04-23T23:55:14.039Z
1702053,904875,2351.7200000000003,2026-04-23T21:59:34.633Z,bid-extra-60350900157,2026-04-23T23:55:14.039Z
1702183,905185,2987.32,2026-04-23T21:59:34.633Z,bid-extra-60350900167,2026-04-23T23:55:14.039Z
1702313,905495,3622.92,2026-04-23T21:59:34.633Z,bid-extra-60350900177,2026-04-23T23:55:14.039Z
1702443,905805,4258.52,2026-04-23T21:59:34.633Z,bid-extra-60350900187,2026-04-23T23:55:14.039Z
1702573,906115,4894.12,2026-04-23T21:59:34.633Z,bid-extra-60350900197,2026-04-23T23:55:14.039Z
1702703,906425,5529.72,2026-04-23T21:59:34.633Z,bid-extra-60350900207,2026-04-23T23:55:14.039Z
1702833,906735,6165.320000000001,2026-04-23T21:59:34.633Z,bid-extra-60350900217,2026-04-23T23:55:14.039Z
1702963,907045,6800.92,2026-04-23T21:59:34.633Z,bid-extra-60350900227,2026-04-23T23:55:14.039Z
1703093,907355,7436.52,2026-04-23T21:59:34.633Z,bid-extra-60350900237,2026-04-23T23:55:14.039Z
1703223,907665,3532.12,2026-04-23T21:59:34.633Z,bid-extra-60350900247,2026-04-23T23:55:14.039Z
1703353,907975,4167.72,2026-04-23T21:59:34.634Z,bid-extra-60350900257,2026-04-23T23:55:14.039Z
1703483,908285,4803.32,2026-04-23T21:59:34.634Z,bid-extra-60350900267,2026-04-23T23:55:14.039Z
1703613,908595,5438.92,2026-04-23T21:59:34.634Z,bid-extra-60350900277,2026-04-23T23:55:14.039Z
1703743,908905,6074.52,2026-04-23T21:59:34.634Z,bid-extra-60350900287,2026-04-23T23:55:14.039Z
1703873,909215,6710.12,2026-04-23T21:59:34.634Z,bid-extra-60350900297,2026-04-23T23:55:14.039Z
1704003,909525,7345.72,2026-04-23T21:59:34.634Z,bid-extra-60350900307,2026-04-23T23:55:14.039Z
1704133,909835,7981.320000000001,2026-04-23T21:59:34.634Z,bid-extra-60350900317,2026-04-23T23:55:14.039Z
1704263,910145,8616.92,2026-04-23T21:59:34.634Z,bid-extra-60350900327,2026-04-23T23:55:14.039Z
1704393,910455,9252.52,2026-04-23T21:59:34.634Z,bid-extra-60350900337,2026-04-23T23:55:14.039Z
1704523,910765,9888.12,2026-04-23T21:59:34.634Z,bid-extra-60350900347,2026-04-23T23:55:14.039Z
1704653,911075,10523.720000000001,2026-04-23T21:59:34.635Z,bid-extra-60350900357,2026-04-23T23:55:14.039Z
1704783,911385,6619.320000000001,2026-04-23T21:59:34.635Z,bid-extra-60350900367,2026-04-23T23:55:14.039Z
1704913,911695,7254.92,2026-04-23T21:59:34.635Z,bid-extra-60350900377,2026-04-23T23:55:14.039Z
1705043,912005,7890.52,2026-04-23T21:59:34.635Z,bid-extra-60350900387,2026-04-23T23:55:14.039Z
1705173,912315,8526.12,2026-04-23T21:59:34.635Z,bid-extra-60350900397,2026-04-23T23:55:14.039Z
1705303,912625,9161.720000000001,2026-04-23T21:59:34.635Z,bid-extra-60350900407,2026-04-23T23:55:14.039Z
1705433,912935,9797.32,2026-04-23T21:59:34.635Z,bid-extra-60350900417,2026-04-23T23:55:14.039Z
1705563,913245,10432.92,2026-04-23T21:59:34.635Z,bid-extra-60350900427,2026-04-23T23:55:14.039Z
1705693,913555,11068.52,2026-04-23T21:59:34.635Z,bid-extra-60350900437,2026-04-23T23:55:14.039Z
1705823,913865,11704.12,2026-04-23T21:59:34.635Z,bid-extra-60350900447,2026-04-23T23:55:14.039Z
