auction,bidder,price,dateTime,extra,processed_time
8700103,900225,3713.7200000000003,2026-04-23T21:59:24.631Z,bid-extra-60349900007,2026-04-23T23:55:14.039Z
8700233,900535,4349.32,2026-04-23T21:59:24.631Z,bid-extra-60349900017,2026-04-23T23:55:14.039Z
8700363,900845,4984.92,2026-04-23T21:59:24.631Z,bid-extra-60349900027,2026-04-23T23:55:14.039Z
8700493,901155,5620.52,2026-04-23T21:59:24.631Z,bid-extra-60349900037,2026-04-23T23:55:14.039Z
8700623,901465,6256.12,2026-04-23T21:59:24.631Z,bid-extra-60349900047,2026-04-23T23:55:14.039Z
8700753,901775,6891.72,2026-04-23T21:59:24.632Z,bid-extra-60349900057,2026-04-23T23:55:14.039Z
8700883,902085,7527.320000000001,2026-04-23T21:59:24.632Z,bid-extra-60349900067,2026-04-23T23:55:14.039Z
8701013,902395,8162.92,2026-04-23T21:59:24.632Z,bid-extra-60349900077,2026-04-23T23:55:14.039Z
8701143,902705,8798.52,2026-04-23T21:59:24.632Z,bid-extra-60349900087,2026-04-23T23:55:14.039Z
8701273,903015,9434.12,2026-04-23T21:59:24.632Z,bid-extra-60349900097,2026-04-23T23:55:14.039Z
8701403,903325,10069.720000000001,2026-04-23T21:59:24.632Z,bid-extra-60349900107,2026-04-23T23:55:14.039Z
8701533,903635,10705.32,2026-04-23T21:59:24.632Z,bid-extra-60349900117,2026-04-23T23:55:14.039Z
8701663,903945,6800.92,2026-04-23T21:59:24.632Z,bid-extra-60349900127,2026-04-23T23:55:14.039Z
8701793,904255,7436.52,2026-04-23T21:59:24.632Z,bid-extra-60349900137,2026-04-23T23:55:14.039Z
8701923,904565,8072.12,2026-04-23T21:59:24.632Z,bid-extra-60349900147,2026-04-23T23:55:14.039Z
8702053,904875,8707.720000000001,2026-04-23T21:59:24.633Z,bid-extra-60349900157,2026-04-23T23:55:14.039Z
8702183,905185,9343.32,2026-04-23T21:59:24.633Z,bid-extra-60349900167,2026-04-23T23:55:14.039Z
8702313,905495,9978.92,2026-04-23T21:59:24.633Z,bid-extra-60349900177,2026-04-23T23:55:14.039Z
8702443,905805,10614.52,2026-04-23T21:59:24.633Z,bid-extra-60349900187,2026-04-23T23:55:14.039Z
8702573,906115,11250.12,2026-04-23T21:59:24.633Z,bid-extra-60349900197,2026-04-23T23:55:14.039Z
8702703,906425,11885.720000000001,2026-04-23T21:59:24.633Z,bid-extra-60349900207,2026-04-23T23:55:14.039Z
8702833,906735,12521.32,2026-04-23T21:59:24.633Z,bid-extra-60349900217,2026-04-23T23:55:14.039Z
8702963,907045,4167.72,2026-04-23T21:59:24.633Z,bid-extra-60349900227,2026-04-23T23:55:14.039Z
8703093,907355,4803.32,2026-04-23T21:59:24.633Z,bid-extra-60349900237,2026-04-23T23:55:14.039Z
8703223,907665,898.9200000000001,2026-04-23T21:59:24.633Z,bid-extra-60349900247,2026-04-23T23:55:14.039Z
8703353,907975,1534.52,2026-04-23T21:59:24.634Z,bid-extra-60349900257,2026-04-23T23:55:14.039Z
8703483,908285,2170.12,2026-04-23T21:59:24.634Z,bid-extra-60349900267,2026-04-23T23:55:14.039Z
8703613,908595,2805.7200000000003,2026-04-23T21:59:24.634Z,bid-extra-60349900277,2026-04-23T23:55:14.039Z
8703743,908905,3441.32,2026-04-23T21:59:24.634Z,bid-extra-60349900287,2026-04-23T23:55:14.039Z
8703873,909215,4076.92,2026-04-23T21:59:24.634Z,bid-extra-60349900297,2026-04-23T23:55:14.039Z
