auction,bidder,price,dateTime,extra,processed_time
3700103,900225,8526.12,2026-04-23T21:58:34.631Z,bid-extra-60344900007,2026-04-23T23:55:14.039Z
3700233,900535,9161.720000000001,2026-04-23T21:58:34.631Z,bid-extra-60344900017,2026-04-23T23:55:14.039Z
3700363,900845,9797.32,2026-04-23T21:58:34.631Z,bid-extra-60344900027,2026-04-23T23:55:14.039Z
3700493,901155,10432.92,2026-04-23T21:58:34.631Z,bid-extra-60344900037,2026-04-23T23:55:14.039Z
3700623,901465,2079.32,2026-04-23T21:58:34.631Z,bid-extra-60344900047,2026-04-23T23:55:14.039Z
3700753,901775,2714.92,2026-04-23T21:58:34.632Z,bid-extra-60344900057,2026-04-23T23:55:14.039Z
3700883,902085,3350.52,2026-04-23T21:58:34.632Z,bid-extra-60344900067,2026-04-23T23:55:14.039Z
3701013,902395,3986.1200000000003,2026-04-23T21:58:34.632Z,bid-extra-60344900077,2026-04-23T23:55:14.039Z
3701143,902705,4621.72,2026-04-23T21:58:34.632Z,bid-extra-60344900087,2026-04-23T23:55:14.039Z
3701273,903015,5257.320000000001,2026-04-23T21:58:34.632Z,bid-extra-60344900097,2026-04-23T23:55:14.039Z
3701403,903325,5892.92,2026-04-23T21:58:34.632Z,bid-extra-60344900107,2026-04-23T23:55:14.039Z
3701533,903635,6528.52,2026-04-23T21:58:34.632Z,bid-extra-60344900117,2026-04-23T23:55:14.039Z
3701663,903945,2624.12,2026-04-23T21:58:34.632Z,bid-extra-60344900127,2026-04-23T23:55:14.039Z
3701793,904255,3259.7200000000003,2026-04-23T21:58:34.632Z,bid-extra-60344900137,2026-04-23T23:55:14.039Z
3701923,904565,3895.32,2026-04-23T21:58:34.632Z,bid-extra-60344900147,2026-04-23T23:55:14.039Z
3702053,904875,4530.92,2026-04-23T21:58:34.633Z,bid-extra-60344900157,2026-04-23T23:55:14.039Z
3702183,905185,5166.52,2026-04-23T21:58:34.633Z,bid-extra-60344900167,2026-04-23T23:55:14.039Z
3702313,905495,5802.12,2026-04-23T21:58:34.633Z,bid-extra-60344900177,2026-04-23T23:55:14.039Z
3702443,905805,6437.72,2026-04-23T21:58:34.633Z,bid-extra-60344900187,2026-04-23T23:55:14.039Z
3702573,906115,7073.320000000001,2026-04-23T21:58:34.633Z,bid-extra-60344900197,2026-04-23T23:55:14.039Z
3702703,906425,7708.92,2026-04-23T21:58:34.633Z,bid-extra-60344900207,2026-04-23T23:55:14.039Z
3702833,906735,8344.52,2026-04-23T21:58:34.633Z,bid-extra-60344900217,2026-04-23T23:55:14.039Z
3702963,907045,8980.12,2026-04-23T21:58:34.633Z,bid-extra-60344900227,2026-04-23T23:55:14.039Z
3703093,907355,9615.720000000001,2026-04-23T21:58:34.633Z,bid-extra-60344900237,2026-04-23T23:55:14.039Z
3703223,907665,5711.320000000001,2026-04-23T21:58:34.633Z,bid-extra-60344900247,2026-04-23T23:55:14.039Z
3703353,907975,6346.92,2026-04-23T21:58:34.634Z,bid-extra-60344900257,2026-04-23T23:55:14.039Z
3703483,908285,6982.52,2026-04-23T21:58:34.634Z,bid-extra-60344900267,2026-04-23T23:55:14.039Z
3703613,908595,7618.12,2026-04-23T21:58:34.634Z,bid-extra-60344900277,2026-04-23T23:55:14.039Z
3703743,908905,8253.720000000001,2026-04-23T21:58:34.634Z,bid-extra-60344900287,2026-04-23T23:55:14.039Z
3703873,909215,8889.32,2026-04-23T21:58:34.634Z,bid-extra-60344900297,2026-04-23T23:55:14.039Z
3704003,909525,9524.92,2026-04-23T21:58:34.634Z,bid-extra-60344900307,2026-04-23T23:55:14.039Z
3704133,909835,10160.52,2026-04-23T21:58:34.634Z,bid-extra-60344900317,2026-04-23T23:55:14.039Z
3704263,910145,10796.12,2026-04-23T21:58:34.634Z,bid-extra-60344900327,2026-04-23T23:55:14.039Z
3704393,910455,11431.720000000001,2026-04-23T21:58:34.634Z,bid-extra-60344900337,2026-04-23T23:55:14.039Z
3704523,910765,12067.32,2026-04-23T21:58:34.634Z,bid-extra-60344900347,2026-04-23T23:55:14.039Z
3704653,911075,12702.92,2026-04-23T21:58:34.635Z,bid-extra-60344900357,2026-04-23T23:55:14.039Z
3704783,911385,8798.52,2026-04-23T21:58:34.635Z,bid-extra-60344900367,2026-04-23T23:55:14.039Z
3704913,911695,9434.12,2026-04-23T21:58:34.635Z,bid-extra-60344900377,2026-04-23T23:55:14.039Z
3705043,912005,1080.52,2026-04-23T21:58:34.635Z,bid-extra-60344900387,2026-04-23T23:55:14.039Z
3705173,912315,1716.1200000000001,2026-04-23T21:58:34.635Z,bid-extra-60344900397,2026-04-23T23:55:14.039Z
3705303,912625,2351.7200000000003,2026-04-23T21:58:34.635Z,bid-extra-60344900407,2026-04-23T23:55:14.039Z
3705433,912935,2987.32,2026-04-23T21:58:34.635Z,bid-extra-60344900417,2026-04-23T23:55:14.039Z
3705563,913245,3622.92,2026-04-23T21:58:34.635Z,bid-extra-60344900427,2026-04-23T23:55:14.039Z
3705693,913555,4258.52,2026-04-23T21:58:34.635Z,bid-extra-60344900437,2026-04-23T23:55:14.039Z
3705823,913865,4894.12,2026-04-23T21:58:34.635Z,bid-extra-60344900447,2026-04-23T23:55:14.039Z
3705953,914175,5529.72,2026-04-23T21:58:34.636Z,bid-extra-60344900457,2026-04-23T23:55:14.039Z
3706083,914485,6165.320000000001,2026-04-23T21:58:34.636Z,bid-extra-60344900467,2026-04-23T23:55:14.039Z
3706213,914795,6800.92,2026-04-23T21:58:34.636Z,bid-extra-60344900477,2026-04-23T23:55:14.039Z
3706343,915105,7436.52,2026-04-23T21:58:34.636Z,bid-extra-60344900487,2026-04-23T23:55:14.039Z
3706473,915415,3532.12,2026-04-23T21:58:34.636Z,bid-extra-60344900497,2026-04-23T23:55:14.039Z
3706603,915725,4167.72,2026-04-23T21:58:34.636Z,bid-extra-60344900507,2026-04-23T23:55:14.039Z
3706733,916035,4803.32,2026-04-23T21:58:34.636Z,bid-extra-60344900517,2026-04-23T23:55:14.039Z
3706863,916345,5438.92,2026-04-23T21:58:34.636Z,bid-extra-60344900527,2026-04-23T23:55:14.039Z
3706993,916655,6074.52,2026-04-23T21:58:34.636Z,bid-extra-60344900537,2026-04-23T23:55:14.039Z
3707123,916965,6710.12,2026-04-23T21:58:34.636Z,bid-extra-60344900547,2026-04-23T23:55:14.039Z
3707253,917275,7345.72,2026-04-23T21:58:34.637Z,bid-extra-60344900557,2026-04-23T23:55:14.039Z
3707383,917585,7981.320000000001,2026-04-23T21:58:34.637Z,bid-extra-60344900567,2026-04-23T23:55:14.039Z
3707513,917895,8616.92,2026-04-23T21:58:34.637Z,bid-extra-60344900577,2026-04-23T23:55:14.039Z
3707643,918205,9252.52,2026-04-23T21:58:34.637Z,bid-extra-60344900587,2026-04-23T23:55:14.039Z
3707773,918515,9888.12,2026-04-23T21:58:34.637Z,bid-extra-60344900597,2026-04-23T23:55:14.039Z
3707903,918825,10523.720000000001,2026-04-23T21:58:34.637Z,bid-extra-60344900607,2026-04-23T23:55:14.039Z
3708033,919135,6619.320000000001,2026-04-23T21:58:34.637Z,bid-extra-60344900617,2026-04-23T23:55:14.039Z
3708163,919445,7254.92,2026-04-23T21:58:34.637Z,bid-extra-60344900627,2026-04-23T23:55:14.039Z
3708293,919755,7890.52,2026-04-23T21:58:34.637Z,bid-extra-60344900637,2026-04-23T23:55:14.039Z
3708423,920065,8526.12,2026-04-23T21:58:34.637Z,bid-extra-60344900647,2026-04-23T23:55:14.039Z
3708553,920375,9161.720000000001,2026-04-23T21:58:34.638Z,bid-extra-60344900657,2026-04-23T23:55:14.039Z
3708683,920685,9797.32,2026-04-23T21:58:34.638Z,bid-extra-60344900667,2026-04-23T23:55:14.039Z
3708813,920995,10432.92,2026-04-23T21:58:34.638Z,bid-extra-60344900677,2026-04-23T23:55:14.039Z
3708943,921305,11068.52,2026-04-23T21:58:34.638Z,bid-extra-60344900687,2026-04-23T23:55:14.039Z
3709073,921615,11704.12,2026-04-23T21:58:34.638Z,bid-extra-60344900697,2026-04-23T23:55:14.039Z
3709203,921925,12339.720000000001,2026-04-23T21:58:34.638Z,bid-extra-60344900707,2026-04-23T23:55:14.039Z
