auction,bidder,price,dateTime,extra,processed_time
1700103,900225,5711.320000000001,2026-04-23T22:01:14.631Z,bid-extra-60360900007,2026-04-23T23:55:14.039Z
1700233,900535,6346.92,2026-04-23T22:01:14.631Z,bid-extra-60360900017,2026-04-23T23:55:14.039Z
1700363,900845,6982.52,2026-04-23T22:01:14.631Z,bid-extra-60360900027,2026-04-23T23:55:14.039Z
1700493,901155,7618.12,2026-04-23T22:01:14.631Z,bid-extra-60360900037,2026-04-23T23:55:14.039Z
1700623,901465,8253.720000000001,2026-04-23T22:01:14.631Z,bid-extra-60360900047,2026-04-23T23:55:14.039Z
1700753,901775,8889.32,2026-04-23T22:01:14.632Z,bid-extra-60360900057,2026-04-23T23:55:14.039Z
1700883,902085,9524.92,2026-04-23T22:01:14.632Z,bid-extra-60360900067,2026-04-23T23:55:14.039Z
1701013,902395,10160.52,2026-04-23T22:01:14.632Z,bid-extra-60360900077,2026-04-23T23:55:14.039Z
1701143,902705,10796.12,2026-04-23T22:01:14.632Z,bid-extra-60360900087,2026-04-23T23:55:14.039Z
1701273,903015,11431.720000000001,2026-04-23T22:01:14.632Z,bid-extra-60360900097,2026-04-23T23:55:14.039Z
1701403,903325,12067.32,2026-04-23T22:01:14.632Z,bid-extra-60360900107,2026-04-23T23:55:14.039Z
1701533,903635,12702.92,2026-04-23T22:01:14.632Z,bid-extra-60360900117,2026-04-23T23:55:14.039Z
1701663,903945,8798.52,2026-04-23T22:01:14.632Z,bid-extra-60360900127,2026-04-23T23:55:14.039Z
1701793,904255,9434.12,2026-04-23T22:01:14.632Z,bid-extra-60360900137,2026-04-23T23:55:14.039Z
1701923,904565,1080.52,2026-04-23T22:01:14.632Z,bid-extra-60360900147,2026-04-23T23:55:14.039Z
1702053,904875,1716.1200000000001,2026-04-23T22:01:14.633Z,bid-extra-60360900157,2026-04-23T23:55:14.039Z
1702183,905185,2351.7200000000003,2026-04-23T22:01:14.633Z,bid-extra-60360900167,2026-04-23T23:55:14.039Z
1702313,905495,2987.32,2026-04-23T22:01:14.633Z,bid-extra-60360900177,2026-04-23T23:55:14.039Z
1702443,905805,3622.92,2026-04-23T22:01:14.633Z,bid-extra-60360900187,2026-04-23T23:55:14.039Z
1702573,906115,4258.52,2026-04-23T22:01:14.633Z,bid-extra-60360900197,2026-04-23T23:55:14.039Z
1702703,906425,4894.12,2026-04-23T22:01:14.633Z,bid-extra-60360900207,2026-04-23T23:55:14.039Z
1702833,906735,5529.72,2026-04-23T22:01:14.633Z,bid-extra-60360900217,2026-04-23T23:55:14.039Z
1702963,907045,6165.320000000001,2026-04-23T22:01:14.633Z,bid-extra-60360900227,2026-04-23T23:55:14.039Z
1703093,907355,6800.92,2026-04-23T22:01:14.633Z,bid-extra-60360900237,2026-04-23T23:55:14.039Z
1703223,907665,2896.52,2026-04-23T22:01:14.633Z,bid-extra-60360900247,2026-04-23T23:55:14.039Z
1703353,907975,3532.12,2026-04-23T22:01:14.634Z,bid-extra-60360900257,2026-04-23T23:55:14.039Z
1703483,908285,4167.72,2026-04-23T22:01:14.634Z,bid-extra-60360900267,2026-04-23T23:55:14.039Z
1703613,908595,4803.32,2026-04-23T22:01:14.634Z,bid-extra-60360900277,2026-04-23T23:55:14.039Z
1703743,908905,5438.92,2026-04-23T22:01:14.634Z,bid-extra-60360900287,2026-04-23T23:55:14.039Z
1703873,909215,6074.52,2026-04-23T22:01:14.634Z,bid-extra-60360900297,2026-04-23T23:55:14.039Z
1704003,909525,6710.12,2026-04-23T22:01:14.634Z,bid-extra-60360900307,2026-04-23T23:55:14.039Z
1704133,909835,7345.72,2026-04-23T22:01:14.634Z,bid-extra-60360900317,2026-04-23T23:55:14.039Z
1704263,910145,7981.320000000001,2026-04-23T22:01:14.634Z,bid-extra-60360900327,2026-04-23T23:55:14.039Z
1704393,910455,8616.92,2026-04-23T22:01:14.634Z,bid-extra-60360900337,2026-04-23T23:55:14.039Z
