auction,bidder,price,dateTime,extra,processed_time
2700116,900256,7500.08,2026-04-23T21:59:04.631Z,bid-extra-60347900008,2026-04-23T23:55:14.039Z
2700246,900566,8135.68,2026-04-23T21:59:04.631Z,bid-extra-60347900018,2026-04-23T23:55:14.039Z
2700376,900876,8771.28,2026-04-23T21:59:04.631Z,bid-extra-60347900028,2026-04-23T23:55:14.039Z
2700506,901186,9406.880000000001,2026-04-23T21:59:04.631Z,bid-extra-60347900038,2026-04-23T23:55:14.039Z
2700636,901496,10042.48,2026-04-23T21:59:04.631Z,bid-extra-60347900048,2026-04-23T23:55:14.039Z
2700766,901806,10678.08,2026-04-23T21:59:04.632Z,bid-extra-60347900058,2026-04-23T23:55:14.039Z
2700896,902116,11313.68,2026-04-23T21:59:04.632Z,bid-extra-60347900068,2026-04-23T23:55:14.039Z
2701026,902426,11949.28,2026-04-23T21:59:04.632Z,bid-extra-60347900078,2026-04-23T23:55:14.039Z
2701156,902736,3595.6800000000003,2026-04-23T21:59:04.632Z,bid-extra-60347900088,2026-04-23T23:55:14.039Z
2701286,903046,4231.28,2026-04-23T21:59:04.632Z,bid-extra-60347900098,2026-04-23T23:55:14.039Z
2701416,903356,4866.88,2026-04-23T21:59:04.632Z,bid-extra-60347900108,2026-04-23T23:55:14.039Z
2701546,903666,5502.4800000000005,2026-04-23T21:59:04.632Z,bid-extra-60347900118,2026-04-23T23:55:14.039Z
2701676,903976,1598.0800000000002,2026-04-23T21:59:04.632Z,bid-extra-60347900128,2026-04-23T23:55:14.039Z
2701806,904286,2233.6800000000003,2026-04-23T21:59:04.632Z,bid-extra-60347900138,2026-04-23T23:55:14.039Z
2701936,904596,2869.28,2026-04-23T21:59:04.632Z,bid-extra-60347900148,2026-04-23T23:55:14.039Z
2702066,904906,3504.88,2026-04-23T21:59:04.633Z,bid-extra-60347900158,2026-04-23T23:55:14.039Z
2702196,905216,4140.4800000000005,2026-04-23T21:59:04.633Z,bid-extra-60347900168,2026-04-23T23:55:14.039Z
2702326,905526,4776.08,2026-04-23T21:59:04.633Z,bid-extra-60347900178,2026-04-23T23:55:14.039Z
2702456,905836,5411.68,2026-04-23T21:59:04.633Z,bid-extra-60347900188,2026-04-23T23:55:14.039Z
2702586,906146,6047.28,2026-04-23T21:59:04.633Z,bid-extra-60347900198,2026-04-23T23:55:14.039Z
2702716,906456,6682.88,2026-04-23T21:59:04.633Z,bid-extra-60347900208,2026-04-23T23:55:14.039Z
2702846,906766,7318.4800000000005,2026-04-23T21:59:04.633Z,bid-extra-60347900218,2026-04-23T23:55:14.039Z
2702976,907076,7954.08,2026-04-23T21:59:04.633Z,bid-extra-60347900228,2026-04-23T23:55:14.039Z
2703106,907386,8589.68,2026-04-23T21:59:04.633Z,bid-extra-60347900238,2026-04-23T23:55:14.039Z
2703236,907696,4685.28,2026-04-23T21:59:04.633Z,bid-extra-60347900248,2026-04-23T23:55:14.039Z
2703366,908006,5320.88,2026-04-23T21:59:04.634Z,bid-extra-60347900258,2026-04-23T23:55:14.039Z
2703496,908316,5956.4800000000005,2026-04-23T21:59:04.634Z,bid-extra-60347900268,2026-04-23T23:55:14.039Z
2703626,908626,6592.08,2026-04-23T21:59:04.634Z,bid-extra-60347900278,2026-04-23T23:55:14.039Z
2703756,908936,7227.68,2026-04-23T21:59:04.634Z,bid-extra-60347900288,2026-04-23T23:55:14.039Z
2703886,909246,7863.280000000001,2026-04-23T21:59:04.634Z,bid-extra-60347900298,2026-04-23T23:55:14.039Z
2704016,909556,8498.880000000001,2026-04-23T21:59:04.634Z,bid-extra-60347900308,2026-04-23T23:55:14.039Z
2704146,909866,9134.48,2026-04-23T21:59:04.634Z,bid-extra-60347900318,2026-04-23T23:55:14.039Z
2704276,910176,9770.08,2026-04-23T21:59:04.634Z,bid-extra-60347900328,2026-04-23T23:55:14.039Z
2704406,910486,10405.68,2026-04-23T21:59:04.634Z,bid-extra-60347900338,2026-04-23T23:55:14.039Z
2704536,910796,11041.28,2026-04-23T21:59:04.634Z,bid-extra-60347900348,2026-04-23T23:55:14.039Z
2704666,911106,11676.880000000001,2026-04-23T21:59:04.635Z,bid-extra-60347900358,2026-04-23T23:55:14.039Z
2704796,911416,7772.4800000000005,2026-04-23T21:59:04.635Z,bid-extra-60347900368,2026-04-23T23:55:14.039Z
2704926,911726,8408.08,2026-04-23T21:59:04.635Z,bid-extra-60347900378,2026-04-23T23:55:14.039Z
2705056,912036,9043.68,2026-04-23T21:59:04.635Z,bid-extra-60347900388,2026-04-23T23:55:14.039Z
2705186,912346,9679.28,2026-04-23T21:59:04.635Z,bid-extra-60347900398,2026-04-23T23:55:14.039Z
2705316,912656,10314.880000000001,2026-04-23T21:59:04.635Z,bid-extra-60347900408,2026-04-23T23:55:14.039Z
2705446,912966,10950.48,2026-04-23T21:59:04.635Z,bid-extra-60347900418,2026-04-23T23:55:14.039Z
2705576,913276,2596.88,2026-04-23T21:59:04.635Z,bid-extra-60347900428,2026-04-23T23:55:14.039Z
2705706,913586,3232.48,2026-04-23T21:59:04.635Z,bid-extra-60347900438,2026-04-23T23:55:14.039Z
2705836,913896,3868.08,2026-04-23T21:59:04.635Z,bid-extra-60347900448,2026-04-23T23:55:14.039Z
2705966,914206,4503.68,2026-04-23T21:59:04.636Z,bid-extra-60347900458,2026-04-23T23:55:14.039Z
2706096,914516,5139.28,2026-04-23T21:59:04.636Z,bid-extra-60347900468,2026-04-23T23:55:14.039Z
2706226,914826,5774.88,2026-04-23T21:59:04.636Z,bid-extra-60347900478,2026-04-23T23:55:14.039Z
2706356,915136,1870.48,2026-04-23T21:59:04.636Z,bid-extra-60347900488,2026-04-23T23:55:14.039Z
2706486,915446,2506.08,2026-04-23T21:59:04.636Z,bid-extra-60347900498,2026-04-23T23:55:14.039Z
2706616,915756,3141.6800000000003,2026-04-23T21:59:04.636Z,bid-extra-60347900508,2026-04-23T23:55:14.039Z
2706746,916066,3777.28,2026-04-23T21:59:04.636Z,bid-extra-60347900518,2026-04-23T23:55:14.039Z
2706876,916376,4412.88,2026-04-23T21:59:04.636Z,bid-extra-60347900528,2026-04-23T23:55:14.039Z
2707006,916686,5048.4800000000005,2026-04-23T21:59:04.636Z,bid-extra-60347900538,2026-04-23T23:55:14.039Z
2707136,916996,5684.08,2026-04-23T21:59:04.636Z,bid-extra-60347900548,2026-04-23T23:55:14.039Z
2707266,917306,6319.68,2026-04-23T21:59:04.637Z,bid-extra-60347900558,2026-04-23T23:55:14.039Z
2707396,917616,6955.280000000001,2026-04-23T21:59:04.637Z,bid-extra-60347900568,2026-04-23T23:55:14.039Z
2707526,917926,7590.88,2026-04-23T21:59:04.637Z,bid-extra-60347900578,2026-04-23T23:55:14.039Z
2707656,918236,8226.48,2026-04-23T21:59:04.637Z,bid-extra-60347900588,2026-04-23T23:55:14.039Z
2707786,918546,8862.08,2026-04-23T21:59:04.637Z,bid-extra-60347900598,2026-04-23T23:55:14.039Z
2707916,918856,9497.68,2026-04-23T21:59:04.637Z,bid-extra-60347900608,2026-04-23T23:55:14.039Z
2708046,919166,5593.28,2026-04-23T21:59:04.637Z,bid-extra-60347900618,2026-04-23T23:55:14.039Z
2708176,919476,6228.88,2026-04-23T21:59:04.637Z,bid-extra-60347900628,2026-04-23T23:55:14.039Z
2708306,919786,6864.4800000000005,2026-04-23T21:59:04.637Z,bid-extra-60347900638,2026-04-23T23:55:14.039Z
2708436,920096,7500.08,2026-04-23T21:59:04.637Z,bid-extra-60347900648,2026-04-23T23:55:14.039Z
2708566,920406,8135.68,2026-04-23T21:59:04.638Z,bid-extra-60347900658,2026-04-23T23:55:14.039Z
2708696,920716,8771.28,2026-04-23T21:59:04.638Z,bid-extra-60347900668,2026-04-23T23:55:14.039Z
2708826,921026,9406.880000000001,2026-04-23T21:59:04.638Z,bid-extra-60347900678,2026-04-23T23:55:14.039Z
2708956,921336,10042.48,2026-04-23T21:59:04.638Z,bid-extra-60347900688,2026-04-23T23:55:14.039Z
2709086,921646,10678.08,2026-04-23T21:59:04.638Z,bid-extra-60347900698,2026-04-23T23:55:14.039Z
2709216,921956,11313.68,2026-04-23T21:59:04.638Z,bid-extra-60347900708,2026-04-23T23:55:14.039Z
2709346,922266,11949.28,2026-04-23T21:59:04.638Z,bid-extra-60347900718,2026-04-23T23:55:14.039Z
2709476,922576,12584.880000000001,2026-04-23T21:59:04.638Z,bid-extra-60347900728,2026-04-23T23:55:14.039Z
2709606,922886,8680.48,2026-04-23T21:59:04.638Z,bid-extra-60347900738,2026-04-23T23:55:14.039Z
2709736,923196,9316.08,2026-04-23T21:59:04.638Z,bid-extra-60347900748,2026-04-23T23:55:14.039Z
2709866,923506,9951.68,2026-04-23T21:59:04.639Z,bid-extra-60347900758,2026-04-23T23:55:14.039Z
2709996,923816,1598.0800000000002,2026-04-23T21:59:04.639Z,bid-extra-60347900768,2026-04-23T23:55:14.039Z
2710126,924126,2233.6800000000003,2026-04-23T21:59:04.639Z,bid-extra-60347900778,2026-04-23T23:55:14.039Z
2710256,924436,2869.28,2026-04-23T21:59:04.639Z,bid-extra-60347900788,2026-04-23T23:55:14.039Z
2710386,924746,3504.88,2026-04-23T21:59:04.639Z,bid-extra-60347900798,2026-04-23T23:55:14.039Z
2710516,925056,4140.4800000000005,2026-04-23T21:59:04.639Z,bid-extra-60347900808,2026-04-23T23:55:14.039Z
2710646,925366,4776.08,2026-04-23T21:59:04.639Z,bid-extra-60347900818,2026-04-23T23:55:14.039Z
2710776,925676,5411.68,2026-04-23T21:59:04.639Z,bid-extra-60347900828,2026-04-23T23:55:14.039Z
2710906,925986,6047.28,2026-04-23T21:59:04.639Z,bid-extra-60347900838,2026-04-23T23:55:14.039Z
2711036,926296,6682.88,2026-04-23T21:59:04.639Z,bid-extra-60347900848,2026-04-23T23:55:14.039Z
2711166,926606,2778.48,2026-04-23T21:59:04.640Z,bid-extra-60347900858,2026-04-23T23:55:14.039Z
