auction,bidder,price,dateTime,extra,processed_time
2700116,900256,6228.88,2026-04-23T22:02:24.631Z,bid-extra-60367900008,2026-04-23T23:55:14.039Z
2700246,900566,6864.4800000000005,2026-04-23T22:02:24.631Z,bid-extra-60367900018,2026-04-23T23:55:14.039Z
2700376,900876,7500.08,2026-04-23T22:02:24.631Z,bid-extra-60367900028,2026-04-23T23:55:14.039Z
2700506,901186,8135.68,2026-04-23T22:02:24.631Z,bid-extra-60367900038,2026-04-23T23:55:14.039Z
2700636,901496,8771.28,2026-04-23T22:02:24.631Z,bid-extra-60367900048,2026-04-23T23:55:14.039Z
2700766,901806,9406.880000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900058,2026-04-23T23:55:14.039Z
2700896,902116,10042.48,2026-04-23T22:02:24.632Z,bid-extra-60367900068,2026-04-23T23:55:14.039Z
2701026,902426,10678.08,2026-04-23T22:02:24.632Z,bid-extra-60367900078,2026-04-23T23:55:14.039Z
2701156,902736,11313.68,2026-04-23T22:02:24.632Z,bid-extra-60367900088,2026-04-23T23:55:14.039Z
2701286,903046,11949.28,2026-04-23T22:02:24.632Z,bid-extra-60367900098,2026-04-23T23:55:14.039Z
2701416,903356,12584.880000000001,2026-04-23T22:02:24.632Z,bid-extra-60367900108,2026-04-23T23:55:14.039Z
2701546,903666,13220.48,2026-04-23T22:02:24.632Z,bid-extra-60367900118,2026-04-23T23:55:14.039Z
2701676,903976,326.88,2026-04-23T22:02:24.632Z,bid-extra-60367900128,2026-04-23T23:55:14.039Z
2701806,904286,962.48,2026-04-23T22:02:24.632Z,bid-extra-60367900138,2026-04-23T23:55:14.039Z
2701936,904596,1598.0800000000002,2026-04-23T22:02:24.632Z,bid-extra-60367900148,2026-04-23T23:55:14.039Z
2702066,904906,2233.6800000000003,2026-04-23T22:02:24.633Z,bid-extra-60367900158,2026-04-23T23:55:14.039Z
2702196,905216,2869.28,2026-04-23T22:02:24.633Z,bid-extra-60367900168,2026-04-23T23:55:14.039Z
2702326,905526,3504.88,2026-04-23T22:02:24.633Z,bid-extra-60367900178,2026-04-23T23:55:14.039Z
2702456,905836,4140.4800000000005,2026-04-23T22:02:24.633Z,bid-extra-60367900188,2026-04-23T23:55:14.039Z
2702586,906146,4776.08,2026-04-23T22:02:24.633Z,bid-extra-60367900198,2026-04-23T23:55:14.039Z
2702716,906456,5411.68,2026-04-23T22:02:24.633Z,bid-extra-60367900208,2026-04-23T23:55:14.039Z
2702846,906766,6047.28,2026-04-23T22:02:24.633Z,bid-extra-60367900218,2026-04-23T23:55:14.039Z
2702976,907076,6682.88,2026-04-23T22:02:24.633Z,bid-extra-60367900228,2026-04-23T23:55:14.039Z
2703106,907386,7318.4800000000005,2026-04-23T22:02:24.633Z,bid-extra-60367900238,2026-04-23T23:55:14.039Z
2703236,907696,3414.08,2026-04-23T22:02:24.633Z,bid-extra-60367900248,2026-04-23T23:55:14.039Z
2703366,908006,4049.6800000000003,2026-04-23T22:02:24.634Z,bid-extra-60367900258,2026-04-23T23:55:14.039Z
2703496,908316,4685.28,2026-04-23T22:02:24.634Z,bid-extra-60367900268,2026-04-23T23:55:14.039Z
2703626,908626,5320.88,2026-04-23T22:02:24.634Z,bid-extra-60367900278,2026-04-23T23:55:14.039Z
2703756,908936,5956.4800000000005,2026-04-23T22:02:24.634Z,bid-extra-60367900288,2026-04-23T23:55:14.039Z
2703886,909246,6592.08,2026-04-23T22:02:24.634Z,bid-extra-60367900298,2026-04-23T23:55:14.039Z
2704016,909556,7227.68,2026-04-23T22:02:24.634Z,bid-extra-60367900308,2026-04-23T23:55:14.039Z
2704146,909866,7863.280000000001,2026-04-23T22:02:24.634Z,bid-extra-60367900318,2026-04-23T23:55:14.039Z
2704276,910176,8498.880000000001,2026-04-23T22:02:24.634Z,bid-extra-60367900328,2026-04-23T23:55:14.039Z
2704406,910486,9134.48,2026-04-23T22:02:24.634Z,bid-extra-60367900338,2026-04-23T23:55:14.039Z
2704536,910796,9770.08,2026-04-23T22:02:24.634Z,bid-extra-60367900348,2026-04-23T23:55:14.039Z
2704666,911106,10405.68,2026-04-23T22:02:24.635Z,bid-extra-60367900358,2026-04-23T23:55:14.039Z
2704796,911416,6501.280000000001,2026-04-23T22:02:24.635Z,bid-extra-60367900368,2026-04-23T23:55:14.039Z
2704926,911726,7136.88,2026-04-23T22:02:24.635Z,bid-extra-60367900378,2026-04-23T23:55:14.039Z
2705056,912036,7772.4800000000005,2026-04-23T22:02:24.635Z,bid-extra-60367900388,2026-04-23T23:55:14.039Z
2705186,912346,8408.08,2026-04-23T22:02:24.635Z,bid-extra-60367900398,2026-04-23T23:55:14.039Z
2705316,912656,9043.68,2026-04-23T22:02:24.635Z,bid-extra-60367900408,2026-04-23T23:55:14.039Z
2705446,912966,9679.28,2026-04-23T22:02:24.635Z,bid-extra-60367900418,2026-04-23T23:55:14.039Z
2705576,913276,10314.880000000001,2026-04-23T22:02:24.635Z,bid-extra-60367900428,2026-04-23T23:55:14.039Z
