auction,bidder,price,dateTime,extra,processed_time
9700116,900256,4866.88,2026-04-23T21:58:54.631Z,bid-extra-60346900008,2026-04-23T23:55:14.039Z
9700246,900566,5502.4800000000005,2026-04-23T21:58:54.631Z,bid-extra-60346900018,2026-04-23T23:55:14.039Z
9700376,900876,6138.08,2026-04-23T21:58:54.631Z,bid-extra-60346900028,2026-04-23T23:55:14.039Z
9700506,901186,6773.68,2026-04-23T21:58:54.631Z,bid-extra-60346900038,2026-04-23T23:55:14.039Z
9700636,901496,7409.280000000001,2026-04-23T21:58:54.631Z,bid-extra-60346900048,2026-04-23T23:55:14.039Z
9700766,901806,8044.88,2026-04-23T21:58:54.632Z,bid-extra-60346900058,2026-04-23T23:55:14.039Z
9700896,902116,8680.48,2026-04-23T21:58:54.632Z,bid-extra-60346900068,2026-04-23T23:55:14.039Z
9701026,902426,9316.08,2026-04-23T21:58:54.632Z,bid-extra-60346900078,2026-04-23T23:55:14.039Z
9701156,902736,9951.68,2026-04-23T21:58:54.632Z,bid-extra-60346900088,2026-04-23T23:55:14.039Z
9701286,903046,10587.28,2026-04-23T21:58:54.632Z,bid-extra-60346900098,2026-04-23T23:55:14.039Z
9701416,903356,11222.880000000001,2026-04-23T21:58:54.632Z,bid-extra-60346900108,2026-04-23T23:55:14.039Z
9701546,903666,11858.48,2026-04-23T21:58:54.632Z,bid-extra-60346900118,2026-04-23T23:55:14.039Z
9701676,903976,7954.08,2026-04-23T21:58:54.632Z,bid-extra-60346900128,2026-04-23T23:55:14.039Z
9701806,904286,8589.68,2026-04-23T21:58:54.632Z,bid-extra-60346900138,2026-04-23T23:55:14.039Z
9701936,904596,9225.28,2026-04-23T21:58:54.632Z,bid-extra-60346900148,2026-04-23T23:55:14.039Z
9702066,904906,9860.880000000001,2026-04-23T21:58:54.633Z,bid-extra-60346900158,2026-04-23T23:55:14.039Z
9702196,905216,10496.48,2026-04-23T21:58:54.633Z,bid-extra-60346900168,2026-04-23T23:55:14.039Z
9702326,905526,11132.08,2026-04-23T21:58:54.633Z,bid-extra-60346900178,2026-04-23T23:55:14.039Z
9702456,905836,2778.48,2026-04-23T21:58:54.633Z,bid-extra-60346900188,2026-04-23T23:55:14.039Z
9702586,906146,3414.08,2026-04-23T21:58:54.633Z,bid-extra-60346900198,2026-04-23T23:55:14.039Z
9702716,906456,4049.6800000000003,2026-04-23T21:58:54.633Z,bid-extra-60346900208,2026-04-23T23:55:14.039Z
9702846,906766,4685.28,2026-04-23T21:58:54.633Z,bid-extra-60346900218,2026-04-23T23:55:14.039Z
9702976,907076,5320.88,2026-04-23T21:58:54.633Z,bid-extra-60346900228,2026-04-23T23:55:14.039Z
9703106,907386,5956.4800000000005,2026-04-23T21:58:54.633Z,bid-extra-60346900238,2026-04-23T23:55:14.039Z
9703236,907696,2052.08,2026-04-23T21:58:54.633Z,bid-extra-60346900248,2026-04-23T23:55:14.039Z
9703366,908006,2687.6800000000003,2026-04-23T21:58:54.634Z,bid-extra-60346900258,2026-04-23T23:55:14.039Z
9703496,908316,3323.28,2026-04-23T21:58:54.634Z,bid-extra-60346900268,2026-04-23T23:55:14.039Z
9703626,908626,3958.88,2026-04-23T21:58:54.634Z,bid-extra-60346900278,2026-04-23T23:55:14.039Z
9703756,908936,4594.4800000000005,2026-04-23T21:58:54.634Z,bid-extra-60346900288,2026-04-23T23:55:14.039Z
9703886,909246,5230.08,2026-04-23T21:58:54.634Z,bid-extra-60346900298,2026-04-23T23:55:14.039Z
9704016,909556,5865.68,2026-04-23T21:58:54.634Z,bid-extra-60346900308,2026-04-23T23:55:14.039Z
9704146,909866,6501.280000000001,2026-04-23T21:58:54.634Z,bid-extra-60346900318,2026-04-23T23:55:14.039Z
9704276,910176,7136.88,2026-04-23T21:58:54.634Z,bid-extra-60346900328,2026-04-23T23:55:14.039Z
9704406,910486,7772.4800000000005,2026-04-23T21:58:54.634Z,bid-extra-60346900338,2026-04-23T23:55:14.039Z
9704536,910796,8408.08,2026-04-23T21:58:54.634Z,bid-extra-60346900348,2026-04-23T23:55:14.039Z
9704666,911106,9043.68,2026-04-23T21:58:54.635Z,bid-extra-60346900358,2026-04-23T23:55:14.039Z
9704796,911416,5139.28,2026-04-23T21:58:54.635Z,bid-extra-60346900368,2026-04-23T23:55:14.039Z
9704926,911726,5774.88,2026-04-23T21:58:54.635Z,bid-extra-60346900378,2026-04-23T23:55:14.039Z
9705056,912036,6410.4800000000005,2026-04-23T21:58:54.635Z,bid-extra-60346900388,2026-04-23T23:55:14.039Z
9705186,912346,7046.08,2026-04-23T21:58:54.635Z,bid-extra-60346900398,2026-04-23T23:55:14.039Z
9705316,912656,7681.68,2026-04-23T21:58:54.635Z,bid-extra-60346900408,2026-04-23T23:55:14.039Z
9705446,912966,8317.28,2026-04-23T21:58:54.635Z,bid-extra-60346900418,2026-04-23T23:55:14.039Z
9705576,913276,8952.880000000001,2026-04-23T21:58:54.635Z,bid-extra-60346900428,2026-04-23T23:55:14.039Z
9705706,913586,9588.48,2026-04-23T21:58:54.635Z,bid-extra-60346900438,2026-04-23T23:55:14.039Z
9705836,913896,10224.08,2026-04-23T21:58:54.635Z,bid-extra-60346900448,2026-04-23T23:55:14.039Z
9705966,914206,10859.68,2026-04-23T21:58:54.636Z,bid-extra-60346900458,2026-04-23T23:55:14.039Z
9706096,914516,11495.28,2026-04-23T21:58:54.636Z,bid-extra-60346900468,2026-04-23T23:55:14.039Z
9706226,914826,12130.880000000001,2026-04-23T21:58:54.636Z,bid-extra-60346900478,2026-04-23T23:55:14.039Z
9706356,915136,8226.48,2026-04-23T21:58:54.636Z,bid-extra-60346900488,2026-04-23T23:55:14.039Z
9706486,915446,8862.08,2026-04-23T21:58:54.636Z,bid-extra-60346900498,2026-04-23T23:55:14.039Z
9706616,915756,9497.68,2026-04-23T21:58:54.636Z,bid-extra-60346900508,2026-04-23T23:55:14.039Z
9706746,916066,10133.28,2026-04-23T21:58:54.636Z,bid-extra-60346900518,2026-04-23T23:55:14.039Z
9706876,916376,1779.68,2026-04-23T21:58:54.636Z,bid-extra-60346900528,2026-04-23T23:55:14.039Z
9707006,916686,2415.28,2026-04-23T21:58:54.636Z,bid-extra-60346900538,2026-04-23T23:55:14.039Z
9707136,916996,3050.88,2026-04-23T21:58:54.636Z,bid-extra-60346900548,2026-04-23T23:55:14.039Z
9707266,917306,3686.48,2026-04-23T21:58:54.637Z,bid-extra-60346900558,2026-04-23T23:55:14.039Z
